date,code,exchange,open,high,low,close,volume,count_trx
2013-11-18,ALLE,NYSE,49.75,50.0,47.49,48.5,92715.0,161.0
2013-11-19,ALLE,NYSE,48.75,48.75,45.33,45.8,157243.0,605.0
2013-11-20,ALLE,NYSE,45.98,46.0,44.05,44.65,109733.0,304.0
2013-11-21,ALLE,NYSE,44.5,45.15,43.11,43.79,67790.0,334.0
2013-11-22,ALLE,NYSE,43.9,44.0,43.25,43.99,158935.0,780.0
2013-11-25,ALLE,NYSE,44.28,45.62,43.97,44.18,150447.0,772.0
2013-11-26,ALLE,NYSE,45.0,45.0,43.04,43.2,110317.0,527.0
2013-11-27,ALLE,NYSE,43.55,43.55,42.5,43.24,161599.0,815.0
2013-11-29,ALLE,NYSE,42.75,43.85,42.75,43.24,436686.0,638.0
2013-12-02,ALLE,NYSE,43.08,43.67,41.52,43.14,2115556.0,2781.0
2013-12-03,ALLE,NYSE,42.8,44.85,42.7,42.9,503281.0,1955.0
2013-12-04,ALLE,NYSE,42.43,42.43,41.67,41.83,382710.0,1288.0
2013-12-05,ALLE,NYSE,41.4,41.83,40.71,41.05,522990.0,1757.0
2013-12-06,ALLE,NYSE,40.75,41.06,40.65,40.7,823022.0,1952.0
2013-12-09,ALLE,NYSE,40.7,41.27,40.24,41.18,600719.0,1819.0
2013-12-10,ALLE,NYSE,41.07,42.84,41.04,42.56,965465.0,3178.0
2013-12-11,ALLE,NYSE,42.32,43.0,42.0,42.46,582106.0,2406.0
2013-12-12,ALLE,NYSE,42.01,43.08,42.0,42.97,376713.0,1528.0
2013-12-13,ALLE,NYSE,42.92,43.79,42.92,43.25,171134.0,780.0
2013-12-16,ALLE,NYSE,42.85,43.99,42.14,43.69,385242.0,1675.0
2013-12-17,ALLE,NYSE,43.43,44.0,43.16,43.75,258988.0,1543.0
2013-12-18,ALLE,NYSE,43.65,44.5,43.13,44.27,215248.0,1142.0
2013-12-19,ALLE,NYSE,43.96,44.5,43.85,44.45,118116.0,722.0
2013-12-20,ALLE,NYSE,44.3,44.45,43.91,44.26,1757967.0,1151.0
2013-12-23,ALLE,NYSE,44.17,44.84,43.6,44.65,158512.0,995.0
2013-12-24,ALLE,NYSE,44.76,45.02,44.27,44.58,67869.0,375.0
2013-12-26,ALLE,NYSE,44.86,45.0,44.52,44.7,100212.0,680.0
2013-12-27,ALLE,NYSE,44.77,44.97,44.14,44.64,65946.0,404.0
2013-12-30,ALLE,NYSE,44.45,44.85,44.0,44.12,87028.0,598.0
2013-12-31,ALLE,NYSE,44.23,44.47,43.84,44.19,167021.0,696.0
2014-01-02,ALLE,NYSE,44.08,44.18,43.32,43.65,287700.0,1812.0
2014-01-03,ALLE,NYSE,43.57,44.29,43.46,43.96,83962.0,593.0
2014-01-06,ALLE,NYSE,43.97,43.97,43.37,43.68,135658.0,699.0
2014-01-07,ALLE,NYSE,43.25,43.98,43.15,43.87,215463.0,1122.0
2014-01-08,ALLE,NYSE,44.02,44.35,43.4,43.88,213970.0,1104.0
2014-01-09,ALLE,NYSE,43.89,44.25,43.84,44.13,221949.0,1144.0
2014-01-10,ALLE,NYSE,44.17,46.08,44.02,45.73,305877.0,1618.0
2014-01-13,ALLE,NYSE,45.7,47.37,45.31,47.04,244945.0,1490.0
2014-01-14,ALLE,NYSE,47.16,47.87,46.94,47.8,244824.0,1517.0
2014-01-15,ALLE,NYSE,47.97,49.19,47.26,47.5,242200.0,1343.0
2014-01-16,ALLE,NYSE,47.28,47.65,47.05,47.4,160712.0,854.0
2014-01-17,ALLE,NYSE,47.52,48.22,47.0,48.0,240942.0,999.0
2014-01-21,ALLE,NYSE,49.36,49.36,47.94,48.17,175427.0,1002.0
2014-01-22,ALLE,NYSE,48.11,49.16,48.11,48.51,167693.0,686.0
2014-01-23,ALLE,NYSE,48.68,48.68,47.58,47.72,196543.0,749.0
2014-01-24,ALLE,NYSE,47.62,47.71,45.84,46.84,296487.0,1544.0
2014-01-27,ALLE,NYSE,46.8,47.59,46.16,46.6,187411.0,1285.0
2014-01-28,ALLE,NYSE,46.77,47.88,46.77,47.73,104179.0,732.0
2014-01-29,ALLE,NYSE,47.35,48.47,47.35,47.78,121691.0,852.0
2014-01-30,ALLE,NYSE,47.91,49.63,47.83,49.42,127740.0,842.0
2014-01-31,ALLE,NYSE,49.25,49.96,49.18,49.35,229454.0,979.0
2014-02-03,ALLE,NYSE,49.35,49.93,47.2,47.44,177150.0,1028.0
2014-02-04,ALLE,NYSE,47.44,48.41,47.4,48.05,188366.0,1181.0
2014-02-05,ALLE,NYSE,47.84,48.64,47.2,47.6,111785.0,552.0
2014-02-06,ALLE,NYSE,47.85,49.27,47.85,49.24,179313.0,1161.0
2014-02-07,ALLE,NYSE,49.33,50.24,49.33,49.94,126786.0,780.0
2014-02-10,ALLE,NYSE,49.99,50.06,49.52,49.84,73552.0,545.0
2014-02-11,ALLE,NYSE,49.73,50.41,49.33,49.89,233591.0,1237.0
2014-02-12,ALLE,NYSE,49.92,51.0,49.92,50.0,238931.0,1207.0
2014-02-13,ALLE,NYSE,49.98,50.43,49.7,50.12,92686.0,612.0
2014-02-14,ALLE,NYSE,50.15,50.25,49.59,49.63,92172.0,705.0
2014-02-18,ALLE,NYSE,49.72,50.81,49.72,50.11,174616.0,1088.0
2014-02-19,ALLE,NYSE,49.84,50.29,49.03,49.16,160969.0,1203.0
2014-02-20,ALLE,NYSE,49.84,52.78,49.1,51.52,331171.0,1758.0
2014-02-21,ALLE,NYSE,51.75,52.78,51.75,52.37,372659.0,1668.0
2014-02-24,ALLE,NYSE,52.36,53.08,52.36,52.86,149221.0,864.0
2014-02-25,ALLE,NYSE,53.0,54.57,52.99,54.56,217624.0,1387.0
2014-02-26,ALLE,NYSE,54.36,55.77,54.19,54.66,213911.0,1585.0
2014-02-27,ALLE,NYSE,54.69,55.53,54.21,55.35,181007.0,1326.0
2014-02-28,ALLE,NYSE,55.09,55.32,53.82,54.35,281149.0,1289.0
2014-03-03,ALLE,NYSE,54.67,54.67,53.08,53.49,197724.0,1491.0
2014-03-04,ALLE,NYSE,54.12,54.98,53.49,54.0,138589.0,872.0
2014-03-05,ALLE,NYSE,53.9,54.2,53.39,53.95,83144.0,579.0
2014-03-06,ALLE,NYSE,53.99,54.08,53.04,53.19,86339.0,539.0
2014-03-07,ALLE,NYSE,53.44,53.78,52.59,53.39,158120.0,973.0
2014-03-10,ALLE,NYSE,53.2,53.63,52.24,53.29,232330.0,1323.0
2014-03-11,ALLE,NYSE,53.49,54.8,53.48,54.5,154354.0,1337.0
2014-03-12,ALLE,NYSE,54.42,54.63,52.86,54.28,184908.0,978.0
2014-03-13,ALLE,NYSE,54.46,54.71,53.14,53.6,191981.0,1651.0
2014-03-14,ALLE,NYSE,53.62,53.95,53.26,53.3,154961.0,701.0
2014-03-17,ALLE,NYSE,53.44,53.8,52.93,52.96,94920.0,680.0
2014-03-18,ALLE,NYSE,52.93,53.43,52.72,53.28,163053.0,1082.0
2014-03-19,ALLE,NYSE,53.18,54.0,52.94,53.28,94885.0,700.0
2014-03-20,ALLE,NYSE,53.41,54.22,52.83,54.17,96779.0,681.0
2014-03-21,ALLE,NYSE,54.63,54.81,53.76,53.81,683576.0,1121.0
2014-03-24,ALLE,NYSE,54.0,54.21,53.06,53.47,120736.0,871.0
2014-03-25,ALLE,NYSE,53.7,53.9,53.17,53.21,75646.0,592.0
