date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,AN,NYSE,9.1875,9.25,8.9375,9.0,232500.0,
2000-01-04,AN,NYSE,8.8125,8.875,8.5625,8.6875,870200.0,
2000-01-05,AN,NYSE,8.625,8.75,8.3125,8.625,1851600.0,
2000-01-06,AN,NYSE,8.5625,8.75,8.3125,8.625,2099700.0,
2000-01-07,AN,NYSE,8.625,9.0,8.5625,8.9375,557900.0,
2000-01-10,AN,NYSE,8.9375,8.9375,8.75,8.875,328700.0,
2000-01-11,AN,NYSE,8.875,8.875,8.5625,8.5625,711800.0,
2000-01-12,AN,NYSE,8.5625,8.6875,8.5625,8.625,714500.0,
2000-01-13,AN,NYSE,8.625,8.6875,8.5625,8.625,1173200.0,
2000-01-14,AN,NYSE,8.6875,8.8125,8.625,8.625,557100.0,
2000-01-18,AN,NYSE,8.75,8.875,8.625,8.6875,471700.0,
2000-01-19,AN,NYSE,8.625,8.9375,8.625,8.875,781000.0,
2000-01-20,AN,NYSE,8.8125,8.875,8.6875,8.6875,802300.0,
2000-01-21,AN,NYSE,8.6875,8.8125,8.6875,8.75,421100.0,
2000-01-24,AN,NYSE,8.75,8.8125,8.5625,8.625,981000.0,
2000-01-25,AN,NYSE,8.5625,8.625,8.0,8.25,876600.0,
2000-01-26,AN,NYSE,8.1875,8.1875,7.8125,7.9375,650800.0,
2000-01-27,AN,NYSE,7.875,8.125,7.625,7.75,531100.0,
2000-01-28,AN,NYSE,7.8125,8.0,7.3125,7.875,1530100.0,
2000-01-31,AN,NYSE,7.9375,8.0625,7.5,7.5625,870600.0,
2000-02-01,AN,NYSE,7.5625,7.6875,6.625,7.0625,2002800.0,
2000-02-02,AN,NYSE,6.9375,7.0625,6.25,6.625,3498600.0,
2000-02-03,AN,NYSE,6.6875,7.25,6.125,6.1875,10451900.0,
2000-02-04,AN,NYSE,6.25,6.875,6.25,6.875,4239100.0,
2000-02-07,AN,NYSE,6.75,6.8125,6.4375,6.5625,1697500.0,
2000-02-08,AN,NYSE,6.625,6.6875,6.5625,6.625,1393100.0,
2000-02-09,AN,NYSE,6.625,6.6875,6.5,6.5625,985400.0,
2000-02-10,AN,NYSE,6.5625,6.6875,6.5,6.625,1035600.0,
2000-02-11,AN,NYSE,6.625,8.1875,6.5625,7.875,2252100.0,
2000-02-14,AN,NYSE,7.75,8.375,7.75,7.75,2223000.0,
2000-02-15,AN,NYSE,7.8125,7.875,7.3125,7.5,801900.0,
2000-02-16,AN,NYSE,7.75,8.125,7.5625,8.0625,1348800.0,
2000-02-17,AN,NYSE,8.1875,8.375,8.0,8.25,748900.0,
2000-02-18,AN,NYSE,8.3125,8.3125,7.8125,7.9375,486700.0,
2000-02-22,AN,NYSE,7.875,8.0,7.75,7.75,180300.0,
2000-02-23,AN,NYSE,7.9375,8.0,7.5625,7.625,345500.0,
2000-02-24,AN,NYSE,7.6875,7.6875,7.4375,7.625,598700.0,
2000-02-25,AN,NYSE,7.625,8.25,7.375,8.25,455900.0,
2000-02-28,AN,NYSE,8.125,8.125,7.625,7.875,406400.0,
2000-02-29,AN,NYSE,7.5625,7.625,7.5,7.5625,667500.0,
2000-03-01,AN,NYSE,7.5625,7.5625,7.25,7.25,3107300.0,
2000-03-02,AN,NYSE,7.375,7.5,7.25,7.3125,2247400.0,
2000-03-03,AN,NYSE,7.25,7.375,7.0,7.0625,1278100.0,
