date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,APC,NYSE,17.0,17.0,16.34375,16.34375,1153600.0,
2000-01-04,APC,NYSE,15.9375,16.5625,15.9375,16.375,1059600.0,
2000-01-05,APC,NYSE,16.40625,16.65625,16.1875,16.625,1107200.0,
2000-01-06,APC,NYSE,16.75,17.1875,16.6875,16.90625,1124000.0,
2000-01-07,APC,NYSE,17.09375,17.46875,16.9375,17.3125,823200.0,
2000-01-10,APC,NYSE,17.3125,17.3125,16.65625,16.84375,852200.0,
2000-01-11,APC,NYSE,16.78125,16.90625,16.65625,16.78125,772200.0,
2000-01-12,APC,NYSE,16.875,17.0625,16.5,16.6875,1585600.0,
2000-01-13,APC,NYSE,16.71875,17.0625,16.6875,16.90625,687200.0,
2000-01-14,APC,NYSE,16.96875,17.0625,16.59375,17.0625,862400.0,
2000-01-18,APC,NYSE,17.0625,18.34375,16.96875,18.21875,1096000.0,
2000-01-19,APC,NYSE,18.1875,18.21875,17.90625,18.0,1284200.0,
2000-01-20,APC,NYSE,18.125,18.125,17.53125,17.9375,1209800.0,
2000-01-21,APC,NYSE,18.0625,18.4375,17.84375,17.84375,1711000.0,
2000-01-24,APC,NYSE,17.84375,18.03125,17.0,17.15625,609400.0,
2000-01-25,APC,NYSE,17.21875,17.9375,17.21875,17.5,1439000.0,
2000-01-26,APC,NYSE,17.53125,17.6875,16.6875,16.6875,1295200.0,
2000-01-27,APC,NYSE,16.75,16.84375,16.375,16.375,1660000.0,
2000-01-28,APC,NYSE,16.3125,16.4375,16.25,16.4375,1434000.0,
2000-01-31,APC,NYSE,16.46875,16.6875,16.25,16.40625,970200.0,
2000-02-01,APC,NYSE,16.53125,17.1875,16.375,17.125,1040000.0,
2000-02-02,APC,NYSE,16.875,17.1875,16.125,16.25,1368600.0,
2000-02-03,APC,NYSE,16.28125,16.375,15.84375,15.90625,1066000.0,
2000-02-04,APC,NYSE,15.9375,16.25,15.84375,15.90625,667400.0,
2000-02-07,APC,NYSE,15.84375,16.21875,15.8125,16.09375,452200.0,
2000-02-08,APC,NYSE,16.1875,16.1875,15.375,15.59375,769600.0,
2000-02-09,APC,NYSE,15.875,15.875,14.8125,14.9375,794600.0,
2000-02-10,APC,NYSE,15.0625,15.6875,15.0625,15.5,2873600.0,
2000-02-11,APC,NYSE,15.59375,15.625,14.96875,15.0625,830800.0,
2000-02-14,APC,NYSE,15.0625,15.625,15.0625,15.625,903400.0,
2000-02-15,APC,NYSE,15.6875,16.5,15.6875,16.46875,1276000.0,
2000-02-16,APC,NYSE,16.375,16.59375,16.21875,16.4375,934200.0,
2000-02-17,APC,NYSE,16.40625,16.4375,15.84375,15.875,767200.0,
2000-02-18,APC,NYSE,15.8125,15.84375,15.0,15.15625,500000.0,
2000-02-22,APC,NYSE,15.3125,15.34375,15.0625,15.09375,804000.0,
2000-02-23,APC,NYSE,14.9375,15.03125,14.1875,14.4375,1262400.0,
2000-02-24,APC,NYSE,14.4375,14.59375,14.0,14.21875,2818600.0,
2000-02-25,APC,NYSE,14.1875,14.5625,13.8125,14.5625,1667800.0,
2000-02-28,APC,NYSE,14.5625,15.21875,14.5625,15.0,1127600.0,
2000-02-29,APC,NYSE,15.0,15.53125,14.625,15.375,1509600.0,
2000-03-01,APC,NYSE,15.4375,15.75,14.75,15.34375,2295000.0,
2000-03-02,APC,NYSE,15.3125,15.96875,15.125,15.34375,5021200.0,
2000-03-03,APC,NYSE,15.46875,15.46875,14.75,14.75,1458600.0,
2000-03-06,APC,NYSE,14.8125,15.5,14.75,15.125,1399600.0,
2000-03-07,APC,NYSE,15.28125,16.25,15.28125,16.125,2586000.0,
2000-03-08,APC,NYSE,15.8125,17.0,15.65625,16.21875,3212000.0,
2000-03-09,APC,NYSE,16.21875,16.21875,15.65625,15.9375,1493400.0,
2000-03-10,APC,NYSE,16.0625,16.53125,15.25,15.5,1296800.0,
2000-03-13,APC,NYSE,15.5,16.4375,15.3125,15.8125,1119200.0,
2000-03-14,APC,NYSE,16.1875,16.21875,15.6875,16.03125,1336600.0,
2000-03-15,APC,NYSE,15.90625,15.96875,15.5,15.5625,1129400.0,
2000-03-16,APC,NYSE,15.875,16.9375,15.71875,16.53125,2100200.0,
2000-03-17,APC,NYSE,16.59375,16.59375,16.1875,16.5,2658200.0,
2000-03-20,APC,NYSE,16.5625,16.625,16.21875,16.34375,1342000.0,
2000-03-21,APC,NYSE,16.28125,17.0625,16.28125,17.0,1725600.0,
2000-03-22,APC,NYSE,17.0,17.25,16.90625,17.21875,1614400.0,
2000-03-23,APC,NYSE,16.8125,17.0625,16.75,17.03125,1283600.0,
2000-03-24,APC,NYSE,17.03125,17.5625,16.96875,17.125,1738600.0,
2000-03-27,APC,NYSE,16.875,17.0625,16.46875,16.84375,1179600.0,
2000-03-28,APC,NYSE,16.75,17.125,16.625,16.8125,1407600.0,
2000-03-29,APC,NYSE,16.84375,18.375,16.84375,18.25,2460600.0,
2000-03-30,APC,NYSE,18.28125,20.0,18.21875,19.34375,3949000.0,
2000-03-31,APC,NYSE,19.28125,19.65625,19.03125,19.34375,2345200.0,
2000-04-03,APC,NYSE,17.6875,17.875,16.625,17.25,6588000.0,
2000-04-04,APC,NYSE,17.5,17.75,16.6875,17.375,8550000.0,
2000-04-05,APC,NYSE,17.5,17.625,16.875,17.40625,7365000.0,
2000-04-06,APC,NYSE,17.40625,18.3125,17.375,18.28125,3966800.0,
2000-04-07,APC,NYSE,18.40625,18.875,18.40625,18.5,4693000.0,
2000-04-10,APC,NYSE,18.53125,18.53125,17.46875,17.53125,2496000.0,
2000-04-11,APC,NYSE,17.625,18.0,17.5,17.9375,1986200.0,
2000-04-12,APC,NYSE,18.25,18.71875,18.25,18.65625,4235400.0,
2000-04-13,APC,NYSE,18.78125,18.78125,18.53125,18.5625,2128000.0,
2000-04-14,APC,NYSE,18.6875,18.71875,17.78125,17.96875,3021800.0,
