date,code,exchange,open,high,low,close,volume,count_trx
2016-09-15,ASIX,NYSE,12.0,17.81,12.0,16.64,2720.0,12.0
2016-09-16,ASIX,NYSE,17.26,17.34,17.26,17.34,3100.0,9.0
2016-09-19,ASIX,NYSE,19.2,20.15,19.2,20.15,601.0,8.0
2016-09-20,ASIX,NYSE,20.25,20.25,19.41,19.41,505.0,7.0
2016-09-21,ASIX,NYSE,,,,,39.0,1.0
2016-09-22,ASIX,NYSE,19.45,19.5,19.39,19.5,7186.0,6.0
2016-09-26,ASIX,NYSE,19.5,19.5,18.29,18.7,16609.0,136.0
2016-09-27,ASIX,NYSE,18.72,18.96,18.06,18.25,7523.0,75.0
2016-09-28,ASIX,NYSE,18.05,18.1,17.05,17.16,36560.0,163.0
2016-09-29,ASIX,NYSE,17.13,17.13,15.5,15.61,26360.0,187.0
2016-09-30,ASIX,NYSE,15.96,16.88,15.54,16.59,32134.0,161.0
2016-10-03,ASIX,NYSE,16.5,16.59,14.46,16.41,2390946.0,2491.0
2016-10-04,ASIX,NYSE,15.7,15.77,14.9,15.0,227001.0,1425.0
2016-10-05,ASIX,NYSE,14.85,14.9,14.0,14.16,165290.0,1085.0
2016-10-06,ASIX,NYSE,13.78,14.42,13.75,14.01,204278.0,701.0
2016-10-07,ASIX,NYSE,13.75,15.53,13.7,15.1,343908.0,1338.0
2016-10-10,ASIX,NYSE,15.2,16.32,15.2,15.62,267662.0,1342.0
2016-10-11,ASIX,NYSE,15.07,16.01,15.03,15.64,238153.0,1217.0
2016-10-12,ASIX,NYSE,14.96,15.68,14.23,14.98,326639.0,1134.0
2016-10-13,ASIX,NYSE,15.15,15.26,14.93,15.13,125007.0,713.0
2016-10-14,ASIX,NYSE,14.95,16.05,14.95,15.62,167120.0,1126.0
2016-10-17,ASIX,NYSE,15.43,16.3,15.31,16.02,125370.0,928.0
2016-10-18,ASIX,NYSE,16.03,16.29,16.0,16.1,63723.0,452.0
2016-10-19,ASIX,NYSE,16.07,16.54,15.99,16.21,107197.0,793.0
2016-10-20,ASIX,NYSE,15.9,16.5,15.76,16.37,94955.0,673.0
2016-10-21,ASIX,NYSE,16.18,16.92,16.01,16.33,60819.0,527.0
2016-10-24,ASIX,NYSE,16.48,16.93,16.06,16.72,53251.0,498.0
2016-10-25,ASIX,NYSE,16.55,16.9,16.46,16.56,118310.0,714.0
2016-10-26,ASIX,NYSE,16.41,16.82,16.14,16.45,81067.0,566.0
2016-10-27,ASIX,NYSE,16.33,16.44,15.55,15.93,67540.0,509.0
2016-10-28,ASIX,NYSE,15.83,16.23,15.61,15.66,72450.0,432.0
2016-10-31,ASIX,NYSE,15.65,16.03,14.92,15.96,101384.0,570.0
2016-11-01,ASIX,NYSE,15.99,16.0,14.83,14.94,98898.0,503.0
2016-11-02,ASIX,NYSE,14.81,15.02,14.66,14.85,64127.0,512.0
2016-11-03,ASIX,NYSE,14.99,15.37,14.67,14.9,82268.0,804.0
2016-11-04,ASIX,NYSE,14.92,15.3,14.85,14.92,87662.0,719.0
2016-11-07,ASIX,NYSE,14.98,15.14,14.76,14.97,86238.0,867.0
2016-11-08,ASIX,NYSE,14.84,15.05,14.73,15.04,111260.0,883.0
2016-11-09,ASIX,NYSE,15.07,15.86,14.95,15.33,149125.0,962.0
2016-11-10,ASIX,NYSE,15.22,16.13,15.22,16.06,146118.0,763.0
2016-11-11,ASIX,NYSE,16.0,16.74,15.62,16.64,92368.0,817.0
2016-11-14,ASIX,NYSE,16.61,16.61,15.96,15.97,50537.0,541.0
2016-11-15,ASIX,NYSE,15.83,16.43,15.24,16.39,116385.0,880.0
2016-11-16,ASIX,NYSE,16.41,16.41,15.68,16.2,71054.0,556.0
2016-11-17,ASIX,NYSE,16.1,16.69,16.1,16.53,53562.0,423.0
2016-11-18,ASIX,NYSE,16.71,18.15,16.5,18.02,117459.0,798.0
2016-11-21,ASIX,NYSE,18.2,19.55,18.1,19.5,80759.0,497.0
2016-11-22,ASIX,NYSE,19.68,20.27,19.5,19.54,68838.0,594.0
2016-11-23,ASIX,NYSE,19.49,19.87,18.9,19.77,41087.0,415.0
2016-11-25,ASIX,NYSE,19.93,20.24,19.76,20.12,18670.0,112.0
2016-11-28,ASIX,NYSE,20.24,20.24,19.55,19.83,63036.0,484.0
2016-11-29,ASIX,NYSE,19.9,19.9,19.11,19.28,51546.0,378.0
2016-11-30,ASIX,NYSE,19.25,19.85,18.63,18.7,177998.0,794.0
2016-12-01,ASIX,NYSE,18.88,19.56,18.88,19.0,83243.0,706.0
2016-12-02,ASIX,NYSE,19.05,19.31,18.86,19.11,31450.0,346.0
2016-12-05,ASIX,NYSE,19.3,19.859,19.02,19.66,39261.0,293.0
2016-12-06,ASIX,NYSE,19.8,20.67,19.42,20.47,32506.0,278.0
2016-12-07,ASIX,NYSE,20.48,21.0,20.0,20.72,67785.0,403.0
2016-12-08,ASIX,NYSE,20.74,20.98,20.24,20.36,30486.0,280.0
2016-12-09,ASIX,NYSE,20.34,20.34,19.63,19.99,49321.0,437.0
2016-12-12,ASIX,NYSE,19.95,20.5,19.62,19.68,47531.0,449.0
2016-12-13,ASIX,NYSE,19.74,20.31,19.74,20.26,49507.0,469.0
2016-12-14,ASIX,NYSE,20.08,20.4,19.82,20.38,34424.0,282.0
2016-12-15,ASIX,NYSE,20.35,21.15,20.12,21.14,79483.0,662.0
2016-12-16,ASIX,NYSE,21.1,22.49,20.71,22.23,304303.0,898.0
2016-12-19,ASIX,NYSE,22.12,22.52,21.45,21.62,58042.0,511.0
2016-12-20,ASIX,NYSE,21.58,21.62,21.04,21.41,43562.0,414.0
2016-12-21,ASIX,NYSE,21.34,23.15,21.15,22.97,55988.0,431.0
2016-12-22,ASIX,NYSE,22.88,22.94,22.5,22.63,29094.0,290.0
2016-12-23,ASIX,NYSE,22.54,23.17,22.54,22.68,22047.0,259.0
2016-12-27,ASIX,NYSE,22.57,23.13,22.57,22.94,28570.0,220.0
