date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,AVB,NYSE,34.1875,34.25,33.875,33.9375,38700.0,
2000-01-04,AVB,NYSE,33.75,33.8125,32.9375,33.1875,109500.0,
2000-01-05,AVB,NYSE,33.0625,33.5,32.625,33.5,195000.0,
2000-01-06,AVB,NYSE,33.375,34.625,33.3125,34.625,106000.0,
2000-01-07,AVB,NYSE,35.0,36.0,34.6875,35.5,130800.0,
2000-01-10,AVB,NYSE,35.5,35.9375,35.375,35.9375,106500.0,
2000-01-11,AVB,NYSE,35.75,35.8125,35.1875,35.1875,73600.0,
2000-01-12,AVB,NYSE,35.0625,35.375,35.0625,35.125,18800.0,
2000-01-13,AVB,NYSE,35.125,35.1875,34.6875,35.0,54600.0,
2000-01-14,AVB,NYSE,35.125,35.25,34.9375,35.0,222200.0,
2000-01-18,AVB,NYSE,35.0,35.4375,34.375,34.375,184800.0,
2000-01-19,AVB,NYSE,34.625,35.5625,34.625,35.5625,63500.0,
2000-01-20,AVB,NYSE,35.3125,35.375,35.0625,35.1875,46200.0,
2000-01-21,AVB,NYSE,35.25,35.5,35.125,35.25,76100.0,
2000-01-24,AVB,NYSE,35.0625,35.3125,35.0,35.25,56900.0,
2000-01-25,AVB,NYSE,35.25,35.3125,35.125,35.25,157200.0,
2000-01-26,AVB,NYSE,35.125,35.25,35.0,35.125,114200.0,
2000-01-27,AVB,NYSE,35.125,35.1875,34.75,35.1875,94700.0,
2000-01-28,AVB,NYSE,35.0625,35.125,34.625,34.75,101900.0,
2000-01-31,AVB,NYSE,34.625,34.75,34.375,34.5,54700.0,
2000-02-01,AVB,NYSE,34.5,34.625,34.4375,34.5,57700.0,
2000-02-02,AVB,NYSE,34.5,34.5,34.375,34.5,80700.0,
2000-02-03,AVB,NYSE,34.5,34.625,34.0625,34.375,117200.0,
2000-02-04,AVB,NYSE,34.3125,34.6875,34.3125,34.5625,52200.0,
2000-02-07,AVB,NYSE,34.4375,34.5625,34.25,34.5,41200.0,
2000-02-08,AVB,NYSE,34.5,34.5625,34.3125,34.375,83000.0,
2000-02-09,AVB,NYSE,34.375,34.6875,34.0625,34.3125,243100.0,
2000-02-10,AVB,NYSE,34.4375,34.4375,34.125,34.3125,165800.0,
2000-02-11,AVB,NYSE,34.25,34.5,33.9375,34.25,90800.0,
2000-02-14,AVB,NYSE,34.125,34.375,33.9375,34.375,69500.0,
2000-02-15,AVB,NYSE,34.125,34.25,33.9375,34.25,90900.0,
2000-02-16,AVB,NYSE,34.125,34.1875,34.0,34.125,82300.0,
2000-02-17,AVB,NYSE,34.0,34.25,34.0,34.25,92400.0,
2000-02-18,AVB,NYSE,34.25,34.25,34.0,34.1875,33300.0,
2000-02-22,AVB,NYSE,34.0625,34.1875,33.9375,34.0,46500.0,
2000-02-23,AVB,NYSE,34.0625,34.0625,33.9375,34.0,77800.0,
2000-02-24,AVB,NYSE,33.9375,33.9375,33.8125,33.9375,41900.0,
2000-02-25,AVB,NYSE,33.875,34.0,33.875,34.0,34300.0,
2000-02-28,AVB,NYSE,34.0,34.0,33.75,33.75,57700.0,
2000-02-29,AVB,NYSE,33.25,33.875,33.25,33.75,255400.0,
2000-03-01,AVB,NYSE,33.4375,34.25,33.4375,34.25,275100.0,
2000-03-02,AVB,NYSE,34.125,34.375,33.9375,33.9375,79200.0,
2000-03-03,AVB,NYSE,34.0625,34.25,34.0625,34.25,95100.0,
2000-03-06,AVB,NYSE,34.25,34.25,34.0,34.0625,74600.0,
2000-03-07,AVB,NYSE,34.125,34.5,34.0,34.5,69000.0,
2000-03-08,AVB,NYSE,34.5,34.5,34.0,34.125,47100.0,
2000-03-09,AVB,NYSE,34.25,34.375,33.9375,34.0,63400.0,
2000-03-10,AVB,NYSE,33.9375,34.4375,33.9375,34.4375,42600.0,
2000-03-13,AVB,NYSE,34.4375,34.5,34.1875,34.25,176500.0,
2000-03-14,AVB,NYSE,34.25,34.25,34.0,34.0,81900.0,
2000-03-15,AVB,NYSE,34.125,34.3125,33.875,34.3125,142800.0,
2000-03-16,AVB,NYSE,34.375,34.75,34.375,34.6875,395900.0,
2000-03-17,AVB,NYSE,34.9375,35.0625,34.5,34.8125,272200.0,
2000-03-20,AVB,NYSE,34.625,35.3125,34.5625,35.3125,139200.0,
2000-03-21,AVB,NYSE,35.1875,35.3125,34.9375,35.1875,65300.0,
2000-03-22,AVB,NYSE,35.125,35.375,35.0,35.25,239100.0,
2000-03-23,AVB,NYSE,35.125,36.0,35.125,36.0,83100.0,
2000-03-24,AVB,NYSE,35.875,35.9375,35.5625,35.75,103500.0,
2000-03-27,AVB,NYSE,35.625,35.875,35.5625,35.75,121000.0,
2000-03-28,AVB,NYSE,35.875,36.0625,35.875,36.0625,161900.0,
2000-03-29,AVB,NYSE,36.0,36.5,36.0,36.5,133800.0,
2000-03-30,AVB,NYSE,35.8125,36.375,35.8125,36.375,146700.0,
2000-03-31,AVB,NYSE,36.5625,36.6875,36.375,36.625,229600.0,
2000-04-03,AVB,NYSE,36.5625,36.5625,36.375,36.375,53000.0,
2000-04-04,AVB,NYSE,36.125,36.5625,36.125,36.5,143100.0,
2000-04-05,AVB,NYSE,36.5,36.8125,36.1875,36.8125,106000.0,
2000-04-06,AVB,NYSE,36.9375,37.0,36.8125,37.0,178200.0,
2000-04-07,AVB,NYSE,37.0,37.5,37.0,37.4375,88400.0,
2000-04-10,AVB,NYSE,37.4375,37.625,37.375,37.5,201300.0,
