date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,AVP,NYSE,16.204971,16.236135,15.425886,15.83101,1725200.0,
2000-01-04,AVP,NYSE,15.706357,16.142644,15.332396,15.45705,1921800.0,
2000-01-05,AVP,NYSE,15.706357,15.768684,14.927272,14.927272,2096800.0,
2000-01-06,AVP,NYSE,14.989598,16.049154,14.958435,15.45705,2713800.0,
2000-01-07,AVP,NYSE,15.612867,16.329625,15.45705,15.955664,2685600.0,
2000-01-10,AVP,NYSE,16.267298,16.423115,15.612867,15.73752,1283600.0,
2000-01-11,AVP,NYSE,15.64403,16.142644,15.45705,15.924501,1498000.0,
2000-01-12,AVP,NYSE,15.73752,15.768684,15.238906,15.425886,1652400.0,
2000-01-13,AVP,NYSE,15.425886,15.612867,14.958435,15.051925,2072000.0,
2000-01-14,AVP,NYSE,15.270069,15.270069,14.677964,14.802618,2226400.0,
2000-01-18,AVP,NYSE,14.771455,14.958435,14.27284,14.833781,1978800.0,
2000-01-19,AVP,NYSE,14.989598,15.332396,14.771455,14.896108,2373600.0,
2000-01-20,AVP,NYSE,14.958435,15.270069,14.646801,15.207742,2148000.0,
2000-01-21,AVP,NYSE,15.332396,15.332396,14.054696,14.459821,2244400.0,
2000-01-24,AVP,NYSE,14.428657,14.459821,13.556082,13.898879,5580000.0,
2000-01-25,AVP,NYSE,13.898879,13.961206,13.369101,13.462592,2363600.0,
2000-01-26,AVP,NYSE,13.337938,15.083089,12.963977,14.958435,6101000.0,
2000-01-27,AVP,NYSE,16.080318,16.797076,15.924501,16.734749,5728200.0,
2000-01-28,AVP,NYSE,16.610096,16.703586,15.986827,15.986827,3874800.0,
2000-01-31,AVP,NYSE,16.204971,16.236135,15.83101,15.862174,2471000.0,
2000-02-01,AVP,NYSE,15.955664,16.049154,15.83101,15.955664,1368000.0,
2000-02-02,AVP,NYSE,15.955664,16.204971,15.955664,16.049154,905800.0,
2000-02-03,AVP,NYSE,15.986827,16.142644,15.55054,16.111481,1213800.0,
2000-02-04,AVP,NYSE,15.986827,16.017991,15.64403,15.83101,1796600.0,
2000-02-07,AVP,NYSE,15.706357,15.706357,15.394723,15.519376,873400.0,
2000-02-08,AVP,NYSE,15.270069,15.363559,14.958435,15.145415,1346800.0,
2000-02-09,AVP,NYSE,14.896108,14.896108,14.241677,14.459821,1832400.0,
2000-02-10,AVP,NYSE,14.397494,14.490984,14.241677,14.36633,784400.0,
2000-02-11,AVP,NYSE,14.210513,14.428657,13.649572,14.08586,1938000.0,
2000-02-14,AVP,NYSE,14.08586,14.241677,13.836552,14.054696,930600.0,
2000-02-15,AVP,NYSE,14.054696,14.428657,13.930043,14.304003,1060000.0,
2000-02-16,AVP,NYSE,14.17935,14.459821,13.992369,14.08586,1213800.0,
2000-02-17,AVP,NYSE,14.023533,14.08586,13.711899,13.898879,1120600.0,
2000-02-18,AVP,NYSE,13.774226,13.867716,13.649572,13.805389,1488200.0,
2000-02-22,AVP,NYSE,13.711899,14.646801,13.680735,14.646801,2570600.0,
2000-02-23,AVP,NYSE,14.210513,14.490984,14.023533,14.117023,1874400.0,
2000-02-24,AVP,NYSE,13.992369,13.992369,13.213284,13.618409,1054600.0,
2000-02-25,AVP,NYSE,13.182121,13.182121,12.590016,12.652343,1354600.0,
2000-02-28,AVP,NYSE,12.932814,13.119794,12.652343,13.119794,1713000.0,
2000-02-29,AVP,NYSE,13.057467,13.961206,13.026304,13.493755,2540800.0,
2000-03-01,AVP,NYSE,13.867716,14.896108,13.618409,14.833781,4860400.0,
2000-03-02,AVP,NYSE,14.833781,14.958435,13.992369,14.646801,2324800.0,
2000-03-03,AVP,NYSE,14.646801,15.207742,14.335167,14.771455,1262000.0,
2000-03-06,AVP,NYSE,14.958435,15.176579,14.241677,14.335167,1910400.0,
2000-03-07,AVP,NYSE,13.961206,14.771455,12.71467,14.553311,4679800.0,
2000-03-08,AVP,NYSE,14.584474,14.584474,13.680735,14.304003,3308000.0,
2000-03-09,AVP,NYSE,14.304003,14.335167,13.556082,13.836552,1926800.0,
2000-03-10,AVP,NYSE,13.836552,13.836552,12.99514,13.088631,2278200.0,
2000-03-13,AVP,NYSE,13.150957,14.117023,13.026304,13.992369,2015200.0,
2000-03-14,AVP,NYSE,13.961206,14.054696,13.587245,13.867716,1692400.0,
2000-03-15,AVP,NYSE,13.898879,15.020762,13.743062,15.020762,2585800.0,
2000-03-16,AVP,NYSE,15.020762,17.2022,15.020762,16.952893,3389000.0,
2000-03-17,AVP,NYSE,17.077547,17.077547,15.083089,15.176579,2548400.0,
2000-03-20,AVP,NYSE,15.301232,15.332396,14.08586,15.020762,2476800.0,
2000-03-21,AVP,NYSE,14.896108,14.927272,14.459821,14.927272,3132400.0,
2000-03-22,AVP,NYSE,15.051925,15.051925,14.335167,14.802618,1613200.0,
2000-03-23,AVP,NYSE,14.677964,15.114252,14.584474,15.051925,1769400.0,
2000-03-24,AVP,NYSE,14.927272,15.020762,14.615638,14.677964,1648000.0,
2000-03-27,AVP,NYSE,14.584474,14.802618,14.210513,14.27284,1178000.0,
2000-03-28,AVP,NYSE,13.898879,14.335167,13.867716,14.17935,2850200.0,
2000-03-29,AVP,NYSE,14.148186,14.210513,13.836552,13.930043,1633400.0,
2000-03-30,AVP,NYSE,13.961206,15.425886,13.930043,15.207742,3130400.0,
2000-03-31,AVP,NYSE,15.083089,15.45705,14.490984,14.490984,2563800.0,
2000-04-03,AVP,NYSE,14.584474,15.083089,14.148186,15.020762,2791000.0,
2000-04-04,AVP,NYSE,15.332396,16.578932,15.020762,15.768684,3160200.0,
2000-04-05,AVP,NYSE,16.017991,16.859403,15.768684,16.859403,3253800.0,
2000-04-06,AVP,NYSE,16.641259,16.765913,15.519376,15.706357,2079800.0,
2000-04-07,AVP,NYSE,15.207742,15.581703,14.490984,14.864945,4842600.0,
2000-04-10,AVP,NYSE,14.864945,15.332396,14.304003,14.584474,2720600.0,
2000-04-11,AVP,NYSE,14.584474,15.020762,14.335167,14.615638,3462000.0,
2000-04-12,AVP,NYSE,16.828239,17.794305,16.578932,17.420344,8711000.0,
2000-04-13,AVP,NYSE,17.700815,18.57339,17.482671,17.887795,5591000.0,
2000-04-14,AVP,NYSE,17.607325,17.638488,16.080318,16.454279,4340400.0,
2000-04-17,AVP,NYSE,16.454279,17.171037,16.142644,16.984056,2373200.0,
2000-04-18,AVP,NYSE,17.233364,17.233364,16.298461,16.578932,3091000.0,
2000-04-19,AVP,NYSE,16.610096,16.952893,16.329625,16.859403,1709400.0,
2000-04-20,AVP,NYSE,17.513834,17.825468,17.389181,17.731978,2606000.0,
2000-04-24,AVP,NYSE,17.825468,19.196658,17.794305,18.947351,4772800.0,
2000-04-25,AVP,NYSE,19.196658,19.539456,18.448737,18.822697,7605200.0,
2000-04-26,AVP,NYSE,18.57339,19.009678,18.324083,18.853861,3650000.0,
2000-04-27,AVP,NYSE,18.261756,19.882253,18.261756,19.601783,3891400.0,
2000-04-28,AVP,NYSE,19.258985,20.941809,19.196658,20.692502,5452200.0,
2000-05-01,AVP,NYSE,21.066463,21.066463,20.13156,20.318541,4198400.0,
2000-05-02,AVP,NYSE,19.695273,19.882253,18.822697,19.445966,3474800.0,
2000-05-03,AVP,NYSE,19.477129,19.819926,19.196658,19.352475,3160000.0,
2000-05-04,AVP,NYSE,19.321312,19.445966,18.698044,18.791534,2363600.0,
2000-05-05,AVP,NYSE,19.009678,19.819926,18.822697,19.383639,1337000.0,
2000-05-08,AVP,NYSE,19.258985,20.069234,19.165495,19.819926,2105400.0,
2000-05-09,AVP,NYSE,19.882253,20.287377,19.882253,20.03807,2759000.0,
2000-05-10,AVP,NYSE,20.193887,20.941809,20.193887,20.848319,3868200.0,
2000-05-11,AVP,NYSE,21.191116,21.40926,20.536685,20.723665,2807000.0,
2000-05-12,AVP,NYSE,20.754829,20.817155,20.069234,20.193887,3193600.0,
2000-05-15,AVP,NYSE,19.94458,20.380868,19.882253,20.225051,3142800.0,
2000-05-16,AVP,NYSE,20.443195,20.443195,19.975743,20.162724,1985400.0,
2000-05-17,AVP,NYSE,19.94458,20.03807,19.726436,19.913417,2532000.0,
2000-05-18,AVP,NYSE,20.006907,21.128789,20.006907,20.443195,2762600.0,
2000-05-19,AVP,NYSE,19.819926,20.03807,19.414802,19.632946,3209000.0,
2000-05-22,AVP,NYSE,19.882253,19.913417,19.103168,19.352475,1459800.0,
2000-05-23,AVP,NYSE,19.414802,19.445966,19.134331,19.196658,2145600.0,
2000-05-24,AVP,NYSE,19.383639,19.975743,19.383639,19.726436,3339600.0,
2000-05-25,AVP,NYSE,19.85109,19.882253,19.321312,19.570619,1741400.0,
2000-05-26,AVP,NYSE,19.570619,19.695273,19.258985,19.445966,1140600.0,
2000-05-30,AVP,NYSE,19.7576,19.94458,19.414802,19.85109,1262800.0,
2000-05-31,AVP,NYSE,19.94458,20.692502,19.7576,20.599012,2693000.0,
2000-06-01,AVP,NYSE,20.599012,21.752058,20.287377,21.533914,3700800.0,
2000-06-02,AVP,NYSE,21.939038,21.939038,20.661338,21.253443,2197000.0,
2000-06-05,AVP,NYSE,21.253443,21.253443,20.443195,20.599012,1479600.0,
2000-06-06,AVP,NYSE,20.380868,20.380868,19.94458,20.193887,1962200.0,
2000-06-07,AVP,NYSE,20.193887,20.941809,19.819926,20.536685,2451800.0,
2000-06-08,AVP,NYSE,20.069234,20.474358,19.601783,20.443195,1474200.0,
2000-06-09,AVP,NYSE,20.443195,20.910646,20.443195,20.817155,1913600.0,
2000-06-12,AVP,NYSE,20.723665,21.284606,20.723665,20.879482,1960800.0,
2000-06-13,AVP,NYSE,20.817155,21.191116,19.94458,20.256214,2050200.0,
2000-06-14,AVP,NYSE,20.505521,20.536685,20.100397,20.412031,1152000.0,
2000-06-15,AVP,NYSE,20.412031,21.533914,20.412031,21.378097,3463400.0,
2000-06-16,AVP,NYSE,21.689731,21.689731,20.661338,20.972972,1994000.0,
