date,code,exchange,open,high,low,close,volume,count_trx
2008-04-23,AWK,NYSE,20.6,21.14,20.22,20.6,17222400.0,
2008-04-24,AWK,NYSE,20.64,21.0,20.31,20.81,2988200.0,
2008-04-25,AWK,NYSE,21.0,21.25,20.72,21.17,963300.0,
2008-04-28,AWK,NYSE,20.9,21.17,20.81,21.0,335000.0,
2008-04-29,AWK,NYSE,21.0,21.17,20.85,21.07,468000.0,
2008-04-30,AWK,NYSE,21.0,21.15,20.92,21.07,266900.0,
2008-05-01,AWK,NYSE,21.01,22.0,21.0,21.91,1479600.0,
2008-05-02,AWK,NYSE,22.0,22.1,21.49,22.01,648400.0,
2008-05-05,AWK,NYSE,22.0,22.0,21.56,21.91,341900.0,
2008-05-06,AWK,NYSE,21.8,21.86,21.37,21.55,562100.0,
2008-05-07,AWK,NYSE,21.5,21.59,20.65,21.21,962800.0,
2008-05-08,AWK,NYSE,21.23,21.3,21.03,21.25,621500.0,
2008-05-09,AWK,NYSE,21.27,21.84,21.03,21.67,202700.0,
2008-05-12,AWK,NYSE,21.6,21.74,21.5,21.5,697500.0,
2008-05-13,AWK,NYSE,21.51,21.54,20.8,21.32,1255800.0,
2008-05-14,AWK,NYSE,21.1,21.47,21.01,21.3,336000.0,
2008-05-15,AWK,NYSE,21.45,21.45,21.1,21.16,257300.0,
2008-05-16,AWK,NYSE,21.16,21.65,21.1,21.62,571500.0,
2008-05-19,AWK,NYSE,21.75,22.09,21.55,21.75,308700.0,
2008-05-20,AWK,NYSE,21.75,21.77,21.45,21.65,109900.0,
2008-05-21,AWK,NYSE,21.61,21.8,21.05,21.16,136700.0,
2008-05-22,AWK,NYSE,21.15,21.45,21.12,21.35,76500.0,
2008-05-23,AWK,NYSE,21.25,21.25,21.01,21.14,118600.0,
2008-05-27,AWK,NYSE,21.06,21.38,21.05,21.23,118900.0,
2008-05-28,AWK,NYSE,21.1,21.42,21.07,21.41,110200.0,
2008-05-29,AWK,NYSE,21.39,21.5,21.05,21.06,149000.0,
2008-05-30,AWK,NYSE,21.1,21.5,21.05,21.5,231400.0,
2008-06-02,AWK,NYSE,21.2,21.7,21.2,21.6,134400.0,
2008-06-03,AWK,NYSE,21.9,21.9,21.29,21.32,154300.0,
2008-06-04,AWK,NYSE,21.1,21.62,21.07,21.57,224900.0,
2008-06-05,AWK,NYSE,21.7,21.89,21.5,21.8,133200.0,
2008-06-06,AWK,NYSE,21.87,22.25,21.75,22.1,300700.0,
2008-06-09,AWK,NYSE,22.25,22.38,22.1,22.33,84800.0,
2008-06-10,AWK,NYSE,22.11,22.25,21.84,21.85,166700.0,
2008-06-11,AWK,NYSE,21.84,21.95,21.2,21.71,149500.0,
2008-06-12,AWK,NYSE,21.71,21.89,21.47,21.85,92800.0,
2008-06-13,AWK,NYSE,21.81,22.4,21.76,22.39,127200.0,
2008-06-16,AWK,NYSE,22.33,22.97,22.24,22.75,245000.0,
2008-06-17,AWK,NYSE,22.75,23.5,22.35,23.18,314800.0,
2008-06-18,AWK,NYSE,23.0,23.15,22.41,23.04,306000.0,
2008-06-19,AWK,NYSE,23.09,23.09,22.71,22.89,178900.0,
2008-06-20,AWK,NYSE,22.7,23.17,22.4,23.0,620600.0,
2008-06-23,AWK,NYSE,22.96,22.96,22.67,22.75,125800.0,
2008-06-24,AWK,NYSE,22.75,22.96,22.39,22.88,185000.0,
2008-06-25,AWK,NYSE,23.08,23.37,22.9,23.37,169200.0,
2008-06-26,AWK,NYSE,23.05,23.65,22.15,22.62,569200.0,
2008-06-27,AWK,NYSE,22.53,23.13,22.1,22.52,3095400.0,
2008-06-30,AWK,NYSE,22.8,22.84,21.19,22.18,307800.0,
2008-07-01,AWK,NYSE,22.4,23.09,22.34,22.88,168400.0,
2008-07-02,AWK,NYSE,23.0,23.23,22.46,22.65,189400.0,
2008-07-03,AWK,NYSE,22.46,22.61,21.19,21.8,156900.0,
2008-07-07,AWK,NYSE,21.8,22.06,21.31,21.49,75500.0,
2008-07-08,AWK,NYSE,21.45,21.7,21.29,21.7,105700.0,
2008-07-09,AWK,NYSE,21.73,21.76,21.43,21.59,64100.0,
2008-07-10,AWK,NYSE,21.16,21.45,20.38,21.26,179900.0,
2008-07-11,AWK,NYSE,20.74,20.74,19.25,20.03,377100.0,
2008-07-14,AWK,NYSE,19.92,20.19,19.65,19.71,188500.0,
2008-07-15,AWK,NYSE,19.33,19.36,18.09,18.91,285000.0,
2008-07-16,AWK,NYSE,18.97,19.53,18.97,19.4,105800.0,
2008-07-17,AWK,NYSE,19.79,19.79,19.16,19.7,106300.0,
2008-07-18,AWK,NYSE,19.75,19.83,19.46,19.55,93600.0,
2008-07-21,AWK,NYSE,19.83,19.9,19.46,19.72,61900.0,
