date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,AZO,NYSE,32.125,32.5,30.5,30.5625,339000.0,
2000-01-04,AZO,NYSE,30.5,30.9375,30.375,30.4375,475700.0,
2000-01-05,AZO,NYSE,30.3125,30.4375,29.875,30.3125,555200.0,
2000-01-06,AZO,NYSE,29.75,29.9375,28.9375,29.0625,461000.0,
2000-01-07,AZO,NYSE,29.0625,31.125,29.0625,30.4375,440500.0,
2000-01-10,AZO,NYSE,31.5,31.625,30.5625,30.6875,336900.0,
2000-01-11,AZO,NYSE,30.9375,30.9375,29.5625,30.0625,635000.0,
2000-01-12,AZO,NYSE,29.9375,30.0,29.5,29.8125,424100.0,
2000-01-13,AZO,NYSE,29.6875,30.5,29.6875,30.0,206400.0,
2000-01-14,AZO,NYSE,30.0,30.3125,29.6875,29.75,478100.0,
2000-01-18,AZO,NYSE,29.5,30.4375,29.25,29.625,316800.0,
2000-01-19,AZO,NYSE,29.75,30.25,29.6875,30.125,213700.0,
2000-01-20,AZO,NYSE,30.0,30.0625,29.0625,29.0625,351400.0,
2000-01-21,AZO,NYSE,29.3125,29.3125,28.0,28.25,492700.0,
2000-01-24,AZO,NYSE,28.1875,28.4375,27.75,27.75,321600.0,
2000-01-25,AZO,NYSE,27.625,28.3125,27.375,27.875,309100.0,
2000-01-26,AZO,NYSE,26.75,28.0,26.75,27.625,514700.0,
2000-01-27,AZO,NYSE,27.5,27.6875,26.6875,27.0,409500.0,
2000-01-28,AZO,NYSE,26.75,27.0625,26.1875,26.1875,345000.0,
2000-01-31,AZO,NYSE,26.25,26.375,26.125,26.25,314300.0,
2000-02-01,AZO,NYSE,26.125,27.0625,26.125,26.3125,510900.0,
2000-02-02,AZO,NYSE,26.0625,26.25,25.625,25.8125,453800.0,
2000-02-03,AZO,NYSE,25.8125,26.9375,25.125,26.5625,346100.0,
2000-02-04,AZO,NYSE,26.5,27.125,26.5,26.625,337300.0,
2000-02-07,AZO,NYSE,26.25,26.25,25.25,25.375,149000.0,
2000-02-08,AZO,NYSE,25.375,25.625,24.5,25.1875,505800.0,
2000-02-09,AZO,NYSE,25.625,25.75,23.875,24.0,758000.0,
2000-02-10,AZO,NYSE,24.0,24.1875,23.375,24.0625,968300.0,
2000-02-11,AZO,NYSE,24.0,24.125,23.25,23.25,1167600.0,
2000-02-14,AZO,NYSE,23.25,23.5,23.0625,23.4375,202300.0,
2000-02-15,AZO,NYSE,23.3125,23.625,23.0625,23.375,349500.0,
2000-02-16,AZO,NYSE,23.375,23.5625,22.0625,22.3125,536300.0,
2000-02-17,AZO,NYSE,23.375,23.9375,22.625,22.625,686100.0,
