date,code,exchange,open,high,low,close,volume,count_trx
2001-08-02,BG,NYSE,16.0,16.04,15.25,16.0,9439300.0,
2001-08-03,BG,NYSE,16.0,16.1,16.0,16.0,2758500.0,
2001-08-06,BG,NYSE,16.0,16.04,15.8,16.04,404200.0,
2001-08-07,BG,NYSE,16.0,16.01,15.9,16.0,1650000.0,
2001-08-08,BG,NYSE,15.98,16.0,15.95,16.0,262900.0,
2001-08-09,BG,NYSE,16.0,16.0,15.9,16.0,310600.0,
2001-08-10,BG,NYSE,16.0,16.04,16.0,16.0,121500.0,
2001-08-13,BG,NYSE,16.0,16.05,15.95,16.0,310100.0,
2001-08-14,BG,NYSE,15.95,16.0,15.88,16.0,470600.0,
2001-08-15,BG,NYSE,16.0,16.0,15.5,15.95,313000.0,
2001-08-16,BG,NYSE,15.9,16.0,15.65,16.0,332900.0,
2001-08-17,BG,NYSE,15.85,16.0,15.2,15.85,314900.0,
2001-08-20,BG,NYSE,15.95,16.0,15.6,15.89,139300.0,
2001-08-21,BG,NYSE,15.8,15.97,15.8,15.9,129800.0,
2001-08-22,BG,NYSE,15.9,15.99,15.75,15.91,111100.0,
2001-08-23,BG,NYSE,15.9,15.99,15.85,15.9,80400.0,
2001-08-24,BG,NYSE,15.9,15.99,15.8,15.85,73600.0,
2001-08-27,BG,NYSE,16.0,16.04,15.81,15.99,227100.0,
2001-08-28,BG,NYSE,16.0,16.32,16.0,16.25,318000.0,
2001-08-29,BG,NYSE,16.45,16.6,16.3,16.47,356600.0,
2001-08-30,BG,NYSE,16.53,16.8,16.49,16.76,310100.0,
2001-08-31,BG,NYSE,16.85,18.25,16.85,18.25,591200.0,
2001-09-04,BG,NYSE,18.25,18.3,17.4,18.07,488700.0,
2001-09-05,BG,NYSE,18.3,18.35,18.0,18.2,244100.0,
2001-09-06,BG,NYSE,18.0,18.6,18.0,18.0,196600.0,
2001-09-07,BG,NYSE,18.0,18.15,17.6,18.0,80100.0,
2001-09-10,BG,NYSE,16.5,17.85,16.5,17.5,237000.0,
2001-09-17,BG,NYSE,16.0,17.2,15.6,17.0,93100.0,
2001-09-18,BG,NYSE,16.75,17.15,16.75,17.03,55700.0,
2001-09-19,BG,NYSE,17.25,17.7,16.5,17.4,93900.0,
2001-09-20,BG,NYSE,17.25,17.25,16.35,16.8,223900.0,
2001-09-21,BG,NYSE,16.6,16.6,15.5,16.5,48100.0,
2001-09-24,BG,NYSE,17.5,17.5,16.7,17.1,99700.0,
2001-09-25,BG,NYSE,17.0,17.45,16.35,17.45,71800.0,
2001-09-26,BG,NYSE,17.45,17.65,17.05,17.65,46200.0,
2001-09-27,BG,NYSE,17.65,17.65,16.9,17.0,34900.0,
2001-09-28,BG,NYSE,17.1,17.3,16.4,17.0,46500.0,
2001-10-01,BG,NYSE,16.9,17.05,16.75,17.0,13600.0,
2001-10-02,BG,NYSE,17.05,17.2,16.16,16.5,71300.0,
2001-10-03,BG,NYSE,16.25,18.5,15.35,18.5,255900.0,
2001-10-04,BG,NYSE,18.25,18.25,17.16,17.25,77500.0,
2001-10-05,BG,NYSE,17.25,17.25,15.98,16.0,101500.0,
2001-10-08,BG,NYSE,16.0,16.4,15.8,15.95,63200.0,
2001-10-09,BG,NYSE,16.0,17.69,15.95,17.3,70100.0,
2001-10-10,BG,NYSE,17.23,17.3,16.0,16.45,145500.0,
2001-10-11,BG,NYSE,16.85,16.9,15.74,16.1,117600.0,
2001-10-12,BG,NYSE,16.05,16.75,16.0,16.25,38300.0,
2001-10-15,BG,NYSE,16.25,16.75,15.85,16.0,70700.0,
2001-10-16,BG,NYSE,15.9,16.1,15.8,15.95,79500.0,
2001-10-17,BG,NYSE,15.9,16.42,15.9,16.3,21800.0,
2001-10-18,BG,NYSE,16.44,16.6,16.26,16.6,23700.0,
2001-10-19,BG,NYSE,16.59,16.85,16.4,16.61,23300.0,
2001-10-22,BG,NYSE,18.0,18.45,17.7,18.0,699700.0,
2001-10-23,BG,NYSE,18.1,18.25,17.62,17.64,162800.0,
2001-10-24,BG,NYSE,17.7,17.7,16.86,17.05,56200.0,
2001-10-25,BG,NYSE,16.8,17.7,16.8,17.65,53800.0,
2001-10-26,BG,NYSE,17.2,17.7,17.04,17.5,29100.0,
2001-10-29,BG,NYSE,17.5,17.8,17.5,17.7,43800.0,
2001-10-30,BG,NYSE,17.8,17.8,17.5,17.6,32200.0,
2001-10-31,BG,NYSE,17.6,17.98,17.6,17.62,48600.0,
2001-11-01,BG,NYSE,17.62,18.6,17.6,18.6,116400.0,
2001-11-02,BG,NYSE,19.25,19.55,17.8,18.3,286400.0,
2001-11-05,BG,NYSE,18.5,18.8,18.05,18.2,43400.0,
2001-11-06,BG,NYSE,18.35,18.95,18.3,18.95,56100.0,
2001-11-07,BG,NYSE,18.98,19.49,18.65,18.7,38500.0,
2001-11-08,BG,NYSE,18.65,19.59,18.65,19.05,95100.0,
2001-11-09,BG,NYSE,19.15,19.49,18.8,18.85,34600.0,
2001-11-12,BG,NYSE,18.75,19.25,18.5,19.0,26500.0,
2001-11-13,BG,NYSE,19.0,19.1,18.1,18.1,31400.0,
2001-11-14,BG,NYSE,18.3,18.67,17.85,18.0,32100.0,
2001-11-15,BG,NYSE,17.9,18.6,17.85,18.55,22800.0,
2001-11-16,BG,NYSE,18.4,18.74,18.4,18.41,10000.0,
2001-11-19,BG,NYSE,18.45,18.79,18.2,18.6,19300.0,
