date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,BLK,NYSE,17.4375,17.5,16.625,16.625,64200.0,
2000-01-04,BLK,NYSE,16.625,16.625,15.625,15.875,79800.0,
2000-01-05,BLK,NYSE,15.75,15.75,15.0,15.75,37400.0,
2000-01-06,BLK,NYSE,15.75,16.1875,15.75,16.0,38900.0,
2000-01-07,BLK,NYSE,15.875,16.25,15.75,15.875,31800.0,
2000-01-10,BLK,NYSE,16.5,16.5,16.0,16.0,93100.0,
2000-01-11,BLK,NYSE,16.125,16.75,16.0,16.4375,38400.0,
2000-01-12,BLK,NYSE,16.5,17.125,16.5,17.125,24400.0,
2000-01-13,BLK,NYSE,17.25,17.25,16.875,16.9375,58700.0,
2000-01-14,BLK,NYSE,17.0,17.75,16.875,17.5,171300.0,
2000-01-18,BLK,NYSE,17.75,18.25,17.75,18.0,73400.0,
2000-01-19,BLK,NYSE,18.0,18.375,17.9375,18.1875,25200.0,
2000-01-20,BLK,NYSE,18.25,18.25,17.375,17.5,41300.0,
2000-01-21,BLK,NYSE,17.4375,17.5,17.25,17.375,12500.0,
2000-01-24,BLK,NYSE,17.5,17.5,17.0,17.125,10500.0,
2000-01-25,BLK,NYSE,17.125,17.5,17.0625,17.25,16900.0,
2000-01-26,BLK,NYSE,17.25,17.5,17.25,17.4375,16400.0,
2000-01-27,BLK,NYSE,17.4375,18.0,17.4375,17.5,33300.0,
2000-01-28,BLK,NYSE,17.625,17.625,17.375,17.375,2800.0,
2000-01-31,BLK,NYSE,17.125,17.5,17.125,17.5,52400.0,
2000-02-01,BLK,NYSE,17.375,17.75,17.375,17.75,14900.0,
2000-02-02,BLK,NYSE,18.0,18.125,17.875,17.9375,92200.0,
2000-02-03,BLK,NYSE,18.0625,18.0625,17.9375,18.0,34700.0,
2000-02-04,BLK,NYSE,18.125,18.5625,18.125,18.4375,49500.0,
2000-02-07,BLK,NYSE,18.4375,18.5625,18.375,18.5,23900.0,
2000-02-08,BLK,NYSE,18.5,18.875,18.5,18.5625,44900.0,
2000-02-09,BLK,NYSE,18.75,18.75,18.375,18.375,8800.0,
2000-02-10,BLK,NYSE,18.5,18.5,17.875,17.875,9200.0,
2000-02-11,BLK,NYSE,17.875,18.0,17.875,17.9375,23700.0,
2000-02-14,BLK,NYSE,18.0625,18.0625,17.875,18.0,7000.0,
