date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,BMY,NYSE,64.25,64.875,63.625,64.4375,2775100.0,
2000-01-04,BMY,NYSE,60.875,61.0,58.9375,59.5,8845600.0,
2000-01-05,BMY,NYSE,60.0,60.1875,58.5625,58.9375,6069500.0,
2000-01-06,BMY,NYSE,59.0,60.0,58.25,59.75,6385800.0,
2000-01-07,BMY,NYSE,61.5,69.5,61.25,68.875,9138200.0,
2000-01-10,BMY,NYSE,68.625,68.625,66.8125,67.75,5807800.0,
2000-01-11,BMY,NYSE,67.75,68.0,66.5,66.8125,4842300.0,
2000-01-12,BMY,NYSE,66.8125,67.625,66.5625,66.875,3122600.0,
2000-01-13,BMY,NYSE,67.25,67.3125,65.0625,65.375,3565200.0,
2000-01-14,BMY,NYSE,67.375,67.375,65.75,67.1875,3895500.0,
2000-01-18,BMY,NYSE,65.625,66.625,65.0,65.3125,3139700.0,
2000-01-19,BMY,NYSE,65.3125,66.0625,63.6875,64.0625,3344700.0,
2000-01-20,BMY,NYSE,64.25,64.4375,61.5,61.875,3908600.0,
2000-01-21,BMY,NYSE,61.0,61.875,59.5,61.1875,4821500.0,
2000-01-24,BMY,NYSE,63.0,63.125,58.0,58.6875,3855100.0,
2000-01-25,BMY,NYSE,59.375,60.75,59.25,59.875,5464800.0,
2000-01-26,BMY,NYSE,59.875,61.75,59.5,61.5,5862700.0,
2000-01-27,BMY,NYSE,62.5,62.8125,61.8125,62.1875,6064700.0,
2000-01-28,BMY,NYSE,63.375,65.75,62.875,64.25,6612700.0,
2000-01-31,BMY,NYSE,64.25,67.0,62.1875,66.0,4792900.0,
2000-02-01,BMY,NYSE,64.25,65.25,63.3125,64.625,3769300.0,
2000-02-02,BMY,NYSE,65.0,65.1875,64.125,64.8125,2988200.0,
2000-02-03,BMY,NYSE,65.25,65.5625,63.8125,65.375,2644200.0,
2000-02-04,BMY,NYSE,65.375,65.5625,63.5,64.5,2551900.0,
2000-02-07,BMY,NYSE,64.25,64.6875,62.625,64.4375,2925300.0,
2000-02-08,BMY,NYSE,64.4375,64.5,62.3125,64.0,4164800.0,
2000-02-09,BMY,NYSE,63.25,63.5,62.0,62.5625,3069600.0,
2000-02-10,BMY,NYSE,62.625,62.625,60.375,61.375,3263400.0,
2000-02-11,BMY,NYSE,60.375,60.75,59.8125,60.125,2896400.0,
2000-02-14,BMY,NYSE,60.125,61.875,60.125,61.375,2673100.0,
2000-02-15,BMY,NYSE,61.5,62.25,60.6875,62.0625,4362300.0,
2000-02-16,BMY,NYSE,62.0625,63.8125,62.0,63.5,3904700.0,
2000-02-17,BMY,NYSE,64.25,64.25,63.0625,63.375,3547300.0,
2000-02-18,BMY,NYSE,62.75,62.75,59.75,59.75,5433100.0,
2000-02-22,BMY,NYSE,60.5,61.0,59.375,59.9375,5027500.0,
2000-02-23,BMY,NYSE,60.5,60.9375,59.625,59.9375,3459200.0,
2000-02-24,BMY,NYSE,59.125,59.625,57.3125,57.875,4614100.0,
2000-02-25,BMY,NYSE,58.0,58.1875,55.375,56.625,4236000.0,
