date,code,exchange,open,high,low,close,volume,count_trx
2007-03-22,BR,NYSE,18.0,20.25,18.0,20.1,1714400.0,
2007-03-23,BR,NYSE,20.1,22.88,20.05,20.33,1653200.0,
2007-03-26,BR,NYSE,20.33,20.75,20.15,20.67,187300.0,
2007-03-27,BR,NYSE,20.75,20.83,20.3,20.35,326400.0,
2007-03-28,BR,NYSE,20.3,20.3,19.7,19.9,183100.0,
2007-03-29,BR,NYSE,19.9,20.13,19.5,19.7,1154200.0,
2007-03-30,BR,NYSE,19.8,19.95,19.64,19.7,7765500.0,
2007-04-02,BR,NYSE,19.7,19.7,19.25,19.51,5474200.0,
2007-04-03,BR,NYSE,19.35,19.5,18.85,19.07,4662800.0,
2007-04-04,BR,NYSE,19.02,19.16,18.8,18.91,1924400.0,
2007-04-05,BR,NYSE,18.75,19.81,18.7,19.38,2731800.0,
2007-04-09,BR,NYSE,19.38,19.43,18.9,19.06,1630200.0,
2007-04-10,BR,NYSE,18.9,19.44,18.71,19.22,1525500.0,
2007-04-11,BR,NYSE,19.2,19.33,18.95,19.11,1888400.0,
2007-04-12,BR,NYSE,19.06,19.27,18.89,19.2,1636100.0,
2007-04-13,BR,NYSE,19.12,19.74,19.1,19.58,1613300.0,
2007-04-16,BR,NYSE,19.62,19.9,19.62,19.86,730600.0,
2007-04-17,BR,NYSE,19.45,20.58,19.3,20.42,1186000.0,
2007-04-18,BR,NYSE,20.23,20.72,19.96,20.68,1227700.0,
2007-04-19,BR,NYSE,20.2,21.46,20.18,21.14,1200000.0,
2007-04-20,BR,NYSE,21.37,21.77,21.0,21.08,1974100.0,
2007-04-23,BR,NYSE,20.88,21.1,20.53,20.7,943000.0,
2007-04-24,BR,NYSE,20.5,20.7,20.5,20.61,444200.0,
2007-04-25,BR,NYSE,20.61,20.67,20.22,20.26,556300.0,
2007-04-26,BR,NYSE,19.78,20.14,19.7,20.06,994100.0,
2007-04-27,BR,NYSE,20.0,20.27,19.81,20.22,578400.0,
2007-04-30,BR,NYSE,20.2,20.2,19.96,20.04,1066900.0,
2007-05-01,BR,NYSE,19.96,20.11,19.86,20.04,938300.0,
2007-05-02,BR,NYSE,19.97,20.11,19.85,20.02,903200.0,
2007-05-03,BR,NYSE,20.05,20.44,20.04,20.3,850300.0,
2007-05-04,BR,NYSE,20.2,20.82,20.14,20.78,912400.0,
2007-05-07,BR,NYSE,20.76,21.04,20.65,21.01,760300.0,
2007-05-08,BR,NYSE,20.6,21.32,20.54,21.27,658700.0,
2007-05-09,BR,NYSE,21.12,21.85,21.08,21.4,808900.0,
2007-05-10,BR,NYSE,21.2,21.55,20.94,21.12,654000.0,
2007-05-11,BR,NYSE,21.13,21.45,21.1,21.43,321600.0,
2007-05-14,BR,NYSE,21.33,21.36,21.12,21.31,452500.0,
2007-05-15,BR,NYSE,21.31,21.41,20.84,20.84,943100.0,
2007-05-16,BR,NYSE,20.7,20.7,20.42,20.5,763500.0,
2007-05-17,BR,NYSE,20.12,20.73,20.1,20.65,545700.0,
2007-05-18,BR,NYSE,20.6,20.75,20.3,20.46,570300.0,
2007-05-21,BR,NYSE,20.44,20.54,20.38,20.5,722400.0,
2007-05-22,BR,NYSE,20.62,20.62,20.35,20.39,945400.0,
2007-05-23,BR,NYSE,20.38,20.5,20.04,20.35,687900.0,
2007-05-24,BR,NYSE,20.01,20.33,20.0,20.02,669800.0,
2007-05-25,BR,NYSE,20.02,20.15,19.95,20.0,409900.0,
2007-05-29,BR,NYSE,19.55,20.05,19.55,20.0,389400.0,
