date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,BSX,NYSE,11.0625,11.59375,11.0,11.5,4059800.0,
2000-01-04,BSX,NYSE,11.4375,12.0,11.21875,11.75,5536600.0,
2000-01-05,BSX,NYSE,11.78125,12.59375,11.5,12.53125,6774600.0,
2000-01-06,BSX,NYSE,12.5625,12.9375,12.5625,12.84375,4092000.0,
2000-01-07,BSX,NYSE,12.875,12.875,12.25,12.40625,4850600.0,
2000-01-10,BSX,NYSE,12.125,12.3125,11.8125,12.0,2978600.0,
2000-01-11,BSX,NYSE,11.9375,12.0,11.78125,11.84375,2941400.0,
2000-01-12,BSX,NYSE,11.875,11.875,11.34375,11.4375,2069000.0,
2000-01-13,BSX,NYSE,11.25,11.46875,11.09375,11.34375,4901000.0,
2000-01-14,BSX,NYSE,11.34375,11.71875,11.125,11.5,5426400.0,
2000-01-18,BSX,NYSE,11.34375,11.625,11.1875,11.625,2218800.0,
2000-01-19,BSX,NYSE,11.59375,11.59375,11.0625,11.375,4219200.0,
2000-01-20,BSX,NYSE,11.125,11.15625,10.53125,10.5625,3610800.0,
2000-01-21,BSX,NYSE,10.6875,10.6875,10.28125,10.34375,4727400.0,
2000-01-24,BSX,NYSE,10.5625,10.84375,10.46875,10.5625,3263800.0,
2000-01-25,BSX,NYSE,10.5625,10.6875,10.34375,10.40625,1787200.0,
2000-01-26,BSX,NYSE,10.4375,10.6875,10.3125,10.59375,2163800.0,
2000-01-27,BSX,NYSE,10.71875,10.71875,10.40625,10.5625,1813800.0,
2000-01-28,BSX,NYSE,10.4375,10.71875,10.34375,10.4375,1944800.0,
2000-01-31,BSX,NYSE,10.40625,10.4375,10.125,10.375,2758800.0,
2000-02-01,BSX,NYSE,10.375,10.375,10.0,10.1875,1399000.0,
2000-02-02,BSX,NYSE,10.1875,10.875,10.1875,10.46875,3357200.0,
2000-02-03,BSX,NYSE,10.125,10.25,9.75,9.96875,4285400.0,
2000-02-04,BSX,NYSE,9.78125,9.9375,9.625,9.84375,3700200.0,
2000-02-07,BSX,NYSE,9.75,9.84375,9.5,9.5625,3766800.0,
2000-02-08,BSX,NYSE,9.625,9.6875,9.28125,9.40625,3584200.0,
2000-02-09,BSX,NYSE,9.84375,10.65625,9.5625,10.625,11228000.0,
2000-02-10,BSX,NYSE,10.4375,10.59375,9.75,9.96875,6459200.0,
2000-02-11,BSX,NYSE,9.78125,9.90625,9.46875,9.5,4043400.0,
2000-02-14,BSX,NYSE,9.5,9.71875,9.5,9.6875,4186400.0,
2000-02-15,BSX,NYSE,9.6875,9.8125,9.59375,9.8125,3405400.0,
