date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,BXP,NYSE,29.1548220484,29.1548220484,28.5693838547,28.7450153128,53900.0,
2000-01-04,BXP,NYSE,28.7450153128,28.8035591322,28.2181209385,28.2766647578,87500.0,
2000-01-05,BXP,NYSE,28.2766647578,28.6279276741,28.2181209385,28.5108400353,95200.0,
2000-01-06,BXP,NYSE,28.6279276741,29.1548220484,28.3937523966,29.0377344097,134000.0,
2000-01-07,BXP,NYSE,28.9791905903,30.2086107972,28.9791905903,30.2086107972,136300.0,
2000-01-10,BXP,NYSE,30.0915231584,30.3842422553,29.9158917003,30.3256984359,182300.0,
2000-01-11,BXP,NYSE,30.3256984359,30.3842422553,29.9158917003,30.0329793391,80100.0,
2000-01-12,BXP,NYSE,30.1500669778,30.1500669778,29.4475411453,29.5646287841,48700.0,
2000-01-13,BXP,NYSE,29.5646287841,29.7988040616,29.5060849647,29.7402602422,36300.0,
2000-01-14,BXP,NYSE,29.6231726034,29.8573478809,29.2719096872,29.5646287841,54600.0,
2000-01-18,BXP,NYSE,29.6231726034,29.6231726034,29.1548220484,29.2719096872,43600.0,
2000-01-19,BXP,NYSE,29.1548220484,29.3889973259,29.0377344097,29.2719096872,97000.0,
2000-01-20,BXP,NYSE,29.0962782291,29.3304535066,28.8621029516,28.9206467709,150500.0,
2000-01-21,BXP,NYSE,28.9206467709,28.9206467709,28.3352085772,28.6279276741,261900.0,
2000-01-24,BXP,NYSE,28.8035591322,29.0377344097,28.5108400353,28.5108400353,75100.0,
2000-01-25,BXP,NYSE,28.7450153128,28.8035591322,28.5108400353,28.6279276741,129700.0,
2000-01-26,BXP,NYSE,28.5693838547,29.0377344097,28.5693838547,28.7450153128,115300.0,
2000-01-27,BXP,NYSE,28.6864714935,28.7450153128,28.5693838547,28.6279276741,62700.0,
2000-01-28,BXP,NYSE,28.6279276741,28.6864714935,28.2181209385,28.5108400353,186700.0,
2000-01-31,BXP,NYSE,28.5693838547,28.5693838547,28.1010332997,28.1010332997,117600.0,
2000-02-01,BXP,NYSE,28.2181209385,28.5108400353,27.1643321897,27.9254018416,2225000.0,
2000-02-02,BXP,NYSE,28.2181209385,28.2181209385,27.8668580222,28.0424894803,418600.0,
2000-02-03,BXP,NYSE,28.1010332997,28.3352085772,28.0424894803,28.2766647578,148400.0,
2000-02-04,BXP,NYSE,28.2181209385,28.5693838547,27.983945661,28.0424894803,498300.0,
2000-02-07,BXP,NYSE,27.983945661,28.2766647578,27.7497703835,28.1010332997,99000.0,
2000-02-08,BXP,NYSE,28.1010332997,28.6279276741,28.0424894803,28.6279276741,68300.0,
2000-02-09,BXP,NYSE,28.3937523966,28.9791905903,28.3937523966,28.6279276741,86300.0,
2000-02-10,BXP,NYSE,28.5108400353,28.6279276741,28.3352085772,28.3937523966,68300.0,
2000-02-11,BXP,NYSE,28.5108400353,28.6864714935,28.0424894803,28.1595771191,77800.0,
2000-02-14,BXP,NYSE,28.2181209385,28.3937523966,28.1595771191,28.2181209385,120600.0,
2000-02-15,BXP,NYSE,28.452296216,28.452296216,28.0424894803,28.1010332997,137100.0,
2000-02-16,BXP,NYSE,28.1010332997,28.2766647578,28.1010332997,28.2766647578,96300.0,
2000-02-17,BXP,NYSE,28.3352085772,28.6864714935,28.3352085772,28.5693838547,134800.0,
2000-02-18,BXP,NYSE,28.3352085772,28.5108400353,27.983945661,28.2181209385,74600.0,
