date,code,exchange,open,high,low,close,volume,count_trx
2020-03-19,CARR,NYSE,12.0,12.0,12.0,12.0,100.0,1.0
2020-03-20,CARR,NYSE,13.0,13.0,12.0,12.75,1448.0,6.0
2020-03-23,CARR,NYSE,12.75,12.75,11.5,11.54,2780.0,21.0
2020-03-24,CARR,NYSE,12.9,12.9,11.5,11.7,40162.0,247.0
2020-03-25,CARR,NYSE,11.8,13.45,11.8,13.45,5963.0,49.0
2020-03-26,CARR,NYSE,14.0,15.45,14.0,15.45,17864.0,109.0
2020-03-27,CARR,NYSE,15.5,16.0,14.55,14.55,6183.0,58.0
2020-03-30,CARR,NYSE,15.25,16.1,15.25,15.9,19012.0,177.0
2020-03-31,CARR,NYSE,16.39,17.25,14.56,17.25,51865.0,276.0
2020-04-01,CARR,NYSE,16.0,16.0,14.56,15.05,78677.0,565.0
2020-04-02,CARR,NYSE,15.5,15.5,12.12,13.28,7510321.0,3865.0
2020-04-03,CARR,NYSE,13.75,16.99,13.43,16.92,38171227.0,15856.0
2020-04-06,CARR,NYSE,16.77,17.15,14.85,15.44,4421437.0,14358.0
2020-04-07,CARR,NYSE,15.2,15.79,14.63,15.25,2938819.0,10972.0
2020-04-08,CARR,NYSE,14.5,15.25,13.73,14.26,6782062.0,13519.0
2020-04-09,CARR,NYSE,13.95,15.5,13.92,14.78,5936128.0,13740.0
2020-04-13,CARR,NYSE,14.44,14.45,13.98,13.99,2679074.0,5912.0
2020-04-14,CARR,NYSE,14.0,14.19,13.78,13.87,3020389.0,5609.0
2020-04-15,CARR,NYSE,13.53,13.64,12.96,13.36,2067749.0,5431.0
2020-04-16,CARR,NYSE,13.15,13.22,12.26,12.89,2613156.0,5568.0
2020-04-17,CARR,NYSE,13.3,13.83,12.93,13.74,3251488.0,5330.0
2020-04-20,CARR,NYSE,13.6,14.74,13.51,14.45,2438333.0,6605.0
2020-04-21,CARR,NYSE,14.22,15.25,14.19,14.69,2389473.0,6398.0
2020-04-22,CARR,NYSE,14.95,15.16,14.23,14.79,1508846.0,4680.0
2020-04-23,CARR,NYSE,14.7,15.92,14.63,15.72,1746515.0,5228.0
2020-04-24,CARR,NYSE,15.6,16.67,15.3,16.25,3554099.0,7471.0
2020-04-27,CARR,NYSE,16.35,16.81,15.985,16.8,1860237.0,5013.0
2020-04-28,CARR,NYSE,16.88,17.75,16.62,17.0,1935084.0,6014.0
2020-04-29,CARR,NYSE,17.46,18.08,17.175,17.64,2497230.0,7860.0
2020-04-30,CARR,NYSE,17.22,17.81,17.0,17.71,8522402.0,5251.0
2020-05-01,CARR,NYSE,17.33,17.35,16.63,16.77,2109797.0,3712.0
2020-05-04,CARR,NYSE,16.15,16.515,15.7,16.4,1340914.0,2985.0
2020-05-05,CARR,NYSE,16.68,16.73,15.845,15.97,1214520.0,3984.0
2020-05-06,CARR,NYSE,16.0,16.37,15.44,16.29,2572953.0,4530.0
2020-05-07,CARR,NYSE,16.21,17.02,15.885,16.41,1568770.0,4629.0
2020-05-08,CARR,NYSE,17.04,18.4,16.935,18.36,2920168.0,7787.0
2020-05-11,CARR,NYSE,18.49,18.74,18.03,18.35,1364386.0,4045.0
2020-05-12,CARR,NYSE,18.39,18.39,17.7,17.8,1366508.0,3272.0
2020-05-13,CARR,NYSE,17.21,17.41,16.12,16.44,1537963.0,4925.0
2020-05-14,CARR,NYSE,16.02,16.715,15.72,16.55,1230860.0,3097.0
2020-05-15,CARR,NYSE,16.3,16.95,16.03,16.71,1087202.0,3321.0
2020-05-18,CARR,NYSE,17.3,17.72,17.29,17.55,995956.0,2324.0
2020-05-19,CARR,NYSE,17.44,17.92,17.17,17.77,1466030.0,2679.0
2020-05-20,CARR,NYSE,18.16,19.04,18.16,18.73,1912037.0,6236.0
2020-05-21,CARR,NYSE,18.54,19.52,18.5,19.45,1987022.0,4955.0
2020-05-22,CARR,NYSE,19.47,19.86,18.95,19.05,1063433.0,4138.0
2020-05-26,CARR,NYSE,19.58,20.59,19.34,19.51,1143129.0,4310.0
2020-05-27,CARR,NYSE,19.47,20.13,19.44,19.99,1653726.0,6006.0
