date,code,exchange,open,high,low,close,volume,count_trx
2017-05-18,CARS,NYSE,19.9,24.66,19.9,24.06,715696.0,2396.0
2017-05-19,CARS,NYSE,24.26,24.68,23.95,24.6,93802.0,244.0
2017-05-22,CARS,NYSE,24.45,25.66,24.4,25.0,34752.0,204.0
2017-05-23,CARS,NYSE,25.11,26.09,25.11,25.8,39377.0,242.0
2017-05-24,CARS,NYSE,25.85,27.18,25.82,27.05,93153.0,356.0
2017-05-25,CARS,NYSE,27.05,28.15,27.05,27.3,223972.0,1416.0
2017-05-26,CARS,NYSE,27.72,27.85,26.38,26.62,61845.0,487.0
2017-05-30,CARS,NYSE,26.4,26.91,25.53,25.9,167767.0,1105.0
2017-05-31,CARS,NYSE,25.96,26.19,25.3,25.59,279769.0,1195.0
2017-06-01,CARS,NYSE,25.34,27.58,25.1,27.28,7374705.0,4443.0
2017-06-02,CARS,NYSE,26.81,27.83,26.69,27.05,725029.0,4057.0
2017-06-05,CARS,NYSE,27.0,27.98,26.88,27.89,333661.0,1593.0
2017-06-06,CARS,NYSE,27.89,29.47,27.55,29.14,437522.0,2195.0
2017-06-07,CARS,NYSE,29.14,29.28,27.08,27.15,648563.0,2993.0
2017-06-08,CARS,NYSE,26.87,27.19,25.35,25.81,861831.0,3836.0
2017-06-09,CARS,NYSE,25.74,26.16,25.38,25.81,412275.0,2424.0
2017-06-12,CARS,NYSE,25.58,26.45,25.51,25.94,307860.0,1527.0
2017-06-13,CARS,NYSE,25.7,26.22,25.53,25.87,417807.0,1164.0
2017-06-14,CARS,NYSE,25.8,26.01,25.51,25.59,230041.0,1120.0
2017-06-15,CARS,NYSE,25.44,25.6,25.18,25.34,344907.0,1665.0
2017-06-16,CARS,NYSE,25.34,26.19,25.32,26.16,1035800.0,1558.0
2017-06-19,CARS,NYSE,26.37,27.28,26.35,27.0,507773.0,1428.0
2017-06-20,CARS,NYSE,26.75,27.24,26.74,26.9,151122.0,806.0
2017-06-21,CARS,NYSE,26.84,27.18,26.79,27.05,263488.0,1011.0
2017-06-22,CARS,NYSE,27.2,27.68,27.12,27.58,289432.0,1162.0
2017-06-23,CARS,NYSE,27.68,28.29,27.68,28.2,3335054.0,1361.0
2017-06-26,CARS,NYSE,28.34,28.34,27.96,28.21,168981.0,836.0
2017-06-27,CARS,NYSE,28.2,28.22,27.27,27.55,292573.0,1300.0
2017-06-28,CARS,NYSE,27.64,27.84,27.48,27.56,232597.0,999.0
2017-06-29,CARS,NYSE,27.6,27.6,26.72,26.87,201192.0,993.0
2017-06-30,CARS,NYSE,26.86,26.86,26.45,26.63,253286.0,1129.0
2017-07-03,CARS,NYSE,26.63,27.17,26.59,27.08,92891.0,575.0
2017-07-05,CARS,NYSE,26.96,27.2,26.87,27.04,276488.0,1330.0
2017-07-06,CARS,NYSE,26.82,26.82,26.29,26.38,209679.0,1085.0
2017-07-07,CARS,NYSE,26.5,26.5,25.79,25.83,259467.0,1396.0
2017-07-10,CARS,NYSE,25.62,26.1,25.51,25.95,204872.0,994.0
2017-07-11,CARS,NYSE,26.01,26.01,25.17,25.25,304725.0,1021.0
2017-07-12,CARS,NYSE,25.44,25.61,24.85,25.41,253047.0,1335.0
2017-07-13,CARS,NYSE,25.32,25.34,24.99,25.05,352215.0,1243.0
2017-07-14,CARS,NYSE,25.1,25.35,24.02,24.13,286870.0,1481.0
2017-07-17,CARS,NYSE,24.16,24.76,24.0,24.33,212230.0,1140.0
2017-07-18,CARS,NYSE,24.29,24.525,23.94,23.96,173654.0,1065.0
2017-07-19,CARS,NYSE,24.06,24.06,23.21,23.25,543184.0,1541.0
2017-07-20,CARS,NYSE,23.43,23.51,23.11,23.12,543239.0,2482.0
2017-07-21,CARS,NYSE,23.25,24.14,22.95,24.02,490117.0,2289.0
2017-07-24,CARS,NYSE,24.17,24.17,23.44,23.76,224103.0,1081.0
2017-07-25,CARS,NYSE,23.76,24.31,23.57,24.14,285830.0,1080.0
2017-07-26,CARS,NYSE,24.22,24.925,24.12,24.76,235145.0,1903.0
2017-07-27,CARS,NYSE,24.79,24.815,23.82,24.13,174505.0,1068.0
2017-07-28,CARS,NYSE,23.98,24.47,23.98,24.29,162362.0,631.0
2017-07-31,CARS,NYSE,24.32,24.57,24.19,24.3,153977.0,947.0
2017-08-01,CARS,NYSE,24.42,24.7,24.03,24.56,176484.0,1081.0
2017-08-02,CARS,NYSE,24.43,24.64,24.14,24.22,838718.0,3953.0
2017-08-03,CARS,NYSE,24.2,24.8,24.09,24.71,391057.0,2131.0
2017-08-04,CARS,NYSE,24.66,24.66,23.95,24.63,122233.0,714.0
2017-08-07,CARS,NYSE,24.67,24.69,24.42,24.6,691706.0,4104.0
2017-08-08,CARS,NYSE,24.45,24.66,24.1,24.2,803275.0,5185.0
2017-08-09,CARS,NYSE,24.1,25.22,24.1,24.65,324328.0,1746.0
2017-08-10,CARS,NYSE,24.62,24.84,24.35,24.69,196556.0,1318.0
2017-08-11,CARS,NYSE,24.69,24.84,24.45,24.72,563701.0,3168.0
2017-08-14,CARS,NYSE,24.92,24.92,24.54,24.74,271943.0,1530.0
2017-08-15,CARS,NYSE,24.95,25.4,24.65,25.24,396766.0,2195.0
2017-08-16,CARS,NYSE,25.36,25.59,25.24,25.25,188782.0,1268.0
2017-08-17,CARS,NYSE,25.11,25.43,24.74,24.77,203036.0,1058.0
2017-08-18,CARS,NYSE,24.63,24.66,24.32,24.46,215616.0,984.0
2017-08-21,CARS,NYSE,24.48,24.48,24.1,24.17,191868.0,1152.0
2017-08-22,CARS,NYSE,24.23,24.4,24.12,24.19,173985.0,997.0
2017-08-23,CARS,NYSE,24.19,24.25,24.1,24.19,416409.0,1332.0
2017-08-24,CARS,NYSE,24.31,24.31,24.1,24.2,479073.0,1275.0
2017-08-25,CARS,NYSE,24.35,25.36,24.25,25.34,231849.0,1182.0
2017-08-28,CARS,NYSE,25.28,26.29,25.28,26.19,252302.0,1208.0
2017-08-29,CARS,NYSE,26.05,26.48,25.7,26.27,331482.0,1117.0
2017-08-30,CARS,NYSE,26.2,26.26,25.46,25.92,191944.0,1017.0
2017-08-31,CARS,NYSE,25.91,26.17,25.69,25.86,216769.0,967.0
2017-09-01,CARS,NYSE,25.9,26.71,25.88,26.31,114539.0,660.0
2017-09-05,CARS,NYSE,26.31,26.63,26.31,26.59,135700.0,899.0
2017-09-06,CARS,NYSE,26.59,27.39,26.59,27.2,239299.0,1195.0
