date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,CB,NYSE,17.0625,17.125,16.125,16.3125,1278400.0,
2000-01-04,CB,NYSE,16.1875,16.25,15.4375,16.125,1156700.0,
2000-01-05,CB,NYSE,16.1875,16.1875,15.1875,15.25,1729500.0,
2000-01-06,CB,NYSE,15.25,16.125,15.25,16.125,988400.0,
2000-01-07,CB,NYSE,16.25,18.9375,16.25,18.3125,4882000.0,
2000-01-10,CB,NYSE,18.625,19.0625,18.4375,18.6875,1523400.0,
2000-01-11,CB,NYSE,18.875,18.875,17.75,17.8125,874600.0,
2000-01-12,CB,NYSE,17.8125,18.6875,17.8125,18.5,903000.0,
2000-01-13,CB,NYSE,18.625,19.75,18.5,19.75,914300.0,
2000-01-14,CB,NYSE,20.0,20.875,20.0,20.5625,1593900.0,
2000-01-18,CB,NYSE,20.5,20.5,19.0625,19.1875,422500.0,
2000-01-19,CB,NYSE,19.1875,20.0,19.125,19.75,659700.0,
2000-01-20,CB,NYSE,19.625,19.9375,19.5625,19.75,548100.0,
2000-01-21,CB,NYSE,20.0,20.3125,19.875,20.0625,858000.0,
2000-01-24,CB,NYSE,20.25,20.5,20.0,20.0625,555500.0,
2000-01-25,CB,NYSE,20.125,20.1875,19.1875,19.5625,814200.0,
2000-01-26,CB,NYSE,19.5625,19.5625,18.25,18.9375,1693200.0,
2000-01-27,CB,NYSE,18.9375,19.0,18.25,18.4375,626800.0,
2000-01-28,CB,NYSE,18.5,18.5,17.75,18.0,397300.0,
2000-01-31,CB,NYSE,18.0,18.0625,17.5,17.6875,605100.0,
2000-02-01,CB,NYSE,17.6875,18.1875,17.5,18.0,963500.0,
2000-02-02,CB,NYSE,18.0,18.125,16.9375,17.375,1226400.0,
2000-02-03,CB,NYSE,17.625,17.75,16.8125,17.0,868200.0,
2000-02-04,CB,NYSE,17.1875,17.3125,16.75,16.875,442800.0,
2000-02-07,CB,NYSE,17.0625,17.0625,16.375,16.75,326900.0,
2000-02-08,CB,NYSE,16.6875,16.75,16.25,16.4375,434600.0,
2000-02-09,CB,NYSE,16.375,16.5,15.8125,15.9375,325400.0,
2000-02-10,CB,NYSE,16.0,16.0,15.0,15.4375,619000.0,
2000-02-11,CB,NYSE,15.5,15.75,14.875,14.9375,3357400.0,
2000-02-14,CB,NYSE,15.0625,15.125,14.8125,14.9375,389400.0,
2000-02-15,CB,NYSE,15.0,15.125,14.875,15.125,1101000.0,
2000-02-16,CB,NYSE,15.5,18.3125,15.5,18.125,5522300.0,
2000-02-17,CB,NYSE,19.375,19.375,18.625,19.0,1787400.0,
2000-02-18,CB,NYSE,19.0,19.0,18.0,18.25,687200.0,
2000-02-22,CB,NYSE,18.25,18.5,17.375,17.4375,678900.0,
2000-02-23,CB,NYSE,17.5,17.5,16.75,17.0,546300.0,
2000-02-24,CB,NYSE,17.1875,17.375,16.8125,17.125,1171500.0,
2000-02-25,CB,NYSE,17.125,17.25,16.75,16.75,481000.0,
2000-02-28,CB,NYSE,17.0,17.125,16.75,17.0,672500.0,
2000-02-29,CB,NYSE,17.5,17.875,17.25,17.875,1043800.0,
2000-03-01,CB,NYSE,17.625,17.625,16.625,16.9375,1038100.0,
2000-03-02,CB,NYSE,16.9375,16.9375,16.25,16.5,1134700.0,
2000-03-03,CB,NYSE,16.375,16.5,16.25,16.5,668100.0,
2000-03-06,CB,NYSE,16.0,16.5625,15.375,15.6875,1111700.0,
2000-03-07,CB,NYSE,15.5,15.5,14.125,14.6875,1812100.0,
2000-03-08,CB,NYSE,14.9375,14.9375,14.0625,14.75,794100.0,
2000-03-09,CB,NYSE,14.75,15.25,14.75,15.25,965900.0,
2000-03-10,CB,NYSE,15.1875,15.3125,14.25,15.125,1751100.0,
2000-03-13,CB,NYSE,15.0,15.375,14.75,14.9375,392700.0,
