date,code,exchange,open,high,low,close,volume,count_trx
2018-04-25,CBOE,NYSE,104.83,106.44,104.83,106.25,3705.0,53.0
2018-04-26,CBOE,NYSE,105.45,107.17,105.09,106.87,820.0,14.0
2018-04-27,CBOE,NYSE,106.12,106.31,105.35,106.19,2681.0,36.0
2018-04-30,CBOE,NYSE,107.76,108.16,106.77,106.77,5279.0,76.0
2018-05-01,CBOE,NYSE,106.61,107.29,106.49,107.27,3240.0,33.0
2018-05-02,CBOE,NYSE,106.91,108.79,106.79,106.79,13897.0,186.0
2018-05-03,CBOE,NYSE,105.97,106.75,104.82,105.45,6410.0,83.0
2018-05-04,CBOE,NYSE,106.65,106.98,101.98,102.49,26214.0,255.0
2018-05-07,CBOE,NYSE,102.66,103.91,102.12,103.17,5489.0,63.0
2018-05-08,CBOE,NYSE,102.86,103.11,102.35,102.37,2727.0,57.0
2018-05-09,CBOE,NYSE,102.89,104.84,102.44,103.91,7183.0,95.0
2018-05-10,CBOE,NYSE,103.91,105.61,103.91,105.41,3163.0,41.0
2018-05-11,CBOE,NYSE,105.14,107.16,105.14,106.825,8341.0,117.0
2018-05-14,CBOE,NYSE,107.75,108.12,107.08,108.12,2108.0,30.0
2018-05-15,CBOE,NYSE,107.85,109.14,107.85,108.12,4603.0,67.0
2018-05-16,CBOE,NYSE,108.47,109.08,108.31,108.46,1825.0,33.0
2018-05-17,CBOE,NYSE,108.02,108.54,107.88,108.37,4258.0,53.0
2018-05-18,CBOE,NYSE,108.49,108.49,106.55,106.55,8043.0,170.0
2018-05-21,CBOE,NYSE,106.87,107.19,106.31,106.49,5040.0,47.0
2018-05-22,CBOE,NYSE,105.14,105.14,104.26,104.44,5876.0,66.0
2018-05-23,CBOE,NYSE,104.28,104.36,103.46,103.84,4806.0,53.0
2018-05-24,CBOE,NYSE,103.89,103.89,102.16,102.78,9773.0,183.0
2018-05-25,CBOE,NYSE,102.53,103.32,102.2,103.08,5136.0,66.0
2018-05-29,CBOE,NYSE,102.8,103.41,101.61,101.99,4031.0,42.0
2018-05-30,CBOE,NYSE,101.2,101.2,97.27,99.03,33280.0,269.0
2018-05-31,CBOE,NYSE,98.96,98.96,97.52,97.55,10103.0,149.0
2018-06-01,CBOE,NYSE,98.72,98.72,97.84,98.41,7111.0,74.0
2018-06-04,CBOE,NYSE,98.6,98.6,97.58,98.07,5101.0,59.0
2018-06-05,CBOE,NYSE,98.2,99.41,98.2,99.31,3468.0,43.0
2018-06-06,CBOE,NYSE,99.51,100.45,99.39,100.37,6986.0,73.0
2018-06-07,CBOE,NYSE,101.46,103.19,101.34,102.92,3072.0,42.0
2018-06-08,CBOE,NYSE,102.02,104.4,102.01,103.95,3988.0,58.0
2018-06-11,CBOE,NYSE,103.64,105.05,103.56,104.91,4552.0,40.0
2018-06-12,CBOE,NYSE,104.8,105.61,103.66,105.61,7639.0,92.0
2018-06-13,CBOE,NYSE,105.695,105.95,104.47,104.5,6728.0,84.0
2018-06-14,CBOE,NYSE,104.44,104.44,103.25,103.81,5666.0,62.0
2018-06-15,CBOE,NYSE,102.5,104.18,102.5,102.82,7939.0,67.0
2018-06-18,CBOE,NYSE,102.51,103.66,101.7,103.53,10458.0,110.0
2018-06-19,CBOE,NYSE,103.07,105.6,103.005,105.21,6429.0,74.0
2018-06-20,CBOE,NYSE,105.02,106.5,104.105,104.21,6263.0,74.0
2018-06-21,CBOE,NYSE,104.35,104.43,103.12,103.95,14225.0,164.0
2018-06-22,CBOE,NYSE,104.41,105.25,103.97,104.99,2913.0,61.0
2018-06-25,CBOE,NYSE,104.53,104.92,103.07,104.15,2859.0,31.0
2018-06-26,CBOE,NYSE,104.84,107.6,104.84,105.77,5229.0,68.0
2018-06-27,CBOE,NYSE,106.05,106.05,103.93,103.93,3028.0,37.0
2018-06-28,CBOE,NYSE,103.96,104.35,103.11,103.8,4087.0,58.0
2018-06-29,CBOE,NYSE,103.94,105.38,103.6,104.07,3230.0,40.0
2018-07-02,CBOE,NYSE,103.8,103.87,103.15,103.74,4320.0,60.0
2018-07-03,CBOE,NYSE,104.31,104.31,102.26,102.45,2010.0,28.0
2018-07-05,CBOE,NYSE,102.57,103.02,102.02,102.931,4448.0,65.0
2018-07-06,CBOE,NYSE,101.38,101.51,100.45,100.78,8323.0,124.0
2018-07-09,CBOE,NYSE,100.8,103.37,100.76,103.2,6583.0,106.0
2018-07-10,CBOE,NYSE,103.31,103.62,102.39,102.91,9835.0,101.0
2018-07-11,CBOE,NYSE,102.69,103.06,101.86,102.15,3580.0,47.0
2018-07-12,CBOE,NYSE,102.54,103.55,102.54,103.15,9263.0,132.0
2018-07-13,CBOE,NYSE,103.27,103.38,102.69,102.89,4282.0,50.0
2018-07-16,CBOE,NYSE,104.34,104.49,103.7,103.74,3700.0,43.0
2018-07-17,CBOE,NYSE,103.16,105.11,103.15,104.89,3078.0,41.0
2018-07-18,CBOE,NYSE,104.91,106.09,104.87,106.0,4297.0,58.0
2018-07-19,CBOE,NYSE,105.88,106.02,104.56,104.76,4795.0,107.0
2018-07-20,CBOE,NYSE,104.71,104.96,104.44,104.62,4254.0,53.0
2018-07-23,CBOE,NYSE,104.84,105.05,103.71,104.29,10171.0,104.0
2018-07-24,CBOE,NYSE,104.77,104.77,103.51,104.13,5016.0,62.0
2018-07-25,CBOE,NYSE,104.08,105.48,104.08,105.31,10222.0,128.0
2018-07-26,CBOE,NYSE,104.86,105.38,103.92,103.92,4850.0,63.0
2018-07-27,CBOE,NYSE,103.62,103.75,102.15,102.17,4051.0,79.0
2018-07-30,CBOE,NYSE,101.88,102.0,96.48,96.68,8186.0,101.0
2018-07-31,CBOE,NYSE,96.59,97.21,94.09,97.12,10074.0,129.0
2018-08-01,CBOE,NYSE,97.17,98.37,96.34,96.38,8046.0,88.0
2018-08-02,CBOE,NYSE,95.67,96.28,95.09,95.77,19426.0,150.0
