date,code,exchange,open,high,low,close,volume,count_trx
2005-01-21,CE,NYSE,16.0,16.15,15.5,16.0,17700100.0,
2005-01-24,CE,NYSE,16.05,16.08,16.0,16.0,2419700.0,
2005-01-25,CE,NYSE,16.0,16.01,15.5,15.65,2690500.0,
2005-01-26,CE,NYSE,15.55,15.63,15.5,15.59,1426100.0,
2005-01-27,CE,NYSE,15.59,15.85,15.59,15.78,840800.0,
2005-01-28,CE,NYSE,15.8,16.02,15.79,16.0,638800.0,
2005-01-31,CE,NYSE,16.05,16.25,16.02,16.13,1443800.0,
2005-02-01,CE,NYSE,16.13,16.22,16.01,16.2,568600.0,
2005-02-02,CE,NYSE,16.2,16.34,16.16,16.2,693300.0,
2005-02-03,CE,NYSE,16.21,16.21,15.99,16.01,694000.0,
2005-02-04,CE,NYSE,16.04,16.06,16.0,16.04,700900.0,
2005-02-07,CE,NYSE,16.03,16.1,15.75,15.75,1012900.0,
2005-02-08,CE,NYSE,15.75,16.0,15.73,15.8,269900.0,
2005-02-09,CE,NYSE,15.83,15.94,15.68,15.79,334800.0,
2005-02-10,CE,NYSE,15.7,15.7,15.51,15.58,494200.0,
2005-02-11,CE,NYSE,15.52,15.72,15.25,15.57,834100.0,
2005-02-14,CE,NYSE,15.3,15.65,15.1,15.6,604300.0,
2005-02-15,CE,NYSE,15.57,16.0,15.55,15.94,299200.0,
2005-02-16,CE,NYSE,15.95,16.11,15.81,16.1,495300.0,
2005-02-17,CE,NYSE,16.15,16.7,16.11,16.5,891000.0,
2005-02-18,CE,NYSE,16.57,16.8,16.4,16.74,2236900.0,
2005-02-22,CE,NYSE,16.52,16.79,16.37,16.45,710000.0,
2005-02-23,CE,NYSE,16.4,16.75,16.35,16.6,460000.0,
2005-02-24,CE,NYSE,16.51,16.75,16.45,16.75,246800.0,
2005-02-25,CE,NYSE,16.75,17.27,16.75,17.27,1159600.0,
2005-02-28,CE,NYSE,17.25,17.25,16.55,16.7,857900.0,
2005-03-01,CE,NYSE,16.68,16.68,16.12,16.16,830100.0,
2005-03-02,CE,NYSE,16.55,16.7,16.05,16.36,1183800.0,
2005-03-03,CE,NYSE,16.5,16.7,16.25,16.25,600600.0,
2005-03-04,CE,NYSE,16.4,16.76,16.35,16.51,577500.0,
2005-03-07,CE,NYSE,16.68,17.16,16.67,17.09,1265700.0,
2005-03-08,CE,NYSE,17.45,17.45,17.2,17.25,1085000.0,
2005-03-09,CE,NYSE,17.5,18.24,17.4,17.95,1403200.0,
2005-03-10,CE,NYSE,17.95,18.09,17.39,17.9,943600.0,
2005-03-11,CE,NYSE,18.05,18.08,17.92,18.0,646500.0,
2005-03-14,CE,NYSE,18.03,18.16,17.43,17.85,921500.0,
2005-03-15,CE,NYSE,17.98,18.07,17.52,17.65,653300.0,
2005-03-16,CE,NYSE,17.45,17.7,17.18,17.32,627700.0,
2005-03-17,CE,NYSE,17.22,17.5,17.22,17.39,291300.0,
2005-03-18,CE,NYSE,17.35,17.4,17.17,17.26,343600.0,
2005-03-21,CE,NYSE,17.26,17.35,16.76,16.95,376200.0,
2005-03-22,CE,NYSE,17.07,17.14,16.99,16.99,269800.0,
2005-03-23,CE,NYSE,17.0,17.3,16.71,16.9,739600.0,
2005-03-24,CE,NYSE,18.15,18.65,17.8,18.09,2092800.0,
2005-03-28,CE,NYSE,18.3,18.34,17.78,17.83,682600.0,
2005-03-29,CE,NYSE,17.78,18.0,17.4,17.41,372500.0,
2005-03-30,CE,NYSE,17.47,17.84,17.45,17.7,489200.0,
2005-03-31,CE,NYSE,17.7,18.2,17.7,17.99,1498100.0,
2005-04-01,CE,NYSE,17.99,18.16,17.5,18.1,418000.0,
2005-04-04,CE,NYSE,18.02,18.05,17.16,17.39,276300.0,
2005-04-05,CE,NYSE,17.39,17.43,17.15,17.33,281200.0,
2005-04-06,CE,NYSE,17.4,17.48,17.2,17.25,314400.0,
2005-04-07,CE,NYSE,17.25,17.39,17.13,17.28,132000.0,
2005-04-08,CE,NYSE,17.18,17.18,17.02,17.02,245900.0,
2005-04-11,CE,NYSE,17.05,17.14,16.98,17.08,163300.0,
2005-04-12,CE,NYSE,17.07,17.31,16.72,17.31,314800.0,
2005-04-13,CE,NYSE,17.31,17.31,16.79,16.81,240100.0,
2005-04-14,CE,NYSE,16.8,16.87,16.15,16.18,299100.0,
2005-04-15,CE,NYSE,16.17,16.17,15.55,15.65,328900.0,
2005-04-18,CE,NYSE,15.0,15.36,14.95,15.3,831400.0,
2005-04-19,CE,NYSE,15.5,15.6,15.35,15.6,359700.0,
2005-04-20,CE,NYSE,15.63,15.68,15.06,15.1,146200.0,
2005-04-21,CE,NYSE,15.2,15.38,15.07,15.24,798600.0,
2005-04-22,CE,NYSE,15.15,15.21,14.7,15.0,603600.0,
2005-04-25,CE,NYSE,15.05,15.27,15.0,15.27,358400.0,
2005-04-26,CE,NYSE,15.27,15.32,14.76,14.78,386400.0,
2005-04-27,CE,NYSE,14.78,14.78,14.2,14.3,462900.0,
2005-04-28,CE,NYSE,14.32,14.41,14.06,14.1,433700.0,
2005-04-29,CE,NYSE,14.5,14.7,14.29,14.55,689300.0,
2005-05-02,CE,NYSE,14.6,15.12,14.6,15.12,832500.0,
2005-05-03,CE,NYSE,15.02,15.35,15.02,15.12,294300.0,
2005-05-04,CE,NYSE,15.15,15.21,15.0,15.21,535900.0,
2005-05-05,CE,NYSE,15.22,15.57,15.16,15.5,462400.0,
2005-05-06,CE,NYSE,15.55,15.77,15.43,15.47,295300.0,
2005-05-09,CE,NYSE,15.5,16.0,15.5,15.91,724700.0,
2005-05-10,CE,NYSE,15.75,16.15,14.7,15.15,1124100.0,
2005-05-11,CE,NYSE,15.14,15.24,15.0,15.09,586400.0,
2005-05-12,CE,NYSE,15.07,15.28,14.68,14.85,517400.0,
2005-05-13,CE,NYSE,14.85,14.9,14.25,14.26,403800.0,
2005-05-16,CE,NYSE,14.3,14.51,14.06,14.06,551600.0,
2005-05-17,CE,NYSE,14.08,14.16,13.55,14.16,733300.0,
2005-05-18,CE,NYSE,14.21,14.81,14.08,14.64,495100.0,
2005-05-19,CE,NYSE,15.45,15.45,15.15,15.28,566700.0,
2005-05-20,CE,NYSE,15.4,15.67,15.3,15.55,340200.0,
2005-05-23,CE,NYSE,15.6,16.3,15.51,16.25,573500.0,
2005-05-24,CE,NYSE,16.25,16.25,15.8,16.1,511000.0,
2005-05-25,CE,NYSE,16.02,16.11,15.78,15.94,236000.0,
2005-05-26,CE,NYSE,16.04,16.04,15.42,15.62,248100.0,
2005-05-27,CE,NYSE,15.6,15.63,15.2,15.53,269400.0,
2005-05-31,CE,NYSE,15.52,15.53,15.32,15.48,241200.0,
2005-06-01,CE,NYSE,15.5,15.94,15.5,15.76,384500.0,
2005-06-02,CE,NYSE,15.7,15.95,15.64,15.95,322500.0,
2005-06-03,CE,NYSE,15.9,15.9,15.8,15.88,187700.0,
2005-06-06,CE,NYSE,15.87,15.87,15.8,15.85,233900.0,
2005-06-07,CE,NYSE,15.9,15.9,15.7,15.82,237100.0,
2005-06-08,CE,NYSE,15.81,15.81,15.74,15.79,378500.0,
2005-06-09,CE,NYSE,15.8,15.84,15.75,15.8,292100.0,
2005-06-10,CE,NYSE,15.8,15.8,15.75,15.8,150200.0,
2005-06-13,CE,NYSE,15.75,15.78,15.54,15.64,140700.0,
2005-06-14,CE,NYSE,15.6,15.8,15.55,15.7,444000.0,
2005-06-15,CE,NYSE,15.76,15.87,15.72,15.87,1334000.0,
2005-06-16,CE,NYSE,15.87,16.38,15.87,16.3,564500.0,
2005-06-17,CE,NYSE,16.35,16.35,15.4,15.65,336600.0,
2005-06-20,CE,NYSE,15.64,15.75,15.32,15.38,212700.0,
2005-06-21,CE,NYSE,15.35,15.6,15.25,15.47,147000.0,
2005-06-22,CE,NYSE,15.52,15.86,15.52,15.86,190600.0,
2005-06-23,CE,NYSE,15.85,15.9,15.57,15.78,195100.0,
2005-06-24,CE,NYSE,15.75,15.85,15.65,15.84,466900.0,
2005-06-27,CE,NYSE,15.84,15.84,15.5,15.67,140000.0,
2005-06-28,CE,NYSE,15.56,15.76,15.56,15.72,315900.0,
2005-06-29,CE,NYSE,15.73,15.86,15.65,15.8,704000.0,
2005-06-30,CE,NYSE,15.8,15.96,15.8,15.89,705500.0,
2005-07-01,CE,NYSE,15.94,16.0,15.89,15.97,207100.0,
2005-07-05,CE,NYSE,15.92,16.06,15.88,16.04,209300.0,
2005-07-06,CE,NYSE,16.02,16.23,15.97,16.22,292900.0,
2005-07-07,CE,NYSE,16.03,16.1,15.88,16.1,302300.0,
