date,code,exchange,open,high,low,close,volume,count_trx
2005-08-11,CF,NYSE,3.25,3.31,3.2,3.24,72072000.0,
2005-08-12,CF,NYSE,3.25,3.6,3.25,3.586,26743000.0,
2005-08-15,CF,NYSE,3.55,3.57,3.452,3.46,10177500.0,
2005-08-16,CF,NYSE,3.38,3.46,3.38,3.43,4830500.0,
2005-08-17,CF,NYSE,3.43,3.44,3.36,3.37,6193000.0,
2005-08-18,CF,NYSE,3.39,3.396,3.25,3.27,4384000.0,
2005-08-19,CF,NYSE,3.298,3.338,3.25,3.32,2795000.0,
2005-08-22,CF,NYSE,3.33,3.402,3.282,3.4,2649500.0,
2005-08-23,CF,NYSE,3.5,3.584,3.46,3.512,13050000.0,
2005-08-24,CF,NYSE,3.5,3.55,3.466,3.5,2922000.0,
2005-08-25,CF,NYSE,3.54,3.54,3.48,3.492,4504000.0,
2005-08-26,CF,NYSE,3.51,3.522,3.48,3.494,2647000.0,
2005-08-29,CF,NYSE,3.38,3.436,3.368,3.4,5073500.0,
2005-08-30,CF,NYSE,3.422,3.478,3.39,3.406,2430000.0,
2005-08-31,CF,NYSE,3.412,3.412,3.324,3.358,2709000.0,
2005-09-01,CF,NYSE,3.37,3.37,3.12,3.25,10934000.0,
2005-09-02,CF,NYSE,3.282,3.316,3.202,3.214,4361500.0,
2005-09-06,CF,NYSE,3.24,3.29,3.234,3.28,2480500.0,
2005-09-07,CF,NYSE,3.282,3.284,3.204,3.238,3386000.0,
2005-09-08,CF,NYSE,3.25,3.304,3.25,3.264,2528500.0,
2005-09-09,CF,NYSE,3.31,3.32,3.284,3.314,1757000.0,
2005-09-12,CF,NYSE,3.29,3.304,3.202,3.218,2336000.0,
2005-09-13,CF,NYSE,3.224,3.224,3.14,3.176,3518000.0,
2005-09-14,CF,NYSE,3.15,3.174,3.13,3.144,1446000.0,
2005-09-15,CF,NYSE,3.15,3.162,3.006,3.02,3724500.0,
2005-09-16,CF,NYSE,3.012,3.068,2.91,3.064,7002500.0,
2005-09-19,CF,NYSE,3.05,3.19,3.038,3.1,4366500.0,
2005-09-20,CF,NYSE,3.1,3.206,3.09,3.16,3471000.0,
2005-09-21,CF,NYSE,3.14,3.14,2.94,3.0,5627500.0,
2005-09-22,CF,NYSE,3.0,3.014,2.9,2.902,6920500.0,
2005-09-23,CF,NYSE,2.9,3.14,2.896,3.118,4275500.0,
2005-09-26,CF,NYSE,3.12,3.16,3.05,3.1,6519500.0,
2005-09-27,CF,NYSE,3.09,3.112,3.068,3.092,3924500.0,
2005-09-28,CF,NYSE,3.076,3.076,2.996,3.03,2778500.0,
2005-09-29,CF,NYSE,3.038,3.056,2.964,3.0,5866000.0,
2005-09-30,CF,NYSE,3.01,3.02,2.932,2.962,9002500.0,
2005-10-03,CF,NYSE,2.97,2.97,2.87,2.9,3774500.0,
2005-10-04,CF,NYSE,2.89,2.9,2.806,2.814,1375000.0,
2005-10-05,CF,NYSE,2.8,2.8,2.57,2.63,8575000.0,
2005-10-06,CF,NYSE,2.64,2.698,2.62,2.682,3327500.0,
2005-10-07,CF,NYSE,2.76,2.76,2.694,2.7,1060000.0,
2005-10-10,CF,NYSE,2.714,2.724,2.494,2.51,1756500.0,
2005-10-11,CF,NYSE,2.53,2.53,2.402,2.43,2298000.0,
2005-10-12,CF,NYSE,2.424,2.436,2.364,2.388,1797000.0,
2005-10-13,CF,NYSE,2.386,2.386,2.238,2.26,2199500.0,
2005-10-14,CF,NYSE,2.268,2.5,2.264,2.472,4048000.0,
2005-10-17,CF,NYSE,2.472,2.478,2.42,2.44,2385000.0,
2005-10-18,CF,NYSE,2.44,2.44,2.388,2.4,1996500.0,
2005-10-19,CF,NYSE,2.42,2.45,2.388,2.432,4571000.0,
2005-10-20,CF,NYSE,2.44,2.616,2.438,2.564,6014000.0,
2005-10-21,CF,NYSE,2.566,2.61,2.554,2.592,3171000.0,
2005-10-24,CF,NYSE,2.592,2.64,2.592,2.626,2101000.0,
2005-10-25,CF,NYSE,2.646,2.682,2.616,2.64,2390000.0,
2005-10-26,CF,NYSE,2.63,2.67,2.59,2.618,2763500.0,
2005-10-27,CF,NYSE,2.61,2.636,2.59,2.6,757000.0,
2005-10-28,CF,NYSE,2.64,2.692,2.64,2.67,1624500.0,
2005-10-31,CF,NYSE,2.7,2.798,2.7,2.764,3038500.0,
2005-11-01,CF,NYSE,2.83,2.85,2.71,2.72,2353500.0,
2005-11-02,CF,NYSE,2.724,2.75,2.65,2.708,2760000.0,
2005-11-03,CF,NYSE,2.68,2.7,2.642,2.66,1379500.0,
2005-11-04,CF,NYSE,2.66,2.756,2.644,2.68,2103000.0,
2005-11-07,CF,NYSE,2.68,2.76,2.672,2.706,1613500.0,
2005-11-08,CF,NYSE,2.686,2.71,2.67,2.704,1423000.0,
2005-11-09,CF,NYSE,2.706,2.756,2.692,2.706,1937500.0,
2005-11-10,CF,NYSE,2.85,2.878,2.662,2.75,3266500.0,
2005-11-11,CF,NYSE,2.758,2.83,2.758,2.808,1144000.0,
2005-11-14,CF,NYSE,2.796,2.84,2.784,2.814,1148500.0,
2005-11-15,CF,NYSE,2.83,3.01,2.812,2.952,6203500.0,
2005-11-16,CF,NYSE,3.02,3.098,3.0,3.034,4191000.0,
2005-11-17,CF,NYSE,3.05,3.176,3.024,3.16,6349500.0,
2005-11-18,CF,NYSE,3.16,3.16,3.03,3.122,3012000.0,
2005-11-21,CF,NYSE,3.18,3.19,3.132,3.164,3266000.0,
2005-11-22,CF,NYSE,3.164,3.18,3.102,3.146,1361500.0,
2005-11-23,CF,NYSE,3.15,3.15,3.096,3.1,904500.0,
2005-11-25,CF,NYSE,3.11,3.134,3.11,3.124,95000.0,
2005-11-28,CF,NYSE,3.132,3.138,3.07,3.098,1256000.0,
2005-11-29,CF,NYSE,3.116,3.116,3.09,3.1,553000.0,
2005-11-30,CF,NYSE,3.096,3.116,3.08,3.09,1231000.0,
2005-12-01,CF,NYSE,3.084,3.1,3.02,3.054,2789500.0,
2005-12-02,CF,NYSE,3.052,3.106,3.034,3.106,2928500.0,
2005-12-05,CF,NYSE,3.09,3.16,3.06,3.128,2744500.0,
2005-12-06,CF,NYSE,3.146,3.17,3.134,3.164,1095500.0,
2005-12-07,CF,NYSE,3.17,3.196,3.124,3.124,1672000.0,
2005-12-08,CF,NYSE,3.124,3.124,3.016,3.024,2946500.0,
2005-12-09,CF,NYSE,3.038,3.04,2.984,3.034,4549500.0,
2005-12-12,CF,NYSE,3.044,3.074,3.012,3.022,2071500.0,
