date,code,exchange,open,high,low,close,volume,count_trx
2014-09-24,CFG,NYSE,21.5,23.22,21.4,23.08,26007638.0,18660.0
2014-09-25,CFG,NYSE,22.56,23.4,22.45,23.05,1505630.0,3732.0
2014-09-26,CFG,NYSE,23.25,23.37,22.95,23.25,258676.0,1167.0
2014-09-29,CFG,NYSE,23.14,23.45,22.91,23.23,341213.0,1376.0
2014-09-30,CFG,NYSE,23.11,23.57,23.05,23.42,619842.0,1467.0
2014-10-01,CFG,NYSE,23.27,23.61,23.13,23.44,427743.0,1638.0
2014-10-02,CFG,NYSE,23.34,23.59,23.31,23.34,196655.0,820.0
2014-10-03,CFG,NYSE,23.38,23.47,23.01,23.23,176585.0,666.0
2014-10-06,CFG,NYSE,23.28,23.369,22.61,22.64,124764.0,548.0
2014-10-07,CFG,NYSE,22.56,22.73,22.3,22.52,342484.0,1101.0
2014-10-08,CFG,NYSE,22.11,23.15,22.11,22.75,235930.0,1086.0
2014-10-09,CFG,NYSE,23.0,23.0,22.25,22.48,146914.0,560.0
2014-10-10,CFG,NYSE,22.39,22.55,22.14,22.28,143473.0,666.0
2014-10-13,CFG,NYSE,22.13,22.66,22.13,22.45,136933.0,705.0
2014-10-14,CFG,NYSE,22.5,22.78,22.31,22.45,152753.0,862.0
2014-10-15,CFG,NYSE,22.13,22.2,21.5,21.85,323417.0,1476.0
2014-10-16,CFG,NYSE,21.51,21.95,21.5,21.8,345212.0,1544.0
2014-10-17,CFG,NYSE,21.89,22.07,21.78,21.92,370997.0,1683.0
2014-10-20,CFG,NYSE,21.82,22.38,21.82,22.38,208865.0,913.0
2014-10-21,CFG,NYSE,22.11,22.93,22.11,22.82,267844.0,1117.0
2014-10-22,CFG,NYSE,22.78,23.0,22.42,22.6,93408.0,495.0
2014-10-23,CFG,NYSE,22.97,23.08,22.6,23.03,178547.0,916.0
2014-10-24,CFG,NYSE,23.32,23.49,22.78,23.18,277635.0,1081.0
2014-10-27,CFG,NYSE,23.15,23.18,22.73,22.85,294722.0,1343.0
2014-10-28,CFG,NYSE,23.16,23.56,22.93,23.28,252236.0,1001.0
2014-10-29,CFG,NYSE,23.35,23.52,23.26,23.48,248143.0,596.0
2014-10-30,CFG,NYSE,23.46,23.69,23.31,23.44,202972.0,532.0
2014-10-31,CFG,NYSE,23.59,23.92,23.37,23.62,171438.0,843.0
2014-11-03,CFG,NYSE,23.49,24.0,23.17,24.0,288332.0,1196.0
2014-11-04,CFG,NYSE,23.74,23.91,23.44,23.6,184221.0,954.0
2014-11-05,CFG,NYSE,23.8,23.94,23.56,23.9,165872.0,849.0
2014-11-06,CFG,NYSE,23.79,24.44,23.78,24.3,175628.0,778.0
2014-11-07,CFG,NYSE,24.48,24.48,23.96,23.97,53901.0,277.0
2014-11-10,CFG,NYSE,24.04,24.1,23.76,23.95,454151.0,431.0
2014-11-11,CFG,NYSE,23.97,24.21,23.8,23.94,178822.0,265.0
2014-11-12,CFG,NYSE,23.75,23.98,23.52,23.86,63649.0,359.0
2014-11-13,CFG,NYSE,23.62,23.96,23.59,23.82,133784.0,540.0
2014-11-14,CFG,NYSE,23.74,24.0,23.74,23.96,73191.0,418.0
2014-11-17,CFG,NYSE,24.11,24.11,23.56,24.0,96903.0,645.0
2014-11-18,CFG,NYSE,24.04,24.04,23.72,23.73,85663.0,523.0
2014-11-19,CFG,NYSE,23.8,24.0,23.54,23.72,81511.0,500.0
2014-11-20,CFG,NYSE,23.57,23.86,23.55,23.71,93728.0,557.0
2014-11-21,CFG,NYSE,23.95,24.19,23.7,23.77,128999.0,567.0
2014-11-24,CFG,NYSE,23.8,24.35,23.73,24.25,130690.0,719.0
2014-11-25,CFG,NYSE,24.24,24.3,24.02,24.03,73176.0,478.0
2014-11-26,CFG,NYSE,24.11,24.27,23.92,24.23,75690.0,409.0
2014-11-28,CFG,NYSE,24.22,25.08,24.1,24.63,180043.0,855.0
2014-12-01,CFG,NYSE,24.62,24.87,23.5,23.98,169410.0,897.0
