date,code,exchange,open,high,low,close,volume,count_trx
2009-08-21,CFN,NYSE,17.25,18.5,17.25,18.5,2624200.0,
2009-08-24,CFN,NYSE,18.5,18.5,17.75,17.86,155900.0,
2009-08-25,CFN,NYSE,17.95,18.0,17.5,17.73,236500.0,
2009-08-26,CFN,NYSE,17.74,18.3,17.6,18.1,526300.0,
2009-08-27,CFN,NYSE,17.9,19.0,17.9,18.85,307000.0,
2009-08-28,CFN,NYSE,19.19,19.34,18.61,19.1,492900.0,
2009-08-31,CFN,NYSE,19.1,19.7,18.92,19.5,919300.0,
2009-09-01,CFN,NYSE,19.45,19.95,18.83,19.9,2484200.0,
2009-09-02,CFN,NYSE,19.15,19.49,18.34,18.65,1063900.0,
2009-09-03,CFN,NYSE,18.76,19.03,18.5,18.69,593000.0,
2009-09-04,CFN,NYSE,18.6,18.69,18.48,18.5,1316500.0,
2009-09-08,CFN,NYSE,18.7,18.91,18.32,18.45,1011000.0,
2009-09-09,CFN,NYSE,18.57,18.94,18.5,18.65,1475600.0,
2009-09-10,CFN,NYSE,18.67,19.25,18.57,19.14,1049200.0,
2009-09-11,CFN,NYSE,18.95,19.74,18.95,19.28,1608700.0,
2009-09-14,CFN,NYSE,19.48,19.63,19.4,19.51,767000.0,
2009-09-15,CFN,NYSE,19.5,21.14,19.44,20.71,1335800.0,
2009-09-16,CFN,NYSE,20.58,22.42,20.58,21.88,1381800.0,
2009-09-17,CFN,NYSE,22.06,22.23,20.94,21.43,1056800.0,
2009-09-18,CFN,NYSE,21.48,21.89,21.13,21.81,1044200.0,
2009-09-21,CFN,NYSE,21.89,21.89,21.18,21.32,848100.0,
2009-09-22,CFN,NYSE,21.32,21.97,21.28,21.44,712400.0,
2009-09-23,CFN,NYSE,21.47,21.51,20.87,20.87,496900.0,
2009-09-24,CFN,NYSE,20.95,21.08,20.31,20.51,620500.0,
2009-09-25,CFN,NYSE,20.61,21.28,20.39,21.14,397100.0,
2009-09-28,CFN,NYSE,21.18,22.12,21.18,21.8,456900.0,
2009-09-29,CFN,NYSE,21.77,22.36,21.5,21.99,464800.0,
2009-09-30,CFN,NYSE,21.93,22.06,21.43,21.8,654300.0,
2009-10-01,CFN,NYSE,21.3,22.0,21.15,21.55,969800.0,
2009-10-02,CFN,NYSE,21.54,21.7,21.15,21.54,748500.0,
2009-10-05,CFN,NYSE,21.67,21.67,21.11,21.25,407100.0,
2009-10-06,CFN,NYSE,21.3,22.12,20.65,22.01,985200.0,
2009-10-07,CFN,NYSE,21.83,22.28,21.42,22.0,415700.0,
2009-10-08,CFN,NYSE,22.19,22.97,21.99,22.86,407800.0,
2009-10-09,CFN,NYSE,22.9,23.4,22.84,23.25,329000.0,
2009-10-12,CFN,NYSE,23.19,23.23,22.86,22.99,408000.0,
2009-10-13,CFN,NYSE,22.66,22.84,22.51,22.6,357500.0,
2009-10-14,CFN,NYSE,22.69,22.88,22.53,22.7,469100.0,
2009-10-15,CFN,NYSE,22.6,22.89,22.55,22.87,474800.0,
2009-10-16,CFN,NYSE,22.67,22.83,22.21,22.7,606400.0,
2009-10-19,CFN,NYSE,22.59,23.21,22.42,22.96,308500.0,
2009-10-20,CFN,NYSE,22.83,23.0,22.25,22.37,343600.0,
2009-10-21,CFN,NYSE,22.15,22.47,21.53,21.78,315900.0,
2009-10-22,CFN,NYSE,21.67,22.83,21.65,22.72,389200.0,
2009-10-23,CFN,NYSE,22.7,22.97,22.2,22.63,297100.0,
2009-10-26,CFN,NYSE,22.56,23.2,22.56,22.68,286700.0,
2009-10-27,CFN,NYSE,22.65,22.65,22.17,22.5,309700.0,
2009-10-28,CFN,NYSE,22.51,22.75,22.22,22.5,284500.0,
2009-10-29,CFN,NYSE,22.46,23.75,22.36,23.69,425100.0,
2009-10-30,CFN,NYSE,22.63,23.34,22.3,22.37,680600.0,
2009-11-02,CFN,NYSE,22.39,22.83,22.23,22.34,432700.0,
2009-11-03,CFN,NYSE,22.21,22.3,21.88,22.02,303800.0,
2009-11-04,CFN,NYSE,22.23,22.84,22.23,22.55,412700.0,
2009-11-05,CFN,NYSE,23.45,24.33,23.26,23.99,746900.0,
2009-11-06,CFN,NYSE,23.91,23.99,23.26,23.34,286700.0,
2009-11-09,CFN,NYSE,23.65,24.07,23.53,24.03,255600.0,
