date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,CHD,NYSE,4.5104392188,4.5312726563,4.208354375,4.333355,689396.5530172349,
2000-01-04,CHD,NYSE,4.333355,4.3646051563,4.1979376563,4.2291878125,782996.085019575,
2000-01-05,CHD,NYSE,4.25002125,4.291688125,4.1979376563,4.2291878125,742796.28601857,
2000-01-06,CHD,NYSE,4.2291878125,4.3958553125,4.208354375,4.375021875,893395.5330223349,
2000-01-07,CHD,NYSE,4.375021875,4.541689375,4.375021875,4.541689375,455397.723011385,
2000-01-10,CHD,NYSE,4.5625228125,4.5729395313,4.4271054688,4.4791890625,290998.545007275,
2000-01-11,CHD,NYSE,4.5000225,4.5312726563,4.4062720313,4.4375221875,578397.10801446,
2000-01-12,CHD,NYSE,4.4479389063,4.4791890625,4.3229382813,4.4375221875,400797.99601002,
2000-01-13,CHD,NYSE,4.4375221875,4.5625228125,4.3541884375,4.541689375,503397.483012585,
2000-01-14,CHD,NYSE,4.541689375,4.625023125,4.5000225,4.5104392188,548397.2580137099,
2000-01-18,CHD,NYSE,4.4896057813,4.4896057813,4.208354375,4.3646051563,515997.4200129,
2000-01-19,CHD,NYSE,4.3437717188,4.3541884375,4.25002125,4.3125215625,278998.605006975,
2000-01-20,CHD,NYSE,4.333355,4.3541884375,4.2396045312,4.291688125,271798.641006795,
2000-01-21,CHD,NYSE,4.3021048438,4.3021048438,4.125020625,4.1354373438,522597.3870130649,
2000-01-24,CHD,NYSE,4.1354373438,4.1771042188,3.9896032813,4.0521035938,596997.0150149249,
2000-01-25,CHD,NYSE,4.041686875,4.08335375,3.625018125,3.8125190625,1341593.2920335399,
2000-01-26,CHD,NYSE,3.8541859375,3.8958528125,3.8333525,3.8854360938,385198.07400963,
2000-01-27,CHD,NYSE,3.958353125,3.9896032813,3.8125190625,3.8229357813,574797.1260143699,
2000-01-28,CHD,NYSE,3.8541859375,3.8958528125,3.6875184375,3.6979351563,586197.069014655,
2000-01-31,CHD,NYSE,3.708351875,3.7708521875,3.6146014063,3.6771017188,615596.9220153899,
2000-02-01,CHD,NYSE,3.6979351563,3.6979351563,3.4271004688,3.4271004688,1159794.201028995,
2000-02-02,CHD,NYSE,3.458350625,3.6354348437,3.458350625,3.541684375,701996.49001755,
2000-02-03,CHD,NYSE,3.58335125,3.6354348437,3.4062670313,3.4479339063,694196.529017355,
2000-02-04,CHD,NYSE,3.4687673437,3.4791840625,3.3020998437,3.375016875,531597.3420132899,
2000-02-07,CHD,NYSE,3.33335,3.3541834375,3.2291828125,3.2395995313,1085394.5730271349,
2000-02-08,CHD,NYSE,3.1666825,3.2708496875,2.8333475,3.041681875,2231388.8430557847,
2000-02-09,CHD,NYSE,3.000015,3.000015,2.541679375,2.7395970312,4861775.691121545,
