date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,CLF,NYSE,3.8677403438,3.8832734375,3.7512421406,3.7512421406,324000.0,
2000-01-04,CLF,NYSE,3.7512421406,3.7978414219,3.7279425,3.7357090469,338400.0,
2000-01-05,CLF,NYSE,3.7279425,3.7434755938,3.6813432188,3.6813432188,633600.0,
2000-01-06,CLF,NYSE,3.7124094063,3.85220725,3.6891097656,3.85220725,332000.0,
2000-01-07,CLF,NYSE,3.8444407031,3.85220725,3.790074875,3.8056079688,550400.0,
2000-01-10,CLF,NYSE,3.8211410625,3.8211410625,3.6968763125,3.7279425,604000.0,
2000-01-11,CLF,NYSE,3.7279425,3.7512421406,3.6735766719,3.6735766719,224800.0,
2000-01-12,CLF,NYSE,3.6813432188,3.7823083281,3.6813432188,3.6891097656,563200.0,
2000-01-13,CLF,NYSE,3.6813432188,3.7667752344,3.6813432188,3.7357090469,352000.0,
2000-01-14,CLF,NYSE,3.7357090469,3.7745417813,3.7279425,3.7434755938,385600.0,
2000-01-18,CLF,NYSE,3.7434755938,3.7667752344,3.7279425,3.7279425,217600.0,
2000-01-19,CLF,NYSE,3.7279425,3.7357090469,3.665810125,3.665810125,255200.0,
2000-01-20,CLF,NYSE,3.665810125,3.6891097656,3.6425104844,3.6502770313,538400.0,
2000-01-21,CLF,NYSE,3.6347439375,3.6347439375,3.4638799063,3.5726115625,276800.0,
2000-01-24,CLF,NYSE,3.5726115625,3.6269773906,3.5570784688,3.5570784688,201600.0,
2000-01-25,CLF,NYSE,3.5493119219,3.5570784688,3.4871795469,3.4871795469,380000.0,
2000-01-26,CLF,NYSE,3.4949460938,3.5104791875,3.479413,3.5027126406,1481600.0,
2000-01-27,CLF,NYSE,3.5182457344,3.541545375,3.479413,3.4949460938,170400.0,
2000-01-28,CLF,NYSE,3.479413,3.5182457344,3.479413,3.5027126406,324800.0,
2000-01-31,CLF,NYSE,3.5027126406,3.5027126406,3.4638799063,3.4716464531,291200.0,
2000-02-01,CLF,NYSE,3.4716464531,3.4716464531,3.3862144375,3.4017475313,351200.0,
2000-02-02,CLF,NYSE,3.4250471719,3.4250471719,3.3163155156,3.3240820625,222400.0,
2000-02-03,CLF,NYSE,3.3240820625,3.3396151563,3.3007824219,3.3085489688,116800.0,
2000-02-04,CLF,NYSE,3.3240820625,3.3939809844,3.3240820625,3.3862144375,395200.0,
2000-02-07,CLF,NYSE,3.3862144375,3.4250471719,3.3862144375,3.417280625,124000.0,
2000-02-08,CLF,NYSE,3.417280625,3.4328137188,3.4017475313,3.417280625,199200.0,
2000-02-09,CLF,NYSE,3.417280625,3.4250471719,3.3939809844,3.3939809844,396000.0,
2000-02-10,CLF,NYSE,3.3939809844,3.4328137188,3.3939809844,3.4250471719,383200.0,
2000-02-11,CLF,NYSE,3.4250471719,3.4638799063,3.4250471719,3.4561133594,497600.0,
2000-02-14,CLF,NYSE,3.4095140781,3.4095140781,3.3706813438,3.3706813438,324000.0,
2000-02-15,CLF,NYSE,3.35514825,3.35514825,3.2852493281,3.2852493281,572800.0,
2000-02-16,CLF,NYSE,3.3007824219,3.3318486094,3.1842842188,3.1998173125,371200.0,
2000-02-17,CLF,NYSE,3.2231169531,3.2386500469,3.1765176719,3.1998173125,250400.0,
2000-02-18,CLF,NYSE,3.2153504063,3.2153504063,3.0600194687,3.1299183906,507200.0,
2000-02-22,CLF,NYSE,3.1299183906,3.1376849375,3.0677860156,3.0910856562,243200.0,
2000-02-23,CLF,NYSE,3.10661875,3.1454514844,3.10661875,3.1299183906,181600.0,
2000-02-24,CLF,NYSE,3.0988522031,3.10661875,3.0211867344,3.0211867344,434400.0,
2000-02-25,CLF,NYSE,2.9901205469,2.9901205469,2.8270230625,2.9124550781,348800.0,
2000-02-28,CLF,NYSE,2.9512878125,2.982354,2.8736223437,2.982354,634400.0,
2000-02-29,CLF,NYSE,2.982354,3.0988522031,2.9668209062,3.0988522031,247200.0,
2000-03-01,CLF,NYSE,3.0988522031,3.0988522031,2.9901205469,2.9978870937,265600.0,
2000-03-02,CLF,NYSE,3.0134201875,3.0833191094,3.0056536406,3.0522529219,249600.0,
2000-03-03,CLF,NYSE,3.0522529219,3.0522529219,2.9512878125,2.9590543594,394400.0,
2000-03-06,CLF,NYSE,2.9745874531,2.982354,2.9357547187,2.9668209062,214400.0,
2000-03-07,CLF,NYSE,2.9668209062,2.9668209062,2.85808925,2.85808925,223200.0,
2000-03-08,CLF,NYSE,2.8658557969,2.8891554375,2.7338245,2.85808925,334400.0,
2000-03-09,CLF,NYSE,2.85808925,2.9435212656,2.85808925,2.9435212656,211200.0,
2000-03-10,CLF,NYSE,2.9435212656,2.9435212656,2.9124550781,2.9124550781,216800.0,
2000-03-13,CLF,NYSE,2.9046885312,2.9046885312,2.8037234219,2.8037234219,211200.0,
2000-03-14,CLF,NYSE,2.8192565156,2.8813888906,2.8114899687,2.8503227031,347200.0,
2000-03-15,CLF,NYSE,2.8503227031,2.9046885312,2.8037234219,2.9046885312,683200.0,
2000-03-16,CLF,NYSE,2.9512878125,3.1998173125,2.9512878125,3.1532180312,1998400.0,
2000-03-17,CLF,NYSE,3.1454514844,3.2464165938,3.1454514844,3.1920507656,330400.0,
2000-03-20,CLF,NYSE,3.1842842188,3.2386500469,3.1842842188,3.2231169531,229600.0,
2000-03-21,CLF,NYSE,3.2231169531,3.2231169531,3.1920507656,3.2231169531,87200.0,
2000-03-22,CLF,NYSE,3.2075838594,3.2308835,3.2075838594,3.2308835,220800.0,
2000-03-23,CLF,NYSE,3.2308835,3.2308835,3.2153504063,3.2231169531,121600.0,
2000-03-24,CLF,NYSE,3.2231169531,3.2231169531,3.1454514844,3.1609845781,135200.0,
2000-03-27,CLF,NYSE,3.1299183906,3.1299183906,2.85808925,2.9745874531,492000.0,
2000-03-28,CLF,NYSE,2.9745874531,2.982354,2.9512878125,2.9668209062,221600.0,
2000-03-29,CLF,NYSE,2.9668209062,2.9668209062,2.8037234219,2.8114899687,1355200.0,
2000-03-30,CLF,NYSE,2.8114899687,2.8503227031,2.7804237812,2.8425561562,751200.0,
2000-03-31,CLF,NYSE,2.8192565156,2.9590543594,2.8114899687,2.9590543594,401600.0,
2000-04-03,CLF,NYSE,2.9590543594,2.9590543594,2.8503227031,2.8658557969,212800.0,
2000-04-04,CLF,NYSE,2.8736223437,2.9668209062,2.8736223437,2.9590543594,994400.0,
2000-04-05,CLF,NYSE,2.9590543594,2.9590543594,2.8891554375,2.8891554375,153600.0,
2000-04-06,CLF,NYSE,2.8891554375,2.9512878125,2.8891554375,2.9357547187,294400.0,
2000-04-07,CLF,NYSE,2.9357547187,2.9357547187,2.8114899687,2.8736223437,660000.0,
2000-04-10,CLF,NYSE,2.8891554375,2.9512878125,2.8813888906,2.9124550781,402400.0,
2000-04-11,CLF,NYSE,2.9124550781,2.9124550781,2.85808925,2.8658557969,154400.0,
2000-04-12,CLF,NYSE,2.8813888906,2.9668209062,2.8813888906,2.9279881719,261600.0,
2000-04-13,CLF,NYSE,2.982354,2.982354,2.8891554375,2.8969219844,146400.0,
2000-04-14,CLF,NYSE,2.9124550781,2.9901205469,2.9124550781,2.9512878125,414400.0,
2000-04-17,CLF,NYSE,2.9512878125,2.9668209062,2.9046885312,2.9357547187,308800.0,
2000-04-18,CLF,NYSE,2.9124550781,2.9357547187,2.8658557969,2.8736223437,124800.0,
2000-04-19,CLF,NYSE,2.8813888906,2.9512878125,2.8813888906,2.9124550781,141600.0,
2000-04-20,CLF,NYSE,2.9124550781,2.9978870937,2.9124550781,2.9978870937,400000.0,
2000-04-24,CLF,NYSE,2.982354,2.982354,2.9279881719,2.9279881719,153600.0,
2000-04-25,CLF,NYSE,2.9512878125,2.9901205469,2.9357547187,2.982354,93600.0,
2000-04-26,CLF,NYSE,2.982354,3.0134201875,2.982354,3.0056536406,204800.0,
2000-04-27,CLF,NYSE,3.0134201875,3.0367198281,3.0056536406,3.0367198281,133600.0,
2000-04-28,CLF,NYSE,3.0522529219,3.0677860156,3.0134201875,3.0522529219,255200.0,
2000-05-01,CLF,NYSE,3.0833191094,3.0833191094,3.0522529219,3.0600194687,135200.0,
2000-05-02,CLF,NYSE,3.0677860156,3.0988522031,3.0600194687,3.0600194687,336800.0,
2000-05-03,CLF,NYSE,3.0600194687,3.0677860156,3.0367198281,3.044486375,332800.0,
2000-05-04,CLF,NYSE,3.044486375,3.0988522031,3.044486375,3.0833191094,151200.0,
2000-05-05,CLF,NYSE,3.044486375,3.0755525625,3.0134201875,3.0755525625,218400.0,
2000-05-08,CLF,NYSE,3.0833191094,3.0988522031,3.044486375,3.0600194687,190400.0,
2000-05-09,CLF,NYSE,3.0600194687,3.0600194687,3.0134201875,3.0134201875,267200.0,
2000-05-10,CLF,NYSE,3.0134201875,3.0211867344,2.9978870937,2.9978870937,505600.0,
2000-05-11,CLF,NYSE,2.982354,3.0522529219,2.982354,3.0522529219,278400.0,
2000-05-12,CLF,NYSE,3.0367198281,3.10661875,3.0367198281,3.0910856562,205600.0,
2000-05-15,CLF,NYSE,3.1299183906,3.2231169531,3.1221518437,3.2075838594,274400.0,
2000-05-16,CLF,NYSE,3.1998173125,3.1998173125,3.1143852969,3.1376849375,341600.0,
2000-05-17,CLF,NYSE,3.0910856562,3.0910856562,3.0056536406,3.044486375,607200.0,
2000-05-18,CLF,NYSE,3.0211867344,3.0289532812,2.9357547187,2.9357547187,329600.0,
2000-05-19,CLF,NYSE,2.9357547187,2.9357547187,2.8425561562,2.8425561562,1514400.0,
2000-05-22,CLF,NYSE,2.8425561562,2.85808925,2.8270230625,2.8270230625,302400.0,
2000-05-23,CLF,NYSE,2.8114899687,2.8114899687,2.7260579531,2.7571241406,715200.0,
2000-05-24,CLF,NYSE,2.7571241406,2.9901205469,2.7571241406,2.9901205469,2810400.0,
2000-05-25,CLF,NYSE,2.982354,3.0289532812,2.9357547187,2.9357547187,581600.0,
2000-05-26,CLF,NYSE,2.9279881719,2.9512878125,2.920221625,2.9435212656,321600.0,
2000-05-30,CLF,NYSE,2.9435212656,3.0910856562,2.9435212656,3.0910856562,374400.0,
2000-05-31,CLF,NYSE,3.0910856562,3.2153504063,3.0910856562,3.1609845781,1032800.0,
2000-06-01,CLF,NYSE,3.1842842188,3.1998173125,3.168751125,3.1920507656,515200.0,
2000-06-02,CLF,NYSE,3.1920507656,3.1920507656,3.1765176719,3.1920507656,113600.0,
2000-06-05,CLF,NYSE,3.1842842188,3.1842842188,3.044486375,3.044486375,570400.0,
2000-06-06,CLF,NYSE,3.044486375,3.1998173125,3.044486375,3.1998173125,655200.0,
2000-06-07,CLF,NYSE,3.1998173125,3.1998173125,3.1454514844,3.1532180312,332800.0,
2000-06-08,CLF,NYSE,3.1532180312,3.1532180312,3.1221518437,3.1299183906,108000.0,
2000-06-09,CLF,NYSE,3.1299183906,3.1609845781,3.1221518437,3.1454514844,194400.0,
2000-06-12,CLF,NYSE,3.1376849375,3.1765176719,3.1376849375,3.168751125,504800.0,
2000-06-13,CLF,NYSE,3.168751125,3.1998173125,3.168751125,3.1920507656,598400.0,
2000-06-14,CLF,NYSE,3.1998173125,3.1998173125,3.1842842188,3.1842842188,344000.0,
2000-06-15,CLF,NYSE,3.1998173125,3.1998173125,3.1842842188,3.1920507656,386400.0,
2000-06-16,CLF,NYSE,3.1920507656,3.2619496875,3.1920507656,3.2153504063,600800.0,
2000-06-19,CLF,NYSE,3.2231169531,3.2464165938,3.2231169531,3.2386500469,204800.0,
2000-06-20,CLF,NYSE,3.2386500469,3.2386500469,3.1765176719,3.2075838594,132800.0,
2000-06-21,CLF,NYSE,3.1998173125,3.2075838594,3.1998173125,3.2075838594,102400.0,
2000-06-22,CLF,NYSE,3.1998173125,3.1998173125,3.1143852969,3.1143852969,164000.0,
2000-06-23,CLF,NYSE,3.1143852969,3.1221518437,3.10661875,3.1221518437,175200.0,
2000-06-26,CLF,NYSE,3.1221518437,3.1221518437,3.10661875,3.1221518437,154400.0,
2000-06-27,CLF,NYSE,3.10661875,3.1998173125,3.10661875,3.1609845781,136800.0,
2000-06-28,CLF,NYSE,3.1609845781,3.1765176719,3.1376849375,3.1609845781,158400.0,
2000-06-29,CLF,NYSE,3.1609845781,3.2308835,3.1532180312,3.2231169531,272800.0,
2000-06-30,CLF,NYSE,3.2231169531,3.2231169531,3.1998173125,3.2075838594,332800.0,
2000-07-03,CLF,NYSE,3.1998173125,3.2308835,3.1998173125,3.2231169531,219200.0,
2000-07-05,CLF,NYSE,3.2153504063,3.2774827813,3.2075838594,3.2075838594,380000.0,
2000-07-06,CLF,NYSE,3.2153504063,3.2308835,3.1842842188,3.2308835,178400.0,
2000-07-07,CLF,NYSE,3.2308835,3.2308835,3.1454514844,3.1842842188,98400.0,
2000-07-10,CLF,NYSE,3.1842842188,3.1842842188,3.1376849375,3.1609845781,196800.0,
2000-07-11,CLF,NYSE,3.1609845781,3.1842842188,3.1532180312,3.168751125,444000.0,
2000-07-12,CLF,NYSE,3.10661875,3.1842842188,3.0134201875,3.1842842188,621600.0,
2000-07-13,CLF,NYSE,3.1842842188,3.1998173125,3.1609845781,3.168751125,114400.0,
2000-07-14,CLF,NYSE,3.1842842188,3.1998173125,3.1376849375,3.1376849375,59200.0,
2000-07-17,CLF,NYSE,3.1299183906,3.1376849375,3.0755525625,3.1376849375,72800.0,
2000-07-18,CLF,NYSE,3.1299183906,3.1376849375,3.1143852969,3.1143852969,93600.0,
2000-07-19,CLF,NYSE,3.1143852969,3.1221518437,3.0677860156,3.0677860156,120800.0,
2000-07-20,CLF,NYSE,3.0677860156,3.0988522031,3.0677860156,3.0833191094,84800.0,
2000-07-21,CLF,NYSE,3.0833191094,3.0833191094,3.044486375,3.044486375,79200.0,
2000-07-24,CLF,NYSE,3.044486375,3.0522529219,3.0134201875,3.0134201875,584000.0,
2000-07-25,CLF,NYSE,3.044486375,3.044486375,3.0134201875,3.0211867344,150400.0,
2000-07-26,CLF,NYSE,3.0211867344,3.10661875,2.9978870937,3.0988522031,216000.0,
2000-07-27,CLF,NYSE,3.10661875,3.10661875,3.0134201875,3.044486375,314400.0,
2000-07-28,CLF,NYSE,3.044486375,3.0522529219,2.9978870937,2.9978870937,108000.0,
2000-07-31,CLF,NYSE,2.9901205469,3.1299183906,2.9901205469,3.0833191094,307200.0,
2000-08-01,CLF,NYSE,3.0755525625,3.1532180312,3.0755525625,3.1454514844,332800.0,
2000-08-02,CLF,NYSE,3.1454514844,3.2464165938,3.1454514844,3.2308835,477600.0,
2000-08-03,CLF,NYSE,3.2308835,3.2464165938,3.1765176719,3.1842842188,350400.0,
2000-08-04,CLF,NYSE,3.1842842188,3.2231169531,3.1376849375,3.1532180312,169600.0,
2000-08-07,CLF,NYSE,3.1609845781,3.1609845781,3.1454514844,3.1454514844,95200.0,
2000-08-08,CLF,NYSE,3.1454514844,3.1532180312,3.1299183906,3.1454514844,123200.0,
2000-08-09,CLF,NYSE,3.1454514844,3.168751125,3.1299183906,3.1609845781,160000.0,
2000-08-10,CLF,NYSE,3.1221518437,3.1221518437,3.0988522031,3.0988522031,102400.0,
2000-08-11,CLF,NYSE,3.1221518437,3.1221518437,3.0988522031,3.10661875,161600.0,
2000-08-14,CLF,NYSE,3.10661875,3.10661875,3.0910856562,3.10661875,66400.0,
2000-08-15,CLF,NYSE,3.10661875,3.1143852969,3.0522529219,3.10661875,387200.0,
2000-08-16,CLF,NYSE,3.10661875,3.1920507656,3.10661875,3.1765176719,152800.0,
2000-08-17,CLF,NYSE,3.1765176719,3.1998173125,3.1454514844,3.168751125,111200.0,
2000-08-18,CLF,NYSE,3.1454514844,3.2075838594,3.1376849375,3.168751125,280000.0,
2000-08-21,CLF,NYSE,3.1532180312,3.1532180312,3.1376849375,3.1454514844,60000.0,
2000-08-22,CLF,NYSE,3.1454514844,3.1532180312,3.1299183906,3.1299183906,76000.0,
2000-08-23,CLF,NYSE,3.1299183906,3.1532180312,3.1299183906,3.1532180312,204800.0,
2000-08-24,CLF,NYSE,3.1532180312,3.1609845781,3.10661875,3.1221518437,156000.0,
2000-08-25,CLF,NYSE,3.1299183906,3.1376849375,3.0988522031,3.0988522031,62400.0,
2000-08-28,CLF,NYSE,3.0988522031,3.10661875,3.0289532812,3.0289532812,119200.0,
2000-08-29,CLF,NYSE,2.9978870937,3.0367198281,2.9512878125,2.9901205469,436800.0,
2000-08-30,CLF,NYSE,2.9978870937,3.0367198281,2.9668209062,3.0056536406,147200.0,
