date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,CLX,NYSE,49.75,49.875,48.75,49.1875,634800.0,
2000-01-04,CLX,NYSE,48.75,49.0,47.5625,47.875,545900.0,
2000-01-05,CLX,NYSE,48.125,50.25,47.5,49.125,659200.0,
2000-01-06,CLX,NYSE,47.5625,50.5,47.0625,49.5625,946300.0,
2000-01-07,CLX,NYSE,49.75,52.875,49.1875,52.3125,913800.0,
2000-01-10,CLX,NYSE,52.8125,53.125,51.375,51.75,369100.0,
2000-01-11,CLX,NYSE,50.9375,52.75,50.375,52.25,733600.0,
2000-01-12,CLX,NYSE,52.0,52.625,51.0,52.1875,572400.0,
2000-01-13,CLX,NYSE,52.8125,56.375,52.0,55.0,1852000.0,
2000-01-14,CLX,NYSE,54.125,55.5,53.75,54.25,831900.0,
2000-01-18,CLX,NYSE,52.875,53.75,52.1875,52.75,646300.0,
2000-01-19,CLX,NYSE,53.25,53.25,50.25,51.9375,960100.0,
2000-01-20,CLX,NYSE,53.5,53.5,50.625,52.0,725900.0,
2000-01-21,CLX,NYSE,52.0,52.0,49.875,50.625,1082700.0,
2000-01-24,CLX,NYSE,50.5,50.5625,48.5,48.875,925600.0,
2000-01-25,CLX,NYSE,48.875,49.9375,45.9375,47.25,1011200.0,
2000-01-26,CLX,NYSE,47.4375,48.125,47.375,47.8125,500900.0,
2000-01-27,CLX,NYSE,49.75,49.75,46.75,47.25,1765600.0,
2000-01-28,CLX,NYSE,48.0,48.0,45.0,46.875,1100200.0,
2000-01-31,CLX,NYSE,46.875,48.25,46.875,47.75,947300.0,
2000-02-01,CLX,NYSE,47.6875,48.1875,47.125,48.0,881800.0,
2000-02-02,CLX,NYSE,47.9375,49.9375,47.875,48.3125,943600.0,
2000-02-03,CLX,NYSE,48.5,49.1875,45.5,46.625,1024100.0,
2000-02-04,CLX,NYSE,46.0625,46.75,43.1875,43.875,1534100.0,
2000-02-07,CLX,NYSE,42.0,43.375,41.8125,42.6875,1106800.0,
2000-02-08,CLX,NYSE,43.5,45.5625,42.875,45.0,974700.0,
2000-02-09,CLX,NYSE,45.375,45.5,44.625,44.8125,987100.0,
2000-02-10,CLX,NYSE,44.5625,44.5625,41.625,41.875,713400.0,
2000-02-11,CLX,NYSE,41.8125,41.875,39.5625,40.5,1224400.0,
2000-02-14,CLX,NYSE,40.5625,41.125,39.6875,40.9375,787600.0,
2000-02-15,CLX,NYSE,41.25,41.625,39.6875,41.0,1015200.0,
2000-02-16,CLX,NYSE,40.875,41.6875,40.3125,40.625,601800.0,
2000-02-17,CLX,NYSE,41.0,41.5,40.3125,40.8125,742200.0,
2000-02-18,CLX,NYSE,40.0,40.3125,38.25,39.0,1099300.0,
2000-02-22,CLX,NYSE,39.125,39.75,38.5625,39.3125,837400.0,
2000-02-23,CLX,NYSE,39.25,40.5,39.0,39.5625,1017400.0,
2000-02-24,CLX,NYSE,40.25,40.25,37.75,38.8125,961300.0,
2000-02-25,CLX,NYSE,38.5625,38.75,36.4375,37.3125,806100.0,
2000-02-28,CLX,NYSE,37.125,39.5,37.0625,39.0,856400.0,
2000-02-29,CLX,NYSE,39.0625,42.0,39.0,40.4375,1276400.0,
2000-03-01,CLX,NYSE,40.9375,41.1875,40.0,40.3125,643900.0,
2000-03-02,CLX,NYSE,40.25,40.8125,40.0,40.625,602600.0,
2000-03-03,CLX,NYSE,40.625,41.5,40.25,41.1875,759500.0,
2000-03-06,CLX,NYSE,40.6875,40.875,40.0,40.0625,564100.0,
2000-03-07,CLX,NYSE,38.5,38.5,34.5625,36.125,2808100.0,
2000-03-08,CLX,NYSE,36.1875,36.1875,31.5,33.5,3299200.0,
2000-03-09,CLX,NYSE,33.5,34.4375,33.0,33.8125,1366100.0,
2000-03-10,CLX,NYSE,32.5,32.5625,29.0625,29.875,3253100.0,
2000-03-13,CLX,NYSE,29.875,30.8125,29.5,30.625,1973700.0,
2000-03-14,CLX,NYSE,31.0,31.25,29.875,30.3125,1121100.0,
2000-03-15,CLX,NYSE,30.75,34.5,30.25,33.5625,2043000.0,
2000-03-16,CLX,NYSE,34.125,38.25,33.9375,36.875,2262500.0,
2000-03-17,CLX,NYSE,36.875,36.875,34.0,34.75,1210100.0,
2000-03-20,CLX,NYSE,34.625,34.9375,33.0,33.9375,776300.0,
2000-03-21,CLX,NYSE,34.375,36.5,33.5625,36.1875,1027100.0,
2000-03-22,CLX,NYSE,36.25,36.375,34.1875,34.75,1387100.0,
2000-03-23,CLX,NYSE,34.75,35.5625,33.625,35.5625,1229700.0,
2000-03-24,CLX,NYSE,35.5625,35.875,31.625,32.4375,2144900.0,
2000-03-27,CLX,NYSE,32.75,32.875,29.9375,30.4375,2514900.0,
2000-03-28,CLX,NYSE,30.375,31.25,30.375,31.1875,1538100.0,
2000-03-29,CLX,NYSE,31.5,32.5625,31.3125,32.0625,1065600.0,
2000-03-30,CLX,NYSE,32.0625,33.0,31.625,32.5,1385700.0,
