date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,CMA,NYSE,46.25,46.25,44.625,45.0,984300.0,
2000-01-04,CMA,NYSE,44.625,44.625,42.9375,43.125,530100.0,
2000-01-05,CMA,NYSE,42.625,43.5,42.625,43.0,737900.0,
2000-01-06,CMA,NYSE,43.0,44.5,43.0,44.25,475300.0,
2000-01-07,CMA,NYSE,44.375,44.5,43.875,44.1875,435800.0,
2000-01-10,CMA,NYSE,42.75,44.0,42.4375,42.75,535800.0,
2000-01-11,CMA,NYSE,42.25,42.25,41.4375,41.625,587100.0,
2000-01-12,CMA,NYSE,41.625,42.5,41.5625,42.375,544400.0,
2000-01-13,CMA,NYSE,42.5,43.25,42.4375,42.8125,1049800.0,
2000-01-14,CMA,NYSE,43.75,44.375,43.5625,44.0625,655200.0,
2000-01-18,CMA,NYSE,44.0,44.0,42.5,43.0625,424400.0,
2000-01-19,CMA,NYSE,43.25,44.125,43.125,43.1875,937900.0,
2000-01-20,CMA,NYSE,43.1875,43.1875,41.3125,41.3125,693500.0,
2000-01-21,CMA,NYSE,41.3125,41.375,40.5625,40.8125,593100.0,
2000-01-24,CMA,NYSE,41.0625,41.3125,40.0625,40.4375,459700.0,
2000-01-25,CMA,NYSE,40.1875,41.0,40.0625,40.375,403500.0,
2000-01-26,CMA,NYSE,40.0,42.375,39.9375,42.1875,450400.0,
2000-01-27,CMA,NYSE,42.3125,43.0,42.125,42.875,417600.0,
2000-01-28,CMA,NYSE,42.875,43.0625,42.125,42.5,884900.0,
2000-01-31,CMA,NYSE,42.875,44.4375,42.75,44.1875,471300.0,
2000-02-01,CMA,NYSE,44.25,44.5,43.875,44.0625,651600.0,
2000-02-02,CMA,NYSE,44.0625,44.125,43.5625,43.8125,611700.0,
2000-02-03,CMA,NYSE,43.75,44.0625,43.25,44.0,811100.0,
2000-02-04,CMA,NYSE,43.75,44.25,43.3125,43.3125,634000.0,
2000-02-07,CMA,NYSE,43.3125,43.375,42.25,42.4375,378300.0,
2000-02-08,CMA,NYSE,42.6875,43.375,42.625,42.75,319300.0,
2000-02-09,CMA,NYSE,42.625,42.75,41.875,41.875,379800.0,
2000-02-10,CMA,NYSE,41.75,41.8125,40.0,40.3125,472300.0,
2000-02-11,CMA,NYSE,40.25,41.4375,39.875,40.375,609700.0,
2000-02-14,CMA,NYSE,40.375,40.75,39.5,39.8125,338300.0,
2000-02-15,CMA,NYSE,39.875,40.9375,39.4375,40.625,380100.0,
