date,code,exchange,open,high,low,close,volume,count_trx
2006-01-26,CMG,NYSE,0.9,0.961,0.7998,0.88,505965000.0,
2006-01-27,CMG,NYSE,0.8976,0.898,0.8372,0.844,43195000.0,
2006-01-30,CMG,NYSE,0.844,0.9102,0.825,0.896,25880000.0,
2006-01-31,CMG,NYSE,0.91,0.986,0.908,0.9504,33565000.0,
2006-02-01,CMG,NYSE,0.978,0.9846,0.905,0.9312,18585000.0,
2006-02-02,CMG,NYSE,0.958,0.958,0.8852,0.895,13740000.0,
2006-02-03,CMG,NYSE,0.897,0.9312,0.8852,0.931,6805000.0,
2006-02-06,CMG,NYSE,0.9496,0.96,0.92,0.9542,11610000.0,
2006-02-07,CMG,NYSE,0.9542,0.955,0.905,0.9256,9665000.0,
2006-02-08,CMG,NYSE,0.917,0.932,0.9008,0.9148,5880000.0,
2006-02-09,CMG,NYSE,0.9156,0.92,0.863,0.881,7325000.0,
2006-02-10,CMG,NYSE,0.865,0.865,0.8314,0.8462,13265000.0,
2006-02-13,CMG,NYSE,0.835,0.8506,0.82,0.8296,6240000.0,
2006-02-14,CMG,NYSE,0.829,0.865,0.8238,0.86,7285000.0,
2006-02-15,CMG,NYSE,0.862,0.8652,0.8444,0.854,3870000.0,
2006-02-16,CMG,NYSE,0.875,0.894,0.851,0.889,10595000.0,
2006-02-17,CMG,NYSE,0.885,0.9,0.877,0.877,5115000.0,
2006-02-21,CMG,NYSE,0.88,0.88,0.8584,0.862,2220000.0,
2006-02-22,CMG,NYSE,0.86,0.883,0.857,0.8774,3345000.0,
2006-02-23,CMG,NYSE,0.902,0.919,0.895,0.916,7345000.0,
2006-02-24,CMG,NYSE,0.918,0.935,0.916,0.9334,4075000.0,
2006-02-27,CMG,NYSE,0.939,0.939,0.9236,0.9306,3705000.0,
2006-02-28,CMG,NYSE,0.9306,0.9306,0.912,0.912,3450000.0,
2006-03-01,CMG,NYSE,0.9128,0.922,0.8946,0.91,5355000.0,
2006-03-02,CMG,NYSE,0.91,0.9262,0.9014,0.915,8450000.0,
2006-03-03,CMG,NYSE,0.915,0.9254,0.9028,0.9096,3550000.0,
2006-03-06,CMG,NYSE,0.912,0.922,0.9006,0.9158,6670000.0,
2006-03-07,CMG,NYSE,0.89,0.903,0.885,0.9,13380000.0,
2006-03-08,CMG,NYSE,0.897,0.897,0.846,0.85,12225000.0,
2006-03-09,CMG,NYSE,0.855,0.8578,0.825,0.8292,5255000.0,
2006-03-10,CMG,NYSE,0.828,0.8572,0.818,0.8422,12170000.0,
2006-03-13,CMG,NYSE,0.8472,0.8744,0.8472,0.8682,5350000.0,
2006-03-14,CMG,NYSE,0.93,0.983,0.928,0.974,39620000.0,
2006-03-15,CMG,NYSE,0.96,1.055,0.957,1.0402,34135000.0,
2006-03-16,CMG,NYSE,1.04,1.135,1.0378,1.101,55520000.0,
2006-03-17,CMG,NYSE,1.11,1.11,1.0686,1.0772,12785000.0,
2006-03-20,CMG,NYSE,1.0712,1.0714,1.001,1.0018,28465000.0,
2006-03-21,CMG,NYSE,1.0052,1.047,1.005,1.04,12120000.0,
2006-03-22,CMG,NYSE,1.059,1.097,1.059,1.096,19865000.0,
2006-03-23,CMG,NYSE,1.1,1.102,1.06,1.0776,14965000.0,
2006-03-24,CMG,NYSE,1.08,1.097,1.0722,1.0902,9190000.0,
2006-03-27,CMG,NYSE,1.085,1.088,1.069,1.0818,6675000.0,
2006-03-28,CMG,NYSE,1.082,1.082,1.059,1.064,6155000.0,
2006-03-29,CMG,NYSE,1.069,1.089,1.0602,1.0786,4735000.0,
2006-03-30,CMG,NYSE,1.0806,1.11,1.077,1.1082,8275000.0,
2006-03-31,CMG,NYSE,1.104,1.13,1.092,1.1078,28080000.0,
2006-04-03,CMG,NYSE,1.1112,1.1498,1.105,1.1396,13905000.0,
2006-04-04,CMG,NYSE,1.143,1.1494,1.128,1.14,6235000.0,
2006-04-05,CMG,NYSE,1.14,1.144,1.1206,1.143,3615000.0,
2006-04-06,CMG,NYSE,1.152,1.16,1.1096,1.11,11050000.0,
2006-04-07,CMG,NYSE,1.109,1.1098,1.088,1.093,8110000.0,
2006-04-10,CMG,NYSE,1.088,1.112,1.069,1.0746,9300000.0,
2006-04-11,CMG,NYSE,1.0748,1.099,1.0638,1.092,10965000.0,
2006-04-12,CMG,NYSE,1.09,1.1038,1.0764,1.081,7820000.0,
2006-04-13,CMG,NYSE,1.0802,1.0802,1.0542,1.0604,5625000.0,
2006-04-17,CMG,NYSE,1.056,1.0852,1.055,1.0814,3155000.0,
2006-04-18,CMG,NYSE,1.079,1.0858,1.075,1.0784,4225000.0,
2006-04-19,CMG,NYSE,1.08,1.088,1.076,1.08,6410000.0,
2006-04-20,CMG,NYSE,1.08,1.08,1.0602,1.0632,4020000.0,
2006-04-21,CMG,NYSE,1.075,1.0774,1.06,1.068,4765000.0,
2006-04-24,CMG,NYSE,1.065,1.0678,1.0592,1.0662,6555000.0,
2006-04-25,CMG,NYSE,1.0612,1.0612,1.026,1.043,7750000.0,
2006-04-26,CMG,NYSE,1.043,1.0472,1.0198,1.022,6025000.0,
2006-04-27,CMG,NYSE,0.98,1.016,0.966,1.0156,33355000.0,
2006-04-28,CMG,NYSE,1.006,1.0496,1.003,1.0438,6215000.0,
2006-05-01,CMG,NYSE,1.04,1.0432,1.028,1.033,6515000.0,
2006-05-02,CMG,NYSE,1.06,1.109,1.0502,1.0912,29545000.0,
2006-05-03,CMG,NYSE,1.091,1.104,1.091,1.1002,7235000.0,
2006-05-04,CMG,NYSE,1.1052,1.1238,1.098,1.1122,6825000.0,
2006-05-05,CMG,NYSE,1.11,1.1396,1.109,1.138,5615000.0,
2006-05-08,CMG,NYSE,1.1452,1.1916,1.142,1.1854,26370000.0,
2006-05-09,CMG,NYSE,1.3,1.3552,1.2466,1.341,79150000.0,
