date,code,exchange,open,high,low,close,volume,count_trx
2001-06-15,COL,NYSE,21.1,24.0,21.1,24.0,4200.0,
2001-06-18,COL,NYSE,24.5,25.35,24.5,25.15,10900.0,
2001-06-19,COL,NYSE,25.5,26.75,25.5,26.57,24600.0,
2001-06-20,COL,NYSE,26.6,27.12,26.6,26.9,55900.0,
2001-06-21,COL,NYSE,26.75,26.75,25.4,25.4,36500.0,
2001-06-22,COL,NYSE,25.25,25.25,22.9,22.95,55200.0,
2001-06-25,COL,NYSE,23.0,23.25,22.3,22.31,119000.0,
2001-06-26,COL,NYSE,22.5,23.14,22.45,23.01,260300.0,
2001-06-27,COL,NYSE,23.26,23.65,22.58,22.76,218700.0,
2001-06-28,COL,NYSE,22.96,24.0,22.8,23.6,61800.0,
2001-06-29,COL,NYSE,23.64,24.2,23.51,23.51,118100.0,
2001-07-02,COL,NYSE,23.51,24.24,23.45,23.66,1963500.0,
2001-07-03,COL,NYSE,23.41,23.41,22.9,23.15,330600.0,
2001-07-05,COL,NYSE,23.35,23.4,21.8,22.35,688400.0,
2001-07-06,COL,NYSE,22.4,22.4,21.46,21.72,638700.0,
2001-07-09,COL,NYSE,21.52,22.2,21.3,21.7,731800.0,
2001-07-10,COL,NYSE,22.0,22.2,21.25,21.26,394400.0,
2001-07-11,COL,NYSE,21.26,21.74,20.5,20.74,721600.0,
2001-07-12,COL,NYSE,20.5,20.95,20.3,20.76,588400.0,
2001-07-13,COL,NYSE,20.65,20.8,19.95,20.1,483500.0,
2001-07-16,COL,NYSE,19.8,20.01,19.4,19.45,575300.0,
2001-07-17,COL,NYSE,19.46,20.2,19.0,20.16,944100.0,
2001-07-18,COL,NYSE,19.97,21.5,19.7,20.97,727700.0,
2001-07-19,COL,NYSE,20.93,21.6,20.9,21.6,916700.0,
2001-07-20,COL,NYSE,21.5,22.55,21.5,21.59,503700.0,
2001-07-23,COL,NYSE,21.5,21.54,20.75,20.75,298200.0,
2001-07-24,COL,NYSE,21.1,21.2,20.58,20.59,809200.0,
2001-07-25,COL,NYSE,20.7,21.66,20.5,21.66,506500.0,
2001-07-26,COL,NYSE,21.6,21.71,21.05,21.5,433800.0,
2001-07-27,COL,NYSE,21.5,22.12,21.05,21.11,230400.0,
2001-07-30,COL,NYSE,21.12,21.4,20.1,20.15,200500.0,
2001-07-31,COL,NYSE,20.2,21.2,20.15,20.7,458600.0,
2001-08-01,COL,NYSE,20.5,21.25,20.45,20.85,585000.0,
2001-08-02,COL,NYSE,21.01,21.55,21.01,21.14,674000.0,
2001-08-03,COL,NYSE,21.14,21.85,21.11,21.31,351100.0,
2001-08-06,COL,NYSE,21.06,21.42,21.06,21.1,401100.0,
2001-08-07,COL,NYSE,21.01,21.4,20.9,21.05,629000.0,
2001-08-08,COL,NYSE,21.01,21.09,20.75,20.81,436800.0,
