date,code,exchange,open,high,low,close,volume,count_trx
2011-12-15,CPRI,NYSE,25.0,25.23,23.53,24.2,19268660.0,
2011-12-16,CPRI,NYSE,24.48,24.8,23.51,24.1,835936.0,
2011-12-19,CPRI,NYSE,24.5,25.08,24.32,24.88,625714.0,
2011-12-20,CPRI,NYSE,25.02,25.76,25.02,25.45,435119.0,
2011-12-21,CPRI,NYSE,25.64,26.76,25.46,26.55,425452.0,
2011-12-22,CPRI,NYSE,26.85,27.48,26.54,27.27,328930.0,
2011-12-23,CPRI,NYSE,27.5,27.5,26.84,27.0,215582.0,
2011-12-27,CPRI,NYSE,27.15,27.33,26.88,27.2,83146.0,
2011-12-28,CPRI,NYSE,27.58,27.58,27.11,27.41,82791.0,
2011-12-29,CPRI,NYSE,27.5,27.5,27.22,27.22,41204.0,
2011-12-30,CPRI,NYSE,27.31,27.35,27.11,27.25,61284.0,
2012-01-03,CPRI,NYSE,27.25,27.51,27.02,27.15,179929.0,
2012-01-04,CPRI,NYSE,27.19,27.26,26.36,26.4,127540.0,
2012-01-05,CPRI,NYSE,26.07,27.04,25.5,26.45,174919.0,
2012-01-06,CPRI,NYSE,26.45,26.7,25.95,26.0,92002.0,
2012-01-09,CPRI,NYSE,25.87,26.24,25.87,26.2,107131.0,
2012-01-10,CPRI,NYSE,26.47,26.62,26.25,26.42,100555.0,
2012-01-11,CPRI,NYSE,26.29,26.6,26.13,26.14,82049.0,
2012-01-12,CPRI,NYSE,26.13,26.15,25.76,26.1,101011.0,
2012-01-13,CPRI,NYSE,25.93,26.56,25.93,26.56,179420.0,
2012-01-17,CPRI,NYSE,26.78,28.52,26.76,28.05,594150.0,
2012-01-18,CPRI,NYSE,28.5,28.85,27.95,28.4,323013.0,
2012-01-19,CPRI,NYSE,28.69,28.77,28.5,28.68,206275.0,
2012-01-20,CPRI,NYSE,28.75,29.61,28.72,29.35,584438.0,
2012-01-23,CPRI,NYSE,29.49,29.88,28.77,29.76,208695.0,
2012-01-24,CPRI,NYSE,30.16,30.16,29.21,29.5,222182.0,
2012-01-25,CPRI,NYSE,30.0,30.5,29.65,30.5,125440.0,
2012-01-26,CPRI,NYSE,30.58,30.62,29.28,29.78,88927.0,
2012-01-27,CPRI,NYSE,29.74,30.13,29.4,29.85,194051.0,
2012-01-30,CPRI,NYSE,29.86,29.94,29.32,29.84,63429.0,
2012-01-31,CPRI,NYSE,29.95,31.35,29.47,30.95,253701.0,
2012-02-01,CPRI,NYSE,31.0,31.71,30.77,31.3,110005.0,
2012-02-02,CPRI,NYSE,31.57,32.0,31.4,31.67,144234.0,
2012-02-03,CPRI,NYSE,31.81,32.82,31.81,32.51,118158.0,
2012-02-06,CPRI,NYSE,32.6,33.81,32.42,33.13,191322.0,
2012-02-07,CPRI,NYSE,33.31,33.76,32.65,32.66,103252.0,
2012-02-08,CPRI,NYSE,32.9,33.31,31.77,33.21,194991.0,
2012-02-09,CPRI,NYSE,33.71,34.24,33.13,33.97,156560.0,
2012-02-10,CPRI,NYSE,33.51,33.82,33.4,33.47,160013.0,
2012-02-13,CPRI,NYSE,34.2,34.87,33.05,33.61,280943.0,
2012-02-14,CPRI,NYSE,39.5,42.98,39.49,42.85,1307445.0,
2012-02-15,CPRI,NYSE,43.56,44.95,41.89,42.85,615299.0,
2012-02-16,CPRI,NYSE,42.75,43.73,41.52,42.25,167010.0,
2012-02-17,CPRI,NYSE,42.35,42.7,41.75,41.82,105090.0,
2012-02-21,CPRI,NYSE,42.07,42.11,40.2,41.1,221791.0,
2012-02-22,CPRI,NYSE,40.66,42.05,39.63,41.05,232095.0,
2012-02-23,CPRI,NYSE,40.76,42.71,40.68,40.76,178743.0,
2012-02-24,CPRI,NYSE,41.07,42.17,40.68,41.51,79878.0,
2012-02-27,CPRI,NYSE,42.1,44.01,41.57,43.66,191357.0,
2012-02-28,CPRI,NYSE,43.9,43.9,42.29,42.69,149530.0,
2012-02-29,CPRI,NYSE,42.72,44.15,42.25,43.25,217837.0,
2012-03-01,CPRI,NYSE,43.98,46.45,43.61,45.73,301972.0,
2012-03-02,CPRI,NYSE,46.4,48.83,45.4,47.95,323132.0,
2012-03-05,CPRI,NYSE,48.91,49.75,46.34,48.63,393702.0,
2012-03-06,CPRI,NYSE,47.0,47.79,46.37,46.81,210937.0,
2012-03-07,CPRI,NYSE,47.38,47.5,45.46,46.1,260809.0,
2012-03-08,CPRI,NYSE,47.0,47.64,46.29,47.08,102656.0,
2012-03-09,CPRI,NYSE,47.79,50.64,47.79,49.59,329105.0,
2012-03-12,CPRI,NYSE,47.0,48.6,46.3,48.57,416685.0,
2012-03-13,CPRI,NYSE,48.52,49.92,48.14,48.75,301146.0,
2012-03-14,CPRI,NYSE,48.8,48.8,47.17,47.57,244723.0,
2012-03-15,CPRI,NYSE,48.17,48.17,46.73,47.65,226321.0,
2012-03-16,CPRI,NYSE,47.72,47.96,45.73,46.28,301040.0,
2012-03-19,CPRI,NYSE,46.5,47.4,44.61,45.32,276639.0,
2012-03-20,CPRI,NYSE,47.02,48.25,44.31,48.09,743595.0,
2012-03-21,CPRI,NYSE,48.86,49.25,47.98,48.63,289882.0,
2012-03-22,CPRI,NYSE,48.2,50.43,47.97,48.72,628118.0,
2012-03-23,CPRI,NYSE,46.75,47.83,46.65,47.0,4322669.0,
2012-03-26,CPRI,NYSE,47.68,47.75,46.94,47.08,795283.0,
2012-03-27,CPRI,NYSE,47.27,47.34,46.35,46.53,590629.0,
2012-03-28,CPRI,NYSE,46.07,46.42,44.95,45.02,561858.0,
2012-03-29,CPRI,NYSE,44.5,45.95,44.49,45.69,545146.0,
2012-03-30,CPRI,NYSE,46.3,46.75,45.0,46.59,1548489.0,
2012-04-02,CPRI,NYSE,46.59,47.0,45.92,46.15,255435.0,
2012-04-03,CPRI,NYSE,46.47,47.38,46.32,47.01,307666.0,
2012-04-04,CPRI,NYSE,46.45,47.94,46.3,47.45,435479.0,
2012-04-05,CPRI,NYSE,47.27,48.0,47.0,47.53,383149.0,
2012-04-09,CPRI,NYSE,46.6,47.26,46.42,46.8,316203.0,
2012-04-10,CPRI,NYSE,46.66,46.7,42.31,43.17,763806.0,
2012-04-11,CPRI,NYSE,43.75,44.2,41.39,42.9,671186.0,
