date,code,exchange,open,high,low,close,volume,count_trx
2000-06-23,CRL,NYSE,19.5,23.5,18.625,22.0,7753400.0,
2000-06-26,CRL,NYSE,21.75,21.875,20.875,21.875,924400.0,
2000-06-27,CRL,NYSE,21.9375,21.9375,21.125,21.5625,372400.0,
2000-06-28,CRL,NYSE,21.625,21.6875,20.75,21.5625,546600.0,
2000-06-29,CRL,NYSE,21.5,21.5,21.1875,21.1875,122100.0,
2000-06-30,CRL,NYSE,21.1875,22.75,20.875,22.1875,511100.0,
2000-07-03,CRL,NYSE,22.1875,22.25,21.75,22.1875,73500.0,
2000-07-05,CRL,NYSE,22.0,24.25,21.625,22.4375,182000.0,
2000-07-06,CRL,NYSE,22.5,23.75,22.0625,23.75,141600.0,
2000-07-07,CRL,NYSE,23.75,24.5,23.0,23.625,280200.0,
2000-07-10,CRL,NYSE,23.375,24.75,23.375,24.75,53200.0,
2000-07-11,CRL,NYSE,25.0,26.875,24.6875,25.25,282700.0,
2000-07-12,CRL,NYSE,25.5,26.4375,24.75,24.875,223900.0,
2000-07-13,CRL,NYSE,25.0,26.375,24.4375,26.25,185300.0,
2000-07-14,CRL,NYSE,26.0,26.0,24.1875,24.1875,86700.0,
2000-07-17,CRL,NYSE,24.5,24.625,23.3125,23.6875,380700.0,
2000-07-18,CRL,NYSE,23.6875,25.0,23.6875,24.75,274000.0,
2000-07-19,CRL,NYSE,24.875,25.6875,24.75,24.875,188600.0,
2000-07-20,CRL,NYSE,24.875,24.875,24.5,24.5625,22800.0,
2000-07-21,CRL,NYSE,24.5,24.5,24.0,24.1875,64700.0,
2000-07-24,CRL,NYSE,24.1875,26.375,24.1875,25.5,350000.0,
2000-07-25,CRL,NYSE,25.5,25.5,24.8125,24.8125,78600.0,
2000-07-26,CRL,NYSE,24.75,27.375,24.75,27.25,155000.0,
2000-07-27,CRL,NYSE,27.3125,28.625,27.3125,28.25,201100.0,
2000-07-28,CRL,NYSE,28.1875,28.1875,27.5,27.5625,39600.0,
2000-07-31,CRL,NYSE,27.4375,30.1875,27.3125,30.1875,422100.0,
2000-08-01,CRL,NYSE,30.0,30.0,27.875,28.5,159600.0,
2000-08-02,CRL,NYSE,28.4375,28.5,28.125,28.1875,44900.0,
2000-08-03,CRL,NYSE,28.5,30.5,28.5,30.375,330800.0,
2000-08-04,CRL,NYSE,30.625,31.0,29.25,29.875,85800.0,
2000-08-07,CRL,NYSE,29.75,33.25,29.75,33.0,355400.0,
2000-08-08,CRL,NYSE,33.0,33.375,32.8125,33.0625,123000.0,
2000-08-09,CRL,NYSE,33.1875,33.1875,31.375,31.6875,121600.0,
2000-08-10,CRL,NYSE,31.8125,31.875,30.625,30.625,109700.0,
2000-08-11,CRL,NYSE,30.5625,30.625,29.375,29.375,46400.0,
2000-08-14,CRL,NYSE,29.125,29.125,27.9375,27.9375,67000.0,
2000-08-15,CRL,NYSE,27.9375,27.9375,24.5,26.375,338700.0,
2000-08-16,CRL,NYSE,26.375,26.4375,25.3125,25.8125,152400.0,
2000-08-17,CRL,NYSE,25.8125,25.875,25.5625,25.8125,89600.0,
2000-08-18,CRL,NYSE,25.6875,26.625,24.75,26.25,176400.0,
2000-08-21,CRL,NYSE,26.3125,26.3125,24.625,25.5,166400.0,
2000-08-22,CRL,NYSE,25.625,26.4375,25.0,26.375,54200.0,
2000-08-23,CRL,NYSE,26.375,28.125,26.375,27.9375,126100.0,
2000-08-24,CRL,NYSE,27.875,28.625,27.375,28.0,96400.0,
2000-08-25,CRL,NYSE,27.875,27.875,27.5,27.5625,34000.0,
2000-08-28,CRL,NYSE,27.5625,27.9375,27.25,27.9375,44400.0,
2000-08-29,CRL,NYSE,27.9375,27.9375,27.6875,27.875,89500.0,
2000-08-30,CRL,NYSE,27.875,27.875,27.5,27.5,70300.0,
2000-08-31,CRL,NYSE,27.375,27.4375,27.3125,27.4375,16400.0,
2000-09-01,CRL,NYSE,27.5625,27.75,27.3125,27.75,35500.0,
2000-09-05,CRL,NYSE,27.75,27.75,27.125,27.4375,52800.0,
2000-09-06,CRL,NYSE,27.5,27.625,27.5,27.5,56800.0,
2000-09-07,CRL,NYSE,27.5625,27.5625,27.1875,27.25,61000.0,
2000-09-08,CRL,NYSE,27.25,27.25,26.375,26.75,120600.0,
2000-09-11,CRL,NYSE,26.8125,26.8125,26.625,26.8125,45000.0,
2000-09-12,CRL,NYSE,26.8125,26.8125,26.4375,26.4375,42600.0,
2000-09-13,CRL,NYSE,26.3125,26.375,26.0,26.0,188400.0,
2000-09-14,CRL,NYSE,26.0,26.125,25.75,25.8125,24700.0,
2000-09-15,CRL,NYSE,25.9375,25.9375,24.875,24.875,66100.0,
2000-09-18,CRL,NYSE,24.625,24.625,22.9375,23.0,122200.0,
2000-09-19,CRL,NYSE,22.875,22.875,21.5,21.5,91900.0,
2000-09-20,CRL,NYSE,21.625,22.3125,21.375,22.0625,89500.0,
2000-09-21,CRL,NYSE,22.125,22.625,22.125,22.5,73700.0,
2000-09-22,CRL,NYSE,22.375,23.875,22.375,23.0,169000.0,
2000-09-25,CRL,NYSE,23.125,26.875,23.125,26.75,233200.0,
2000-09-26,CRL,NYSE,27.25,28.625,27.125,28.5625,105500.0,
2000-09-27,CRL,NYSE,29.875,30.25,29.5625,29.5625,380600.0,
2000-09-28,CRL,NYSE,29.8125,32.5,29.75,31.75,127100.0,
2000-09-29,CRL,NYSE,31.5,34.0,30.75,34.0,143300.0,
2000-10-02,CRL,NYSE,34.0,34.0,31.5,31.5625,100300.0,
