date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,CVS,NYSE,20.0,20.09375,18.46875,18.90625,5423400.0,
2000-01-04,CVS,NYSE,18.75,19.09375,18.4375,18.75,5188600.0,
2000-01-05,CVS,NYSE,18.8125,19.96875,18.78125,19.78125,4976200.0,
2000-01-06,CVS,NYSE,19.6875,19.6875,18.09375,18.4375,6285000.0,
2000-01-07,CVS,NYSE,18.5,18.875,17.65625,18.8125,5913600.0,
2000-01-10,CVS,NYSE,19.6875,19.9375,18.1875,18.75,7216600.0,
2000-01-11,CVS,NYSE,18.8125,19.4375,18.71875,18.84375,5602600.0,
2000-01-12,CVS,NYSE,18.875,19.03125,18.3125,18.8125,4205400.0,
2000-01-13,CVS,NYSE,18.8125,18.84375,18.28125,18.4375,4787000.0,
2000-01-14,CVS,NYSE,18.40625,18.40625,17.3125,17.8125,11923000.0,
2000-01-18,CVS,NYSE,17.8125,18.21875,17.6875,18.0,4857400.0,
2000-01-19,CVS,NYSE,17.96875,18.125,17.71875,17.84375,3435200.0,
2000-01-20,CVS,NYSE,17.75,17.78125,16.3125,16.6875,7856200.0,
2000-01-21,CVS,NYSE,17.0,17.46875,16.84375,17.25,7072800.0,
2000-01-24,CVS,NYSE,17.375,17.59375,17.03125,17.21875,6416200.0,
2000-01-25,CVS,NYSE,17.25,17.46875,16.96875,17.0,3071400.0,
2000-01-26,CVS,NYSE,17.09375,17.4375,16.84375,17.0625,3016200.0,
2000-01-27,CVS,NYSE,17.25,17.25,16.5,16.6875,2453400.0,
2000-01-28,CVS,NYSE,16.8125,17.875,16.59375,17.40625,3616400.0,
2000-01-31,CVS,NYSE,17.4375,17.5,17.15625,17.46875,2908200.0,
2000-02-01,CVS,NYSE,17.40625,17.53125,17.03125,17.53125,3089200.0,
2000-02-02,CVS,NYSE,17.75,19.0,17.65625,18.375,6392200.0,
2000-02-03,CVS,NYSE,18.46875,19.46875,18.21875,18.875,3495600.0,
2000-02-04,CVS,NYSE,18.75,19.25,18.15625,18.25,4813200.0,
2000-02-07,CVS,NYSE,18.78125,18.78125,18.0625,18.21875,4384800.0,
2000-02-08,CVS,NYSE,19.5,20.4375,18.78125,20.03125,13647400.0,
2000-02-09,CVS,NYSE,20.0,20.0,19.40625,19.5,6980600.0,
2000-02-10,CVS,NYSE,20.375,20.71875,20.0,20.3125,9347600.0,
2000-02-11,CVS,NYSE,20.34375,20.34375,19.78125,19.8125,4496400.0,
2000-02-14,CVS,NYSE,19.84375,20.03125,19.40625,20.0,3489600.0,
2000-02-15,CVS,NYSE,19.96875,19.96875,19.5,19.625,3770800.0,
2000-02-16,CVS,NYSE,19.4375,19.5625,19.28125,19.40625,4224600.0,
2000-02-17,CVS,NYSE,19.4375,19.59375,19.09375,19.125,3932400.0,
2000-02-18,CVS,NYSE,19.0625,19.1875,18.40625,18.5625,3149000.0,
2000-02-22,CVS,NYSE,18.6875,19.21875,18.5,19.09375,3625800.0,
2000-02-23,CVS,NYSE,19.03125,19.96875,18.90625,19.4375,5360200.0,
2000-02-24,CVS,NYSE,19.46875,19.46875,18.34375,18.625,5939000.0,
2000-02-25,CVS,NYSE,18.25,18.875,17.90625,18.375,4164400.0,
2000-02-28,CVS,NYSE,18.5,18.5,17.75,17.9375,3493200.0,
2000-02-29,CVS,NYSE,18.0,18.0,17.375,17.5,6694000.0,
2000-03-01,CVS,NYSE,17.59375,17.59375,16.375,16.5625,6575200.0,
2000-03-02,CVS,NYSE,16.6875,16.6875,15.1875,15.3125,11721600.0,
2000-03-03,CVS,NYSE,15.3125,15.5625,15.0,15.21875,10422800.0,
2000-03-06,CVS,NYSE,15.5625,15.71875,15.125,15.40625,9578600.0,
2000-03-07,CVS,NYSE,15.75,15.9375,13.90625,14.03125,10763200.0,
2000-03-08,CVS,NYSE,15.0,15.71875,14.71875,15.5625,6707200.0,
2000-03-09,CVS,NYSE,15.5625,15.96875,15.09375,15.96875,3717200.0,
2000-03-10,CVS,NYSE,15.75,15.78125,15.1875,15.21875,4662800.0,
2000-03-13,CVS,NYSE,15.0,15.6875,14.96875,15.4375,4242400.0,
2000-03-14,CVS,NYSE,15.6875,15.75,15.375,15.375,4288000.0,
2000-03-15,CVS,NYSE,15.625,16.3125,15.59375,16.3125,3684600.0,
2000-03-16,CVS,NYSE,17.25,18.375,16.9375,18.1875,6297400.0,
2000-03-17,CVS,NYSE,18.1875,18.28125,17.78125,18.0,4121600.0,
2000-03-20,CVS,NYSE,18.03125,18.125,16.96875,17.5,2654200.0,
2000-03-21,CVS,NYSE,17.5,18.6875,17.1875,18.59375,5524600.0,
2000-03-22,CVS,NYSE,18.5,18.75,18.0,18.5625,4450600.0,
2000-03-23,CVS,NYSE,18.59375,18.59375,17.8125,18.21875,2412800.0,
2000-03-24,CVS,NYSE,18.03125,18.09375,16.875,17.96875,6682400.0,
2000-03-27,CVS,NYSE,17.625,17.625,16.5625,17.0625,4219800.0,
2000-03-28,CVS,NYSE,17.4375,17.71875,16.90625,17.09375,4364800.0,
2000-03-29,CVS,NYSE,17.15625,18.34375,17.15625,18.21875,3635600.0,
2000-03-30,CVS,NYSE,18.09375,18.75,18.0625,18.5625,2823800.0,
2000-03-31,CVS,NYSE,18.40625,19.0,18.34375,18.78125,3694400.0,
2000-04-03,CVS,NYSE,18.78125,19.625,18.75,19.34375,3457600.0,
2000-04-04,CVS,NYSE,19.34375,22.25,19.34375,20.46875,7524000.0,
2000-04-05,CVS,NYSE,20.375,20.59375,19.84375,20.3125,5907800.0,
2000-04-06,CVS,NYSE,20.25,20.25,19.0,19.40625,3734600.0,
2000-04-07,CVS,NYSE,19.5,19.625,19.25,19.40625,1596600.0,
2000-04-10,CVS,NYSE,19.4375,19.65625,19.0625,19.375,2044000.0,
2000-04-11,CVS,NYSE,19.0,20.78125,18.8125,20.71875,5452000.0,
2000-04-12,CVS,NYSE,21.5,23.0,21.3125,22.09375,8278000.0,
2000-04-13,CVS,NYSE,22.03125,22.5625,21.65625,22.15625,4789000.0,
2000-04-14,CVS,NYSE,22.0625,22.0625,20.84375,21.0,4674000.0,
2000-04-17,CVS,NYSE,20.78125,21.125,20.375,20.96875,3973400.0,
2000-04-18,CVS,NYSE,20.90625,22.125,20.90625,21.96875,3166400.0,
2000-04-19,CVS,NYSE,22.375,22.375,21.59375,21.75,3338200.0,
2000-04-20,CVS,NYSE,21.46875,22.0,21.46875,21.90625,2010800.0,
2000-04-24,CVS,NYSE,21.96875,22.1875,21.75,22.0,2690000.0,
2000-04-25,CVS,NYSE,22.03125,23.40625,21.90625,23.375,4479200.0,
2000-04-26,CVS,NYSE,23.25,23.25,22.28125,22.4375,4012200.0,
2000-04-27,CVS,NYSE,22.125,22.28125,21.96875,22.125,2623200.0,
2000-04-28,CVS,NYSE,22.03125,22.3125,21.6875,21.75,3301200.0,
2000-05-01,CVS,NYSE,21.75,21.9375,21.1875,21.84375,2707600.0,
