date,code,exchange,open,high,low,close,volume,count_trx
2007-08-03,CXO,NYSE,11.61,13.38,11.6,12.9,4590300.0,
2007-08-06,CXO,NYSE,13.0,13.23,12.25,12.7,590400.0,
2007-08-07,CXO,NYSE,12.64,12.9,12.4,12.6,348400.0,
2007-08-08,CXO,NYSE,12.65,12.9,12.52,12.88,131900.0,
2007-08-09,CXO,NYSE,12.45,13.1,12.3,12.94,119500.0,
2007-08-10,CXO,NYSE,12.72,13.2,12.62,12.81,200200.0,
2007-08-13,CXO,NYSE,12.91,13.2,12.91,13.07,92800.0,
2007-08-14,CXO,NYSE,13.45,13.49,12.91,13.15,39600.0,
2007-08-15,CXO,NYSE,12.99,13.1,12.6,12.88,94000.0,
2007-08-16,CXO,NYSE,12.6,12.7,12.5,12.7,51600.0,
2007-08-17,CXO,NYSE,12.49,13.0,12.49,13.0,53600.0,
2007-08-20,CXO,NYSE,12.89,12.89,12.45,12.75,83200.0,
2007-08-21,CXO,NYSE,12.7,12.9,12.56,12.9,68800.0,
2007-08-22,CXO,NYSE,12.99,12.99,12.5,12.63,22700.0,
2007-08-23,CXO,NYSE,12.51,12.9,12.5,12.9,19400.0,
2007-08-24,CXO,NYSE,12.83,13.0,12.77,12.99,34400.0,
2007-08-27,CXO,NYSE,12.99,13.1,12.6,13.1,85800.0,
2007-08-28,CXO,NYSE,13.16,13.2,12.76,12.76,12600.0,
2007-08-29,CXO,NYSE,12.76,13.2,12.76,12.77,28100.0,
2007-08-30,CXO,NYSE,12.61,12.85,12.54,12.54,26700.0,
2007-08-31,CXO,NYSE,12.69,12.82,12.53,12.69,10100.0,
2007-09-04,CXO,NYSE,12.68,13.8,12.5,13.73,95500.0,
2007-09-05,CXO,NYSE,13.77,15.0,13.1,14.5,121200.0,
2007-09-06,CXO,NYSE,14.53,14.78,13.95,14.5,32900.0,
2007-09-07,CXO,NYSE,14.5,14.7,14.25,14.5,73400.0,
2007-09-10,CXO,NYSE,14.53,15.29,14.53,14.83,120400.0,
2007-09-11,CXO,NYSE,14.84,15.45,14.84,15.2,92000.0,
2007-09-12,CXO,NYSE,15.29,15.5,15.1,15.22,80200.0,
2007-09-13,CXO,NYSE,15.34,15.55,15.22,15.55,35900.0,
2007-09-14,CXO,NYSE,15.55,16.0,15.47,15.89,63400.0,
2007-09-17,CXO,NYSE,15.84,15.9,15.65,15.71,20600.0,
2007-09-18,CXO,NYSE,15.59,15.91,15.25,15.4,65500.0,
2007-09-19,CXO,NYSE,15.3,15.7,15.0,15.7,24500.0,
2007-09-20,CXO,NYSE,15.74,15.91,15.65,15.85,39600.0,
2007-09-21,CXO,NYSE,15.94,16.25,15.75,16.13,109000.0,
2007-09-24,CXO,NYSE,16.15,16.43,16.03,16.17,173800.0,
2007-09-25,CXO,NYSE,16.14,16.14,15.65,15.65,20900.0,
2007-09-26,CXO,NYSE,16.0,16.39,16.0,16.1,69900.0,
2007-09-27,CXO,NYSE,16.17,16.38,15.15,15.42,123400.0,
2007-09-28,CXO,NYSE,15.3,15.44,14.81,14.81,1116000.0,
2007-10-01,CXO,NYSE,14.79,16.2,14.5,15.8,152300.0,
2007-10-02,CXO,NYSE,15.71,16.34,15.71,16.03,62800.0,
2007-10-03,CXO,NYSE,16.0,16.55,16.0,16.42,105100.0,
2007-10-04,CXO,NYSE,16.51,17.2,16.27,16.95,91400.0,
2007-10-05,CXO,NYSE,17.15,17.25,16.72,17.25,79400.0,
2007-10-08,CXO,NYSE,17.24,17.4,16.7,16.7,106400.0,
2007-10-09,CXO,NYSE,16.8,17.18,16.01,17.07,52600.0,
2007-10-10,CXO,NYSE,17.0,17.55,16.51,17.54,90500.0,
2007-10-11,CXO,NYSE,17.55,18.69,17.44,18.6,209800.0,
2007-10-12,CXO,NYSE,18.65,18.76,18.35,18.46,80700.0,
2007-10-15,CXO,NYSE,18.46,18.5,17.77,18.03,49400.0,
2007-10-16,CXO,NYSE,18.2,18.9,18.1,18.82,283600.0,
2007-10-17,CXO,NYSE,19.01,19.35,18.7,18.86,145200.0,
2007-10-18,CXO,NYSE,19.06,19.74,18.95,19.73,51200.0,
2007-10-19,CXO,NYSE,19.68,20.07,19.31,19.65,127800.0,
2007-10-22,CXO,NYSE,19.58,20.44,19.33,19.56,97200.0,
2007-10-23,CXO,NYSE,19.75,20.0,19.18,19.95,58500.0,
2007-10-24,CXO,NYSE,20.0,20.18,19.32,20.16,52800.0,
2007-10-25,CXO,NYSE,19.51,19.94,19.51,19.74,107600.0,
2007-10-26,CXO,NYSE,20.03,21.75,19.75,21.37,73700.0,
2007-10-29,CXO,NYSE,21.8,22.25,20.87,21.99,65100.0,
2007-10-30,CXO,NYSE,21.65,22.15,20.35,20.46,70700.0,
2007-10-31,CXO,NYSE,20.8,20.8,19.25,19.49,45100.0,
2007-11-01,CXO,NYSE,19.45,20.08,19.0,19.92,93100.0,
2007-11-02,CXO,NYSE,19.98,20.0,19.28,19.94,44400.0,
2007-11-05,CXO,NYSE,20.13,20.2,19.74,19.78,47800.0,
2007-11-06,CXO,NYSE,19.78,19.78,18.75,19.4,47400.0,
2007-11-07,CXO,NYSE,19.25,19.99,18.8,19.01,65100.0,
2007-11-08,CXO,NYSE,19.1,19.1,18.67,18.89,70000.0,
2007-11-09,CXO,NYSE,18.65,18.75,18.3,18.56,113000.0,
2007-11-12,CXO,NYSE,18.43,18.43,17.25,18.12,46500.0,
2007-11-13,CXO,NYSE,18.07,18.4,17.31,18.4,53200.0,
2007-11-14,CXO,NYSE,18.9,18.9,17.46,17.6,95700.0,
2007-11-15,CXO,NYSE,17.56,18.56,17.56,18.5,91600.0,
2007-11-16,CXO,NYSE,18.38,18.92,18.0,18.54,106000.0,
2007-11-19,CXO,NYSE,18.36,18.66,17.98,18.07,37900.0,
2007-11-20,CXO,NYSE,18.01,19.68,17.9,19.65,71400.0,
2007-11-21,CXO,NYSE,19.69,21.3,19.69,20.57,74600.0,
2007-11-23,CXO,NYSE,20.9,21.82,20.9,21.24,67600.0,
2007-11-26,CXO,NYSE,21.53,21.53,19.82,19.93,68000.0,
2007-11-27,CXO,NYSE,20.23,21.45,18.79,19.09,124400.0,
2007-11-28,CXO,NYSE,18.65,19.27,18.0,18.76,101400.0,
2007-11-29,CXO,NYSE,19.15,19.16,18.73,18.79,20700.0,
2007-11-30,CXO,NYSE,19.19,19.19,18.5,18.86,61400.0,
2007-12-03,CXO,NYSE,19.1,19.1,18.44,18.55,37800.0,
2007-12-04,CXO,NYSE,18.62,18.62,18.1,18.1,39600.0,
2007-12-05,CXO,NYSE,18.6,18.6,17.72,17.79,102600.0,
2007-12-06,CXO,NYSE,17.74,19.29,17.26,19.27,134800.0,
2007-12-07,CXO,NYSE,18.6,18.6,17.36,17.41,105500.0,
2007-12-10,CXO,NYSE,17.55,17.63,16.7,17.61,138100.0,
2007-12-11,CXO,NYSE,17.6,18.22,17.52,17.88,109900.0,
2007-12-12,CXO,NYSE,18.28,18.6,17.8,18.54,96600.0,
2007-12-13,CXO,NYSE,18.24,18.42,18.0,18.19,112200.0,
2007-12-14,CXO,NYSE,18.4,19.27,18.3,19.0,2026600.0,
2007-12-17,CXO,NYSE,18.81,19.47,18.54,18.98,308800.0,
2007-12-18,CXO,NYSE,19.1,20.44,19.03,20.34,218500.0,
2007-12-19,CXO,NYSE,20.38,20.57,19.61,20.08,159200.0,
2007-12-20,CXO,NYSE,20.25,20.62,20.1,20.41,84600.0,
2007-12-21,CXO,NYSE,20.75,20.86,20.3,20.58,494000.0,
2007-12-24,CXO,NYSE,20.48,20.86,20.26,20.84,107400.0,
2007-12-26,CXO,NYSE,20.7,21.48,20.52,21.25,160800.0,
2007-12-27,CXO,NYSE,21.4,21.55,20.64,20.75,76500.0,
2007-12-28,CXO,NYSE,21.05,21.28,20.42,20.55,63100.0,
2007-12-31,CXO,NYSE,20.38,20.61,19.8,20.61,121000.0,
2008-01-02,CXO,NYSE,20.66,21.74,20.44,21.57,202300.0,
2008-01-03,CXO,NYSE,21.72,22.25,21.7,22.08,233200.0,
2008-01-04,CXO,NYSE,22.0,22.2,20.92,21.06,275100.0,
2008-01-07,CXO,NYSE,21.34,21.74,21.14,21.19,108000.0,
2008-01-08,CXO,NYSE,21.27,22.09,21.0,22.08,96300.0,
2008-01-09,CXO,NYSE,22.17,23.55,21.84,23.27,129200.0,
2008-01-10,CXO,NYSE,23.2,23.39,22.45,22.46,269800.0,
2008-01-11,CXO,NYSE,22.3,22.7,21.67,21.68,66100.0,
2008-01-14,CXO,NYSE,21.3,22.84,20.55,22.22,111800.0,
2008-01-15,CXO,NYSE,21.88,22.07,21.16,21.29,191300.0,
2008-01-16,CXO,NYSE,21.36,21.36,20.29,20.41,178800.0,
2008-01-17,CXO,NYSE,20.51,20.51,19.03,19.33,139500.0,
2008-01-18,CXO,NYSE,19.08,19.42,18.8,19.07,197200.0,
2008-01-22,CXO,NYSE,18.5,19.58,17.78,19.18,105600.0,
2008-01-23,CXO,NYSE,18.78,19.28,18.01,19.08,112400.0,
2008-01-24,CXO,NYSE,19.15,20.57,18.92,19.63,117600.0,
2008-01-25,CXO,NYSE,19.99,20.28,19.45,19.55,122700.0,
2008-01-28,CXO,NYSE,19.48,20.01,19.21,19.98,80000.0,
2008-01-29,CXO,NYSE,20.13,20.5,19.5,20.11,106400.0,
2008-01-30,CXO,NYSE,20.1,21.21,19.42,20.31,218900.0,
2008-01-31,CXO,NYSE,19.95,20.53,19.6,20.3,145600.0,
2008-02-01,CXO,NYSE,20.3,22.24,20.0,21.48,196500.0,
2008-02-04,CXO,NYSE,21.66,21.66,20.58,20.83,56100.0,
2008-02-05,CXO,NYSE,20.42,20.57,19.8,19.82,44800.0,
2008-02-06,CXO,NYSE,20.04,20.63,19.64,19.89,88600.0,
2008-02-07,CXO,NYSE,19.89,20.45,19.85,20.01,81900.0,
2008-02-08,CXO,NYSE,20.0,20.3,19.6,20.09,55500.0,
2008-02-11,CXO,NYSE,19.96,20.17,19.86,19.97,48900.0,
2008-02-12,CXO,NYSE,20.02,21.65,19.64,21.22,79800.0,
2008-02-13,CXO,NYSE,21.45,23.31,21.45,22.98,203200.0,
2008-02-14,CXO,NYSE,21.75,22.53,20.66,22.29,508000.0,
2008-02-15,CXO,NYSE,22.12,22.39,21.79,22.2,72000.0,
2008-02-19,CXO,NYSE,22.46,23.22,22.41,22.68,114600.0,
2008-02-20,CXO,NYSE,22.36,23.0,22.14,22.95,79900.0,
2008-02-21,CXO,NYSE,23.25,23.75,21.8,21.81,59800.0,
2008-02-22,CXO,NYSE,22.04,22.17,21.11,22.04,86100.0,
2008-02-25,CXO,NYSE,22.12,22.77,21.56,22.41,74800.0,
2008-02-26,CXO,NYSE,22.23,23.11,21.99,22.12,57000.0,
2008-02-27,CXO,NYSE,21.86,23.38,21.73,22.82,152400.0,
2008-02-28,CXO,NYSE,23.2,25.26,22.96,24.96,450400.0,
2008-02-29,CXO,NYSE,25.17,25.5,23.11,23.3,184200.0,
2008-03-03,CXO,NYSE,23.63,24.99,23.17,23.72,160000.0,
2008-03-04,CXO,NYSE,23.89,24.0,23.11,23.77,124900.0,
2008-03-05,CXO,NYSE,24.42,25.1,24.02,25.1,129400.0,
