date,code,exchange,open,high,low,close,volume,count_trx
2004-10-29,DLR,NYSE,12.0,12.01,12.0,12.0,5463100.0,
2004-11-01,DLR,NYSE,12.0,12.01,12.0,12.0,745200.0,
2004-11-02,DLR,NYSE,12.0,12.01,12.0,12.0,823700.0,
2004-11-03,DLR,NYSE,12.02,12.2,12.01,12.15,429700.0,
2004-11-04,DLR,NYSE,12.18,12.18,12.05,12.06,310200.0,
2004-11-05,DLR,NYSE,12.05,12.1,12.0,12.08,390700.0,
2004-11-08,DLR,NYSE,12.13,12.13,12.0,12.01,69800.0,
2004-11-09,DLR,NYSE,12.0,12.06,12.0,12.01,95400.0,
2004-11-10,DLR,NYSE,12.0,12.04,12.0,12.01,177000.0,
2004-11-11,DLR,NYSE,12.0,12.02,12.0,12.02,92000.0,
2004-11-12,DLR,NYSE,12.01,12.38,12.01,12.29,354300.0,
2004-11-15,DLR,NYSE,12.32,12.45,12.2,12.39,265500.0,
2004-11-16,DLR,NYSE,12.49,12.65,12.31,12.5,210500.0,
2004-11-17,DLR,NYSE,12.55,12.6,12.35,12.51,419500.0,
2004-11-18,DLR,NYSE,12.5,12.74,12.5,12.72,167000.0,
2004-11-19,DLR,NYSE,12.72,12.74,12.5,12.71,167700.0,
2004-11-22,DLR,NYSE,12.61,12.73,12.51,12.63,100000.0,
2004-11-23,DLR,NYSE,12.55,12.95,12.52,12.8,158600.0,
2004-11-24,DLR,NYSE,12.75,12.95,12.7,12.79,140400.0,
2004-11-26,DLR,NYSE,12.4,12.78,12.4,12.65,42800.0,
2004-11-29,DLR,NYSE,12.65,12.75,12.55,12.68,174200.0,
2004-11-30,DLR,NYSE,12.66,12.85,12.65,12.76,139300.0,
2004-12-01,DLR,NYSE,12.66,13.17,12.66,13.15,152700.0,
2004-12-02,DLR,NYSE,13.05,13.07,12.78,12.95,201200.0,
2004-12-03,DLR,NYSE,12.9,13.2,12.9,13.15,132800.0,
2004-12-06,DLR,NYSE,13.16,13.19,13.05,13.12,120400.0,
2004-12-07,DLR,NYSE,13.06,13.2,13.0,13.0,110900.0,
2004-12-08,DLR,NYSE,12.8,13.0,12.7,12.86,104900.0,
2004-12-09,DLR,NYSE,12.86,12.95,12.5,12.85,110100.0,
2004-12-10,DLR,NYSE,12.75,13.05,12.55,12.97,171300.0,
2004-12-13,DLR,NYSE,12.87,13.04,12.7,12.91,215600.0,
2004-12-14,DLR,NYSE,12.81,13.1,12.79,12.9,164500.0,
2004-12-15,DLR,NYSE,13.0,13.14,12.89,13.05,200300.0,
2004-12-16,DLR,NYSE,13.03,13.09,12.93,13.05,226300.0,
2004-12-17,DLR,NYSE,13.05,13.55,12.94,13.4,879500.0,
2004-12-20,DLR,NYSE,13.5,13.5,13.02,13.34,215200.0,
2004-12-21,DLR,NYSE,13.4,13.5,13.29,13.45,82000.0,
2004-12-22,DLR,NYSE,13.4,13.7,13.21,13.7,193500.0,
2004-12-23,DLR,NYSE,13.7,14.1,13.65,13.94,99000.0,
2004-12-27,DLR,NYSE,14.0,14.04,13.52,13.6,111500.0,
2004-12-28,DLR,NYSE,13.68,13.77,13.47,13.53,110600.0,
2004-12-29,DLR,NYSE,12.95,13.47,12.95,13.28,105600.0,
2004-12-30,DLR,NYSE,13.33,13.57,13.2,13.3,48800.0,
2004-12-31,DLR,NYSE,13.29,13.69,13.29,13.47,53900.0,
2005-01-03,DLR,NYSE,13.54,13.6,13.39,13.59,178500.0,
2005-01-04,DLR,NYSE,13.61,13.77,13.55,13.65,137100.0,
2005-01-05,DLR,NYSE,13.6,13.66,12.5,13.2,231400.0,
2005-01-06,DLR,NYSE,13.1,13.65,13.0,13.39,73200.0,
2005-01-07,DLR,NYSE,13.42,13.42,13.08,13.26,124100.0,
2005-01-10,DLR,NYSE,13.2,13.74,13.1,13.3,79500.0,
2005-01-11,DLR,NYSE,13.3,13.53,13.05,13.26,136200.0,
2005-01-12,DLR,NYSE,13.27,13.4,13.2,13.3,111500.0,
2005-01-13,DLR,NYSE,13.3,13.6,13.28,13.37,77000.0,
2005-01-14,DLR,NYSE,13.38,13.77,13.38,13.59,28100.0,
2005-01-18,DLR,NYSE,13.49,13.8,13.23,13.7,131300.0,
2005-01-19,DLR,NYSE,13.7,13.87,13.5,13.65,214900.0,
2005-01-20,DLR,NYSE,13.6,13.65,13.4,13.56,42000.0,
2005-01-21,DLR,NYSE,13.6,13.64,13.46,13.6,51300.0,
2005-01-24,DLR,NYSE,13.7,13.75,13.45,13.52,47100.0,
2005-01-25,DLR,NYSE,13.5,13.66,13.5,13.5,52400.0,
2005-01-26,DLR,NYSE,13.55,13.84,13.55,13.71,105300.0,
2005-01-27,DLR,NYSE,13.63,13.8,13.57,13.7,100800.0,
