date,code,exchange,open,high,low,close,volume,count_trx
2020-07-01,DNB,NYSE,25.0,25.87,24.27,25.35,13963396.0,10943.0
2020-07-02,DNB,NYSE,25.4,27.35,25.0,27.1,1753476.0,5248.0
2020-07-06,DNB,NYSE,27.75,28.2,26.32,27.39,1329811.0,4902.0
2020-07-07,DNB,NYSE,26.26,27.35,26.08,26.6,939156.0,3296.0
2020-07-08,DNB,NYSE,26.89,26.9,25.55,26.49,5734154.0,4948.0
2020-07-09,DNB,NYSE,26.35,26.35,24.9,25.88,1033298.0,3690.0
2020-07-10,DNB,NYSE,25.88,26.35,25.5,26.25,417815.0,1625.0
2020-07-13,DNB,NYSE,26.25,27.13,25.43,25.48,368853.0,1630.0
2020-07-14,DNB,NYSE,25.4,25.65,25.18,25.39,229333.0,935.0
2020-07-15,DNB,NYSE,25.44,25.78,25.3,25.5,204443.0,628.0
2020-07-16,DNB,NYSE,25.49,26.3,24.71,25.59,248722.0,1460.0
2020-07-17,DNB,NYSE,25.65,25.88,25.35,25.71,83397.0,408.0
2020-07-20,DNB,NYSE,25.71,26.31,25.5,26.11,101333.0,677.0
2020-07-21,DNB,NYSE,26.2,26.46,25.58,25.67,144931.0,821.0
2020-07-22,DNB,NYSE,25.6,26.1,25.54,25.69,86726.0,565.0
2020-07-23,DNB,NYSE,25.65,26.06,24.97,25.46,111121.0,912.0
2020-07-24,DNB,NYSE,25.25,25.4,24.96,25.14,150962.0,790.0
2020-07-27,DNB,NYSE,25.24,25.47,24.4,25.29,175679.0,989.0
2020-07-28,DNB,NYSE,25.35,25.6,24.85,25.21,288090.0,1408.0
2020-07-29,DNB,NYSE,25.1,25.68,25.02,25.28,67100.0,519.0
2020-07-30,DNB,NYSE,25.02,25.16,24.67,24.67,90210.0,439.0
2020-07-31,DNB,NYSE,24.72,25.59,24.65,25.5,100470.0,737.0
2020-08-03,DNB,NYSE,25.64,25.74,24.96,25.56,233259.0,1643.0
2020-08-04,DNB,NYSE,25.55,26.66,25.25,26.54,166458.0,1167.0
2020-08-05,DNB,NYSE,26.5,27.3,26.25,27.04,200808.0,1041.0
2020-08-06,DNB,NYSE,26.41,26.41,24.88,25.05,335693.0,1948.0
2020-08-07,DNB,NYSE,24.9,26.05,24.85,26.05,161194.0,889.0
2020-08-10,DNB,NYSE,25.81,25.96,24.69,24.7,200682.0,1316.0
2020-08-11,DNB,NYSE,24.8,25.59,24.69,24.75,153152.0,742.0
2020-08-12,DNB,NYSE,24.79,26.08,24.79,25.87,112038.0,743.0
2020-08-13,DNB,NYSE,25.54,26.0,24.72,24.89,107452.0,632.0
