date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,EG,NYSE,22.8125,22.8125,21.625,21.875,127300.0,
2000-01-04,EG,NYSE,22.125,22.125,20.6875,21.8125,214300.0,
2000-01-05,EG,NYSE,22.1875,23.6875,22.1875,23.1875,648000.0,
2000-01-06,EG,NYSE,23.1875,24.6875,23.1875,24.3125,599600.0,
2000-01-07,EG,NYSE,24.375,25.6875,24.375,25.625,307600.0,
2000-01-10,EG,NYSE,25.625,26.0,25.0,25.5,774300.0,
2000-01-11,EG,NYSE,25.625,25.625,25.4375,25.5625,223300.0,
2000-01-12,EG,NYSE,25.5625,26.0,25.5625,25.75,200500.0,
2000-01-13,EG,NYSE,25.6875,26.0,25.6875,25.75,220500.0,
2000-01-14,EG,NYSE,25.875,27.125,25.875,26.4375,285700.0,
2000-01-18,EG,NYSE,26.5,26.5,26.375,26.4375,212600.0,
2000-01-19,EG,NYSE,26.4375,26.4375,25.9375,26.0625,231500.0,
2000-01-20,EG,NYSE,26.0625,26.1875,26.0,26.0625,146600.0,
2000-01-21,EG,NYSE,26.125,26.625,25.625,26.5625,174300.0,
2000-01-24,EG,NYSE,26.3125,26.3125,25.375,25.4375,170700.0,
2000-01-25,EG,NYSE,25.375,25.6875,24.8125,25.1875,574000.0,
2000-01-26,EG,NYSE,24.9375,25.1875,24.3125,24.75,235600.0,
2000-01-27,EG,NYSE,25.0,25.4375,25.0,25.25,211700.0,
2000-01-28,EG,NYSE,25.5,25.5,24.875,25.125,127500.0,
2000-01-31,EG,NYSE,25.0,25.25,24.8125,25.1875,136800.0,
2000-02-01,EG,NYSE,25.25,25.375,24.9375,25.3125,159500.0,
2000-02-02,EG,NYSE,25.3125,25.4375,24.875,25.0625,200800.0,
2000-02-03,EG,NYSE,25.0,25.125,24.625,24.8125,274300.0,
2000-02-04,EG,NYSE,24.6875,25.1875,24.625,24.9375,84100.0,
2000-02-07,EG,NYSE,24.9375,25.1875,24.9375,25.0,102800.0,
2000-02-08,EG,NYSE,24.9375,25.125,24.75,25.0625,197100.0,
2000-02-09,EG,NYSE,25.0,25.0625,24.75,25.0625,179100.0,
2000-02-10,EG,NYSE,24.875,24.875,23.125,23.375,245400.0,
2000-02-11,EG,NYSE,23.375,23.375,22.0625,22.375,424400.0,
2000-02-14,EG,NYSE,22.3125,22.375,21.75,22.0,257800.0,
2000-02-15,EG,NYSE,21.25,23.5,21.25,22.4375,355500.0,
2000-02-16,EG,NYSE,22.4375,24.375,22.4375,24.0,427600.0,
2000-02-17,EG,NYSE,24.5,27.0,24.5,27.0,751600.0,
2000-02-18,EG,NYSE,27.0,27.625,25.5,26.125,556900.0,
2000-02-22,EG,NYSE,25.0,25.375,24.5,25.0,420000.0,
2000-02-23,EG,NYSE,25.0,25.9375,24.75,25.875,214400.0,
2000-02-24,EG,NYSE,25.9375,25.9375,23.3125,24.0,535000.0,
2000-02-25,EG,NYSE,24.25,24.25,23.0625,23.3125,400800.0,
2000-02-28,EG,NYSE,23.5,24.625,23.375,24.4375,444500.0,
2000-02-29,EG,NYSE,24.6875,25.25,24.375,24.5625,296500.0,
2000-03-01,EG,NYSE,24.8125,25.5,24.5,25.375,223300.0,
2000-03-02,EG,NYSE,25.3125,25.375,24.5,25.0,331000.0,
2000-03-03,EG,NYSE,25.1875,26.8125,25.125,26.5625,364000.0,
2000-03-06,EG,NYSE,26.4375,26.4375,25.875,25.875,259400.0,
2000-03-07,EG,NYSE,26.0,26.4375,25.6875,25.6875,493900.0,
2000-03-08,EG,NYSE,25.75,25.75,24.3125,24.375,220600.0,
2000-03-09,EG,NYSE,24.625,25.125,24.5625,24.6875,137100.0,
2000-03-10,EG,NYSE,24.1875,24.625,23.6875,23.875,167100.0,
2000-03-13,EG,NYSE,24.0,25.1875,23.625,24.9375,192400.0,
2000-03-14,EG,NYSE,24.75,25.4375,24.75,25.125,153300.0,
2000-03-15,EG,NYSE,25.125,27.25,24.9375,26.5,301100.0,
2000-03-16,EG,NYSE,26.75,29.9375,26.75,29.125,608900.0,
2000-03-17,EG,NYSE,29.0,29.5625,27.25,27.625,217800.0,
2000-03-20,EG,NYSE,27.625,28.0,27.5625,28.0,128800.0,
2000-03-21,EG,NYSE,27.75,28.5,27.625,28.25,240700.0,
2000-03-22,EG,NYSE,28.0,28.5,27.375,27.9375,71600.0,
2000-03-23,EG,NYSE,28.1875,30.0,28.0625,29.125,126100.0,
2000-03-24,EG,NYSE,29.125,30.3125,29.0625,29.25,74000.0,
2000-03-27,EG,NYSE,29.25,29.6875,28.125,28.125,95600.0,
2000-03-28,EG,NYSE,28.375,29.4375,28.3125,28.8125,310900.0,
2000-03-29,EG,NYSE,28.875,30.0,28.8125,29.375,135200.0,
2000-03-30,EG,NYSE,29.4375,30.875,29.375,30.25,391800.0,
2000-03-31,EG,NYSE,29.625,32.625,29.625,32.625,342500.0,
2000-04-03,EG,NYSE,32.4375,32.4375,30.625,31.25,221000.0,
2000-04-04,EG,NYSE,31.625,31.75,30.3125,30.75,214900.0,
2000-04-05,EG,NYSE,30.5,31.0625,30.375,30.6875,166800.0,
2000-04-06,EG,NYSE,30.6875,30.6875,29.875,30.25,333900.0,
2000-04-07,EG,NYSE,30.625,31.75,29.8125,30.125,137300.0,
2000-04-10,EG,NYSE,30.25,30.375,29.6875,29.8125,163200.0,
2000-04-11,EG,NYSE,30.375,30.375,29.375,29.5,100800.0,
2000-04-12,EG,NYSE,29.375,30.125,29.375,29.375,243800.0,
2000-04-13,EG,NYSE,29.625,29.6875,28.9375,29.625,104500.0,
2000-04-14,EG,NYSE,29.625,29.625,27.4375,27.75,135200.0,
2000-04-17,EG,NYSE,27.75,28.5625,27.3125,28.4375,82900.0,
2000-04-18,EG,NYSE,28.3125,29.875,28.3125,28.9375,172300.0,
