date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,EL,NYSE,25.21875,25.625,24.28125,24.78125,1544800.0,
2000-01-04,EL,NYSE,24.625,24.625,24.25,24.3125,845800.0,
2000-01-05,EL,NYSE,24.0625,24.25,23.25,23.25,793200.0,
2000-01-06,EL,NYSE,23.5,24.28125,23.46875,24.21875,902400.0,
2000-01-07,EL,NYSE,24.34375,25.09375,24.25,25.0625,703000.0,
2000-01-10,EL,NYSE,25.625,25.9375,25.3125,25.875,702400.0,
2000-01-11,EL,NYSE,25.5,25.59375,24.5625,25.21875,1025000.0,
2000-01-12,EL,NYSE,25.21875,25.5625,24.6875,25.09375,1067800.0,
2000-01-13,EL,NYSE,25.09375,25.46875,24.875,25.1875,824800.0,
2000-01-14,EL,NYSE,25.1875,26.34375,25.1875,26.34375,1368800.0,
2000-01-18,EL,NYSE,26.0,27.0,25.8125,26.59375,1472400.0,
2000-01-19,EL,NYSE,26.59375,27.0,26.0625,26.84375,818800.0,
2000-01-20,EL,NYSE,26.875,27.0625,26.53125,26.84375,946800.0,
2000-01-21,EL,NYSE,26.71875,27.75,26.5,26.75,908600.0,
2000-01-24,EL,NYSE,27.0625,27.9375,26.78125,27.0,1523000.0,
2000-01-25,EL,NYSE,27.125,27.6875,26.59375,27.0625,685200.0,
2000-01-26,EL,NYSE,27.0,27.8125,26.75,27.625,856000.0,
2000-01-27,EL,NYSE,27.5,27.59375,25.8125,26.59375,1088800.0,
2000-01-28,EL,NYSE,26.53125,26.5625,25.71875,25.96875,1300200.0,
2000-01-31,EL,NYSE,25.5,25.9375,24.75,25.5625,2351600.0,
2000-02-01,EL,NYSE,25.875,25.96875,25.375,25.875,1424000.0,
2000-02-02,EL,NYSE,25.875,26.96875,25.34375,25.71875,1020400.0,
2000-02-03,EL,NYSE,25.75,26.5625,25.71875,25.90625,580400.0,
2000-02-04,EL,NYSE,25.9375,26.09375,25.375,25.40625,229400.0,
2000-02-07,EL,NYSE,25.4375,25.4375,24.59375,25.1875,654400.0,
2000-02-08,EL,NYSE,25.0,25.03125,24.53125,25.0,1346200.0,
2000-02-09,EL,NYSE,25.5,25.5,24.125,25.21875,862200.0,
2000-02-10,EL,NYSE,25.0,25.15625,24.53125,24.9375,1661000.0,
2000-02-11,EL,NYSE,25.0,25.0625,24.53125,24.875,1284800.0,
2000-02-14,EL,NYSE,24.9375,24.9375,24.34375,24.6875,448000.0,
2000-02-15,EL,NYSE,24.5625,25.15625,24.375,24.96875,551200.0,
2000-02-16,EL,NYSE,25.25,25.6875,24.71875,24.96875,372600.0,
2000-02-17,EL,NYSE,25.0625,25.71875,25.0,25.5,665000.0,
2000-02-18,EL,NYSE,25.53125,25.65625,25.4375,25.5625,680200.0,
2000-02-22,EL,NYSE,25.4375,25.8125,25.34375,25.8125,485000.0,
2000-02-23,EL,NYSE,25.8125,25.8125,25.3125,25.5625,463800.0,
2000-02-24,EL,NYSE,25.6875,25.6875,23.40625,24.1875,863600.0,
2000-02-25,EL,NYSE,23.9375,23.9375,23.03125,23.21875,556000.0,
2000-02-28,EL,NYSE,23.09375,23.5,20.75,22.96875,2370000.0,
2000-02-29,EL,NYSE,23.125,23.28125,21.28125,21.6875,1647400.0,
2000-03-01,EL,NYSE,22.5,22.75,22.125,22.34375,1922400.0,
2000-03-02,EL,NYSE,22.375,23.0,22.15625,22.28125,1193200.0,
2000-03-03,EL,NYSE,22.5625,23.03125,22.46875,22.875,713000.0,
2000-03-06,EL,NYSE,23.0,23.1875,22.375,22.53125,879400.0,
2000-03-07,EL,NYSE,21.3125,21.3125,19.0625,20.625,3101200.0,
2000-03-08,EL,NYSE,20.875,21.0625,20.0,21.0625,2507000.0,
2000-03-09,EL,NYSE,21.15625,21.5625,20.625,21.5,649200.0,
2000-03-10,EL,NYSE,22.125,22.125,19.875,19.875,2085200.0,
2000-03-13,EL,NYSE,19.75,20.5,19.5625,20.125,1258400.0,
2000-03-14,EL,NYSE,20.34375,20.75,20.03125,20.28125,1228600.0,
2000-03-15,EL,NYSE,20.3125,22.53125,20.03125,22.5,1252400.0,
2000-03-16,EL,NYSE,22.5,23.96875,21.4375,23.59375,1245800.0,
2000-03-17,EL,NYSE,23.59375,23.59375,22.0,22.46875,814600.0,
2000-03-20,EL,NYSE,22.125,22.78125,21.53125,22.3125,1280800.0,
2000-03-21,EL,NYSE,23.1875,23.3125,22.8125,23.25,1079800.0,
2000-03-22,EL,NYSE,23.4375,24.4375,23.28125,24.25,2220600.0,
2000-03-23,EL,NYSE,24.25,25.3125,23.9375,25.1875,1449600.0,
2000-03-24,EL,NYSE,25.21875,25.375,23.4375,24.25,891000.0,
2000-03-27,EL,NYSE,24.25,24.25,22.28125,22.875,1400400.0,
2000-03-28,EL,NYSE,22.875,24.34375,21.78125,24.25,2616800.0,
2000-03-29,EL,NYSE,24.25,24.5625,23.96875,24.5,1793800.0,
2000-03-30,EL,NYSE,24.5,25.53125,24.5,25.25,1740000.0,
2000-03-31,EL,NYSE,26.1875,26.625,25.0,25.03125,2002200.0,
2000-04-03,EL,NYSE,25.03125,26.03125,25.03125,25.34375,958600.0,
2000-04-04,EL,NYSE,25.25,26.15625,24.59375,25.34375,1536200.0,
2000-04-05,EL,NYSE,25.40625,26.90625,25.40625,26.375,1980400.0,
2000-04-06,EL,NYSE,26.28125,26.40625,25.5,26.3125,1893000.0,
2000-04-07,EL,NYSE,26.5,26.75,26.15625,26.65625,899800.0,
2000-04-10,EL,NYSE,26.75,27.15625,26.5,26.84375,806800.0,
2000-04-11,EL,NYSE,26.84375,26.84375,25.5,25.6875,2365800.0,
2000-04-12,EL,NYSE,25.8125,26.1875,24.40625,25.65625,2405800.0,
2000-04-13,EL,NYSE,25.28125,26.53125,25.125,25.96875,1260400.0,
2000-04-14,EL,NYSE,25.0,25.0,23.5,23.5,1790600.0,
2000-04-17,EL,NYSE,23.3125,24.1875,22.96875,24.1875,3126600.0,
2000-04-18,EL,NYSE,24.15625,24.15625,23.125,23.5,1252200.0,
2000-04-19,EL,NYSE,23.25,23.375,23.0,23.1875,1221000.0,
2000-04-20,EL,NYSE,23.25,23.53125,23.1875,23.3125,345600.0,
2000-04-24,EL,NYSE,23.0,23.125,22.53125,22.8125,896400.0,
2000-04-25,EL,NYSE,22.78125,22.78125,21.625,21.84375,2240400.0,
2000-04-26,EL,NYSE,21.9375,21.9375,21.09375,21.09375,2634200.0,
2000-04-27,EL,NYSE,21.09375,21.625,20.65625,21.21875,2108400.0,
2000-04-28,EL,NYSE,21.28125,22.125,20.90625,22.0625,1303000.0,
2000-05-01,EL,NYSE,22.0,22.375,21.59375,21.75,787800.0,
2000-05-02,EL,NYSE,21.78125,22.6875,21.6875,22.1875,1338800.0,
2000-05-03,EL,NYSE,22.375,22.71875,21.65625,21.6875,1320200.0,
2000-05-04,EL,NYSE,21.75,21.78125,21.28125,21.53125,1094000.0,
2000-05-05,EL,NYSE,21.4375,21.6875,20.5625,21.53125,1397400.0,
2000-05-08,EL,NYSE,21.25,21.5625,21.25,21.40625,504400.0,
2000-05-09,EL,NYSE,21.375,21.78125,21.09375,21.53125,1602400.0,
2000-05-10,EL,NYSE,21.625,22.84375,21.59375,22.25,1244200.0,
2000-05-11,EL,NYSE,22.25,23.3125,22.25,23.0,1149400.0,
2000-05-12,EL,NYSE,22.9375,23.0625,22.5,22.96875,808200.0,
2000-05-15,EL,NYSE,22.9375,23.09375,22.5625,23.0,805000.0,
2000-05-16,EL,NYSE,23.09375,23.875,22.78125,23.78125,766000.0,
2000-05-17,EL,NYSE,23.875,24.21875,23.46875,24.125,1021200.0,
2000-05-18,EL,NYSE,24.3125,24.9375,24.3125,24.78125,1178000.0,
2000-05-19,EL,NYSE,24.0,24.0,22.53125,22.84375,1846600.0,
2000-05-22,EL,NYSE,22.90625,23.09375,22.25,22.5625,1181000.0,
2000-05-23,EL,NYSE,22.4375,22.4375,21.28125,21.3125,1558600.0,
2000-05-24,EL,NYSE,21.3125,21.59375,21.21875,21.28125,1405000.0,
2000-05-25,EL,NYSE,22.1875,22.71875,21.34375,21.875,2585200.0,
2000-05-26,EL,NYSE,21.5,22.28125,21.5,22.125,9408000.0,
2000-05-30,EL,NYSE,22.0,22.59375,21.53125,22.53125,2185600.0,
2000-05-31,EL,NYSE,22.65625,22.65625,22.1875,22.40625,2374200.0,
2000-06-01,EL,NYSE,22.34375,23.0,22.34375,22.84375,1309200.0,
2000-06-02,EL,NYSE,23.5625,23.875,23.03125,23.6875,2310600.0,
2000-06-05,EL,NYSE,23.625,23.65625,23.25,23.40625,2254800.0,
2000-06-06,EL,NYSE,23.40625,23.40625,22.9375,23.125,2153400.0,
2000-06-07,EL,NYSE,23.125,23.15625,22.625,22.71875,1225200.0,
2000-06-08,EL,NYSE,22.71875,22.875,22.28125,22.875,961400.0,
2000-06-09,EL,NYSE,22.78125,23.375,22.78125,23.28125,918800.0,
2000-06-12,EL,NYSE,23.53125,23.90625,23.5,23.65625,1673200.0,
2000-06-13,EL,NYSE,23.65625,23.6875,23.34375,23.4375,760200.0,
2000-06-14,EL,NYSE,23.46875,23.59375,23.375,23.5,1015200.0,
2000-06-15,EL,NYSE,23.875,23.875,23.15625,23.46875,1204800.0,
2000-06-16,EL,NYSE,23.40625,23.53125,23.3125,23.4375,519200.0,
2000-06-19,EL,NYSE,23.40625,23.40625,22.625,23.0,669000.0,
2000-06-20,EL,NYSE,22.625,22.65625,22.0,22.46875,622800.0,
2000-06-21,EL,NYSE,22.40625,22.875,22.40625,22.59375,769200.0,
2000-06-22,EL,NYSE,22.6875,22.75,22.25,22.25,673400.0,
2000-06-23,EL,NYSE,22.3125,23.40625,22.25,22.9375,799800.0,
2000-06-26,EL,NYSE,22.90625,22.90625,22.375,22.6875,710800.0,
2000-06-27,EL,NYSE,22.65625,24.09375,22.5625,23.90625,1612400.0,
2000-06-28,EL,NYSE,23.9375,24.09375,23.5,24.0625,706800.0,
2000-06-29,EL,NYSE,24.0,24.5,23.75,24.1875,532800.0,
2000-06-30,EL,NYSE,24.3125,24.875,24.25,24.71875,1622200.0,
2000-07-03,EL,NYSE,24.65625,24.65625,24.28125,24.625,410400.0,
2000-07-05,EL,NYSE,24.875,24.875,24.15625,24.5,1063000.0,
2000-07-06,EL,NYSE,24.5,24.5,23.75,23.9375,554200.0,
2000-07-07,EL,NYSE,23.75,24.03125,23.71875,24.03125,609600.0,
2000-07-10,EL,NYSE,23.875,23.875,23.1875,23.71875,573800.0,
2000-07-11,EL,NYSE,23.625,23.625,23.15625,23.375,1603600.0,
2000-07-12,EL,NYSE,23.375,23.375,22.3125,22.53125,1591800.0,
2000-07-13,EL,NYSE,22.53125,22.53125,21.5,22.09375,2714400.0,
2000-07-14,EL,NYSE,22.21875,22.71875,22.21875,22.4375,1813400.0,
2000-07-17,EL,NYSE,22.40625,22.6875,21.625,21.96875,1505800.0,
2000-07-18,EL,NYSE,21.96875,22.5625,21.9375,22.375,920800.0,
2000-07-19,EL,NYSE,22.25,22.375,22.0625,22.3125,669600.0,
2000-07-20,EL,NYSE,22.28125,22.46875,21.5,22.21875,954200.0,
2000-07-21,EL,NYSE,22.1875,22.75,22.1875,22.4375,1040400.0,
2000-07-24,EL,NYSE,22.3125,22.4375,22.15625,22.4375,307600.0,
2000-07-25,EL,NYSE,22.53125,23.0,22.53125,22.84375,758400.0,
2000-07-26,EL,NYSE,22.90625,22.96875,22.65625,22.9375,523400.0,
2000-07-27,EL,NYSE,22.90625,22.9375,22.3125,22.46875,304200.0,
2000-07-28,EL,NYSE,22.5,22.625,22.09375,22.3125,382400.0,
2000-07-31,EL,NYSE,22.3125,22.3125,21.53125,22.0,820400.0,
2000-08-01,EL,NYSE,22.0,22.375,21.90625,22.375,979000.0,
2000-08-02,EL,NYSE,22.625,22.96875,22.5625,22.75,757600.0,
2000-08-03,EL,NYSE,22.78125,22.78125,22.3125,22.65625,764200.0,
2000-08-04,EL,NYSE,22.6875,22.6875,22.34375,22.5,640800.0,
2000-08-07,EL,NYSE,22.53125,22.53125,21.875,21.875,457200.0,
2000-08-08,EL,NYSE,21.875,22.125,21.6875,21.9375,869400.0,
2000-08-09,EL,NYSE,22.0625,22.96875,22.0625,22.28125,1822600.0,
2000-08-10,EL,NYSE,22.4375,22.875,22.375,22.46875,1734800.0,
2000-08-11,EL,NYSE,22.71875,22.71875,22.40625,22.5625,1002400.0,
2000-08-14,EL,NYSE,22.8125,23.1875,22.8125,23.0,809000.0,
2000-08-15,EL,NYSE,23.09375,23.46875,22.40625,22.53125,786600.0,
2000-08-16,EL,NYSE,22.53125,22.53125,20.90625,21.84375,4146000.0,
2000-08-17,EL,NYSE,21.8125,21.8125,21.28125,21.46875,2493000.0,
2000-08-18,EL,NYSE,21.46875,21.625,21.0625,21.5,1236200.0,
2000-08-21,EL,NYSE,21.5,21.53125,20.78125,21.125,1338400.0,
2000-08-22,EL,NYSE,21.1875,21.375,21.125,21.1875,896200.0,
2000-08-23,EL,NYSE,21.25,21.375,20.875,21.125,1551800.0,
2000-08-24,EL,NYSE,21.1875,21.21875,20.75,21.0,1142600.0,
2000-08-25,EL,NYSE,21.0,21.09375,20.5625,21.0625,1151200.0,
2000-08-28,EL,NYSE,21.09375,21.28125,20.78125,20.96875,1152600.0,
2000-08-29,EL,NYSE,20.9375,21.0,20.65625,20.90625,1424400.0,
