date,code,exchange,open,high,low,close,volume,count_trx
2001-10-30,ELV,NYSE,20.25,20.45,20.175,20.45,41687200.0,
2001-10-31,ELV,NYSE,20.55,21.25,20.505,20.94,10098200.0,
2001-11-01,ELV,NYSE,21.125,21.3,20.9,21.085,3463400.0,
2001-11-02,ELV,NYSE,21.025,21.55,21.01,21.45,3628600.0,
2001-11-05,ELV,NYSE,21.75,21.75,21.375,21.445,2295800.0,
2001-11-06,ELV,NYSE,21.475,22.125,21.1,22.025,3092600.0,
2001-11-07,ELV,NYSE,21.875,21.875,21.245,21.625,2303200.0,
2001-11-08,ELV,NYSE,21.5,21.55,21.0,21.35,3009600.0,
2001-11-09,ELV,NYSE,21.25,21.25,20.5,21.0,2468400.0,
2001-11-12,ELV,NYSE,21.0,21.425,20.85,21.425,841800.0,
2001-11-13,ELV,NYSE,21.7,21.7,21.26,21.375,1325000.0,
2001-11-14,ELV,NYSE,22.0,23.0,21.775,22.975,4054400.0,
2001-11-15,ELV,NYSE,22.85,23.375,22.725,23.375,2165400.0,
2001-11-16,ELV,NYSE,23.45,23.6,23.15,23.4,2079800.0,
2001-11-19,ELV,NYSE,23.375,23.785,23.2,23.75,1786600.0,
2001-11-20,ELV,NYSE,23.65,24.625,23.625,24.4,2117400.0,
2001-11-21,ELV,NYSE,24.35,24.85,24.21,24.505,2106800.0,
2001-11-23,ELV,NYSE,24.475,24.675,24.475,24.59,256800.0,
2001-11-26,ELV,NYSE,24.85,25.1,24.15,24.275,1605000.0,
2001-11-27,ELV,NYSE,24.4,24.925,24.135,24.3,986800.0,
2001-11-28,ELV,NYSE,24.275,24.6,23.775,24.475,560000.0,
2001-11-29,ELV,NYSE,24.75,25.05,24.54,25.005,1043000.0,
2001-11-30,ELV,NYSE,25.05,25.5,24.9,25.425,2479600.0,
2001-12-03,ELV,NYSE,25.4,25.65,25.05,25.65,1122400.0,
2001-12-04,ELV,NYSE,25.675,25.75,25.35,25.75,691400.0,
2001-12-05,ELV,NYSE,25.9,25.95,24.35,24.43,1023200.0,
2001-12-06,ELV,NYSE,24.45,24.5,23.675,24.245,745200.0,
2001-12-07,ELV,NYSE,24.25,24.35,23.8,24.3,592400.0,
2001-12-10,ELV,NYSE,24.3,24.435,24.1,24.125,181800.0,
2001-12-11,ELV,NYSE,24.125,24.345,23.855,24.1,846200.0,
2001-12-12,ELV,NYSE,24.125,24.125,23.925,23.93,441800.0,
2001-12-13,ELV,NYSE,23.805,24.05,23.45,24.05,902800.0,
2001-12-14,ELV,NYSE,24.0,24.05,23.675,24.0,554600.0,
2001-12-17,ELV,NYSE,24.05,24.65,23.96,24.625,367800.0,
2001-12-18,ELV,NYSE,24.75,24.75,24.61,24.65,559600.0,
2001-12-19,ELV,NYSE,24.65,24.675,23.875,24.0,698400.0,
2001-12-20,ELV,NYSE,23.88,24.0,23.4,23.45,1013000.0,
2001-12-21,ELV,NYSE,23.4,23.4,22.625,22.875,3135400.0,
2001-12-24,ELV,NYSE,22.875,22.975,22.8,22.8,878600.0,
2001-12-26,ELV,NYSE,22.925,23.24,22.925,23.125,1043200.0,
2001-12-27,ELV,NYSE,23.175,23.65,23.175,23.45,1685000.0,
2001-12-28,ELV,NYSE,23.475,24.25,23.475,24.25,1405800.0,
2001-12-31,ELV,NYSE,24.35,25.125,24.35,24.75,1335400.0,
2002-01-02,ELV,NYSE,24.84,24.84,24.355,24.4,1365600.0,
2002-01-03,ELV,NYSE,24.4,24.64,24.225,24.225,508800.0,
2002-01-04,ELV,NYSE,24.25,24.4,23.45,23.93,1619800.0,
2002-01-07,ELV,NYSE,23.93,23.94,23.5,23.51,1353400.0,
2002-01-08,ELV,NYSE,23.425,23.925,23.2,23.7,849000.0,
2002-01-09,ELV,NYSE,23.775,24.125,23.75,23.8,681400.0,
2002-01-10,ELV,NYSE,23.8,25.37,23.8,25.05,2186000.0,
2002-01-11,ELV,NYSE,25.05,25.875,24.95,25.75,980200.0,
2002-01-14,ELV,NYSE,25.8,26.2,25.425,25.95,1098200.0,
2002-01-15,ELV,NYSE,25.85,25.85,24.7,25.35,865600.0,
2002-01-16,ELV,NYSE,25.225,25.85,24.85,25.495,1060000.0,
2002-01-17,ELV,NYSE,25.5,25.525,25.0,25.175,802000.0,
