date,code,exchange,open,high,low,close,volume,count_trx
2018-04-25,ENPH,NYSE,4.47,4.59,4.35,4.38,4161.0,29.0
2018-04-26,ENPH,NYSE,4.45,4.495,4.31,4.375,10333.0,97.0
2018-04-27,ENPH,NYSE,4.44,4.44,4.22,4.265,7863.0,73.0
2018-04-30,ENPH,NYSE,4.36,4.4,4.04,4.14,10870.0,107.0
2018-05-01,ENPH,NYSE,4.09,4.09,3.96,4.06,11635.0,88.0
2018-05-02,ENPH,NYSE,4.34,4.815,4.21,4.63,32231.0,285.0
2018-05-03,ENPH,NYSE,4.56,4.56,4.33,4.5,15213.0,135.0
2018-05-04,ENPH,NYSE,4.54,4.54,4.28,4.29,41620.0,377.0
2018-05-07,ENPH,NYSE,4.35,4.595,4.34,4.58,19420.0,184.0
2018-05-08,ENPH,NYSE,4.57,4.63,4.39,4.49,34807.0,310.0
2018-05-09,ENPH,NYSE,4.55,4.71,4.4,4.67,20793.0,160.0
2018-05-10,ENPH,NYSE,4.72,5.4,4.68,5.2,55496.0,367.0
2018-05-11,ENPH,NYSE,5.1,5.16,4.9,5.09,18673.0,144.0
2018-05-14,ENPH,NYSE,5.22,5.32,5.13,5.18,18205.0,135.0
2018-05-15,ENPH,NYSE,5.19,5.32,5.19,5.3,25609.0,182.0
2018-05-16,ENPH,NYSE,5.38,6.02,5.33,5.61,70419.0,411.0
2018-05-17,ENPH,NYSE,5.71,5.84,5.35,5.52,40842.0,372.0
2018-05-18,ENPH,NYSE,5.53,5.53,5.215,5.34,34015.0,263.0
2018-05-21,ENPH,NYSE,5.55,5.64,5.44,5.49,16024.0,118.0
2018-05-22,ENPH,NYSE,5.42,5.55,5.36,5.53,16585.0,119.0
2018-05-23,ENPH,NYSE,5.6,6.12,5.57,5.66,36964.0,250.0
2018-05-24,ENPH,NYSE,5.74,5.83,5.54,5.8,44571.0,333.0
2018-05-25,ENPH,NYSE,5.76,5.77,5.54,5.605,37645.0,263.0
2018-05-29,ENPH,NYSE,5.64,5.88,5.53,5.85,20586.0,161.0
2018-05-30,ENPH,NYSE,5.74,6.3,5.74,6.22,24416.0,170.0
2018-05-31,ENPH,NYSE,6.14,6.35,5.66,5.725,57559.0,375.0
2018-06-01,ENPH,NYSE,5.81,5.98,5.74,5.79,29154.0,223.0
2018-06-04,ENPH,NYSE,5.82,5.82,5.01,5.78,42330.0,240.0
2018-06-05,ENPH,NYSE,5.87,5.88,5.44,5.62,16893.0,129.0
2018-06-06,ENPH,NYSE,5.54,5.6,5.16,5.3,32390.0,258.0
2018-06-07,ENPH,NYSE,5.23,5.36,5.11,5.31,37482.0,240.0
2018-06-08,ENPH,NYSE,5.31,5.33,5.025,5.03,16137.0,114.0
2018-06-11,ENPH,NYSE,5.1,5.17,4.59,4.61,44773.0,351.0
2018-06-12,ENPH,NYSE,4.56,4.72,4.425,4.5,51907.0,368.0
2018-06-13,ENPH,NYSE,6.08,6.22,5.77,5.98,220863.0,1173.0
2018-06-14,ENPH,NYSE,6.04,6.54,5.95,6.44,98721.0,549.0
2018-06-15,ENPH,NYSE,6.45,6.45,5.61,5.69,50757.0,325.0
2018-06-18,ENPH,NYSE,5.83,6.13,5.63,6.1,60507.0,306.0
2018-06-19,ENPH,NYSE,5.97,6.205,5.94,6.1999,54546.0,386.0
2018-06-20,ENPH,NYSE,6.26,6.38,6.16,6.17,31447.0,245.0
2018-06-21,ENPH,NYSE,6.27,6.31,6.14,6.21,39144.0,288.0
2018-06-22,ENPH,NYSE,6.25,6.79,6.23,6.58,112562.0,578.0
2018-06-25,ENPH,NYSE,6.75,6.99,6.47,6.99,74816.0,495.0
2018-06-26,ENPH,NYSE,6.88,7.33,6.69,7.3,131117.0,813.0
2018-06-27,ENPH,NYSE,7.23,7.54,6.77,6.8,89789.0,606.0
2018-06-28,ENPH,NYSE,6.75,7.075,6.62,6.955,40331.0,288.0
2018-06-29,ENPH,NYSE,7.0,7.19,6.63,6.72,40597.0,293.0
2018-07-02,ENPH,NYSE,6.71,7.175,6.54,7.14,23464.0,212.0
2018-07-03,ENPH,NYSE,7.17,7.17,6.86,7.02,23287.0,174.0
2018-07-05,ENPH,NYSE,7.09,7.23,7.0,7.0,22172.0,187.0
2018-07-06,ENPH,NYSE,7.0,7.09,6.92,7.02,28132.0,228.0
2018-07-09,ENPH,NYSE,7.1,7.475,7.01,7.4,32631.0,201.0
2018-07-10,ENPH,NYSE,7.43,7.59,7.33,7.49,32892.0,200.0
2018-07-11,ENPH,NYSE,7.15,7.3,6.9,7.04,52842.0,290.0
2018-07-12,ENPH,NYSE,7.09,7.23,6.89,7.02,29861.0,285.0
2018-07-13,ENPH,NYSE,7.02,7.09,6.95,7.035,18992.0,140.0
2018-07-16,ENPH,NYSE,7.14,7.18,6.65,6.725,38124.0,242.0
2018-07-17,ENPH,NYSE,6.67,6.86,6.62,6.62,18506.0,151.0
2018-07-18,ENPH,NYSE,6.7,6.75,6.58,6.68,30981.0,323.0
2018-07-19,ENPH,NYSE,6.63,7.145,6.63,7.02,22752.0,170.0
2018-07-20,ENPH,NYSE,7.13,7.25,6.76,6.76,31562.0,255.0
2018-07-23,ENPH,NYSE,6.87,6.98,6.705,6.71,21690.0,174.0
2018-07-24,ENPH,NYSE,6.86,6.99,6.6,6.62,31602.0,300.0
2018-07-25,ENPH,NYSE,6.22,6.56,6.03,6.47,109791.0,534.0
2018-07-26,ENPH,NYSE,6.43,6.46,5.84,6.17,42508.0,294.0
2018-07-27,ENPH,NYSE,6.13,6.13,5.24,5.6,74647.0,421.0
2018-07-30,ENPH,NYSE,5.42,5.985,5.4,5.69,27367.0,161.0
2018-07-31,ENPH,NYSE,5.87,6.16,5.68,5.95,91189.0,525.0
