date,code,exchange,open,high,low,close,volume,count_trx
2022-03-08,EP,NYSE,17.71,17.71,17.71,17.71,100.0,1.0
2022-03-09,EP,NYSE,,,,,1765.0,6.0
2022-03-10,EP,NYSE,,,,,1.0,1.0
2022-03-11,EP,NYSE,16.2,16.2,16.2,16.2,400.0,2.0
2022-03-14,EP,NYSE,14.36,14.36,14.36,14.36,200.0,2.0
2022-03-15,EP,NYSE,,,,,28.0,2.0
2022-03-16,EP,NYSE,,,,,4.0,4.0
2022-03-17,EP,NYSE,,,,,1.0,1.0
2022-03-18,EP,NYSE,,,,,1.0,1.0
2022-03-21,EP,NYSE,,,,,98.0,6.0
2022-03-22,EP,NYSE,18.15,18.15,18.15,18.15,100.0,1.0
2022-03-25,EP,NYSE,,,,,1.0,1.0
2022-03-28,EP,NYSE,17.95,18.25,17.95,18.0,701.0,10.0
2022-03-29,EP,NYSE,18.7,18.7,18.7,18.7,100.0,1.0
2022-03-30,EP,NYSE,,,,,65.0,2.0
2022-03-31,EP,NYSE,,,,,1.0,1.0
2022-04-01,EP,NYSE,19.79,19.79,19.1,19.26,301.0,4.0
2022-04-04,EP,NYSE,20.21,20.21,20.21,20.21,109.0,8.0
2022-04-05,EP,NYSE,21.2,21.48,21.0,21.41,505.0,7.0
2022-04-06,EP,NYSE,,,,,542.0,11.0
2022-04-07,EP,NYSE,21.41,21.41,21.41,21.41,604.0,20.0
2022-04-08,EP,NYSE,,,,,22.0,1.0
2022-04-11,EP,NYSE,19.91,19.91,19.91,19.91,163.0,2.0
2022-04-12,EP,NYSE,,,,,79.0,5.0
2022-04-13,EP,NYSE,22.3,22.3,22.3,22.3,100.0,1.0
2022-04-14,EP,NYSE,22.59,22.59,22.59,22.59,204.0,15.0
2022-04-19,EP,NYSE,22.89,23.0,22.89,23.0,335.0,14.0
2022-04-20,EP,NYSE,,,,,3.0,3.0
2022-04-21,EP,NYSE,,,,,93.0,6.0
2022-04-22,EP,NYSE,22.62,22.62,22.62,22.62,179.0,9.0
2022-04-25,EP,NYSE,22.75,22.75,22.0,22.0,618.0,21.0
2022-04-26,EP,NYSE,,,,,50.0,12.0
2022-04-27,EP,NYSE,22.25,22.25,22.25,22.25,224.0,7.0
2022-04-28,EP,NYSE,22.26,23.03,22.26,22.95,1093.0,28.0
2022-04-29,EP,NYSE,,,,,8.0,2.0
2022-05-02,EP,NYSE,,,,,14.0,7.0
2022-05-03,EP,NYSE,24.76,24.76,24.76,24.76,137.0,17.0
2022-05-04,EP,NYSE,24.8,24.8,24.8,24.8,136.0,10.0
2022-05-05,EP,NYSE,,,,,109.0,15.0
