date,code,exchange,open,high,low,close,volume,count_trx
2000-03-27,EW,NYSE,1.2708320625,1.3854152813,1.2708320625,1.374998625,10377610.377610378,
2000-03-28,EW,NYSE,1.374998625,1.374998625,1.333332,1.3385403281,3232803.232803233,
2000-03-29,EW,NYSE,1.333332,1.3385403281,1.3177070156,1.333332,1250401.2504012506,
2000-03-30,EW,NYSE,1.333332,1.333332,1.2812487188,1.2864570469,4720804.720804721,
2000-03-31,EW,NYSE,1.2447904219,1.2447904219,1.1302072031,1.1302072031,23707223.70722371,
2000-04-03,EW,NYSE,1.1666655,1.2239571094,1.1458321875,1.1458321875,32324432.324432325,
2000-04-04,EW,NYSE,1.1770821563,1.1874988125,1.0520822813,1.1666655,38694038.6940387,
2000-04-05,EW,NYSE,1.1562488438,1.1874988125,1.1510405156,1.1666655,15865215.865215866,
2000-04-06,EW,NYSE,1.1666655,1.1979154688,1.1614571719,1.1927071406,20023220.023220025,
2000-04-07,EW,NYSE,1.1979154688,1.2708320625,1.1979154688,1.1979154688,38250038.25003825,
2000-04-10,EW,NYSE,1.2291654375,1.24999875,1.208332125,1.2135404531,14025614.025614027,
2000-04-11,EW,NYSE,1.1927071406,1.2187487813,1.1874988125,1.1927071406,19056019.056019057,
2000-04-12,EW,NYSE,1.1822904844,1.2135404531,1.1770821563,1.2031237969,24565224.565224566,
2000-04-13,EW,NYSE,1.1927071406,1.2187487813,1.1927071406,1.1927071406,19963219.963219963,
2000-04-14,EW,NYSE,1.2031237969,1.208332125,1.1770821563,1.2031237969,7507207.507207507,
2000-04-17,EW,NYSE,1.1927071406,1.1979154688,1.1718738281,1.1874988125,8732408.732408732,
2000-04-18,EW,NYSE,1.2031237969,1.208332125,1.1614571719,1.1718738281,8376008.3760083765,
2000-04-19,EW,NYSE,1.1874988125,1.2187487813,1.1874988125,1.1979154688,13600813.600813601,
2000-04-20,EW,NYSE,1.1927071406,1.2239571094,1.1874988125,1.2187487813,11071211.071211072,
2000-04-24,EW,NYSE,1.1979154688,1.2187487813,1.1770821563,1.1874988125,11236811.236811237,
2000-04-25,EW,NYSE,1.1927071406,1.2604154063,1.1562488438,1.2552070781,13504813.504813505,
2000-04-26,EW,NYSE,1.2604154063,1.374998625,1.24999875,1.2760403906,14964014.964014964,
2000-04-27,EW,NYSE,1.2552070781,1.2552070781,1.2135404531,1.2343737656,11769611.76961177,
2000-04-28,EW,NYSE,1.2291654375,1.24999875,1.2135404531,1.24999875,10450810.450810451,
2000-05-01,EW,NYSE,1.24999875,1.24999875,1.208332125,1.2291654375,12669612.66961267,
2000-05-02,EW,NYSE,1.2187487813,1.2291654375,1.2031237969,1.2135404531,7854007.854007854,
2000-05-03,EW,NYSE,1.1822904844,1.2135404531,1.1718738281,1.1874988125,12285612.285612285,
2000-05-04,EW,NYSE,1.1979154688,1.2291654375,1.1874988125,1.2291654375,10666810.666810667,
2000-05-05,EW,NYSE,1.2395820938,1.2812487188,1.2395820938,1.2604154063,4880404.88040488,
2000-05-08,EW,NYSE,1.2812487188,1.291665375,1.2656237344,1.2708320625,4146004.146004146,
2000-05-09,EW,NYSE,1.2864570469,1.291665375,1.24999875,1.24999875,3856803.856803857,
2000-05-10,EW,NYSE,1.24999875,1.2812487188,1.2395820938,1.2656237344,2113202.113202113,
2000-05-11,EW,NYSE,1.2656237344,1.291665375,1.2291654375,1.2447904219,6591606.591606592,
2000-05-12,EW,NYSE,1.2447904219,1.3072903594,1.2447904219,1.3072903594,2090402.0904020905,
2000-05-15,EW,NYSE,1.291665375,1.3958319375,1.291665375,1.3645819688,3585603.585603586,
2000-05-16,EW,NYSE,1.374998625,1.4114569219,1.3593736406,1.374998625,3466803.466803467,
2000-05-17,EW,NYSE,1.374998625,1.374998625,1.3177070156,1.333332,4111204.1112041115,
2000-05-18,EW,NYSE,1.333332,1.3437486563,1.2864570469,1.2968737031,4154404.1544041545,
2000-05-19,EW,NYSE,1.2968737031,1.3020820312,1.2760403906,1.2760403906,1741201.7412017412,
2000-05-22,EW,NYSE,1.2864570469,1.3020820312,1.2760403906,1.2968737031,1012801.0128010128,
2000-05-23,EW,NYSE,1.291665375,1.3229153437,1.291665375,1.3020820312,1750801.750801751,
2000-05-24,EW,NYSE,1.3020820312,1.3958319375,1.3020820312,1.3697902969,6268806.268806269,
2000-05-25,EW,NYSE,1.3593736406,1.4687485313,1.3593736406,1.4427068906,8480408.48040848,
2000-05-26,EW,NYSE,1.4531235469,1.5052068281,1.4427068906,1.4999985,6151206.151206152,
2000-05-30,EW,NYSE,1.4999985,1.6510400156,1.4999985,1.6458316875,10093210.093210094,
2000-05-31,EW,NYSE,1.6458316875,1.7187482813,1.6458316875,1.6927066406,8486408.486408487,
2000-06-01,EW,NYSE,1.6718733281,1.6770816563,1.6197900469,1.6562483438,3999603.999604,
2000-06-02,EW,NYSE,1.6562483438,1.666665,1.5572901094,1.5989567344,3700803.700803701,
2000-06-05,EW,NYSE,1.5781234219,1.5781234219,1.5104151563,1.5208318125,5275205.275205275,
2000-06-06,EW,NYSE,1.5208318125,1.5208318125,1.4010402656,1.4270819063,11510411.51041151,
2000-06-07,EW,NYSE,1.458331875,1.5520817812,1.458331875,1.541665125,6913206.9132069135,
2000-06-08,EW,NYSE,1.5208318125,1.541665125,1.5156234844,1.541665125,4076404.0764040765,
2000-06-09,EW,NYSE,1.5312484687,1.58333175,1.5260401406,1.541665125,2539202.5392025393,
2000-06-12,EW,NYSE,1.5520817812,1.5781234219,1.5312484687,1.5520817812,2167202.167202167,
2000-06-13,EW,NYSE,1.541665125,1.5468734531,1.5156234844,1.5312484687,2662802.6628026627,
2000-06-14,EW,NYSE,1.5520817812,1.5520817812,1.5156234844,1.5364567969,3963603.9636039636,
2000-06-15,EW,NYSE,1.5364567969,1.5520817812,1.5260401406,1.5260401406,2092802.092802093,
2000-06-16,EW,NYSE,1.5312484687,1.5364567969,1.4947901719,1.4999985,3010803.010803011,
2000-06-19,EW,NYSE,1.4635402031,1.5312484687,1.4635402031,1.5104151563,3990003.99000399,
2000-06-20,EW,NYSE,1.4999985,1.5052068281,1.4687485313,1.4843735156,5296805.296805297,
2000-06-21,EW,NYSE,1.4947901719,1.58333175,1.4895818438,1.58333175,2542802.542802543,
2000-06-22,EW,NYSE,1.5624984375,1.708331625,1.5260401406,1.6197900469,4423204.423204423,
2000-06-23,EW,NYSE,1.6302067031,1.6927066406,1.6302067031,1.6562483438,8068808.068808069,
2000-06-26,EW,NYSE,1.666665,1.6874983125,1.6041650625,1.6562483438,5721605.721605722,
2000-06-27,EW,NYSE,1.6562483438,1.666665,1.5624984375,1.5937484063,6513606.513606514,
2000-06-28,EW,NYSE,1.5624984375,1.708331625,1.5104151563,1.7031232969,5584805.5848055845,
2000-06-29,EW,NYSE,1.7135399531,1.74999825,1.6874983125,1.6874983125,3585603.585603586,
2000-06-30,EW,NYSE,1.6927066406,1.708331625,1.541665125,1.541665125,10585210.585210586,
2000-07-03,EW,NYSE,1.5729150938,1.7291649375,1.5729150938,1.7135399531,2956802.9568029568,
2000-07-05,EW,NYSE,1.7135399531,1.7291649375,1.6354150313,1.6406233594,1870801.870801871,
2000-07-06,EW,NYSE,1.6510400156,1.7031232969,1.6510400156,1.6874983125,1504801.5048015048,
2000-07-07,EW,NYSE,1.708331625,1.7187482813,1.666665,1.708331625,2686802.6868026867,
2000-07-10,EW,NYSE,1.7135399531,1.7760398906,1.7135399531,1.7708315625,4734004.734004734,
2000-07-11,EW,NYSE,1.7864565469,1.8541648125,1.7812482188,1.8333315,6544806.544806545,
2000-07-12,EW,NYSE,1.8541648125,1.9374980625,1.8177065156,1.8437481563,3457203.457203457,
2000-07-13,EW,NYSE,1.8333315,1.9791646875,1.8333315,1.9374980625,6643206.643206643,
2000-07-14,EW,NYSE,1.958331375,1.958331375,1.8906231094,1.9114564219,4150804.150804151,
2000-07-17,EW,NYSE,1.9322897344,1.9322897344,1.8802064531,1.9010397656,2684402.6844026847,
2000-07-18,EW,NYSE,1.9374980625,1.999998,1.9374980625,1.9895813437,4837204.837204837,
2000-07-19,EW,NYSE,2.0104146563,2.124997875,1.999998,2.0156229844,5410805.410805411,
2000-07-20,EW,NYSE,2.0312479688,2.041664625,1.9791646875,1.999998,1736401.7364017365,
2000-07-21,EW,NYSE,1.9947896719,2.08333125,1.9687480312,2.0729145937,4243204.2432042435,
2000-07-24,EW,NYSE,2.0781229219,2.0781229219,2.041664625,2.0624979375,2408402.4084024085,
2000-07-25,EW,NYSE,2.0624979375,2.08333125,2.041664625,2.041664625,2415602.415602416,
2000-07-26,EW,NYSE,2.041664625,2.041664625,1.9791646875,1.9947896719,2449202.449202449,
2000-07-27,EW,NYSE,1.9739563594,1.9947896719,1.9062480938,1.958331375,2284802.284802285,
2000-07-28,EW,NYSE,1.9479147187,1.958331375,1.9062480938,1.9218730781,1665601.6656016656,
2000-07-31,EW,NYSE,1.91666475,1.9270814063,1.8020815313,1.8177065156,2713202.713202713,
2000-08-01,EW,NYSE,1.8124981875,1.8906231094,1.8124981875,1.8854147813,2482802.482802483,
2000-08-02,EW,NYSE,1.8854147813,1.9218730781,1.8854147813,1.9010397656,4753204.753204754,
