date,code,exchange,open,high,low,close,volume,count_trx
2004-08-12,EXR,NYSE,12.76,12.77,12.5,12.5,3776000.0,
2004-08-13,EXR,NYSE,12.5,12.52,12.5,12.5,659800.0,
2004-08-16,EXR,NYSE,12.5,12.53,12.5,12.5,184600.0,
2004-08-17,EXR,NYSE,12.5,12.54,12.5,12.51,153600.0,
2004-08-18,EXR,NYSE,12.5,12.65,12.5,12.51,149700.0,
2004-08-19,EXR,NYSE,12.5,12.55,12.5,12.53,123000.0,
2004-08-20,EXR,NYSE,12.53,12.59,12.5,12.55,143800.0,
2004-08-23,EXR,NYSE,12.55,12.59,12.5,12.55,64100.0,
2004-08-24,EXR,NYSE,12.55,12.99,12.55,12.98,379400.0,
2004-08-25,EXR,NYSE,12.75,13.09,12.75,13.0,397800.0,
2004-08-26,EXR,NYSE,13.05,13.45,12.95,13.38,432500.0,
2004-08-27,EXR,NYSE,13.4,13.63,13.29,13.45,420400.0,
2004-08-30,EXR,NYSE,13.45,13.59,13.35,13.48,103200.0,
2004-08-31,EXR,NYSE,13.54,13.8,13.0,13.8,258700.0,
2004-09-01,EXR,NYSE,14.3,14.38,13.42,13.65,168800.0,
2004-09-02,EXR,NYSE,13.65,13.88,13.1,13.79,147100.0,
2004-09-03,EXR,NYSE,13.55,13.84,13.5,13.65,88100.0,
2004-09-07,EXR,NYSE,13.55,13.85,13.46,13.8,100300.0,
2004-09-08,EXR,NYSE,13.8,13.83,13.61,13.65,89700.0,
2004-09-09,EXR,NYSE,13.65,13.71,13.41,13.49,109900.0,
2004-09-10,EXR,NYSE,13.4,13.73,13.25,13.6,138400.0,
2004-09-13,EXR,NYSE,13.1,13.75,12.94,13.71,218800.0,
2004-09-14,EXR,NYSE,13.65,13.65,13.3,13.51,121300.0,
2004-09-15,EXR,NYSE,13.3,13.55,13.09,13.35,133500.0,
2004-09-16,EXR,NYSE,13.35,13.48,13.1,13.33,125400.0,
2004-09-17,EXR,NYSE,12.55,13.64,12.55,13.64,293600.0,
2004-09-20,EXR,NYSE,13.54,13.62,13.13,13.35,108000.0,
2004-09-21,EXR,NYSE,13.3,13.6,13.28,13.47,230800.0,
2004-09-22,EXR,NYSE,13.2,13.62,13.05,13.5,426900.0,
2004-09-23,EXR,NYSE,13.4,13.65,13.22,13.29,209900.0,
2004-09-24,EXR,NYSE,13.3,13.55,13.25,13.5,64000.0,
2004-09-27,EXR,NYSE,13.55,13.55,12.95,13.05,150500.0,
2004-09-28,EXR,NYSE,13.06,13.14,12.64,12.91,187900.0,
2004-09-29,EXR,NYSE,13.11,13.12,12.6,12.88,149300.0,
2004-09-30,EXR,NYSE,12.85,12.85,12.3,12.75,1114600.0,
2004-10-01,EXR,NYSE,12.76,13.06,12.6,13.0,206500.0,
2004-10-04,EXR,NYSE,13.01,13.05,12.9,12.94,120700.0,
2004-10-05,EXR,NYSE,12.9,13.03,12.82,12.86,125600.0,
2004-10-06,EXR,NYSE,12.86,13.15,12.86,13.1,235200.0,
2004-10-07,EXR,NYSE,13.0,13.39,12.96,13.02,157900.0,
2004-10-08,EXR,NYSE,13.05,13.22,13.0,13.22,117700.0,
2004-10-11,EXR,NYSE,13.22,13.25,13.0,13.1,84800.0,
2004-10-12,EXR,NYSE,13.1,13.25,12.97,13.1,65900.0,
2004-10-13,EXR,NYSE,13.15,13.3,12.95,12.96,74300.0,
2004-10-14,EXR,NYSE,12.96,13.06,12.93,13.06,44100.0,
2004-10-15,EXR,NYSE,13.04,13.15,12.87,12.98,65100.0,
2004-10-18,EXR,NYSE,13.05,13.4,12.91,13.12,50100.0,
2004-10-19,EXR,NYSE,13.1,13.5,13.05,13.05,55500.0,
2004-10-20,EXR,NYSE,12.95,13.1,12.85,13.1,56400.0,
2004-10-21,EXR,NYSE,13.05,13.4,12.9,13.38,46200.0,
2004-10-22,EXR,NYSE,13.38,13.5,13.29,13.3,55500.0,
2004-10-25,EXR,NYSE,13.27,13.49,13.2,13.3,45400.0,
2004-10-26,EXR,NYSE,13.25,13.7,13.2,13.55,98300.0,
2004-10-27,EXR,NYSE,13.5,14.0,13.4,13.9,170300.0,
2004-10-28,EXR,NYSE,14.0,14.26,13.8,13.92,106300.0,
2004-10-29,EXR,NYSE,13.95,13.96,13.5,13.86,211200.0,
2004-11-01,EXR,NYSE,13.76,13.96,13.59,13.74,59200.0,
2004-11-02,EXR,NYSE,13.84,14.1,13.8,13.86,84300.0,
2004-11-03,EXR,NYSE,13.9,14.05,13.6,13.9,77900.0,
2004-11-04,EXR,NYSE,13.9,14.24,13.8,14.0,47100.0,
2004-11-05,EXR,NYSE,14.0,14.15,13.8,14.05,55300.0,
2004-11-08,EXR,NYSE,14.1,14.18,13.95,14.05,63400.0,
2004-11-09,EXR,NYSE,14.05,14.24,13.8,14.08,116500.0,
2004-11-10,EXR,NYSE,14.07,14.2,13.7,14.13,53000.0,
2004-11-11,EXR,NYSE,14.13,14.2,14.0,14.15,42600.0,
2004-11-12,EXR,NYSE,14.15,14.21,14.04,14.1,39100.0,
2004-11-15,EXR,NYSE,14.1,14.55,13.85,14.35,133000.0,
2004-11-16,EXR,NYSE,14.2,14.2,13.65,14.1,74500.0,
2004-11-17,EXR,NYSE,14.15,14.39,14.1,14.2,113200.0,
2004-11-18,EXR,NYSE,14.1,14.25,13.83,14.05,42600.0,
2004-11-19,EXR,NYSE,14.06,14.15,13.91,14.05,22100.0,
2004-11-22,EXR,NYSE,14.05,14.18,13.8,14.18,71600.0,
2004-11-23,EXR,NYSE,14.4,14.4,13.75,14.14,106300.0,
2004-11-24,EXR,NYSE,14.14,14.2,13.9,13.98,75500.0,
2004-11-26,EXR,NYSE,13.98,14.0,13.86,13.9,23100.0,
