date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,FDS,NYSE,26.6250001331,26.6250001331,26.1875001309,26.333333465,17699.9999115,
2000-01-04,FDS,NYSE,26.2083334644,26.2083334644,24.333333455,24.333333455,85799.999571,
2000-01-05,FDS,NYSE,24.2500001213,24.8541667909,24.0416667869,24.333333455,79199.999604,
2000-01-06,FDS,NYSE,24.3125001216,24.3125001216,23.0833334488,23.6250001181,75899.9996205,
2000-01-07,FDS,NYSE,23.4583334506,23.666666785,23.33333345,23.5000001175,38399.999808,
2000-01-10,FDS,NYSE,23.5000001175,23.5833334513,20.7500001038,21.3750001069,134399.999328,
2000-01-11,FDS,NYSE,21.000000105,22.7916667806,21.000000105,22.3541667784,90599.999547,
2000-01-12,FDS,NYSE,22.4375001122,22.4791667791,21.2500001063,21.5625001078,54899.9997255,
2000-01-13,FDS,NYSE,21.8750001094,22.00000011,21.33333344,22.00000011,270899.9986455,
2000-01-14,FDS,NYSE,22.5833334463,23.5625001178,22.0833334438,22.8750001144,110999.999445,
2000-01-18,FDS,NYSE,23.1666667825,23.9166667863,23.1250001156,23.5416667844,105599.999472,
2000-01-19,FDS,NYSE,23.7500001188,24.6458334566,23.7500001188,24.6458334566,171299.9991435,
2000-01-20,FDS,NYSE,24.5833334563,24.9791667916,24.2916667881,24.8333334575,164399.999178,
2000-01-21,FDS,NYSE,24.8333334575,25.2500001263,24.6041667897,24.6041667897,52799.999736,
2000-01-24,FDS,NYSE,24.66666679,24.6875001234,24.6250001231,24.6250001231,52199.999739,
2000-01-25,FDS,NYSE,24.5416667894,24.5833334563,24.0625001203,24.1041667872,124199.999379,
2000-01-26,FDS,NYSE,24.0416667869,24.1041667872,23.4166667838,23.5416667844,31799.999841,
2000-01-27,FDS,NYSE,23.3750001169,23.7500001188,23.3750001169,23.5000001175,56999.999715,
2000-01-28,FDS,NYSE,23.5000001175,23.8125001191,22.8333334475,22.8333334475,62099.9996895,
2000-01-31,FDS,NYSE,22.8750001144,23.0208334484,22.1458334441,22.333333445,64199.999679,
2000-02-01,FDS,NYSE,22.1666667775,22.4166667788,22.0625001103,22.4166667788,47999.99976,
2000-02-02,FDS,NYSE,22.3750001119,22.3750001119,22.0833334438,22.1041667772,32999.999835,
2000-02-03,FDS,NYSE,22.1875001109,22.4166667788,21.7500001088,22.4166667788,64799.999676,
2000-02-04,FDS,NYSE,22.4166667788,22.4166667788,21.3750001069,21.5416667744,76499.9996175,
2000-02-07,FDS,NYSE,21.6250001081,21.6250001081,19.33333343,20.7916667706,648149.99675925,
2000-02-08,FDS,NYSE,20.8750001044,21.33333344,20.1666667675,20.1666667675,73349.99963325,
2000-02-09,FDS,NYSE,20.333333435,20.3750001019,19.7916667656,19.8750000994,64949.99967525,
2000-02-10,FDS,NYSE,19.8333334325,20.4166667688,19.7500000988,19.8750000994,196949.99901525,
