date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,FDX,COMMODITY,7188.0,7210.0,6767.0,6804.5,58905.0,
2000-01-03,FDX,NYSE,42.375,43.625,41.0,42.6875,1319400.0,
2000-01-04,FDX,NYSE,42.5,43.1875,41.0,41.5,1304900.0,
2000-01-04,FDX,COMMODITY,6800.0,6800.0,6556.0,6630.0,72352.0,
2000-01-05,FDX,COMMODITY,6467.0,6622.0,6463.0,6532.0,68964.0,
2000-01-05,FDX,NYSE,41.875,43.25,41.375,42.4375,1881200.0,
2000-01-06,FDX,COMMODITY,6524.0,6577.0,6437.5,6505.5,58525.0,
2000-01-06,FDX,NYSE,42.5,47.3125,42.4375,47.3125,3726200.0,
2000-01-07,FDX,NYSE,47.25,47.5,44.25,47.5,2934900.0,
2000-01-07,FDX,COMMODITY,6560.0,6835.0,6549.0,6830.0,69037.0,
2000-01-10,FDX,COMMODITY,6930.0,7019.0,6902.0,6960.0,54506.0,
2000-01-10,FDX,NYSE,47.4375,47.4375,45.875,46.3125,1059800.0,
2000-01-11,FDX,COMMODITY,6940.0,6981.0,6861.0,6938.5,58944.0,
2000-01-11,FDX,NYSE,45.9375,46.5625,45.5625,45.625,789500.0,
2000-01-12,FDX,NYSE,44.875,45.4375,44.125,45.25,836800.0,
2000-01-12,FDX,COMMODITY,6860.0,6946.5,6828.5,6938.0,50030.0,
2000-01-13,FDX,COMMODITY,6940.0,7145.0,6923.5,7009.0,67693.0,
2000-01-13,FDX,NYSE,46.625,47.6875,45.75,47.0625,1584800.0,
2000-01-14,FDX,NYSE,47.1875,47.9375,45.6875,46.75,1001300.0,
2000-01-14,FDX,COMMODITY,7050.0,7246.0,7050.0,7229.0,63855.0,
2000-01-17,FDX,COMMODITY,7263.0,7326.0,7146.5,7307.0,47015.0,
2000-01-18,FDX,COMMODITY,7307.0,7338.0,7090.0,7123.0,68585.0,
2000-01-18,FDX,NYSE,46.0,46.3125,43.125,44.0,1774200.0,
2000-01-19,FDX,NYSE,43.9375,45.875,43.8125,44.25,1567800.0,
2000-01-19,FDX,COMMODITY,7090.0,7149.0,7015.0,7128.0,65542.0,
2000-01-20,FDX,NYSE,42.875,43.5,41.8125,42.5,1751500.0,
2000-01-20,FDX,COMMODITY,7216.0,7227.5,7107.5,7140.0,51583.0,
2000-01-21,FDX,COMMODITY,7070.0,7133.0,6963.0,7012.5,56213.0,
2000-01-21,FDX,NYSE,42.3125,42.3125,41.0,41.625,2024400.0,
2000-01-24,FDX,COMMODITY,7060.0,7120.0,6947.0,6950.0,43181.0,
2000-01-24,FDX,NYSE,41.6875,41.75,40.3125,40.875,1319100.0,
2000-01-25,FDX,NYSE,40.875,41.25,40.25,40.25,1215400.0,
2000-01-25,FDX,COMMODITY,6881.0,6933.0,6842.0,6891.0,54570.0,
2000-01-26,FDX,NYSE,40.3125,42.625,40.0625,42.375,1743100.0,
2000-01-26,FDX,COMMODITY,6916.0,7004.5,6859.0,6989.5,61399.0,
2000-01-27,FDX,NYSE,41.375,42.3125,40.125,40.75,1309000.0,
2000-01-27,FDX,COMMODITY,7024.0,7197.0,6963.0,7161.0,64044.0,
2000-01-28,FDX,NYSE,40.0625,40.25,38.25,38.5625,1558400.0,
2000-01-28,FDX,COMMODITY,7140.0,7244.5,7065.0,7095.0,62352.0,
2000-01-31,FDX,NYSE,38.4375,39.5625,38.0625,39.5625,1232900.0,
2000-01-31,FDX,COMMODITY,7029.0,7032.5,6834.0,6858.0,59345.0,
2000-02-01,FDX,NYSE,39.0625,39.4375,37.9375,38.75,1369700.0,
2000-02-01,FDX,COMMODITY,6961.0,7055.0,6919.0,7041.0,53600.0,
