date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,FHN,NYSE,24.0028127148,24.0028127148,22.4928743878,22.805275421,405128.301651668,
2000-01-04,FHN,NYSE,22.6490749044,22.6490749044,21.659804966,22.1804733547,224351.0506035458,
2000-01-05,FHN,NYSE,22.3887407101,22.5970080655,21.7118718049,22.0242728381,396845.6785956782,
2000-01-06,FHN,NYSE,22.0242728381,22.8573422598,21.9722059992,22.440807549,538490.5366546317,
2000-01-07,FHN,NYSE,22.5449412267,22.9094090987,22.2846070324,22.7011417433,370917.4672899715,
2000-01-10,FHN,NYSE,23.2218101319,23.2218101319,22.2846070324,22.440807549,316180.1323112574,
2000-01-11,FHN,NYSE,22.3887407101,22.3887407101,21.5036044495,21.5036044495,255560.9345826374,
2000-01-12,FHN,NYSE,21.4515376106,22.2846070324,21.4515376106,21.8680723215,434537.6154011963,
2000-01-13,FHN,NYSE,22.4928743878,22.4928743878,22.1284065158,22.440807549,382561.1547744786,
2000-01-14,FHN,NYSE,22.6490749044,23.4821443262,22.6490749044,22.9614759376,469228.6018241096,
2000-01-18,FHN,NYSE,22.805275421,22.805275421,21.9201391603,22.1804733547,392164.1959988145,
2000-01-19,FHN,NYSE,22.1804733547,22.6490749044,21.7639386438,21.9722059992,319901.3107856875,
2000-01-20,FHN,NYSE,21.8160054826,21.8160054826,20.7226018666,20.8267355443,770403.9822223422,
2000-01-21,FHN,NYSE,20.930869222,21.1391365774,20.8788023831,20.9829360609,319901.3107856875,
2000-01-24,FHN,NYSE,21.0350028997,21.0870697386,19.8374656059,19.9415992836,621916.9572910494,
2000-01-25,FHN,NYSE,19.9415992836,20.0457329614,19.7333319282,19.9415992836,865954.2424044837,
2000-01-26,FHN,NYSE,19.8895324448,20.56640135,19.8895324448,20.56640135,697901.0209786065,
2000-01-27,FHN,NYSE,20.6184681888,21.1912034163,20.56640135,20.7746687054,445461.0747938784,
2000-01-28,FHN,NYSE,20.7226018666,21.0870697386,20.5143345111,21.0870697386,444380.7326561406,
2000-01-31,FHN,NYSE,21.2432702552,21.7639386438,21.0350028997,21.7639386438,381000.6605755241,
2000-02-01,FHN,NYSE,21.8680723215,21.9201391603,21.5036044495,21.6077381272,292652.6813116345,
2000-02-02,FHN,NYSE,21.8160054826,21.8160054826,21.2432702552,21.4515376106,357113.0955299888,
2000-02-03,FHN,NYSE,21.3994707717,21.659804966,21.1912034163,21.5036044495,561057.6835318209,
2000-02-04,FHN,NYSE,21.5036044495,21.5036044495,21.0350028997,21.0870697386,161331.092568842,
2000-02-07,FHN,NYSE,21.1391365774,21.2432702552,20.6705350277,21.1391365774,338507.2031578381,
2000-02-08,FHN,NYSE,20.930869222,21.5556712883,20.930869222,21.4515376106,255680.9725979415,
2000-02-09,FHN,NYSE,21.4515376106,21.4515376106,20.7746687054,20.8267355443,235394.5480115321,
2000-02-10,FHN,NYSE,20.8788023831,20.9829360609,20.0457329614,20.3060671557,366596.0987390202,
2000-02-11,FHN,NYSE,20.2540003168,20.6184681888,20.0977998002,20.2019334779,262643.177485585,
2000-02-14,FHN,NYSE,20.2019334779,20.3581339945,19.9936661225,20.0457329614,247518.3875572561,
2000-02-15,FHN,NYSE,20.1498666391,20.4622676722,19.9415992836,19.9936661225,243197.019006305,
2000-02-16,FHN,NYSE,20.0977998002,20.4102008334,19.8374656059,19.9936661225,426014.9163145982,
2000-02-17,FHN,NYSE,20.4102008334,20.4622676722,20.0457329614,20.2019334779,717707.2935037995,
2000-02-18,FHN,NYSE,20.0457329614,20.0977998002,19.056463023,19.6291982505,307537.3952093551,
2000-02-22,FHN,NYSE,19.8374656059,19.8374656059,18.9523293453,19.2126635396,333345.5684997576,
2000-02-23,FHN,NYSE,19.4729977339,19.5250645728,18.9002625064,19.056463023,236714.9661798783,
2000-02-24,FHN,NYSE,19.056463023,19.1605967007,18.691995151,18.8481956676,190740.4063183705,
2000-02-25,FHN,NYSE,18.7961288287,19.4729977339,18.691995151,18.8481956676,343548.7998006144,
2000-02-28,FHN,NYSE,18.9002625064,19.7333319282,18.8481956676,19.5771314116,299014.6961227569,
2000-02-29,FHN,NYSE,13.5373781038,14.943182753,13.5373781038,14.3704475255,6711085.359627097,
2000-03-01,FHN,NYSE,14.578714881,15.3597174639,14.578714881,14.6307817199,1530964.84718974,
2000-03-02,FHN,NYSE,15.6200516582,15.6200516582,14.1621801701,14.7349153976,1727707.154273321,
2000-03-03,FHN,NYSE,14.7349153976,14.943182753,14.3183806867,14.4745812033,778566.5672630274,
2000-03-06,FHN,NYSE,14.578714881,14.6828485587,14.3704475255,14.4225143644,522525.4806191734,
2000-03-07,FHN,NYSE,14.3704475255,14.4225143644,13.9539128147,14.0580464924,488914.836333998,
2000-03-08,FHN,NYSE,13.8497791369,14.0580464924,13.4332444261,13.5373781038,489515.026410519,
2000-03-09,FHN,NYSE,13.5373781038,13.5373781038,13.2770439095,13.4853112649,339947.6593414884,
2000-03-10,FHN,NYSE,13.5373781038,13.6935786204,13.3811775872,13.4332444261,435858.0335695426,
2000-03-13,FHN,NYSE,13.6415117815,13.6415117815,13.3811775872,13.3811775872,473549.9703750607,
2000-03-14,FHN,NYSE,13.4332444261,13.4853112649,13.3291107483,13.4332444261,365515.7566012826,
2000-03-15,FHN,NYSE,13.4853112649,14.3704475255,13.2770439095,14.214247009,958503.5522040203,
2000-03-16,FHN,NYSE,14.6828485587,16.5051879188,14.4745812033,15.9324526914,1148283.6543999573,
2000-03-17,FHN,NYSE,15.7762521748,15.9845195302,15.3597174639,15.4638511416,458425.1804467319,
2000-03-20,FHN,NYSE,15.4638511416,15.4638511416,14.6828485587,14.7349153976,336706.6329282752,
2000-03-21,FHN,NYSE,14.7349153976,15.5159179805,14.7349153976,15.5159179805,503079.3221398934,
2000-03-22,FHN,NYSE,15.5159179805,15.5679848193,14.8911159142,15.5159179805,479431.8331249665,
2000-03-23,FHN,NYSE,15.4117843028,16.0365863691,15.0993832696,15.9845195302,511241.9071805789,
2000-03-24,FHN,NYSE,16.0365863691,16.2448537245,15.7762521748,15.8283190136,329984.50407124,
2000-03-27,FHN,NYSE,15.7762521748,15.7762521748,14.7349153976,14.9952495919,483873.2396912217,
2000-03-28,FHN,NYSE,14.9952495919,15.5159179805,14.8390490753,15.4117843028,505240.006415369,
2000-03-29,FHN,NYSE,15.7241853359,15.9324526914,15.2035169473,15.7241853359,441979.9723500567,
2000-03-30,FHN,NYSE,15.9324526914,15.9324526914,15.307650625,15.3597174639,379800.2804224821,
2000-03-31,FHN,NYSE,15.5159179805,16.9217226297,15.4117843028,16.9217226297,706783.8341111171,
2000-04-03,FHN,NYSE,16.817588952,16.9217226297,16.5572547577,16.817588952,586265.6667457026,
2000-04-04,FHN,NYSE,16.9217226297,17.3903241795,15.307650625,16.6613884354,898844.6585978338,
2000-04-05,FHN,NYSE,16.45312108,16.817588952,16.3489874023,16.5572547577,463466.777089508,
2000-04-06,FHN,NYSE,16.7655221131,17.0258563074,16.7134552743,16.8696557909,580143.7279651884,
2000-04-07,FHN,NYSE,16.7655221131,16.9737894686,15.8283190136,16.1407200468,296373.8597860645,
2000-04-10,FHN,NYSE,16.1407200468,16.2969205634,15.9324526914,16.2969205634,154488.9256965027,
2000-04-11,FHN,NYSE,16.2448537245,16.2448537245,16.0365863691,16.1407200468,153528.6215740691,
2000-04-12,FHN,NYSE,15.9324526914,17.1299899852,15.9324526914,16.9737894686,550014.1861238348,
2000-04-13,FHN,NYSE,16.9217226297,17.0779231463,16.45312108,16.5051879188,227352.0009861508,
2000-04-14,FHN,NYSE,16.6093215966,16.6093215966,15.1514501085,15.3597174639,316780.3223877783,
2000-04-17,FHN,NYSE,15.2555837862,15.7762521748,15.2555837862,15.7762521748,359753.9318666812,
2000-04-18,FHN,NYSE,15.7762521748,16.2969205634,15.6200516582,16.2969205634,378839.9763000486,
2000-04-19,FHN,NYSE,16.088653208,16.2448537245,15.6200516582,15.6721184971,307177.2811634424,
2000-04-20,FHN,NYSE,15.6721184971,16.1407200468,15.6721184971,16.088653208,580863.9560570137,
2000-04-24,FHN,NYSE,15.9845195302,16.7134552743,15.7241853359,16.2969205634,356272.8294228595,
2000-04-25,FHN,NYSE,16.1407200468,17.2341236629,16.1407200468,17.0258563074,329504.3520100232,
2000-04-26,FHN,NYSE,16.9217226297,17.0258563074,16.45312108,16.45312108,294813.3655871099,
2000-04-27,FHN,NYSE,16.2969205634,16.2969205634,15.8283190136,15.9845195302,284370.0582556448,
2000-04-28,FHN,NYSE,15.9845195302,16.0365863691,15.7241853359,15.8283190136,160490.8264617126,
2000-05-01,FHN,NYSE,15.9324526914,16.5051879188,15.8803858525,16.2448537245,311258.5736837852,
2000-05-02,FHN,NYSE,16.1407200468,16.2448537245,15.9324526914,16.1407200468,170093.8676860484,
2000-05-03,FHN,NYSE,16.0365863691,16.0365863691,15.5679848193,15.6200516582,228192.2670932802,
2000-05-04,FHN,NYSE,15.7762521748,15.7762521748,15.2035169473,15.307650625,293372.9094034598,
2000-05-05,FHN,NYSE,15.3597174639,15.3597174639,15.0473164307,15.0993832696,194461.5847928006,
2000-05-08,FHN,NYSE,14.8911159142,15.6721184971,14.8390490753,15.2035169473,576542.5875060624,
2000-05-09,FHN,NYSE,15.2035169473,15.5679848193,15.0993832696,15.4638511416,619396.1589696611,
2000-05-10,FHN,NYSE,15.4638511416,15.4638511416,14.943182753,14.943182753,130481.3226356631,
2000-05-11,FHN,NYSE,14.943182753,15.5679848193,14.943182753,15.2035169473,228912.4951851054,
2000-05-12,FHN,NYSE,15.307650625,15.6200516582,15.2035169473,15.5159179805,186178.961736811,
2000-05-15,FHN,NYSE,15.4117843028,15.6721184971,15.3597174639,15.6721184971,149807.4430996389,
2000-05-16,FHN,NYSE,15.5679848193,15.9324526914,15.5159179805,15.5679848193,370077.2011828421,
2000-05-17,FHN,NYSE,15.5679848193,15.6200516582,15.4117843028,15.5679848193,247878.5016031687,
