date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,FI,NYSE,6.3645769688,6.3854102812,6.1666605,6.3541603125,4728004.728004728,
2000-01-04,FI,NYSE,6.2291604375,6.374993625,5.8333275,5.91666075,5572205.572205572,
2000-01-05,FI,NYSE,5.91666075,6.3958269375,5.8958274375,6.3281186719,5250605.250605251,
2000-01-06,FI,NYSE,6.24999375,6.3229103437,6.0208273125,6.1302022031,4112404.1124041127,
2000-01-07,FI,NYSE,6.1041605625,6.3958269375,6.0208273125,6.3593686406,3436203.4362034365,
2000-01-10,FI,NYSE,6.3437436563,6.41666025,6.2291604375,6.3437436563,4317604.317604317,
2000-01-11,FI,NYSE,6.2395770937,6.291660375,5.6458276875,5.6874943125,5011205.011205011,
2000-01-12,FI,NYSE,5.708327625,5.9791606875,5.708327625,5.9374940625,5349605.34960535,
2000-01-13,FI,NYSE,5.9843690156,6.3541603125,5.9791606875,6.333327,4538404.538404538,
2000-01-14,FI,NYSE,6.374993625,6.374993625,6.041660625,6.0729105938,7019407.01940702,
2000-01-18,FI,NYSE,5.999994,6.0624939375,5.8958274375,5.999994,5345405.345405346,
2000-01-19,FI,NYSE,6.0624939375,6.1666605,5.999994,6.1354105313,5064605.064605065,
2000-01-20,FI,NYSE,6.08332725,6.1979104688,6.041660625,6.124993875,5478605.478605479,
2000-01-21,FI,NYSE,6.1666605,6.1770771563,5.91666075,5.9479107188,9739809.73980974,
2000-01-24,FI,NYSE,5.958327375,5.999994,5.6145777188,5.6692651641,8083208.083208083,
2000-01-25,FI,NYSE,5.6874943125,5.999994,5.6041610625,5.9479107188,16414816.414816415,
2000-01-26,FI,NYSE,6.0312439688,6.041660625,5.8124941875,5.8437441563,4674604.674604675,
2000-01-27,FI,NYSE,5.8541608125,5.8958274375,5.7604109063,5.8020775313,3192003.192003192,
2000-01-28,FI,NYSE,5.791660875,5.8020775313,5.4374945625,5.458327875,5467205.467205468,
2000-01-31,FI,NYSE,5.4791611875,5.8124941875,5.458327875,5.6562443438,6261606.261606262,
2000-02-01,FI,NYSE,5.666661,5.7291609375,5.5208278125,5.7291609375,4817404.817404818,
2000-02-02,FI,NYSE,5.7291609375,6.2708270625,5.708327625,6.0624939375,6899406.8994069,
2000-02-03,FI,NYSE,6.1145772188,6.208327125,5.9374940625,6.0104106562,6731406.7314067315,
2000-02-04,FI,NYSE,6.0208273125,6.08332725,5.8229108438,5.8229108438,4045804.045804046,
2000-02-07,FI,NYSE,5.8541608125,5.874994125,5.8020775313,5.8437441563,3231603.2316032317,
2000-02-08,FI,NYSE,5.8958274375,6.041660625,5.874994125,6.0208273125,5332805.332805333,
2000-02-09,FI,NYSE,5.999994,6.041660625,5.791660875,5.8333275,4369804.36980437,
2000-02-10,FI,NYSE,5.8958274375,6.0312439688,5.791660875,6.0312439688,3734403.7344037346,
2000-02-11,FI,NYSE,6.0312439688,6.1041605625,5.5624944375,5.666661,4977004.977004977,
2000-02-14,FI,NYSE,5.6979109688,5.74999425,5.6041610625,5.6562443438,3025203.0252030254,
2000-02-15,FI,NYSE,5.6458276875,5.666661,5.3958279375,5.5104111563,5025005.025005025,
2000-02-16,FI,NYSE,5.4791611875,5.5937444063,5.1666615,5.333328,5890805.890805891,
2000-02-17,FI,NYSE,5.3437446563,5.41666125,5.0312449688,5.041661625,8635808.635808636,
2000-02-18,FI,NYSE,5.0104116563,5.0104116563,4.0520792813,4.5520787813,34001434.001434006,
2000-02-22,FI,NYSE,4.5624954375,5.0208283125,4.5520787813,4.6562453438,12378012.378012378,
2000-02-23,FI,NYSE,4.624995375,4.7291619375,4.4791621875,4.7291619375,9028209.028209029,
2000-02-24,FI,NYSE,4.7708285625,4.7708285625,4.4791621875,4.666662,9739809.73980974,
2000-02-25,FI,NYSE,4.6770786563,4.7187452812,4.624995375,4.6874953125,13707613.707613708,
2000-02-28,FI,NYSE,4.624995375,4.6458286875,4.333329,4.4791621875,13508413.508413509,
2000-02-29,FI,NYSE,4.541662125,4.6145787188,4.4895788437,4.541662125,11926811.926811928,
2000-03-01,FI,NYSE,4.541662125,4.6041620625,4.4791621875,4.58332875,5245805.245805246,
2000-03-02,FI,NYSE,4.5624954375,4.5624954375,4.3541623125,4.4270789063,4890604.890604891,
2000-03-03,FI,NYSE,4.4374955625,4.6145787188,4.3958289375,4.5729120938,7990807.9908079915,
2000-03-06,FI,NYSE,4.5937454063,4.5937454063,4.41666225,4.4270789063,8429408.42940843,
2000-03-07,FI,NYSE,4.41666225,4.5260371406,4.41666225,4.4999955,12684012.684012685,
2000-03-08,FI,NYSE,4.4999955,4.999995,4.4999955,4.8229118438,10782010.782010783,
2000-03-09,FI,NYSE,4.8333285,5.3645779688,4.74999525,5.3541613125,10400410.4004104,
2000-03-10,FI,NYSE,5.3437446563,5.7291609375,5.3437446563,5.6874943125,10162810.162810164,
2000-03-13,FI,NYSE,5.41666125,5.4661403672,5.291661375,5.3124946875,9006609.006609008,
2000-03-14,FI,NYSE,5.2812447188,5.541661125,5.2812447188,5.3541613125,6334206.334206334,
2000-03-15,FI,NYSE,5.3437446563,5.4791611875,5.2708280625,5.41666125,9027009.027009027,
2000-03-16,FI,NYSE,5.4374945625,5.8333275,5.4270779063,5.6145777188,9362409.362409363,
2000-03-17,FI,NYSE,5.4791611875,5.6458276875,5.3124946875,5.3437446563,11787011.787011787,
2000-03-20,FI,NYSE,5.3541613125,5.5520777812,5.3437446563,5.4999945,5652005.652005652,
2000-03-21,FI,NYSE,5.4895778438,5.9270774063,5.4791611875,5.9218690781,8878208.87820888,
2000-03-22,FI,NYSE,5.91666075,6.0208273125,5.8333275,5.91666075,5655605.655605656,
2000-03-23,FI,NYSE,5.8854107813,6.1874938125,5.8333275,6.0104106562,9289809.28980929,
2000-03-24,FI,NYSE,6.08332725,6.124993875,5.874994125,6.0312439688,12705612.705612706,
2000-03-27,FI,NYSE,5.9791606875,6.2291604375,5.9791606875,6.1770771563,4114804.114804115,
2000-03-28,FI,NYSE,6.08332725,6.2187437813,6.0624939375,6.0729105938,7125607.125607125,
2000-03-29,FI,NYSE,6.1041605625,6.1666605,5.9687440313,6.0624939375,3595203.5952035952,
2000-03-30,FI,NYSE,6.0208273125,6.1874938125,5.91666075,5.958327375,5736605.736605736,
2000-03-31,FI,NYSE,6.0312439688,6.291660375,5.708327625,6.1979104688,9604209.604209604,
2000-04-03,FI,NYSE,6.1979104688,6.3541603125,6.1874938125,6.3124936875,7822207.822207822,
2000-04-04,FI,NYSE,6.2812437188,6.4036394297,6.041660625,6.208327125,6727806.727806728,
2000-04-05,FI,NYSE,6.1354105313,6.1458271875,5.6484318516,5.791660875,6366006.366006366,
2000-04-06,FI,NYSE,5.8124941875,6.291660375,5.74999425,6.1354105313,8056808.056808057,
2000-04-07,FI,NYSE,6.1874938125,6.1874938125,6.1041605625,6.1562438437,6566406.566406567,
2000-04-10,FI,NYSE,6.1874938125,6.208327125,5.9270774063,6.0104106562,4486204.486204486,
2000-04-11,FI,NYSE,5.874994125,6.24999375,5.8333275,5.958327375,5103005.103005103,
2000-04-12,FI,NYSE,5.9270774063,6.541660125,5.91666075,6.291660375,8931008.931008931,
2000-04-13,FI,NYSE,6.3541603125,6.6874933125,6.208327125,6.2187437813,12559212.55921256,
2000-04-14,FI,NYSE,6.1666605,6.1874938125,5.6874943125,5.6874943125,8701208.701208701,
2000-04-17,FI,NYSE,5.6197860469,6.208327125,5.6145777188,5.958327375,8976608.976608977,
2000-04-18,FI,NYSE,5.8958274375,6.041660625,5.8333275,5.9895773438,7621807.621807622,
2000-04-19,FI,NYSE,5.958327375,6.08332725,5.791660875,5.8958274375,4252204.252204252,
2000-04-20,FI,NYSE,6.0937439062,6.3124936875,5.958327375,6.1874938125,5182205.1822051825,
2000-04-24,FI,NYSE,6.124993875,6.208327125,5.9791606875,6.1874938125,3800403.8004038003,
2000-04-25,FI,NYSE,6.374993625,6.999993,6.374993625,6.999993,16119016.11901612,
2000-04-26,FI,NYSE,6.9895763438,7.5624924375,6.958326375,7.1041595625,18531018.531018533,
2000-04-27,FI,NYSE,6.8854097813,7.74999225,6.8124931875,7.666659,14430614.43061443,
2000-04-28,FI,NYSE,7.6562423438,7.6770756562,7.291659375,7.6562423438,13372813.372813374,
2000-05-01,FI,NYSE,7.708325625,7.8020755313,7.3958259375,7.708325625,10018210.018210018,
2000-05-02,FI,NYSE,7.6562423438,7.7291589375,7.4999925,7.5208258125,8934608.934608934,
2000-05-03,FI,NYSE,7.4999925,7.5208258125,6.91665975,7.124992875,7918207.918207918,
2000-05-04,FI,NYSE,7.0937429063,7.6458256875,7.08332625,7.5104091563,7104607.104607105,
2000-05-05,FI,NYSE,7.4374925625,7.8020755313,7.333326,7.6770756562,10854010.854010854,
2000-05-08,FI,NYSE,7.541659125,7.58332575,7.291659375,7.3020760312,3980403.9804039807,
2000-05-09,FI,NYSE,7.3229093438,7.41665925,7.0729095937,7.3958259375,4788004.788004789,
2000-05-10,FI,NYSE,7.333326,7.333326,6.999993,7.0104096563,4380004.38000438,
2000-05-11,FI,NYSE,7.1041595625,7.2812427188,6.999993,7.2708260625,5479805.47980548,
2000-05-12,FI,NYSE,7.291659375,7.5624924375,7.1666595,7.3229093438,7228207.228207229,
2000-05-15,FI,NYSE,7.3124926875,7.5208258125,7.1666595,7.5104091563,5417405.417405417,
2000-05-16,FI,NYSE,7.5208258125,7.6979089688,7.5208258125,7.6354090313,8816408.816408817,
2000-05-17,FI,NYSE,7.4999925,7.541659125,7.3541593125,7.4791591875,3907203.907203907,
2000-05-18,FI,NYSE,7.5312424687,7.5937424063,7.0104096563,7.0104096563,4710604.7106047105,
2000-05-19,FI,NYSE,6.8541598125,7.0624929375,6.74999325,6.7812432188,2724002.724002724,
2000-05-22,FI,NYSE,6.8124931875,7.0104096563,6.333327,6.9791596875,6574206.574206575,
2000-05-23,FI,NYSE,7.0104096563,7.1562428437,6.5624934375,6.5624934375,3371403.3714033714,
2000-05-24,FI,NYSE,6.5624934375,7.458325875,6.4479102188,7.458325875,7923007.923007923,
2000-05-25,FI,NYSE,7.4791591875,7.541659125,6.91665975,6.9687430313,7275007.275007275,
2000-05-26,FI,NYSE,6.9791596875,7.1979094688,6.9270764062,7.0937429063,4959004.959004959,
2000-05-30,FI,NYSE,7.1874928125,7.8333255,7.1718678281,7.708325625,8022008.022008022,
2000-05-31,FI,NYSE,7.6562423438,8.1041585625,7.6458256875,7.791658875,8257208.257208257,
2000-06-01,FI,NYSE,7.791658875,8.1041585625,7.666659,7.9374920625,4398604.398604399,
2000-06-02,FI,NYSE,8.0208253125,8.08332525,7.8645754688,7.8958254375,5913605.9136059135,
2000-06-05,FI,NYSE,7.8333255,8.08332525,7.8124921875,7.9687420313,5674205.674205675,
2000-06-06,FI,NYSE,7.874992125,7.958325375,7.6041590625,7.6354090313,4253404.253404253,
2000-06-07,FI,NYSE,7.6145757187,8.1458251875,7.4791591875,8.1354085313,7803607.803607804,
2000-06-08,FI,NYSE,8.0937419063,8.1354085313,7.8437421562,7.9062420937,5100605.1006051,
2000-06-09,FI,NYSE,7.9374920625,8.0208253125,7.8333255,7.91665875,3039603.0396030396,
2000-06-12,FI,NYSE,7.8333255,7.8437421562,7.5520757813,7.6562423438,2170802.170802171,
2000-06-13,FI,NYSE,7.624992375,8.0104086563,7.5624924375,7.9895753437,3567003.5670035672,
2000-06-14,FI,NYSE,7.9791586875,8.0104086563,7.6874923125,7.7187422813,3259203.2592032594,
2000-06-15,FI,NYSE,7.7395755938,8.1770751563,7.5104091563,8.1770751563,5476205.476205477,
2000-06-16,FI,NYSE,8.3124916875,8.3958249375,7.874992125,8.0624919375,11241611.241611242,
2000-06-19,FI,NYSE,8.0624919375,8.24999175,7.74999225,8.2291584375,3336603.3366033365,
2000-06-20,FI,NYSE,8.2187417813,8.24999175,7.9374920625,8.0729085938,3329403.3294033296,
2000-06-21,FI,NYSE,8.0104086563,8.0312419687,7.5624924375,7.8229088438,5571605.571605572,
2000-06-22,FI,NYSE,7.8437421562,7.874992125,7.541659125,7.5624924375,4630204.63020463,
2000-06-23,FI,NYSE,7.5729090938,7.5729090938,7.1666595,7.2187427813,5178005.178005178,
2000-06-26,FI,NYSE,7.3124926875,7.4062425938,6.9687430313,7.4062425938,4843804.843804844,
2000-06-27,FI,NYSE,7.4010342656,7.458325875,7.2291594375,7.291659375,5207405.207405208,
2000-06-28,FI,NYSE,7.41665925,7.74999225,7.3541593125,7.7395755938,2409002.409002409,
2000-06-29,FI,NYSE,7.6510340156,8.0520752813,7.58332575,7.6458256875,5680205.68020568,
2000-06-30,FI,NYSE,7.6874923125,7.8124921875,7.1666595,7.208326125,5339405.339405339,
2000-07-03,FI,NYSE,7.333326,7.74999225,7.24999275,7.4895758438,1525801.525801526,
2000-07-05,FI,NYSE,7.4895758438,7.5624924375,7.1145762188,7.124992875,3321003.321003321,
2000-07-06,FI,NYSE,7.2187427813,7.874992125,7.1979094688,7.7187422813,4903804.903804904,
2000-07-07,FI,NYSE,7.7786380547,7.8541588125,7.58332575,7.624992375,3691203.6912036915,
2000-07-10,FI,NYSE,7.6562423438,7.666659,7.41665925,7.5624924375,2137202.137202137,
2000-07-11,FI,NYSE,7.541659125,8.0624919375,7.541659125,7.9791586875,4504204.504204504,
2000-07-12,FI,NYSE,7.9791586875,8.0208253125,7.7604089062,7.8437421562,2085602.0856020856,
2000-07-13,FI,NYSE,7.791658875,7.8124921875,7.4895758438,7.4999925,3271203.271203271,
2000-07-14,FI,NYSE,7.5624924375,7.7708255625,7.333326,7.7395755938,5223005.223005223,
2000-07-17,FI,NYSE,7.6874923125,7.8958254375,7.624992375,7.7604089062,2014802.014802015,
2000-07-18,FI,NYSE,7.8333255,7.874992125,7.6041590625,7.666659,2991002.991002991,
2000-07-19,FI,NYSE,7.7708255625,8.1041585625,7.7395755938,7.999992,6006006.006006006,
2000-07-20,FI,NYSE,7.9895753437,8.2291584375,7.9791586875,8.208325125,4627204.627204628,
2000-07-21,FI,NYSE,8.24999175,8.3437416563,8.1041585625,8.124991875,3550803.550803551,
2000-07-24,FI,NYSE,8.1041585625,8.2708250625,7.91665875,7.999992,3038403.0384030384,
2000-07-25,FI,NYSE,7.9791586875,8.7708245625,7.7708255625,8.74999125,9580809.58080958,
2000-07-26,FI,NYSE,8.6979079688,8.74999125,8.41665825,8.666658,7830607.830607831,
2000-07-27,FI,NYSE,8.6770746563,8.8229078438,8.41665825,8.6041580625,6921606.921606922,
2000-07-28,FI,NYSE,8.5676997656,8.624991375,8.3229083437,8.3541583125,4500604.500604501,
2000-07-31,FI,NYSE,8.4374915625,9.4999905,8.4270749063,9.3020740313,12368412.368412368,
2000-08-01,FI,NYSE,9.208324125,9.41665725,8.8541578125,8.9791576875,8304008.304008304,
2000-08-02,FI,NYSE,8.999991,9.291657375,8.74999125,9.2291574375,9156609.156609157,
2000-08-03,FI,NYSE,9.124990875,9.208324125,9.0312409688,9.1874908125,7090807.090807091,
2000-08-04,FI,NYSE,9.1041575625,9.4895738438,8.9374910625,9.1770741562,6801006.801006801,
2000-08-07,FI,NYSE,9.1562408438,9.1770741562,8.8854077813,8.9687410313,5002805.002805003,
2000-08-08,FI,NYSE,8.9374910625,8.999991,8.6354080313,8.7187412812,4145404.1454041456,
2000-08-09,FI,NYSE,8.8333245,8.8333245,8.4192624141,8.5208248125,4971604.971604972,
2000-08-10,FI,NYSE,8.541658125,8.9270744063,8.374991625,8.6979079688,4684804.6848046845,
2000-08-11,FI,NYSE,8.6979079688,8.9557202109,8.4999915,8.8958244375,6718806.718806719,
2000-08-14,FI,NYSE,8.958324375,9.24999075,8.8854077813,9.2291574375,5734205.734205734,
2000-08-15,FI,NYSE,9.1979074688,9.208324125,8.7708245625,8.8333245,3448203.448203448,
2000-08-16,FI,NYSE,8.8958244375,9.041657625,8.7708245625,8.8958244375,5830805.830805831,
2000-08-17,FI,NYSE,8.8958244375,9.1666575,8.791657875,9.1145742188,4185004.185004185,
2000-08-18,FI,NYSE,8.9426993906,9.1666575,8.8333245,8.999991,2977802.977802978,
2000-08-21,FI,NYSE,8.999991,9.24999075,8.958324375,9.1640533359,7323607.323607324,
2000-08-22,FI,NYSE,9.1979074688,9.333324,8.958324375,8.9895743438,3904203.9042039043,
2000-08-23,FI,NYSE,8.958324375,8.9687410313,8.708324625,8.74999125,6308406.308406308,
2000-08-24,FI,NYSE,8.7395745938,8.874991125,8.6458246875,8.708324625,6043806.043806044,
2000-08-25,FI,NYSE,8.708324625,8.7135329531,8.2812417188,8.4062415938,6824406.824406825,
2000-08-28,FI,NYSE,8.4010332656,8.7395745938,8.3124916875,8.5442622891,6096606.096606097,
