date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,GG,NYSE,2.8125,2.8125,2.65625,2.6875,8800.0,
2000-01-04,GG,NYSE,2.71875,2.78125,2.6875,2.78125,5200.0,
2000-01-05,GG,NYSE,2.8125,2.875,2.8125,2.875,3000.0,
2000-01-06,GG,NYSE,2.875,2.875,2.78125,2.8125,8600.0,
2000-01-07,GG,NYSE,2.84375,2.84375,2.84375,2.84375,200.0,
2000-01-10,GG,NYSE,2.78125,2.78125,2.6875,2.6875,3400.0,
2000-01-11,GG,NYSE,2.6875,2.71875,2.6875,2.71875,1800.0,
2000-01-12,GG,NYSE,2.71875,2.78125,2.71875,2.75,7600.0,
2000-01-13,GG,NYSE,2.75,2.75,2.6875,2.75,20000.0,
2000-01-14,GG,NYSE,2.8125,2.8125,2.6875,2.6875,6800.0,
2000-01-18,GG,NYSE,2.75,2.75,2.6875,2.71875,5800.0,
2000-01-19,GG,NYSE,2.78125,2.78125,2.75,2.75,2400.0,
2000-01-20,GG,NYSE,2.8125,2.8125,2.625,2.625,21800.0,
2000-01-21,GG,NYSE,2.65625,2.65625,2.53125,2.65625,18200.0,
2000-01-24,GG,NYSE,2.65625,2.84375,2.59375,2.84375,24400.0,
2000-01-25,GG,NYSE,3.09375,3.09375,2.71875,2.71875,22800.0,
2000-01-26,GG,NYSE,2.65625,2.65625,2.625,2.65625,1600.0,
2000-01-27,GG,NYSE,2.625,2.71875,2.625,2.71875,42400.0,
2000-01-28,GG,NYSE,2.65625,2.65625,2.53125,2.5625,3600.0,
2000-01-31,GG,NYSE,2.625,2.625,2.375,2.375,47400.0,
2000-02-01,GG,NYSE,2.375,2.46875,2.375,2.46875,6400.0,
2000-02-02,GG,NYSE,2.5,2.53125,2.4375,2.4375,12000.0,
2000-02-03,GG,NYSE,2.4375,2.4375,2.375,2.4375,3800.0,
2000-02-04,GG,NYSE,2.5,2.78125,2.5,2.78125,11000.0,
2000-02-07,GG,NYSE,2.9375,2.96875,2.75,2.75,24600.0,
2000-02-08,GG,NYSE,2.6875,2.6875,2.5625,2.5625,11200.0,
2000-02-09,GG,NYSE,2.625,2.78125,2.625,2.75,12000.0,
2000-02-10,GG,NYSE,2.8125,2.875,2.8125,2.875,10600.0,
2000-02-11,GG,NYSE,3.0625,3.0625,2.71875,2.71875,23400.0,
2000-02-14,GG,NYSE,2.65625,2.6875,2.65625,2.65625,2600.0,
2000-02-15,GG,NYSE,2.625,2.625,2.625,2.625,1000.0,
2000-02-16,GG,NYSE,2.6875,2.84375,2.6875,2.75,23800.0,
2000-02-17,GG,NYSE,2.78125,2.78125,2.5625,2.6875,17200.0,
2000-02-18,GG,NYSE,2.78125,2.8125,2.71875,2.71875,3200.0,
2000-02-22,GG,NYSE,2.65625,2.71875,2.65625,2.6875,8600.0,
2000-02-23,GG,NYSE,2.71875,2.75,2.6875,2.75,6800.0,
2000-02-24,GG,NYSE,2.75,2.75,2.625,2.6875,6000.0,
2000-02-25,GG,NYSE,2.625,2.625,2.53125,2.5625,2600.0,
2000-02-28,GG,NYSE,2.5,2.5,2.4375,2.4375,1600.0,
2000-02-29,GG,NYSE,2.5,2.5,2.40625,2.40625,17000.0,
2000-03-01,GG,NYSE,2.375,2.4375,2.375,2.375,6200.0,
2000-03-02,GG,NYSE,2.34375,2.34375,2.34375,2.34375,4200.0,
2000-03-03,GG,NYSE,2.3125,2.3125,2.125,2.25,17000.0,
2000-03-06,GG,NYSE,2.3125,2.3125,2.1875,2.25,5400.0,
2000-03-07,GG,NYSE,2.3125,2.375,2.28125,2.28125,6800.0,
2000-03-08,GG,NYSE,2.40625,2.5,2.40625,2.4375,14400.0,
2000-03-09,GG,NYSE,2.40625,2.5,2.375,2.5,33400.0,
2000-03-10,GG,NYSE,2.4375,2.5,2.4375,2.5,6000.0,
2000-03-13,GG,NYSE,2.5,2.53125,2.5,2.53125,400.0,
2000-03-14,GG,NYSE,2.5,2.5625,2.5,2.5625,400.0,
2000-03-15,GG,NYSE,2.59375,2.625,2.53125,2.53125,5600.0,
2000-03-16,GG,NYSE,2.4375,2.5625,2.4375,2.5625,16200.0,
2000-03-17,GG,NYSE,2.5625,2.5625,2.5,2.5,2200.0,
2000-03-20,GG,NYSE,2.5,2.53125,2.4375,2.53125,5400.0,
2000-03-21,GG,NYSE,2.5625,2.5625,2.46875,2.46875,24200.0,
2000-03-22,GG,NYSE,2.46875,2.46875,2.4375,2.4375,4000.0,
2000-03-23,GG,NYSE,2.40625,2.5,2.40625,2.46875,5800.0,
2000-03-24,GG,NYSE,2.46875,2.46875,2.46875,2.46875,800.0,
2000-03-27,GG,NYSE,2.40625,2.5625,2.40625,2.5625,18200.0,
2000-03-28,GG,NYSE,2.46875,2.46875,2.46875,2.46875,2800.0,
2000-03-29,GG,NYSE,2.4375,2.4375,2.28125,2.3125,15800.0,
2000-03-30,GG,NYSE,2.4375,2.8125,2.4375,2.6875,25200.0,
2000-03-31,GG,NYSE,2.71875,3.0,2.71875,3.0,24800.0,
2000-04-03,GG,NYSE,3.0625,3.125,3.03125,3.09375,23600.0,
2000-04-04,GG,NYSE,3.0625,3.15625,3.0,3.0625,14600.0,
2000-04-05,GG,NYSE,3.0625,3.0625,3.0625,3.0625,7000.0,
2000-04-06,GG,NYSE,3.03125,3.09375,3.03125,3.09375,21800.0,
2000-04-07,GG,NYSE,3.09375,3.125,3.09375,3.125,2800.0,
2000-04-10,GG,NYSE,3.1875,3.1875,3.0625,3.0625,6200.0,
2000-04-11,GG,NYSE,3.125,3.1875,3.125,3.125,3800.0,
2000-04-12,GG,NYSE,3.09375,3.09375,3.0,3.0,14400.0,
2000-04-13,GG,NYSE,2.96875,3.03125,2.96875,3.03125,1400.0,
2000-04-14,GG,NYSE,3.03125,3.375,3.03125,3.125,24800.0,
2000-04-18,GG,NYSE,3.03125,3.03125,3.0,3.0,50400.0,
2000-04-19,GG,NYSE,3.0,3.03125,3.0,3.0,800.0,
2000-04-20,GG,NYSE,3.0,3.0625,3.0,3.0625,7400.0,
2000-04-24,GG,NYSE,3.1875,3.25,3.15625,3.1875,19000.0,
2000-04-25,GG,NYSE,3.3125,3.3125,3.125,3.15625,24600.0,
2000-04-26,GG,NYSE,3.0625,3.125,3.0625,3.0625,5400.0,
2000-04-27,GG,NYSE,3.125,3.21875,3.03125,3.0625,13000.0,
2000-04-28,GG,NYSE,3.0,3.0,3.0,3.0,200.0,
2000-05-01,GG,NYSE,3.0,3.03125,2.9375,3.0,13800.0,
2000-05-02,GG,NYSE,3.0,3.09375,2.9375,3.09375,13000.0,
2000-05-03,GG,NYSE,3.125,3.21875,3.125,3.21875,4400.0,
2000-05-04,GG,NYSE,3.21875,3.3125,3.21875,3.3125,6000.0,
2000-05-05,GG,NYSE,3.25,3.25,3.09375,3.09375,6200.0,
2000-05-08,GG,NYSE,3.15625,3.1875,3.09375,3.1875,7200.0,
2000-05-09,GG,NYSE,3.125,3.1875,3.125,3.1875,18400.0,
2000-05-10,GG,NYSE,3.3125,3.375,3.3125,3.34375,7800.0,
2000-05-11,GG,NYSE,3.3125,3.3125,3.28125,3.28125,18600.0,
2000-05-12,GG,NYSE,3.3125,3.3125,3.28125,3.28125,10400.0,
2000-05-15,GG,NYSE,3.3125,3.3125,3.28125,3.3125,4800.0,
2000-05-16,GG,NYSE,3.34375,3.40625,3.34375,3.40625,1000.0,
2000-05-17,GG,NYSE,3.34375,3.34375,3.25,3.25,3800.0,
2000-05-18,GG,NYSE,3.25,3.25,3.1875,3.1875,3000.0,
2000-05-19,GG,NYSE,3.15625,3.1875,3.125,3.1875,2400.0,
2000-05-22,GG,NYSE,3.28125,3.375,3.21875,3.21875,3600.0,
2000-05-23,GG,NYSE,3.1875,3.1875,3.125,3.125,3800.0,
2000-05-24,GG,NYSE,3.1875,3.1875,3.09375,3.125,11600.0,
2000-05-25,GG,NYSE,3.0625,3.0625,3.03125,3.03125,28000.0,
