date,code,exchange,open,high,low,close,volume,count_trx
2010-11-18,GM,NYSE,35.0,35.99,33.9,34.19,219487127.0,
2010-11-19,GM,NYSE,34.25,34.5,33.11,34.26,37090708.0,
2010-11-22,GM,NYSE,34.25,34.47,33.82,34.08,10731097.0,
2010-11-23,GM,NYSE,33.99,33.99,33.19,33.25,9500582.0,
2010-11-24,GM,NYSE,33.8,33.8,33.23,33.48,8821550.0,
2010-11-26,GM,NYSE,33.41,33.81,33.21,33.81,4429455.0,
2010-11-29,GM,NYSE,33.79,33.81,33.07,33.8,9176116.0,
2010-11-30,GM,NYSE,33.55,34.25,33.36,34.2,26228379.0,
2010-12-01,GM,NYSE,34.65,34.95,34.42,34.78,11056439.0,
2010-12-02,GM,NYSE,34.98,34.98,34.51,34.68,7803881.0,
2010-12-03,GM,NYSE,34.5,34.6,33.97,34.55,5103790.0,
2010-12-06,GM,NYSE,34.54,34.78,34.41,34.48,3997224.0,
2010-12-07,GM,NYSE,34.75,34.89,34.46,34.68,7050237.0,
2010-12-08,GM,NYSE,34.57,34.72,34.33,34.45,3004607.0,
2010-12-09,GM,NYSE,34.37,34.43,33.62,33.74,4220527.0,
2010-12-10,GM,NYSE,33.74,33.98,33.53,33.81,3594709.0,
2010-12-13,GM,NYSE,34.0,34.05,33.7,33.8,2848831.0,
2010-12-14,GM,NYSE,33.74,33.92,33.45,33.89,4036031.0,
2010-12-15,GM,NYSE,33.7,34.0,33.61,33.61,2799885.0,
2010-12-16,GM,NYSE,33.57,33.86,33.56,33.61,2571926.0,
2010-12-17,GM,NYSE,33.5,34.0,33.19,34.0,14370243.0,
2010-12-20,GM,NYSE,33.95,34.05,33.74,33.76,4148365.0,
2010-12-21,GM,NYSE,33.77,33.94,33.73,33.85,2644313.0,
2010-12-22,GM,NYSE,33.67,34.95,33.54,34.92,4640673.0,
2010-12-23,GM,NYSE,34.63,35.52,34.63,34.81,5915643.0,
2010-12-27,GM,NYSE,34.41,34.89,34.19,34.6,2139227.0,
2010-12-28,GM,NYSE,35.35,35.67,35.07,35.32,6918044.0,
2010-12-29,GM,NYSE,35.48,36.3,35.26,36.02,5208052.0,
2010-12-30,GM,NYSE,36.1,36.98,36.02,36.82,4097234.0,
2010-12-31,GM,NYSE,36.84,36.95,36.57,36.86,1644837.0,
2011-01-03,GM,NYSE,37.38,38.0,37.04,37.06,6160881.0,
2011-01-04,GM,NYSE,37.1,37.99,36.69,37.9,7066201.0,
2011-01-05,GM,NYSE,37.5,38.29,37.48,38.07,5717147.0,
2011-01-06,GM,NYSE,38.19,39.47,38.08,38.9,8983319.0,
2011-01-07,GM,NYSE,38.84,39.33,38.52,38.98,5866378.0,
2011-01-10,GM,NYSE,39.3,39.35,38.44,38.56,3340494.0,
2011-01-11,GM,NYSE,38.67,39.43,38.51,38.75,4154724.0,
2011-01-12,GM,NYSE,38.95,39.36,38.37,38.62,4367422.0,
2011-01-13,GM,NYSE,38.62,38.69,38.11,38.27,2348585.0,
2011-01-14,GM,NYSE,38.23,38.47,38.05,38.2,1523206.0,
2011-01-18,GM,NYSE,38.03,38.33,37.33,38.03,2184497.0,
2011-01-19,GM,NYSE,37.77,37.92,37.26,37.4,3511728.0,
2011-01-20,GM,NYSE,37.05,37.29,36.27,37.18,5151861.0,
2011-01-21,GM,NYSE,37.28,37.85,36.84,37.24,2886335.0,
2011-01-24,GM,NYSE,37.79,37.86,37.03,37.64,2807437.0,
2011-01-25,GM,NYSE,37.8,38.49,37.71,38.4,3368552.0,
2011-01-26,GM,NYSE,38.84,38.9,37.86,37.89,2458901.0,
2011-01-27,GM,NYSE,38.25,38.95,38.04,38.67,2431787.0,
2011-01-28,GM,NYSE,38.0,38.0,36.01,36.6,7228501.0,
2011-01-31,GM,NYSE,37.0,37.05,35.89,36.49,3710923.0,
2011-02-01,GM,NYSE,36.93,37.23,36.14,36.45,6053137.0,
2011-02-02,GM,NYSE,36.5,36.56,35.58,35.68,4158693.0,
2011-02-03,GM,NYSE,35.91,36.06,35.13,36.06,4644344.0,
2011-02-04,GM,NYSE,36.25,36.73,35.9,36.59,2876844.0,
2011-02-07,GM,NYSE,36.9,37.09,36.62,36.7,1666559.0,
2011-02-08,GM,NYSE,36.9,37.05,36.4,36.91,1784785.0,
