date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,GPC,NYSE,24.875,24.875,23.6875,24.0625,543900.0,
2000-01-04,GPC,NYSE,24.0,24.0625,23.5625,23.8125,365300.0,
2000-01-05,GPC,NYSE,23.8125,24.0,23.6875,23.6875,212100.0,
2000-01-06,GPC,NYSE,23.6875,24.0,23.5,23.6875,273300.0,
2000-01-07,GPC,NYSE,23.9375,25.375,23.9375,25.25,464700.0,
2000-01-10,GPC,NYSE,25.125,25.1875,24.25,24.9375,455900.0,
2000-01-11,GPC,NYSE,25.3125,25.375,24.375,24.5625,572400.0,
2000-01-12,GPC,NYSE,24.75,25.5,24.125,24.375,1024400.0,
2000-01-13,GPC,NYSE,24.4375,25.5625,24.125,24.9375,516000.0,
2000-01-14,GPC,NYSE,24.375,25.375,24.1875,24.75,475200.0,
2000-01-18,GPC,NYSE,24.875,25.1875,24.5625,24.8125,265300.0,
2000-01-19,GPC,NYSE,24.9375,25.5,24.6875,25.0625,292200.0,
2000-01-20,GPC,NYSE,25.125,25.125,24.0,24.3125,283200.0,
2000-01-21,GPC,NYSE,24.625,24.625,24.0625,24.1875,430300.0,
2000-01-24,GPC,NYSE,24.4375,24.75,24.0625,24.0625,223000.0,
2000-01-25,GPC,NYSE,24.125,24.625,23.625,23.6875,591100.0,
2000-01-26,GPC,NYSE,23.6875,23.6875,23.0,23.1875,810300.0,
2000-01-27,GPC,NYSE,23.3125,23.5,23.0,23.0,392200.0,
2000-01-28,GPC,NYSE,23.0625,23.25,22.6875,22.75,497000.0,
2000-01-31,GPC,NYSE,22.875,24.75,22.8125,24.125,593500.0,
2000-02-01,GPC,NYSE,24.0,24.0625,22.75,23.0625,400700.0,
2000-02-02,GPC,NYSE,23.0625,23.25,22.8125,23.0,489400.0,
2000-02-03,GPC,NYSE,23.0,23.625,22.75,23.125,305300.0,
2000-02-04,GPC,NYSE,23.0625,23.3125,22.5,22.75,278600.0,
2000-02-07,GPC,NYSE,22.75,23.3125,22.5,22.9375,263100.0,
2000-02-08,GPC,NYSE,22.875,23.3125,22.75,22.75,310900.0,
2000-02-09,GPC,NYSE,22.75,22.9375,22.375,22.5,310800.0,
2000-02-10,GPC,NYSE,22.5,22.625,21.5625,22.125,377400.0,
2000-02-11,GPC,NYSE,22.125,22.375,21.375,21.625,398300.0,
2000-02-14,GPC,NYSE,21.6875,22.375,21.625,22.0625,389600.0,
2000-02-15,GPC,NYSE,22.1875,22.4375,21.8125,22.4375,325900.0,
2000-02-16,GPC,NYSE,22.375,22.625,22.25,22.3125,267100.0,
2000-02-17,GPC,NYSE,22.375,22.4375,22.25,22.3125,400500.0,
2000-02-18,GPC,NYSE,22.3125,22.4375,22.1875,22.375,560200.0,
2000-02-22,GPC,NYSE,22.5,22.6875,22.4375,22.5,361300.0,
2000-02-23,GPC,NYSE,22.4375,22.625,22.0,22.0625,432900.0,
2000-02-24,GPC,NYSE,22.0625,22.125,21.5,21.8125,834500.0,
2000-02-25,GPC,NYSE,22.0,22.125,21.4375,21.75,409500.0,
2000-02-28,GPC,NYSE,22.0,22.25,21.5,22.0625,344100.0,
2000-02-29,GPC,NYSE,22.3125,22.6875,21.5625,22.5625,392300.0,
2000-03-01,GPC,NYSE,22.25,22.3125,21.25,21.9375,406400.0,
2000-03-02,GPC,NYSE,22.0,22.0,21.3125,21.8125,447900.0,
2000-03-03,GPC,NYSE,21.625,22.0625,21.375,21.875,314700.0,
2000-03-06,GPC,NYSE,21.625,21.875,21.0,21.3125,515400.0,
2000-03-07,GPC,NYSE,21.0625,21.0625,20.125,20.3125,339000.0,
2000-03-08,GPC,NYSE,20.0625,20.9375,19.9375,20.75,419100.0,
2000-03-09,GPC,NYSE,20.75,20.75,20.5625,20.5625,392900.0,
2000-03-10,GPC,NYSE,20.5,20.9375,20.5,20.6875,453200.0,
2000-03-13,GPC,NYSE,20.5,21.5,20.5,21.0625,416600.0,
2000-03-14,GPC,NYSE,21.0,21.0625,20.25,20.375,738300.0,
2000-03-15,GPC,NYSE,20.625,22.1875,20.5625,22.0,526200.0,
2000-03-16,GPC,NYSE,22.25,23.8125,22.0625,23.375,510400.0,
2000-03-17,GPC,NYSE,24.125,24.125,23.1875,23.75,780500.0,
2000-03-20,GPC,NYSE,23.75,23.75,23.0625,23.3125,283300.0,
2000-03-21,GPC,NYSE,23.5,23.5625,23.0625,23.5,351300.0,
2000-03-22,GPC,NYSE,23.5,23.75,23.125,23.5,391700.0,
2000-03-23,GPC,NYSE,23.5,24.25,23.3125,23.8125,271500.0,
2000-03-24,GPC,NYSE,23.5,23.5625,23.1875,23.25,751400.0,
2000-03-27,GPC,NYSE,23.1875,23.75,23.125,23.5,304300.0,
2000-03-28,GPC,NYSE,23.1875,23.625,23.125,23.25,313900.0,
2000-03-29,GPC,NYSE,23.125,23.4375,23.0625,23.25,301000.0,
2000-03-30,GPC,NYSE,23.25,23.75,23.0625,23.5625,295600.0,
2000-03-31,GPC,NYSE,23.3125,23.9375,23.25,23.875,291300.0,
2000-04-03,GPC,NYSE,23.875,24.3125,23.5625,24.1875,319600.0,
2000-04-04,GPC,NYSE,24.75,24.75,23.4375,24.3125,441100.0,
2000-04-05,GPC,NYSE,24.5,24.5,24.0625,24.3125,302100.0,
2000-04-06,GPC,NYSE,24.5625,24.75,24.0,24.5,242600.0,
2000-04-07,GPC,NYSE,24.125,24.8125,23.9375,24.0,238700.0,
2000-04-10,GPC,NYSE,24.25,24.75,23.9375,24.25,206800.0,
2000-04-11,GPC,NYSE,24.375,25.25,24.0,25.125,398700.0,
2000-04-12,GPC,NYSE,25.0,25.5,24.125,24.6875,663100.0,
2000-04-13,GPC,NYSE,24.625,25.1875,24.5,24.5625,505600.0,
2000-04-14,GPC,NYSE,24.3125,24.75,23.75,23.9375,592800.0,
2000-04-17,GPC,NYSE,24.0,24.75,24.0,24.5625,539400.0,
2000-04-18,GPC,NYSE,24.5625,24.75,24.1875,24.75,217000.0,
2000-04-19,GPC,NYSE,24.5625,25.0,24.25,24.6875,318900.0,
2000-04-20,GPC,NYSE,25.0,25.0625,24.6875,24.75,298900.0,
2000-04-24,GPC,NYSE,25.0,25.4375,24.875,25.25,207900.0,
2000-04-25,GPC,NYSE,25.125,26.3125,25.125,26.25,378700.0,
2000-04-26,GPC,NYSE,26.125,26.5,25.9375,26.3125,444100.0,
2000-04-27,GPC,NYSE,26.4375,26.4375,26.0,26.0625,515900.0,
2000-04-28,GPC,NYSE,26.0625,26.4375,25.9375,26.25,464600.0,
2000-05-01,GPC,NYSE,26.0625,26.6875,26.0,26.4375,265700.0,
2000-05-02,GPC,NYSE,26.4375,26.625,26.1875,26.25,219400.0,
2000-05-03,GPC,NYSE,26.3125,26.375,25.9375,26.0625,341900.0,
2000-05-04,GPC,NYSE,26.25,26.625,25.875,26.0,319600.0,
2000-05-05,GPC,NYSE,26.125,26.25,25.5625,25.5625,269500.0,
2000-05-08,GPC,NYSE,25.625,26.0625,25.375,25.9375,155600.0,
2000-05-09,GPC,NYSE,26.1875,26.1875,25.25,25.75,190000.0,
2000-05-10,GPC,NYSE,25.5,26.0,25.0,25.4375,220300.0,
2000-05-11,GPC,NYSE,25.375,25.8125,25.375,25.5,251800.0,
2000-05-12,GPC,NYSE,25.5,25.75,25.0625,25.625,384000.0,
2000-05-15,GPC,NYSE,25.4375,25.6875,25.3125,25.4375,181200.0,
2000-05-16,GPC,NYSE,25.1875,26.25,25.1875,25.9375,222500.0,
2000-05-17,GPC,NYSE,25.6875,25.6875,25.0625,25.3125,224400.0,
2000-05-18,GPC,NYSE,25.25,25.6875,25.0,25.125,476700.0,
2000-05-19,GPC,NYSE,24.875,25.1875,24.75,25.125,453800.0,
2000-05-22,GPC,NYSE,25.1875,25.5,25.0,25.0625,280600.0,
2000-05-23,GPC,NYSE,25.0625,25.3125,25.0,25.1875,220100.0,
2000-05-24,GPC,NYSE,25.25,25.8125,25.125,25.4375,403400.0,
2000-05-25,GPC,NYSE,25.1875,25.3125,24.75,25.125,349900.0,
2000-05-26,GPC,NYSE,24.875,25.0,24.125,24.3125,386300.0,
2000-05-30,GPC,NYSE,24.3125,24.8125,24.3125,24.625,339200.0,
2000-05-31,GPC,NYSE,24.75,24.75,23.875,23.875,619600.0,
2000-06-01,GPC,NYSE,23.875,24.3125,23.875,24.25,482500.0,
2000-06-02,GPC,NYSE,24.375,24.5625,24.125,24.25,367100.0,
2000-06-05,GPC,NYSE,24.125,24.625,24.0625,24.1875,232800.0,
2000-06-06,GPC,NYSE,23.8125,24.25,23.3125,23.8125,715100.0,
2000-06-07,GPC,NYSE,23.5,23.625,23.0625,23.1875,345100.0,
2000-06-08,GPC,NYSE,23.125,23.375,23.0,23.125,561500.0,
2000-06-09,GPC,NYSE,23.0,23.25,22.875,23.0,293500.0,
2000-06-12,GPC,NYSE,23.0,23.1875,22.8125,22.9375,279300.0,
2000-06-13,GPC,NYSE,22.75,23.25,22.75,23.125,267100.0,
