date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,HAL,NYSE,20.21875,20.21875,18.90625,19.15625,2962600.0,
2000-01-04,HAL,NYSE,18.78125,19.46875,18.78125,19.25,4594600.0,
2000-01-05,HAL,NYSE,18.75,18.96875,18.28125,18.40625,6316400.0,
2000-01-06,HAL,NYSE,18.40625,19.25,18.40625,19.21875,8158400.0,
2000-01-07,HAL,NYSE,19.625,20.4375,19.28125,20.4375,7800800.0,
2000-01-10,HAL,NYSE,20.65625,20.65625,19.15625,19.53125,4851400.0,
2000-01-11,HAL,NYSE,19.71875,20.25,19.375,20.25,4995400.0,
2000-01-12,HAL,NYSE,20.0,20.25,18.84375,18.875,5227200.0,
2000-01-13,HAL,NYSE,19.15625,19.625,19.0,19.125,7048600.0,
2000-01-14,HAL,NYSE,19.25,19.59375,18.75,19.21875,6401200.0,
2000-01-18,HAL,NYSE,19.15625,21.125,19.125,20.84375,11286200.0,
2000-01-19,HAL,NYSE,20.84375,21.25,20.53125,21.09375,6823000.0,
2000-01-20,HAL,NYSE,21.09375,21.09375,20.40625,20.40625,9040200.0,
2000-01-21,HAL,NYSE,20.75,21.75,20.65625,21.1875,5764800.0,
2000-01-24,HAL,NYSE,21.1875,21.75,19.65625,19.9375,5018000.0,
2000-01-25,HAL,NYSE,19.96875,20.71875,19.59375,20.0,4991000.0,
2000-01-26,HAL,NYSE,20.5,20.9375,19.25,19.34375,7345200.0,
2000-01-27,HAL,NYSE,19.5,19.96875,18.34375,18.65625,5928400.0,
2000-01-28,HAL,NYSE,18.375,18.8125,17.65625,17.90625,6343800.0,
2000-01-31,HAL,NYSE,17.9375,18.25,17.75,18.0,5410000.0,
2000-02-01,HAL,NYSE,18.15625,18.4375,17.78125,18.1875,5495000.0,
2000-02-02,HAL,NYSE,18.625,18.6875,18.125,18.5625,5548000.0,
2000-02-03,HAL,NYSE,18.6875,18.75,18.28125,18.6875,3896600.0,
2000-02-04,HAL,NYSE,18.4375,18.65625,18.15625,18.40625,3837000.0,
2000-02-07,HAL,NYSE,18.40625,19.125,18.3125,18.6875,3442000.0,
2000-02-08,HAL,NYSE,19.1875,19.1875,18.21875,18.46875,3910200.0,
2000-02-09,HAL,NYSE,18.3125,18.6875,17.34375,17.34375,5227200.0,
2000-02-10,HAL,NYSE,17.53125,18.0,17.46875,17.71875,6709000.0,
2000-02-11,HAL,NYSE,17.9375,17.96875,17.0,17.21875,5163000.0,
2000-02-14,HAL,NYSE,17.3125,18.125,16.84375,17.96875,5323400.0,
2000-02-15,HAL,NYSE,18.0,19.28125,17.96875,19.25,6793800.0,
2000-02-16,HAL,NYSE,19.5,19.875,19.3125,19.53125,6814800.0,
2000-02-17,HAL,NYSE,19.25,19.6875,18.59375,19.15625,4977800.0,
2000-02-18,HAL,NYSE,19.0,19.1875,18.28125,18.34375,3181600.0,
2000-02-22,HAL,NYSE,18.3125,18.375,17.625,17.78125,3216000.0,
2000-02-23,HAL,NYSE,17.625,17.84375,17.15625,17.15625,3030000.0,
2000-02-24,HAL,NYSE,17.25,18.28125,17.1875,17.71875,5574800.0,
2000-02-25,HAL,NYSE,17.71875,17.78125,16.71875,16.84375,6397000.0,
2000-02-28,HAL,NYSE,16.90625,17.65625,16.78125,17.5,4607600.0,
2000-02-29,HAL,NYSE,17.6875,19.1875,17.5625,19.09375,6940800.0,
2000-03-01,HAL,NYSE,19.09375,20.59375,18.78125,20.46875,8481600.0,
2000-03-02,HAL,NYSE,20.40625,21.34375,20.21875,21.09375,8413200.0,
2000-03-03,HAL,NYSE,21.09375,21.09375,19.625,20.59375,6966400.0,
2000-03-06,HAL,NYSE,21.0,21.0625,20.59375,20.625,5108400.0,
2000-03-07,HAL,NYSE,20.65625,22.75,20.65625,22.25,11030000.0,
2000-03-08,HAL,NYSE,21.25,21.25,19.875,19.90625,10999400.0,
2000-03-09,HAL,NYSE,20.4375,20.4375,19.4375,20.0625,5488800.0,
2000-03-10,HAL,NYSE,19.75,20.90625,19.65625,19.78125,3964800.0,
2000-03-13,HAL,NYSE,19.1875,20.71875,19.125,19.4375,4620000.0,
2000-03-14,HAL,NYSE,19.28125,19.59375,18.5625,19.21875,5120200.0,
2000-03-15,HAL,NYSE,19.21875,19.5625,18.5,18.9375,3045600.0,
2000-03-16,HAL,NYSE,18.5625,20.0,18.375,19.6875,5517200.0,
2000-03-17,HAL,NYSE,19.28125,19.46875,18.90625,19.1875,5849000.0,
2000-03-20,HAL,NYSE,18.75,18.78125,17.9375,18.09375,6703200.0,
2000-03-21,HAL,NYSE,18.4375,18.90625,18.28125,18.625,9063400.0,
2000-03-22,HAL,NYSE,19.125,19.71875,18.90625,19.34375,11007000.0,
2000-03-23,HAL,NYSE,19.1875,19.375,18.625,18.9375,7752200.0,
2000-03-24,HAL,NYSE,19.46875,20.0625,19.125,19.4375,6296600.0,
