date,code,exchange,open,high,low,close,volume,count_trx
2006-08-16,HBI,NYSE,5.25,5.25,4.875,4.875,55600.0,
2006-08-17,HBI,NYSE,4.75,4.75,4.4375,4.5,1756000.0,
2006-08-18,HBI,NYSE,4.5,4.625,4.5,4.5625,442000.0,
2006-08-21,HBI,NYSE,4.6,4.745,4.6,4.745,13600.0,
2006-08-22,HBI,NYSE,4.75,4.8625,4.75,4.7625,450400.0,
2006-08-23,HBI,NYSE,4.765,4.7875,4.75,4.775,138000.0,
2006-08-24,HBI,NYSE,4.775,4.8125,4.75,4.8125,1354000.0,
2006-08-25,HBI,NYSE,4.8125,4.8125,4.81,4.8125,746000.0,
2006-08-28,HBI,NYSE,4.765,4.8075,4.765,4.7675,805200.0,
2006-08-29,HBI,NYSE,4.77,4.77,4.7675,4.77,901200.0,
2006-08-30,HBI,NYSE,4.8,4.825,4.7775,4.7775,3269200.0,
2006-08-31,HBI,NYSE,4.79,4.95,4.79,4.95,2648000.0,
2006-09-01,HBI,NYSE,4.95,4.95,4.925,4.925,1017200.0,
2006-09-05,HBI,NYSE,4.895,4.9725,4.8625,4.95,31327600.0,
2006-09-06,HBI,NYSE,4.9375,5.3325,4.8875,5.2775,21174400.0,
2006-09-07,HBI,NYSE,5.28,5.7025,5.1375,5.525,17307600.0,
2006-09-08,HBI,NYSE,5.4775,5.68,5.4025,5.515,10526800.0,
2006-09-11,HBI,NYSE,5.3775,5.49,5.375,5.435,18696400.0,
2006-09-12,HBI,NYSE,5.4225,5.5125,5.3625,5.4825,6704000.0,
2006-09-13,HBI,NYSE,5.5025,5.8,5.5025,5.6375,10712800.0,
2006-09-14,HBI,NYSE,5.5625,5.625,5.4175,5.4525,3958800.0,
2006-09-15,HBI,NYSE,5.4275,5.46,5.3,5.3175,5627200.0,
2006-09-18,HBI,NYSE,5.375,5.4375,5.3175,5.415,2707600.0,
2006-09-19,HBI,NYSE,5.3875,5.625,5.3075,5.35,2752000.0,
2006-09-20,HBI,NYSE,5.345,5.565,5.34,5.55,1971200.0,
