date,code,exchange,open,high,low,close,volume,count_trx
2011-03-10,HCA,NYSE,31.2,31.5,30.7,31.02,31073591.0,
2011-03-11,HCA,NYSE,30.5,31.26,30.5,31.12,2062563.0,
2011-03-14,HCA,NYSE,31.0,31.05,30.57,30.91,1222442.0,
2011-03-15,HCA,NYSE,30.4,31.5,30.39,31.34,1579558.0,
2011-03-16,HCA,NYSE,31.2,31.95,31.12,31.25,1304943.0,
2011-03-17,HCA,NYSE,31.5,31.93,31.47,31.91,1119341.0,
2011-03-18,HCA,NYSE,32.0,33.08,31.98,33.06,2418475.0,
2011-03-21,HCA,NYSE,33.15,33.35,32.0,32.25,684996.0,
2011-03-22,HCA,NYSE,32.25,32.38,31.42,31.87,733076.0,
2011-03-23,HCA,NYSE,31.7,32.68,31.5,32.68,1631465.0,
2011-03-24,HCA,NYSE,32.53,32.94,32.5,32.69,498663.0,
2011-03-25,HCA,NYSE,32.71,33.09,32.61,32.95,735653.0,
2011-03-28,HCA,NYSE,32.87,33.11,32.8,33.04,347495.0,
2011-03-29,HCA,NYSE,33.47,34.01,33.05,33.89,687228.0,
2011-03-30,HCA,NYSE,34.41,34.44,33.93,34.24,408991.0,
2011-03-31,HCA,NYSE,34.0,34.11,33.68,33.87,396884.0,
2011-04-01,HCA,NYSE,33.89,34.09,33.66,33.74,181981.0,
2011-04-04,HCA,NYSE,33.87,33.87,33.31,33.67,481094.0,
2011-04-05,HCA,NYSE,33.7,34.05,33.25,34.02,679163.0,
2011-04-06,HCA,NYSE,34.0,34.19,33.24,33.3,475828.0,
2011-04-07,HCA,NYSE,33.28,33.85,32.85,33.66,295059.0,
2011-04-08,HCA,NYSE,33.52,33.99,33.0,33.17,196070.0,
2011-04-11,HCA,NYSE,33.34,33.34,30.82,32.12,1768234.0,
2011-04-12,HCA,NYSE,32.11,32.59,31.33,31.53,779295.0,
2011-04-13,HCA,NYSE,31.85,32.45,31.7,32.06,412372.0,
2011-04-14,HCA,NYSE,31.89,32.5,31.79,32.14,178440.0,
2011-04-15,HCA,NYSE,32.3,32.38,31.89,31.98,353072.0,
2011-04-18,HCA,NYSE,31.56,32.54,30.75,32.08,360995.0,
2011-04-19,HCA,NYSE,33.09,33.1,31.66,31.74,837172.0,
2011-04-20,HCA,NYSE,32.0,32.09,31.15,31.65,545834.0,
2011-04-21,HCA,NYSE,31.81,31.96,31.27,31.4,294000.0,
2011-04-25,HCA,NYSE,31.58,31.59,31.1,31.4,193276.0,
2011-04-26,HCA,NYSE,31.35,32.05,31.16,32.0,153479.0,
2011-04-27,HCA,NYSE,32.26,32.99,32.26,32.65,458145.0,
2011-04-28,HCA,NYSE,32.51,32.99,32.31,32.57,286176.0,
2011-04-29,HCA,NYSE,32.5,32.85,32.05,32.8,168216.0,
2011-05-02,HCA,NYSE,32.8,33.78,32.8,33.44,451738.0,
2011-05-03,HCA,NYSE,33.59,33.85,31.96,32.61,561921.0,
2011-05-04,HCA,NYSE,33.1,33.95,32.86,33.55,678285.0,
2011-05-05,HCA,NYSE,33.45,34.74,33.18,34.34,515245.0,
2011-05-06,HCA,NYSE,34.06,34.5,33.89,34.25,370248.0,
2011-05-09,HCA,NYSE,34.35,34.74,34.16,34.49,225279.0,
2011-05-10,HCA,NYSE,34.03,34.86,34.0,34.59,290651.0,
2011-05-11,HCA,NYSE,34.2,34.75,34.06,34.54,466739.0,
2011-05-12,HCA,NYSE,34.3,34.59,34.12,34.51,239114.0,
2011-05-13,HCA,NYSE,34.43,34.75,34.32,34.6,398870.0,
2011-05-16,HCA,NYSE,34.3,34.6,34.05,34.25,374526.0,
2011-05-17,HCA,NYSE,34.21,34.94,34.0,34.54,700149.0,
2011-05-18,HCA,NYSE,34.4,35.23,34.15,35.07,471897.0,
2011-05-19,HCA,NYSE,35.02,35.17,34.51,35.05,415577.0,
2011-05-20,HCA,NYSE,34.9,35.04,34.15,34.63,503447.0,
2011-05-23,HCA,NYSE,34.4,34.55,34.0,34.41,359658.0,
2011-05-24,HCA,NYSE,34.53,34.58,34.1,34.49,442305.0,
2011-05-25,HCA,NYSE,34.57,34.98,34.26,34.68,476599.0,
2011-05-26,HCA,NYSE,34.9,34.9,34.05,34.83,504479.0,
2011-05-27,HCA,NYSE,34.92,35.1,34.42,34.74,467410.0,
2011-05-31,HCA,NYSE,35.08,35.31,34.56,34.89,4025120.0,
2011-06-01,HCA,NYSE,35.0,35.27,34.42,34.77,659396.0,
2011-06-02,HCA,NYSE,34.84,35.05,34.25,34.36,415829.0,
2011-06-03,HCA,NYSE,34.0,34.14,33.73,34.14,576993.0,
2011-06-06,HCA,NYSE,33.98,34.27,33.08,33.74,482863.0,
2011-06-07,HCA,NYSE,33.79,34.89,33.73,34.52,357205.0,
