date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,HES,NYSE,18.874981125,18.91664775,18.041648625,18.1666485,901500.9015009016,
2000-01-04,HES,NYSE,18.1666485,18.208315125,17.666649,17.8124821875,980400.9804009805,
2000-01-05,HES,NYSE,17.708315625,17.8333155,17.541649125,17.666649,2349902.34990235,
2000-01-06,HES,NYSE,17.8333155,18.2291484375,17.74998225,18.041648625,4296004.296004296,
2000-01-07,HES,NYSE,18.24998175,18.8124811875,18.24998175,18.8124811875,1734901.7349017349,
2000-01-10,HES,NYSE,18.74998125,18.74998125,18.458314875,18.58331475,773100.7731007731,
2000-01-11,HES,NYSE,18.5208148125,18.666648,18.2708150625,18.4374815625,1013101.0131010131,
2000-01-12,HES,NYSE,18.4999815,18.8124811875,18.291648375,18.3124816875,1646101.6461016461,
2000-01-13,HES,NYSE,18.4999815,19.1666475,18.4999815,18.9374810625,1668001.668001668,
2000-01-14,HES,NYSE,18.958314375,19.041647625,18.74998125,19.0208143125,1945501.9455019454,
2000-01-18,HES,NYSE,19.0624809375,19.41664725,19.0208143125,19.24998075,1287601.2876012877,
2000-01-19,HES,NYSE,19.374980625,19.41664725,19.1458141875,19.3958139375,2089802.0898020898,
2000-01-20,HES,NYSE,19.333314,19.41664725,18.874981125,19.1458141875,1118101.1181011181,
2000-01-21,HES,NYSE,19.333314,19.666647,19.3124806875,19.5208138125,2956802.9568029568,
2000-01-24,HES,NYSE,19.874980125,19.8958134375,18.8958144375,18.9791476875,2380502.3805023804,
2000-01-25,HES,NYSE,18.624981375,18.958314375,18.333315,18.6458146875,2084402.0844020844,
2000-01-26,HES,NYSE,18.6458146875,18.91664775,18.0624819375,18.1041485625,1533001.533001533,
2000-01-27,HES,NYSE,18.1874818125,18.41664825,17.666649,17.874982125,1220401.2204012205,
2000-01-28,HES,NYSE,17.7708155625,17.91664875,17.5208158125,17.58331575,936900.9369009369,
2000-01-31,HES,NYSE,17.624982375,17.8124821875,17.5208158125,17.7291489375,683700.6837006838,
2000-02-01,HES,NYSE,17.791648875,17.8541488125,17.4791491875,17.6041490625,569700.5697005697,
2000-02-02,HES,NYSE,17.6874823125,17.8958154375,17.458315875,17.666649,1335001.335001335,
2000-02-03,HES,NYSE,17.708315625,17.708315625,17.1666495,17.3124826875,1486501.4865014865,
2000-02-04,HES,NYSE,17.458315875,17.458315875,17.1666495,17.333316,1276501.2765012765,
2000-02-07,HES,NYSE,17.333316,17.541649125,17.2708160625,17.41664925,2207702.207702208,
2000-02-08,HES,NYSE,17.458315875,17.5208158125,17.041649625,17.1041495625,1250401.2504012506,
2000-02-09,HES,NYSE,17.1666495,17.24998275,16.5208168125,16.624983375,1289401.2894012895,
2000-02-10,HES,NYSE,16.624983375,16.8541498125,16.333317,16.74998325,2527502.5275025275,
2000-02-11,HES,NYSE,16.66665,16.6874833125,15.9374840625,16.08331725,1797601.7976017976,
2000-02-14,HES,NYSE,16.1666505,16.333317,16.08331725,16.291650375,1421701.4217014217,
2000-02-15,HES,NYSE,16.66665,16.999983,16.66665,16.8124831875,1641601.6416016417,
2000-02-16,HES,NYSE,16.999983,17.1041495625,16.91664975,17.0208163125,1569601.5696015696,
2000-02-17,HES,NYSE,17.208316125,17.3124826875,17.0624829375,17.1666495,1762501.7625017625,
2000-02-18,HES,NYSE,17.24998275,17.24998275,16.958316375,17.08331625,2110802.1108021108,
2000-02-22,HES,NYSE,17.08331625,17.1041495625,16.91664975,16.999983,1920001.92000192,
2000-02-23,HES,NYSE,16.999983,17.0208163125,16.6874833125,16.74998325,1441501.4415014416,
2000-02-24,HES,NYSE,16.7708165625,16.791649875,16.458316875,16.5624834375,1649101.6491016492,
2000-02-25,HES,NYSE,16.5624834375,16.708316625,16.1666505,16.24998375,2038202.0382020383,
2000-02-28,HES,NYSE,16.24998375,16.66665,16.24998375,16.58331675,925500.9255009255,
2000-02-29,HES,NYSE,16.708316625,17.041649625,16.6458166875,16.8541498125,1083901.083901084,
2000-03-01,HES,NYSE,17.124982875,17.4999825,17.0208163125,17.3124826875,2232602.2326022326,
2000-03-02,HES,NYSE,17.541649125,18.1041485625,17.4374825625,17.7708155625,1739401.7394017396,
2000-03-03,HES,NYSE,18.1666485,18.1666485,17.91664875,17.9374820625,1921801.921801922,
2000-03-06,HES,NYSE,17.9374820625,18.0624819375,17.91664875,17.999982,1240801.2408012408,
2000-03-07,HES,NYSE,17.999982,19.4791471875,17.9791486875,19.24998075,2582402.5824025823,
2000-03-08,HES,NYSE,19.333314,19.6458136875,18.8333145,18.8333145,3192303.1923031923,
2000-03-09,HES,NYSE,18.8333145,19.0624809375,18.8124811875,18.9791476875,2189402.1894021896,
2000-03-10,HES,NYSE,18.958314375,19.666647,18.958314375,19.08331425,1584601.5846015846,
2000-03-13,HES,NYSE,18.999981,19.3958139375,18.8541478125,18.91664775,1909201.9092019093,
2000-03-14,HES,NYSE,18.91664775,19.541647125,18.8333145,19.333314,2125802.125802126,
2000-03-15,HES,NYSE,19.24998075,19.3541473125,18.9374810625,19.2291474375,1698901.698901699,
2000-03-16,HES,NYSE,19.2291474375,20.08331325,19.1458141875,19.41664725,2701202.7012027013,
2000-03-17,HES,NYSE,19.541647125,19.666647,19.124980875,19.124980875,2166902.166902167,
2000-03-20,HES,NYSE,19.333314,19.333314,18.958314375,18.999981,1726501.7265017265,
2000-03-21,HES,NYSE,19.041647625,19.666647,19.041647625,19.541647125,1214401.2144012144,
2000-03-22,HES,NYSE,19.666647,19.91664675,19.291647375,19.3124806875,1368001.3680013681,
2000-03-23,HES,NYSE,19.4791471875,19.624980375,19.1666475,19.1874808125,1015801.0158010158,
2000-03-24,HES,NYSE,19.291647375,19.8541468125,19.291647375,19.6458136875,1586101.5861015862,
2000-03-27,HES,NYSE,19.6458136875,19.791646875,19.208314125,19.3541473125,1501501.5015015015,
2000-03-28,HES,NYSE,19.4999805,19.791646875,19.4999805,19.624980375,917100.9171009171,
2000-03-29,HES,NYSE,19.708313625,20.7708125625,19.708313625,20.5208128125,3532503.5325035327,
2000-03-30,HES,NYSE,20.791645875,21.74997825,20.791645875,21.5208118125,2912702.912702913,
2000-03-31,HES,NYSE,21.666645,21.91664475,21.41664525,21.541645125,1924201.9242019244,
2000-04-03,HES,NYSE,21.541645125,21.9791446875,21.541645125,21.624978375,1626601.6266016266,
2000-04-04,HES,NYSE,21.541645125,21.874978125,21.333312,21.5624784375,2693102.693102693,
2000-04-05,HES,NYSE,21.4791451875,21.874978125,20.8333125,20.8333125,2093102.093102093,
2000-04-06,HES,NYSE,20.999979,21.4999785,20.999979,21.333312,1089601.0896010897,
2000-04-07,HES,NYSE,21.333312,21.333312,20.791645875,20.874979125,1045201.0452010452,
2000-04-10,HES,NYSE,20.8541458125,20.8541458125,20.3541463125,20.8333125,1530601.5306015306,
2000-04-11,HES,NYSE,20.8541458125,21.3958119375,20.8541458125,21.08331225,1295401.2954012954,
2000-04-12,HES,NYSE,21.2291454375,21.4791451875,21.208312125,21.24997875,1590001.59000159,
2000-04-13,HES,NYSE,21.333312,21.708311625,21.24997875,21.41664525,1382701.3827013827,
2000-04-14,HES,NYSE,21.374978625,21.74997825,21.08331225,21.124978875,1849501.8495018496,
2000-04-17,HES,NYSE,21.124978875,21.1666455,20.4999795,20.666646,1807201.8072018072,
2000-04-18,HES,NYSE,20.666646,20.8958124375,20.4999795,20.666646,1014901.014901015,
2000-04-19,HES,NYSE,20.74997925,20.999979,20.6041460625,20.8958124375,1742701.7427017428,
2000-04-20,HES,NYSE,20.91664575,21.0624789375,20.791645875,20.91664575,852900.8529008529,
2000-04-24,HES,NYSE,20.999979,21.208312125,20.874979125,21.1041455625,863400.8634008635,
2000-04-25,HES,NYSE,21.1874788125,21.4374785625,21.1041455625,21.24997875,1679401.6794016794,
2000-04-26,HES,NYSE,21.24997875,21.8333115,21.208312125,21.374978625,1107601.1076011076,
2000-04-27,HES,NYSE,21.374978625,21.91664475,21.3541453125,21.3958119375,2201702.2017022017,
2000-04-28,HES,NYSE,21.3958119375,21.541645125,21.041645625,21.208312125,1374601.3746013746,
2000-05-01,HES,NYSE,21.24997875,21.791644875,21.24997875,21.3958119375,1432201.4322014323,
2000-05-02,HES,NYSE,21.3958119375,21.74997825,21.3124786875,21.41664525,1279501.2795012796,
2000-05-03,HES,NYSE,21.3541453125,21.4374785625,20.666646,20.8333125,1115101.115101115,
2000-05-04,HES,NYSE,20.8124791875,21.6041450625,20.7708125625,21.5624784375,1877701.8777018778,
2000-05-05,HES,NYSE,21.4791451875,21.666645,21.291645375,21.58331175,1121701.1217011218,
2000-05-08,HES,NYSE,21.6458116875,22.291644375,21.5208118125,22.1041445625,1534801.5348015348,
2000-05-09,HES,NYSE,22.0624779375,22.08331125,21.8124781875,21.8541448125,1249501.2495012495,
2000-05-10,HES,NYSE,21.8541448125,21.999978,21.624978375,21.74997825,787200.7872007872,
2000-05-11,HES,NYSE,21.5208118125,22.541644125,21.4999785,22.4374775625,2732102.732102732,
2000-05-12,HES,NYSE,22.708310625,23.374976625,22.4999775,23.374976625,3027903.027903028,
2000-05-15,HES,NYSE,23.291643375,23.374976625,23.0208103125,23.2708100625,1592101.592101592,
2000-05-16,HES,NYSE,23.1874768125,23.1874768125,22.4999775,22.6041440625,1787101.787101787,
2000-05-17,HES,NYSE,22.6041440625,22.999977,22.208311125,22.874977125,1646401.6464016465,
2000-05-18,HES,NYSE,22.874977125,22.874977125,22.333311,22.41664425,2119802.1198021197,
2000-05-19,HES,NYSE,22.291644375,22.8333105,22.2708110625,22.458310875,1852801.8528018529,
2000-05-22,HES,NYSE,22.458310875,22.5624774375,21.999978,22.124977875,2421302.4213024215,
2000-05-23,HES,NYSE,21.999978,22.458310875,21.91664475,22.333311,1883701.8837018837,
2000-05-24,HES,NYSE,22.3958109375,22.6041440625,21.791644875,21.791644875,2236802.2368022366,
2000-05-25,HES,NYSE,21.708311625,21.8333115,21.24997875,21.666645,1847701.8477018478,
2000-05-26,HES,NYSE,21.7291449375,21.874978125,21.4791451875,21.4999785,881400.8814008815,
2000-05-30,HES,NYSE,21.41664525,21.7708115625,21.41664525,21.58331175,843600.8436008436,
2000-05-31,HES,NYSE,22.08331125,22.333311,21.958311375,22.124977875,1924801.924801925,
2000-06-01,HES,NYSE,22.333311,22.333311,21.58331175,22.1041445625,2374802.3748023747,
2000-06-02,HES,NYSE,21.9791446875,21.9791446875,20.8333125,20.9374790625,2482202.4822024824,
2000-06-05,HES,NYSE,20.9374790625,21.4999785,20.9374790625,21.08331225,1644601.6446016447,
2000-06-06,HES,NYSE,21.1666455,21.9791446875,21.1666455,21.91664475,2521802.521802522,
2000-06-07,HES,NYSE,22.08331125,22.08331125,21.3958119375,21.4374785625,1694101.694101694,
2000-06-08,HES,NYSE,21.458311875,21.958311375,21.3958119375,21.58331175,1179001.179001179,
2000-06-09,HES,NYSE,21.666645,21.958311375,21.58331175,21.7708115625,1107001.107001107,
2000-06-12,HES,NYSE,21.8541448125,22.5208108125,21.8541448125,22.1874778125,1448701.4487014487,
2000-06-13,HES,NYSE,22.2708110625,22.6458106875,22.208311125,22.4374775625,1828801.828801829,
2000-06-14,HES,NYSE,22.624977375,23.041643625,22.208311125,22.2708110625,1384201.3842013841,
2000-06-15,HES,NYSE,22.08331125,22.3958109375,21.7291449375,21.8958114375,1400101.4001014002,
2000-06-16,HES,NYSE,21.9791446875,22.58331075,21.9374780625,22.5624774375,2307302.3073023073,
2000-06-19,HES,NYSE,22.541644125,22.541644125,21.74997825,22.1666445,1899601.8996018996,
2000-06-20,HES,NYSE,22.1666445,22.208311125,21.541645125,22.1666445,1354801.354801355,
2000-06-21,HES,NYSE,22.08331125,22.791643875,22.041644625,22.58331075,1770601.7706017706,
2000-06-22,HES,NYSE,22.8333105,22.9791436875,21.74997825,21.958311375,2601902.601902602,
2000-06-23,HES,NYSE,21.958311375,22.374977625,21.874978125,21.9791446875,731400.7314007314,
2000-06-26,HES,NYSE,21.9791446875,22.333311,21.708311625,21.8124781875,875100.8751008752,
2000-06-27,HES,NYSE,21.7291449375,21.874978125,21.58331175,21.74997825,732900.7329007329,
2000-06-28,HES,NYSE,21.6874783125,21.708311625,21.24997875,21.291645375,785700.7857007857,
2000-06-29,HES,NYSE,21.3124786875,21.4374785625,21.1874788125,21.2708120625,1209301.2093012093,
2000-06-30,HES,NYSE,21.291645375,21.3541453125,20.58331275,20.58331275,1892701.8927018926,
