date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,HIG,NYSE,47.125,47.125,45.0625,45.25,531100.0,
2000-01-04,HIG,NYSE,44.25,44.5,43.3125,43.75,780000.0,
2000-01-05,HIG,NYSE,43.75,44.4375,42.4375,42.4375,740300.0,
2000-01-06,HIG,NYSE,42.5,43.0,42.25,42.8125,923000.0,
2000-01-07,HIG,NYSE,43.0,45.0,43.0,44.8125,1539200.0,
2000-01-10,HIG,NYSE,45.0625,45.0625,44.0,44.0625,337600.0,
2000-01-11,HIG,NYSE,43.875,44.625,43.625,44.375,651400.0,
2000-01-12,HIG,NYSE,44.375,44.625,43.3125,43.5625,572900.0,
2000-01-13,HIG,NYSE,43.125,44.0,42.5625,43.1875,685200.0,
2000-01-14,HIG,NYSE,43.375,44.0625,43.3125,43.6875,643700.0,
2000-01-18,HIG,NYSE,43.3125,43.3125,41.625,41.8125,386400.0,
2000-01-19,HIG,NYSE,40.25,41.0625,40.25,40.5,1147400.0,
2000-01-20,HIG,NYSE,41.0,41.0,39.25,39.4375,874200.0,
2000-01-21,HIG,NYSE,39.6875,39.6875,37.625,37.9375,759400.0,
2000-01-24,HIG,NYSE,38.0,39.0,38.0,38.6875,1251900.0,
2000-01-25,HIG,NYSE,38.6875,39.1875,37.75,38.0625,590500.0,
2000-01-26,HIG,NYSE,38.0,39.3125,37.25,39.0,652000.0,
2000-01-27,HIG,NYSE,39.0,39.5625,38.3125,39.0,695100.0,
2000-01-28,HIG,NYSE,39.375,39.375,36.875,37.3125,1233500.0,
2000-01-31,HIG,NYSE,37.375,38.5,36.8125,38.125,995400.0,
2000-02-01,HIG,NYSE,38.125,39.0625,37.5,38.8125,506500.0,
2000-02-02,HIG,NYSE,38.8125,39.8125,38.4375,39.5625,539600.0,
2000-02-03,HIG,NYSE,39.0625,41.25,39.0,40.75,1153500.0,
2000-02-04,HIG,NYSE,40.375,41.9375,40.25,41.875,897100.0,
2000-02-07,HIG,NYSE,40.375,40.5625,39.1875,39.9375,1198500.0,
2000-02-08,HIG,NYSE,39.6875,40.0,37.4375,37.5,595900.0,
2000-02-09,HIG,NYSE,37.75,37.75,35.125,35.375,1491700.0,
2000-02-10,HIG,NYSE,35.25,35.3125,34.0625,34.625,1137400.0,
2000-02-11,HIG,NYSE,34.875,34.9375,34.3125,34.625,1509200.0,
2000-02-14,HIG,NYSE,34.625,34.75,33.5,33.75,868800.0,
2000-02-15,HIG,NYSE,34.0,36.0,33.75,35.3125,1568800.0,
2000-02-16,HIG,NYSE,35.25,35.25,33.25,34.0,1066100.0,
2000-02-17,HIG,NYSE,34.375,34.5,32.9375,34.0,1023500.0,
2000-02-18,HIG,NYSE,34.0,34.0,32.5625,33.0625,772400.0,
