date,code,exchange,open,high,low,close,volume,count_trx
2013-12-12,HLT,NYSE,45.0302174675,46.3409561919,44.9245127317,45.4530364109,8847866.0,19787.0
2013-12-13,HLT,NYSE,46.4889428221,47.3134397616,45.5587411467,46.7214932409,837781.0,4886.0
2013-12-16,HLT,NYSE,48.7933060634,54.4379389572,45.4953183052,45.4953183052,487569.0,3126.0
2013-12-17,HLT,NYSE,45.6855868297,46.4678018749,45.6221639882,46.1084057731,194331.0,1573.0
2013-12-18,HLT,NYSE,46.0661238787,46.8694798711,45.7912915655,46.1506876674,670012.6666666666,2363.0
2013-12-19,HLT,NYSE,45.9815600901,47.355721656,45.5798820939,47.1020302899,173376.3333333333,1806.0
2013-12-20,HLT,NYSE,47.5671311276,47.6728358635,46.2141105089,46.3620971391,103146.6666666667,890.0
2013-12-23,HLT,NYSE,46.2986742976,46.9117617654,45.5798820939,45.5798820939,223117.0,1091.0
2013-12-24,HLT,NYSE,45.6644458825,45.8124325127,44.71310326,45.474177358,111733.3333333333,1062.0
2013-12-26,HLT,NYSE,45.5798820939,46.4043790334,45.5798820939,45.8758553542,242790.0,2363.0
2013-12-27,HLT,NYSE,45.6644458825,46.1506876674,45.5587411467,45.6644458825,104808.0,1187.0
2013-12-30,HLT,NYSE,45.7912915655,46.4255199806,45.6644458825,46.2775333504,83027.3333333333,912.0
2013-12-31,HLT,NYSE,46.5100837692,47.5037082861,46.4043790334,47.0386074484,128304.6666666667,1098.0
2014-01-02,HLT,NYSE,47.0386074484,47.228875973,46.0238419844,46.2141105089,53390.3333333333,559.0
2014-01-03,HLT,NYSE,46.0872648259,46.7003522938,46.0027010372,46.5312247164,55027.3333333333,601.0
2014-01-06,HLT,NYSE,46.4889428221,46.7426341881,46.0027010372,46.5100837692,160929.3333333333,968.0
2014-01-07,HLT,NYSE,46.5100837692,46.7214932409,46.3198152447,46.5100837692,80289.3333333333,625.0
2014-01-08,HLT,NYSE,46.5735066108,46.5735066108,46.0872648259,46.5735066108,56406.3333333333,561.0
2014-01-09,HLT,NYSE,46.5100837692,46.5312247164,45.8969963014,46.2352514561,43229.0,444.0
2014-01-10,HLT,NYSE,46.0027010372,46.1929695617,45.601023041,45.854714407,109211.0,940.0
2014-01-13,HLT,NYSE,45.5798820939,46.1506876674,45.5798820939,45.9181372485,76861.6666666667,832.0
2014-01-14,HLT,NYSE,45.7701506184,46.7426341881,45.7490096712,46.7214932409,144145.0,1284.0
2014-01-15,HLT,NYSE,46.6157885051,46.8694798711,46.1506876674,46.3198152447,130291.6666666667,709.0
2014-01-16,HLT,NYSE,46.2986742976,46.5523656636,45.8589425965,46.4255199806,65366.6666666667,638.0
2014-01-17,HLT,NYSE,46.3409561919,47.6939768106,46.1084057731,47.0386074484,203387.3333333333,1730.0
2014-01-21,HLT,NYSE,47.5882720748,47.609413022,46.1929695617,46.3409561919,111538.3333333333,1258.0
2014-01-22,HLT,NYSE,46.4889428221,47.5459901805,46.2986742976,47.482567339,129043.3333333333,1019.0
2014-01-23,HLT,NYSE,47.355721656,47.9053862823,46.7214932409,47.9053862823,160049.6666666667,1257.0
2014-01-24,HLT,NYSE,47.2500169201,47.5037082861,46.7003522938,47.4614263918,95454.0,820.0
2014-01-27,HLT,NYSE,47.4614263918,47.4614263918,46.2775333504,46.4889428221,206358.6666666667,1180.0
2014-01-28,HLT,NYSE,46.1718286146,46.5100837692,46.0027010372,46.2986742976,96628.6666666667,946.0
2014-01-29,HLT,NYSE,46.1084057731,46.2141105089,45.5798820939,45.7912915655,44200.6666666667,371.0
2014-01-30,HLT,NYSE,45.8758553542,45.9604191429,45.6644458825,45.7912915655,38934.6666666667,394.0
2014-01-31,HLT,NYSE,45.474177358,45.8335734599,45.1147812562,45.7701506184,53064.0,487.0
2014-02-03,HLT,NYSE,45.7701506184,45.8335734599,44.0788748449,44.2902843166,93341.6666666667,785.0
2014-02-04,HLT,NYSE,44.3959890525,44.5439756826,44.0577338978,44.459411894,91184.3333333333,420.0
2014-02-05,HLT,NYSE,44.0788748449,44.3114252638,43.4446464299,43.9731701091,46672.3333333333,564.0
2014-02-06,HLT,NYSE,44.0365929506,44.8188079958,44.0365929506,44.8188079958,39399.6666666667,360.0
2014-02-07,HLT,NYSE,44.9456536788,46.2352514561,44.8610898902,45.7701506184,52616.3333333333,732.0
2014-02-10,HLT,NYSE,45.8124325127,45.8124325127,45.0302174675,45.2627678863,53301.0,688.0
2014-02-11,HLT,NYSE,45.727868724,46.0238419844,45.3896135694,45.854714407,70927.6666666667,894.0
