date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,HNZ,NYSE,39.5,39.5,38.0625,38.8125,1169800.0,
2000-01-04,HNZ,NYSE,37.75,38.375,37.375,37.9375,1027700.0,
2000-01-05,HNZ,NYSE,36.75,38.0,36.625,37.8125,1949700.0,
2000-01-06,HNZ,NYSE,37.5625,38.8125,37.5625,38.125,908400.0,
2000-01-07,HNZ,NYSE,38.375,39.125,38.0,39.0,827700.0,
2000-01-10,HNZ,NYSE,38.8125,39.125,37.875,38.1875,1099500.0,
2000-01-11,HNZ,NYSE,37.8125,38.75,37.5625,38.6875,958300.0,
2000-01-12,HNZ,NYSE,38.625,38.875,38.25,38.5,1410900.0,
2000-01-13,HNZ,NYSE,38.5,38.75,38.1875,38.4375,705600.0,
2000-01-14,HNZ,NYSE,38.75,38.9375,36.9375,37.25,1337500.0,
2000-01-18,HNZ,NYSE,37.25,38.0,37.0,37.6875,1402800.0,
2000-01-19,HNZ,NYSE,37.625,38.375,37.5625,38.125,1637200.0,
2000-01-20,HNZ,NYSE,38.125,38.4375,38.0625,38.25,1677800.0,
2000-01-21,HNZ,NYSE,38.5,38.6875,38.125,38.5,1552500.0,
2000-01-24,HNZ,NYSE,38.625,39.0625,38.125,38.1875,1430200.0,
2000-01-25,HNZ,NYSE,38.125,38.1875,37.0,37.0625,1091600.0,
2000-01-26,HNZ,NYSE,37.0,38.125,36.875,37.5,1477600.0,
2000-01-27,HNZ,NYSE,37.5,37.5,36.0,36.25,1031900.0,
2000-01-28,HNZ,NYSE,36.1875,36.4375,36.0,36.0,717200.0,
2000-01-31,HNZ,NYSE,36.0,37.875,36.0,37.1875,874800.0,
2000-02-01,HNZ,NYSE,37.125,37.1875,36.0,36.0625,787800.0,
2000-02-02,HNZ,NYSE,36.0625,36.375,35.25,35.25,933300.0,
2000-02-03,HNZ,NYSE,35.375,35.5,34.5,35.125,1616900.0,
2000-02-04,HNZ,NYSE,35.0,35.0,33.3125,34.375,1154700.0,
2000-02-07,HNZ,NYSE,34.3125,34.3125,33.4375,33.6875,947300.0,
2000-02-08,HNZ,NYSE,33.625,35.5,33.5,35.1875,1265800.0,
2000-02-09,HNZ,NYSE,35.125,35.375,35.0,35.3125,1002100.0,
2000-02-10,HNZ,NYSE,35.0625,35.1875,34.8125,35.125,1047000.0,
2000-02-11,HNZ,NYSE,34.125,34.625,33.6875,34.25,1980000.0,
2000-02-14,HNZ,NYSE,34.3125,34.4375,33.375,34.0625,1538900.0,
2000-02-15,HNZ,NYSE,34.3125,35.125,34.125,34.8125,1830800.0,
2000-02-16,HNZ,NYSE,34.75,34.75,33.5625,33.9375,935400.0,
2000-02-17,HNZ,NYSE,33.375,34.4375,33.375,34.375,697300.0,
2000-02-18,HNZ,NYSE,34.5,34.625,33.0625,33.375,1035600.0,
2000-02-22,HNZ,NYSE,34.1875,34.5,34.0,34.375,1279500.0,
2000-02-23,HNZ,NYSE,34.0,34.25,33.5,33.8125,1966400.0,
2000-02-24,HNZ,NYSE,33.75,33.75,32.5,32.9375,1409100.0,
2000-02-25,HNZ,NYSE,32.375,32.6875,32.1875,32.6875,1232200.0,
2000-02-28,HNZ,NYSE,32.25,32.9375,31.8125,32.25,1095000.0,
2000-02-29,HNZ,NYSE,31.5625,32.375,31.5625,31.9375,1402400.0,
2000-03-01,HNZ,NYSE,31.875,32.5625,31.625,32.4375,930600.0,
2000-03-02,HNZ,NYSE,32.1875,32.1875,30.875,31.5625,971700.0,
2000-03-03,HNZ,NYSE,31.5625,32.3125,30.8125,32.3125,1084800.0,
2000-03-06,HNZ,NYSE,32.0625,32.9375,31.8125,32.9375,1537400.0,
2000-03-07,HNZ,NYSE,32.6875,32.9375,32.0,32.9375,1485200.0,
2000-03-08,HNZ,NYSE,33.0,34.3125,32.6875,34.25,1255900.0,
