date,code,exchange,open,high,low,close,volume,count_trx
2004-04-20,HSP,NYSE,31.1,31.1,27.5,28.0,1273000.0,
2004-04-21,HSP,NYSE,28.25,28.25,28.14,28.2,319900.0,
2004-04-22,HSP,NYSE,28.2,29.25,28.2,29.01,648000.0,
2004-04-23,HSP,NYSE,29.01,29.1,28.99,29.1,470900.0,
2004-04-26,HSP,NYSE,29.1,30.1,29.1,29.79,475900.0,
2004-04-27,HSP,NYSE,30.05,30.25,29.99,30.0,1528200.0,
2004-04-28,HSP,NYSE,29.9,29.91,28.7,28.75,1693800.0,
2004-04-29,HSP,NYSE,28.85,28.85,28.15,28.35,360200.0,
2004-04-30,HSP,NYSE,28.35,29.0,28.2,28.46,463200.0,
2004-05-03,HSP,NYSE,28.5,28.65,26.8,27.04,3961000.0,
2004-05-04,HSP,NYSE,26.9,26.99,26.0,26.0,3844800.0,
2004-05-05,HSP,NYSE,26.05,26.69,26.02,26.35,4447200.0,
2004-05-06,HSP,NYSE,26.31,26.35,26.05,26.26,1729200.0,
2004-05-07,HSP,NYSE,26.1,26.79,26.1,26.66,2503700.0,
2004-05-10,HSP,NYSE,26.4,26.95,26.26,26.91,2520900.0,
2004-05-11,HSP,NYSE,26.9,27.4,26.8,26.86,1865500.0,
2004-05-12,HSP,NYSE,26.6,26.76,26.25,26.6,1360200.0,
2004-05-13,HSP,NYSE,26.48,26.55,26.29,26.4,1253900.0,
2004-05-14,HSP,NYSE,26.25,26.47,25.98,26.4,1622700.0,
2004-05-17,HSP,NYSE,26.1,26.85,26.1,26.58,1992000.0,
2004-05-18,HSP,NYSE,26.65,26.73,26.36,26.49,1185300.0,
2004-05-19,HSP,NYSE,26.45,26.7,26.36,26.5,1105300.0,
2004-05-20,HSP,NYSE,26.45,26.45,26.11,26.2,867500.0,
2004-05-21,HSP,NYSE,26.2,26.33,25.65,25.65,1170200.0,
2004-05-24,HSP,NYSE,25.65,25.9,24.88,25.38,1260900.0,
2004-05-25,HSP,NYSE,25.15,25.75,25.06,25.44,999100.0,
2004-05-26,HSP,NYSE,25.31,26.15,25.27,25.86,826300.0,
2004-05-27,HSP,NYSE,25.85,26.19,25.62,25.98,1424100.0,
2004-05-28,HSP,NYSE,25.85,25.95,25.3,25.64,1122800.0,
2004-06-01,HSP,NYSE,25.54,25.68,25.33,25.55,622900.0,
2004-06-02,HSP,NYSE,25.55,25.79,25.27,25.61,745200.0,
2004-06-03,HSP,NYSE,25.52,25.78,25.44,25.7,902800.0,
2004-06-04,HSP,NYSE,25.65,26.5,25.5,26.5,934000.0,
2004-06-07,HSP,NYSE,26.63,27.23,26.43,27.15,1068800.0,
2004-06-08,HSP,NYSE,27.01,28.9,26.69,28.6,1385000.0,
2004-06-09,HSP,NYSE,28.5,29.2,27.96,27.96,982500.0,
2004-06-10,HSP,NYSE,27.5,27.82,27.15,27.25,664500.0,
2004-06-14,HSP,NYSE,26.6,26.91,26.5,26.81,1091100.0,
2004-06-15,HSP,NYSE,26.65,27.25,26.65,27.25,734000.0,
2004-06-16,HSP,NYSE,27.25,27.75,27.0,27.74,1035500.0,
2004-06-17,HSP,NYSE,27.55,28.14,27.0,28.0,922900.0,
2004-06-18,HSP,NYSE,27.85,28.13,27.78,28.13,770400.0,
2004-06-21,HSP,NYSE,28.0,28.09,26.95,27.13,778500.0,
2004-06-22,HSP,NYSE,27.1,27.28,26.92,27.1,1148200.0,
2004-06-23,HSP,NYSE,26.97,27.44,26.89,27.44,645400.0,
2004-06-24,HSP,NYSE,27.32,28.0,27.25,28.0,675000.0,
2004-06-25,HSP,NYSE,28.0,28.37,27.15,27.96,1078200.0,
2004-06-28,HSP,NYSE,28.02,28.37,27.75,28.08,450100.0,
2004-06-29,HSP,NYSE,28.0,28.62,28.0,28.54,439700.0,
2004-06-30,HSP,NYSE,28.35,28.35,27.51,27.6,685000.0,
2004-07-01,HSP,NYSE,27.5,27.75,26.85,27.06,670200.0,
2004-07-02,HSP,NYSE,26.93,27.3,26.75,27.05,450000.0,
2004-07-06,HSP,NYSE,26.4,27.89,26.4,27.86,582200.0,
2004-07-07,HSP,NYSE,27.74,27.99,27.5,27.58,464500.0,
2004-07-08,HSP,NYSE,27.5,27.5,27.0,27.12,663400.0,
2004-07-09,HSP,NYSE,27.1,27.1,26.72,26.85,527400.0,
2004-07-12,HSP,NYSE,26.75,27.2,26.7,26.91,340600.0,
2004-07-13,HSP,NYSE,26.8,26.8,26.55,26.55,391900.0,
2004-07-14,HSP,NYSE,26.45,26.85,26.37,26.38,467100.0,
2004-07-15,HSP,NYSE,26.33,26.61,26.17,26.35,307100.0,
2004-07-16,HSP,NYSE,26.35,26.38,25.77,25.9,710200.0,
2004-07-19,HSP,NYSE,25.88,26.14,25.85,25.95,747500.0,
2004-07-20,HSP,NYSE,25.9,26.12,25.86,26.08,330200.0,
2004-07-21,HSP,NYSE,26.2,26.45,25.2,25.5,1013900.0,
2004-07-22,HSP,NYSE,25.35,25.61,25.34,25.5,708100.0,
2004-07-23,HSP,NYSE,25.45,25.57,25.23,25.39,543300.0,
2004-07-26,HSP,NYSE,25.34,25.35,25.01,25.1,450900.0,
2004-07-27,HSP,NYSE,25.15,25.88,25.15,25.88,338700.0,
2004-07-28,HSP,NYSE,25.75,26.5,25.45,26.38,520600.0,
2004-07-29,HSP,NYSE,26.3,26.33,25.79,26.0,551900.0,
2004-07-30,HSP,NYSE,26.2,26.3,25.91,25.91,339500.0,
2004-08-02,HSP,NYSE,25.61,25.75,25.25,25.43,269500.0,
2004-08-03,HSP,NYSE,25.35,25.5,25.08,25.15,316300.0,
2004-08-04,HSP,NYSE,25.0,25.4,25.0,25.15,236200.0,
2004-08-05,HSP,NYSE,25.04,25.14,24.65,24.75,576900.0,
2004-08-06,HSP,NYSE,24.5,24.7,24.35,24.35,594500.0,
2004-08-09,HSP,NYSE,24.3,24.85,24.02,24.75,489200.0,
2004-08-10,HSP,NYSE,26.1,27.4,26.1,27.15,1471700.0,
2004-08-11,HSP,NYSE,27.1,28.1,27.1,27.6,878200.0,
2004-08-12,HSP,NYSE,27.57,28.07,27.5,27.54,735600.0,
2004-08-13,HSP,NYSE,27.51,28.03,27.51,27.91,365700.0,
2004-08-16,HSP,NYSE,27.85,28.58,27.85,28.26,462000.0,
2004-08-17,HSP,NYSE,28.33,28.8,28.05,28.1,649600.0,
