date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,HUM,NYSE,8.3125,8.375,7.375,7.5625,793000.0,
2000-01-04,HUM,NYSE,7.375,7.875,7.375,7.625,921600.0,
2000-01-05,HUM,NYSE,7.5,7.875,7.5,7.8125,770900.0,
2000-01-06,HUM,NYSE,7.75,8.25,7.5625,8.125,735300.0,
2000-01-07,HUM,NYSE,8.1875,9.125,8.0625,8.8125,1856100.0,
2000-01-10,HUM,NYSE,8.875,8.9375,8.375,8.375,865500.0,
2000-01-11,HUM,NYSE,8.375,8.6875,8.25,8.25,457100.0,
2000-01-12,HUM,NYSE,8.375,8.6875,8.25,8.4375,517700.0,
2000-01-13,HUM,NYSE,8.5625,9.5,8.5625,9.25,1124900.0,
2000-01-14,HUM,NYSE,9.375,9.625,8.25,8.25,818400.0,
2000-01-18,HUM,NYSE,9.0,9.0,8.375,8.625,494500.0,
2000-01-19,HUM,NYSE,8.6875,8.6875,8.0,8.0,830500.0,
2000-01-20,HUM,NYSE,8.0,8.0625,7.6875,7.75,1338900.0,
2000-01-21,HUM,NYSE,7.75,8.0,7.75,7.8125,1408500.0,
2000-01-24,HUM,NYSE,7.9375,8.125,7.6875,7.9375,619900.0,
2000-01-25,HUM,NYSE,7.5,7.8125,7.5,7.75,747100.0,
2000-01-26,HUM,NYSE,7.75,8.0625,7.75,7.875,627600.0,
2000-01-27,HUM,NYSE,8.0,8.0625,7.75,7.75,261100.0,
2000-01-28,HUM,NYSE,7.375,8.0625,7.125,7.625,1225600.0,
2000-01-31,HUM,NYSE,7.625,8.125,7.625,8.0,605900.0,
2000-02-01,HUM,NYSE,8.0,8.375,8.0,8.25,574100.0,
2000-02-02,HUM,NYSE,8.3125,8.625,8.25,8.3125,351000.0,
2000-02-03,HUM,NYSE,8.3125,8.625,8.3125,8.4375,507100.0,
2000-02-04,HUM,NYSE,8.5625,8.75,8.375,8.375,332700.0,
2000-02-07,HUM,NYSE,8.5,8.5625,8.3125,8.4375,435900.0,
2000-02-08,HUM,NYSE,8.4375,8.5,8.0625,8.1875,415200.0,
2000-02-09,HUM,NYSE,7.8125,8.125,7.4375,7.4375,903300.0,
