date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,HWM,NYSE,70.6769079412,72.0236478029,69.276298485,69.7611248353,901866.6666666666,
2000-01-04,HWM,NYSE,69.384037674,70.5152991578,69.276298485,70.0843424021,1370800.0,
2000-01-05,HWM,NYSE,70.6769079412,74.5555187428,69.8149944297,74.1245619871,1948200.0,
2000-01-06,HWM,NYSE,74.0168227982,74.4477795539,73.1010396922,73.1549092867,2865066.6666666665,
2000-01-07,HWM,NYSE,74.1245619871,74.8787363097,72.8855613144,73.4781268535,2342266.6666666665,
2000-01-10,HWM,NYSE,75.0942146875,75.2019538765,72.723952531,72.723952531,2303333.3333333335,
2000-01-11,HWM,NYSE,70.6769079412,72.8316917199,70.6769079412,72.2929957752,1324666.6666666667,
2000-01-12,HWM,NYSE,72.0236478029,72.2929957752,71.3233430748,71.6465606416,1116466.6666666667,
2000-01-13,HWM,NYSE,71.6465606416,71.7004302361,70.0843424021,70.3536903744,1183533.3333333333,
2000-01-14,HWM,NYSE,70.3536903744,70.3536903744,68.3066457846,68.9530809182,1118333.3333333333,
2000-01-18,HWM,NYSE,69.4917768629,69.4917768629,67.1753843008,67.2292538953,1512133.3333333333,
2000-01-19,HWM,NYSE,67.2292538953,68.0911674068,66.9060363285,67.3369930842,1517000.0,
2000-01-20,HWM,NYSE,65.1822093055,65.5592964668,62.4887295822,63.4045126881,3094200.0,
2000-01-21,HWM,NYSE,63.9970782272,66.3673403838,63.4583822826,65.0206005221,2261266.6666666665,
2000-01-24,HWM,NYSE,65.5054268723,65.7209052502,62.70420796,63.2967734992,1131400.0,
2000-01-25,HWM,NYSE,63.2967734992,64.1048174162,61.896164043,62.3271207988,1579066.6666666667,
2000-01-26,HWM,NYSE,62.3809903932,62.70420796,61.0342505315,61.3574680983,1914133.3333333333,
2000-01-27,HWM,NYSE,62.0577728264,62.2193816098,60.4416849924,60.7649025592,1427866.6666666667,
2000-01-28,HWM,NYSE,61.4113376928,62.1655120154,59.6336410754,59.9029890477,1894000.0,
2000-01-31,HWM,NYSE,60.2262066145,60.9803809371,59.6875106699,60.0645978311,1100400.0,
2000-02-01,HWM,NYSE,60.9803809371,62.7580775545,60.6032937758,62.1655120154,1359333.3333333333,
2000-02-02,HWM,NYSE,61.7884248541,65.1283397111,61.6806856651,64.2664261996,1698133.3333333333,
2000-02-03,HWM,NYSE,64.2664261996,64.2664261996,61.5190768817,62.2732512043,872466.6666666666,
2000-02-04,HWM,NYSE,62.4887295822,62.4887295822,60.1184674256,60.6571633703,889600.0,
2000-02-07,HWM,NYSE,61.0342505315,61.0342505315,58.7178579694,58.7717275639,1501866.6666666667,
2000-02-08,HWM,NYSE,59.472032292,59.5259018864,56.8324221631,56.8324221631,2065666.6666666667,
2000-02-09,HWM,NYSE,56.7785525686,57.5327268912,55.5395518959,55.5395518959,3303866.6666666665,
2000-02-10,HWM,NYSE,56.0243782461,58.2330316192,55.7550302737,56.4553350018,1686133.3333333333,
2000-02-11,HWM,NYSE,57.2095093244,59.2026843196,57.1556397299,58.3407708082,1491400.0,
