date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,IEX,NYSE,13.5556301111,13.5556301111,13.3334066667,13.4167404584,143099.212953971,
2000-01-04,IEX,NYSE,13.3611845973,13.3611845973,12.6667363334,12.8056259861,60749.6658766858,
2000-01-05,IEX,NYSE,12.8056259861,12.8611818473,12.50006875,12.750070125,83474.5408898164,
2000-01-06,IEX,NYSE,12.6945142639,12.9445156389,12.5834025417,12.750070125,49949.7252763861,
2000-01-07,IEX,NYSE,12.6945142639,13.1667390834,12.6945142639,13.1111832223,37574.7933385427,
2000-01-10,IEX,NYSE,13.1945170139,13.250072875,13.0278494306,13.250072875,49049.7302263611,
2000-01-11,IEX,NYSE,13.1945170139,13.3334066667,13.1667390834,13.250072875,34649.8094259615,
2000-01-12,IEX,NYSE,13.1945170139,13.2778508056,13.1945170139,13.2778508056,35549.8044759865,
2000-01-13,IEX,NYSE,13.1389611528,13.6667418334,13.1389611528,13.50007425,65474.6398893169,
2000-01-14,IEX,NYSE,13.50007425,13.7778535556,13.50007425,13.6945197639,42974.7636386926,
2000-01-18,IEX,NYSE,13.5278521806,13.6945197639,13.250072875,13.5278521806,66824.6324643544,
2000-01-19,IEX,NYSE,13.5278521806,13.7222976945,13.3889625278,13.6945197639,66374.6349393419,
2000-01-20,IEX,NYSE,13.6389639028,13.9445211389,13.6389639028,13.9445211389,42074.7685886676,
2000-01-21,IEX,NYSE,13.7778535556,13.7778535556,13.6111859723,13.6667418334,55574.6943390422,
2000-01-24,IEX,NYSE,13.8611873473,13.8611873473,13.1111832223,13.1111832223,53999.7030014985,
2000-01-25,IEX,NYSE,13.1389611528,13.1389611528,12.3611790973,12.50006875,82799.5446022977,
2000-01-26,IEX,NYSE,12.50006875,12.5834025417,12.3889570278,12.3889570278,62099.6584517233,
2000-01-27,IEX,NYSE,12.2778453056,12.3056232361,12.0278439306,12.0278439306,106199.4159029471,
2000-01-28,IEX,NYSE,12.0278439306,12.1667335834,12.0278439306,12.1111777223,212398.8318058941,
2000-01-31,IEX,NYSE,12.1111777223,12.1667335834,11.9445101389,11.9445101389,109799.3961030469,
2000-02-01,IEX,NYSE,11.9722880695,11.9722880695,11.8056204861,11.8056204861,55799.6931015484,
2000-02-02,IEX,NYSE,11.8056204861,11.8056204861,11.1111722223,11.1111722223,114749.3688781843,
2000-02-03,IEX,NYSE,11.2222839445,11.2222839445,10.9445046389,11.0278384306,136574.24884129,
2000-02-04,IEX,NYSE,10.8333929167,11.2222839445,10.8333929167,11.1945060139,94274.4814901161,
2000-02-07,IEX,NYSE,11.1945060139,11.7778425556,11.1945060139,11.7778425556,124649.314428459,
2000-02-08,IEX,NYSE,11.8889542778,12.0556218611,11.6111749723,11.9445101389,154349.1510792832,
2000-02-09,IEX,NYSE,12.000066,12.0833997917,11.8333984167,11.8889542778,91124.4988150287,
2000-02-10,IEX,NYSE,11.8889542778,11.8889542778,11.5556191111,11.6667308334,49274.7289888674,
2000-02-11,IEX,NYSE,11.6111749723,11.6111749723,11.3889515278,11.3889515278,53099.7079514735,
2000-02-14,IEX,NYSE,11.1667280834,11.1667280834,10.6667253334,10.750059125,190798.9506052947,
2000-02-15,IEX,NYSE,10.6667253334,10.6945032639,10.1667225834,10.2778343056,388797.8616107891,
2000-02-16,IEX,NYSE,10.3333901667,10.7778370556,10.2222784445,10.7778370556,73349.5965770355,
2000-02-17,IEX,NYSE,10.7222811945,10.7778370556,10.4722798195,10.6389474028,124424.3156659528,
2000-02-18,IEX,NYSE,10.7222811945,10.7778370556,10.6111694722,10.6111694722,72224.6027645042,
2000-02-22,IEX,NYSE,10.6111694722,10.6945032639,10.3889460278,10.6667253334,76724.5780146291,
2000-02-23,IEX,NYSE,10.5833915417,11.0000605,10.5556136111,10.9445046389,65249.6411268107,
2000-02-24,IEX,NYSE,10.8889487778,10.8889487778,10.2778343056,10.2778343056,68624.6225644043,
2000-02-25,IEX,NYSE,10.3333901667,10.3333901667,10.2222784445,10.250056375,43649.7599262113,
2000-02-28,IEX,NYSE,10.3056122361,10.5556136111,10.2778343056,10.5556136111,89324.5087149788,
2000-02-29,IEX,NYSE,10.4445018889,11.0556163611,10.4445018889,11.0000605,177074.0260924138,
2000-03-01,IEX,NYSE,11.0556163611,11.6111749723,11.0278384306,11.4445073889,168749.0718796828,
2000-03-02,IEX,NYSE,11.3333956667,11.3611735973,11.1389501528,11.1667280834,112724.3800156281,
2000-03-03,IEX,NYSE,11.0556163611,11.3611735973,11.0556163611,11.2778398056,21149.8836755869,
2000-03-06,IEX,NYSE,11.2222839445,11.3333956667,11.2222839445,11.3333956667,91574.4963400412,
2000-03-07,IEX,NYSE,11.3056177361,11.5556191111,11.2778398056,11.4722853195,107774.4072404908,
2000-03-08,IEX,NYSE,11.3611735973,11.6111749723,11.3611735973,11.5278411806,78524.5681146791,
2000-03-09,IEX,NYSE,11.4722853195,11.5278411806,11.2778398056,11.5278411806,33524.8156134303,
2000-03-10,IEX,NYSE,11.5278411806,11.5833970417,11.2222839445,11.3611735973,345823.0979720966,
2000-03-13,IEX,NYSE,11.3056177361,11.4722853195,11.250061875,11.3333956667,29249.8391258117,
2000-03-14,IEX,NYSE,11.2222839445,11.3333956667,11.1111722223,11.1667280834,181574.0013425387,
2000-03-15,IEX,NYSE,11.1667280834,11.3611735973,11.0556163611,11.3056177361,138824.2364663524,
2000-03-16,IEX,NYSE,11.3611735973,12.1667335834,11.3056177361,12.1667335834,259423.573169699,
2000-03-17,IEX,NYSE,12.000066,12.3889570278,12.000066,12.3889570278,78524.5681146791,
2000-03-20,IEX,NYSE,12.2778453056,12.5556246111,12.1945115139,12.3334011667,51074.7190889173,
2000-03-21,IEX,NYSE,12.2778453056,12.2778453056,11.9722880695,12.2222894445,52874.7091889673,
2000-03-22,IEX,NYSE,12.1667335834,12.4167349584,12.0278439306,12.4167349584,50849.7203264111,
2000-03-23,IEX,NYSE,12.4167349584,12.5278466806,12.250067375,12.2778453056,32399.8218008991,
2000-03-24,IEX,NYSE,12.3889570278,12.6111804723,12.3889570278,12.5556246111,33074.8180884178,
2000-03-27,IEX,NYSE,12.50006875,12.50006875,12.3889570278,12.50006875,21824.8799631056,
2000-03-28,IEX,NYSE,12.4445128889,12.4722908195,12.1667335834,12.1945115139,86624.5235649038,
2000-03-29,IEX,NYSE,12.250067375,12.3056232361,12.0278439306,12.3056232361,59399.6733016483,
2000-03-30,IEX,NYSE,12.3056232361,12.3056232361,12.000066,12.000066,53324.7067139798,
2000-03-31,IEX,NYSE,12.0278439306,12.6111804723,11.750064625,12.1111777223,386772.872748233,
2000-04-03,IEX,NYSE,12.1667335834,12.1667335834,11.9722880695,12.000066,140174.2290413898,
2000-04-04,IEX,NYSE,11.9445101389,12.1389556528,11.8056204861,11.9445101389,92924.4889150787,
2000-04-05,IEX,NYSE,12.0556218611,12.0833997917,12.000066,12.0556218611,81674.5507897665,
2000-04-06,IEX,NYSE,12.1111777223,12.250067375,12.0556218611,12.1667335834,114074.3725906656,
2000-04-07,IEX,NYSE,12.2222894445,12.2222894445,12.0556218611,12.1111777223,58274.6794891171,
2000-04-10,IEX,NYSE,12.0556218611,12.4445128889,12.000066,12.000066,62999.6535017482,
