date,code,exchange,open,high,low,close,volume,count_trx
2017-02-01,INVH,NYSE,20.1,20.42,20.0,20.0,9613237.0,8296.0
2017-02-02,INVH,NYSE,20.04,20.41,20.04,20.23,663085.0,1788.0
2017-02-03,INVH,NYSE,20.35,20.78,20.3,20.63,322435.0,946.0
2017-02-06,INVH,NYSE,20.99,21.0,20.55,20.73,212111.0,695.0
2017-02-07,INVH,NYSE,20.75,20.86,20.62,20.8,1055176.0,1074.0
2017-02-08,INVH,NYSE,20.8,20.91,20.75,20.84,117529.0,582.0
2017-02-09,INVH,NYSE,20.87,20.97,20.83,20.88,98225.0,405.0
2017-02-10,INVH,NYSE,20.92,21.17,20.78,21.02,194984.0,503.0
2017-02-13,INVH,NYSE,21.18,21.185,20.96,21.0,81817.0,363.0
2017-02-14,INVH,NYSE,20.89,21.05,20.75,21.03,188581.0,924.0
2017-02-15,INVH,NYSE,21.16,21.16,20.86,20.91,97119.0,514.0
2017-02-16,INVH,NYSE,20.8,21.05,20.8,20.96,61727.0,325.0
2017-02-17,INVH,NYSE,20.93,21.21,20.76,21.15,91941.0,403.0
2017-02-21,INVH,NYSE,21.28,21.5,21.28,21.47,113389.0,519.0
2017-02-22,INVH,NYSE,21.45,21.65,21.4,21.57,74230.0,402.0
2017-02-23,INVH,NYSE,21.78,21.78,21.375,21.58,81287.0,424.0
2017-02-24,INVH,NYSE,21.52,21.71,21.505,21.6,72897.0,302.0
2017-02-27,INVH,NYSE,21.6,21.99,21.56,21.81,143830.0,637.0
2017-02-28,INVH,NYSE,21.91,22.11,21.77,21.79,176013.0,522.0
2017-03-01,INVH,NYSE,22.14,22.14,21.17,21.53,158073.0,699.0
2017-03-02,INVH,NYSE,21.62,21.77,21.34,21.72,130295.0,611.0
2017-03-03,INVH,NYSE,21.54,21.94,21.285,21.81,125968.0,838.0
2017-03-06,INVH,NYSE,21.78,22.0,21.63,21.92,194589.0,978.0
2017-03-07,INVH,NYSE,21.8,21.96,21.5,21.81,88945.0,543.0
2017-03-08,INVH,NYSE,21.78,21.8,21.52,21.55,89205.0,469.0
2017-03-09,INVH,NYSE,21.6,21.74,21.04,21.24,156437.0,925.0
2017-03-10,INVH,NYSE,21.31,21.54,21.31,21.4,165711.0,769.0
2017-03-13,INVH,NYSE,21.39,21.84,21.07,21.38,137027.0,857.0
2017-03-14,INVH,NYSE,21.38,21.44,21.08,21.25,200532.0,318.0
2017-03-15,INVH,NYSE,21.39,21.6,21.27,21.52,110207.0,578.0
2017-03-16,INVH,NYSE,21.66,21.67,21.25,21.48,218679.0,889.0
2017-03-17,INVH,NYSE,21.55,21.79,21.49,21.6,6052703.0,861.0
2017-03-20,INVH,NYSE,21.5,21.65,21.35,21.54,171682.0,793.0
2017-03-21,INVH,NYSE,21.58,21.58,21.315,21.39,330510.0,550.0
2017-03-22,INVH,NYSE,21.41,21.52,21.32,21.5,130315.0,773.0
2017-03-23,INVH,NYSE,21.42,21.54,21.28,21.49,131394.0,626.0
2017-03-24,INVH,NYSE,21.53,21.65,21.52,21.58,50593.0,328.0
2017-03-27,INVH,NYSE,21.46,21.6,21.41,21.53,140042.0,561.0
2017-03-28,INVH,NYSE,21.45,21.66,21.45,21.64,174203.0,583.0
2017-03-29,INVH,NYSE,21.71,21.79,21.64,21.69,107457.0,459.0
2017-03-30,INVH,NYSE,21.78,21.78,21.6,21.75,95363.0,401.0
2017-03-31,INVH,NYSE,21.79,21.98,21.65,21.83,3106117.0,1187.0
2017-04-03,INVH,NYSE,21.85,21.85,21.58,21.63,124235.0,526.0
2017-04-04,INVH,NYSE,21.8,21.85,21.45,21.54,277830.0,762.0
2017-04-05,INVH,NYSE,21.66,21.66,21.45,21.58,107854.0,349.0
2017-04-06,INVH,NYSE,21.49,21.81,21.46,21.7,167337.0,527.0
2017-04-07,INVH,NYSE,21.76,21.84,21.59,21.61,98595.0,530.0
2017-04-10,INVH,NYSE,21.6,21.76,21.6,21.64,96640.0,395.0
2017-04-11,INVH,NYSE,21.69,21.69,21.43,21.55,137299.0,740.0
2017-04-12,INVH,NYSE,21.48,21.66,21.42,21.55,85506.0,476.0
2017-04-13,INVH,NYSE,21.62,21.63,21.19,21.29,132996.0,494.0
2017-04-17,INVH,NYSE,21.26,21.9,21.19,21.67,122770.0,533.0
2017-04-18,INVH,NYSE,21.62,21.81,21.62,21.77,96306.0,377.0
2017-04-19,INVH,NYSE,21.77,21.85,21.68,21.75,175116.0,877.0
2017-04-20,INVH,NYSE,21.68,21.825,21.4,21.49,187441.0,950.0
2017-04-21,INVH,NYSE,21.43,21.755,21.18,21.66,227613.0,1672.0
2017-04-24,INVH,NYSE,21.76,21.77,21.54,21.64,110530.0,511.0
2017-04-25,INVH,NYSE,21.65,21.75,21.565,21.72,286107.0,1142.0
2017-04-26,INVH,NYSE,21.65,21.72,21.55,21.68,115119.0,758.0
2017-04-27,INVH,NYSE,21.7,21.72,21.56,21.59,99743.0,594.0
2017-04-28,INVH,NYSE,21.59,21.64,21.51,21.55,152379.0,448.0
2017-05-01,INVH,NYSE,21.58,21.75,21.58,21.68,81684.0,474.0
2017-05-02,INVH,NYSE,21.59,21.76,21.46,21.52,139187.0,582.0
2017-05-03,INVH,NYSE,21.38,21.53,21.12,21.48,334674.0,643.0
2017-05-04,INVH,NYSE,21.49,21.49,21.09,21.2,190607.0,816.0
2017-05-05,INVH,NYSE,21.25,21.45,21.19,21.27,106020.0,527.0
2017-05-08,INVH,NYSE,21.35,21.39,21.15,21.28,122357.0,682.0
2017-05-09,INVH,NYSE,21.25,21.55,21.25,21.45,112598.0,543.0
2017-05-10,INVH,NYSE,21.37,21.89,21.37,21.67,240539.0,1024.0
2017-05-11,INVH,NYSE,21.68,22.02,21.4,21.9,228457.0,949.0
2017-05-12,INVH,NYSE,21.95,21.95,21.57,21.79,104258.0,583.0
2017-05-15,INVH,NYSE,21.75,21.91,21.55,21.9,273937.0,1002.0
2017-05-16,INVH,NYSE,21.82,21.82,21.25,21.37,300948.0,1504.0
2017-05-17,INVH,NYSE,21.25,21.74,21.25,21.54,135527.0,941.0
2017-05-18,INVH,NYSE,21.49,21.79,21.33,21.65,222512.0,1189.0
2017-05-19,INVH,NYSE,21.71,21.93,21.53,21.78,213351.0,1104.0
2017-05-22,INVH,NYSE,21.7,21.9,21.56,21.67,138534.0,797.0
2017-05-23,INVH,NYSE,21.78,21.88,21.51,21.56,93812.0,540.0
2017-05-24,INVH,NYSE,21.54,21.74,21.525,21.64,111775.0,511.0
2017-05-25,INVH,NYSE,21.74,21.74,21.14,21.2,172704.0,788.0
2017-05-26,INVH,NYSE,21.25,21.29,21.02,21.2,63116.0,418.0
2017-05-30,INVH,NYSE,21.19,21.4,21.19,21.36,186951.0,959.0
2017-05-31,INVH,NYSE,21.52,21.62,21.33,21.52,183458.0,633.0
2017-06-01,INVH,NYSE,21.54,21.7,21.45,21.68,85067.0,302.0
2017-06-02,INVH,NYSE,21.67,21.97,21.67,21.93,95954.0,371.0
2017-06-05,INVH,NYSE,22.03,22.29,21.57,21.58,214819.0,653.0
2017-06-06,INVH,NYSE,21.43,21.67,21.35,21.52,154982.0,945.0
2017-06-07,INVH,NYSE,21.55,21.55,21.24,21.3,117070.0,582.0
2017-06-08,INVH,NYSE,21.3,21.34,21.14,21.18,141734.0,580.0
2017-06-09,INVH,NYSE,21.18,21.74,21.16,21.4,247394.0,1058.0
2017-06-12,INVH,NYSE,21.7,21.9,21.39,21.45,281193.0,1426.0
2017-06-13,INVH,NYSE,21.45,21.57,21.4,21.41,319828.0,1815.0
2017-06-14,INVH,NYSE,21.45,21.755,21.32,21.5,232283.0,1294.0
2017-06-15,INVH,NYSE,21.44,21.505,21.23,21.46,132546.0,643.0
2017-06-16,INVH,NYSE,21.47,21.55,21.18,21.23,3010321.0,1052.0
2017-06-19,INVH,NYSE,21.29,21.64,21.2,21.61,148565.0,745.0
2017-06-20,INVH,NYSE,21.5,21.56,21.33,21.37,57717.0,301.0
2017-06-21,INVH,NYSE,21.42,21.42,21.11,21.29,164538.0,976.0
2017-06-22,INVH,NYSE,21.25,21.58,21.25,21.44,123428.0,697.0
2017-06-23,INVH,NYSE,21.46,21.975,21.43,21.72,701179.0,1151.0
2017-06-26,INVH,NYSE,21.84,21.84,21.57,21.64,259336.0,984.0
2017-06-27,INVH,NYSE,21.61,21.7,21.54,21.57,257030.0,1628.0
2017-06-28,INVH,NYSE,21.59,21.67,21.41,21.57,273682.0,955.0
2017-06-29,INVH,NYSE,21.61,21.61,21.275,21.3,108304.0,527.0
2017-06-30,INVH,NYSE,21.32,21.69,21.32,21.63,188249.0,902.0
2017-07-03,INVH,NYSE,21.75,21.75,21.42,21.68,61946.0,363.0
2017-07-05,INVH,NYSE,21.69,21.76,21.53,21.69,217557.0,1083.0
2017-07-06,INVH,NYSE,21.57,21.61,21.25,21.29,176941.0,922.0
2017-07-07,INVH,NYSE,21.26,21.62,21.22,21.45,192233.0,993.0
2017-07-10,INVH,NYSE,21.36,21.52,21.35,21.43,143150.0,529.0
2017-07-11,INVH,NYSE,21.41,21.47,21.2,21.45,200132.0,865.0
2017-07-12,INVH,NYSE,21.42,21.62,21.42,21.49,153665.0,614.0
2017-07-13,INVH,NYSE,21.49,21.51,21.36,21.49,109158.0,504.0
2017-07-14,INVH,NYSE,21.46,21.62,21.46,21.54,79498.0,316.0
2017-07-17,INVH,NYSE,21.54,21.68,21.5,21.63,132050.0,466.0
2017-07-18,INVH,NYSE,21.56,21.65,21.42,21.48,73906.0,440.0
2017-07-19,INVH,NYSE,21.42,21.68,21.42,21.68,56472.0,287.0
2017-07-20,INVH,NYSE,21.6,21.785,21.59,21.65,92906.0,524.0
2017-07-21,INVH,NYSE,21.65,21.8,21.65,21.74,76022.0,482.0
2017-07-24,INVH,NYSE,21.74,21.86,21.59,21.77,88662.0,447.0
2017-07-25,INVH,NYSE,21.75,21.76,21.57,21.64,128266.0,426.0
2017-07-26,INVH,NYSE,21.7,21.7,21.24,21.43,153346.0,932.0
2017-07-27,INVH,NYSE,21.36,21.47,21.25,21.27,120859.0,792.0
2017-07-28,INVH,NYSE,21.23,21.42,21.23,21.33,111743.0,576.0
2017-07-31,INVH,NYSE,21.22,21.36,21.12,21.32,208907.0,774.0
2017-08-01,INVH,NYSE,21.4,21.55,21.38,21.47,103033.0,571.0
2017-08-02,INVH,NYSE,21.5,21.5,21.05,21.2,119744.0,661.0
2017-08-03,INVH,NYSE,21.15,21.22,20.95,21.08,123038.0,663.0
2017-08-04,INVH,NYSE,21.12,21.3,21.0,21.16,124743.0,641.0
2017-08-07,INVH,NYSE,21.15,21.15,20.98,21.11,180288.0,879.0
2017-08-08,INVH,NYSE,21.06,21.21,20.76,20.83,136622.0,730.0
2017-08-09,INVH,NYSE,20.81,21.08,20.81,20.99,109625.0,561.0
2017-08-10,INVH,NYSE,21.2,22.43,21.2,21.81,773569.0,4772.0
