date,code,exchange,open,high,low,close,volume,count_trx
2017-05-12,IR,NYSE,21.25,21.3,20.27,21.1,4913246.0,4796.0
2017-05-15,IR,NYSE,21.15,22.3,21.15,22.02,388011.0,1729.0
2017-05-16,IR,NYSE,22.19,22.41,22.05,22.1,108439.0,481.0
2017-05-17,IR,NYSE,22.09,22.5,21.71,22.1,157391.0,850.0
2017-05-18,IR,NYSE,22.29,23.62,22.01,22.5,1588780.0,1870.0
2017-05-19,IR,NYSE,22.54,23.48,22.42,22.72,225644.0,1145.0
2017-05-22,IR,NYSE,22.7,23.09,22.57,22.89,38315.0,263.0
2017-05-23,IR,NYSE,22.99,23.6,22.69,23.45,79193.0,429.0
2017-05-24,IR,NYSE,23.54,23.54,23.04,23.35,65004.0,530.0
2017-05-25,IR,NYSE,23.42,23.76,22.36,22.51,68703.0,428.0
2017-05-26,IR,NYSE,22.55,23.24,22.38,23.03,92617.0,437.0
2017-05-30,IR,NYSE,23.07,23.29,22.59,22.95,66675.0,396.0
2017-05-31,IR,NYSE,22.97,23.14,22.76,22.93,58806.0,221.0
2017-06-01,IR,NYSE,22.91,23.37,22.86,22.93,46097.0,380.0
2017-06-02,IR,NYSE,22.89,23.08,22.605,22.65,48060.0,323.0
2017-06-05,IR,NYSE,22.61,22.91,21.95,22.63,49994.0,371.0
2017-06-06,IR,NYSE,22.45,22.7,22.13,22.29,113896.0,640.0
2017-06-07,IR,NYSE,22.4,22.78,21.58,21.76,84929.0,584.0
2017-06-08,IR,NYSE,21.75,21.93,21.62,21.65,60298.0,592.0
2017-06-09,IR,NYSE,21.68,22.82,21.68,22.49,99411.0,554.0
2017-06-12,IR,NYSE,22.46,23.52,21.94,23.03,103729.0,789.0
2017-06-13,IR,NYSE,22.99,24.22,22.85,23.49,130809.0,1009.0
2017-06-14,IR,NYSE,23.57,23.65,22.55,23.25,189504.0,1302.0
2017-06-15,IR,NYSE,23.08,24.48,22.77,22.99,458639.0,1057.0
2017-06-16,IR,NYSE,23.0,24.0,23.0,23.92,1383982.0,976.0
2017-06-19,IR,NYSE,24.06,24.06,23.56,23.92,85244.0,688.0
2017-06-20,IR,NYSE,23.6,23.6,22.21,22.62,159153.0,1031.0
2017-06-21,IR,NYSE,22.54,22.645,20.63,20.72,198046.0,1298.0
2017-06-22,IR,NYSE,20.72,21.07,19.91,21.06,159903.0,1014.0
2017-06-23,IR,NYSE,21.03,21.03,20.25,20.47,1990933.0,1971.0
2017-06-26,IR,NYSE,20.42,21.04,20.1,20.5,151150.0,1031.0
2017-06-27,IR,NYSE,20.56,21.62,20.42,21.29,110722.0,858.0
2017-06-28,IR,NYSE,21.28,21.63,21.15,21.27,105792.0,671.0
2017-06-29,IR,NYSE,21.33,21.54,21.04,21.43,87732.0,774.0
2017-06-30,IR,NYSE,21.54,21.73,21.26,21.61,52105.0,392.0
2017-07-03,IR,NYSE,21.75,22.4,21.46,22.34,72644.0,546.0
2017-07-05,IR,NYSE,22.38,22.38,21.76,21.82,175243.0,1276.0
2017-07-06,IR,NYSE,21.61,21.61,20.92,20.97,185313.0,1275.0
2017-07-07,IR,NYSE,20.99,21.2,20.6,20.67,150260.0,1150.0
2017-07-10,IR,NYSE,20.63,21.45,20.55,21.34,182767.0,964.0
2017-07-11,IR,NYSE,21.18,21.8,21.11,21.73,129027.0,714.0
2017-07-12,IR,NYSE,21.78,22.34,21.75,22.13,115470.0,847.0
2017-07-13,IR,NYSE,22.11,22.26,21.87,22.06,448223.0,750.0
2017-07-14,IR,NYSE,22.13,22.22,22.01,22.08,35890.0,227.0
2017-07-17,IR,NYSE,22.06,23.1,21.98,22.97,249537.0,1257.0
2017-07-18,IR,NYSE,22.83,23.21,22.81,23.04,196806.0,606.0
2017-07-19,IR,NYSE,23.03,23.42,23.03,23.42,74130.0,380.0
2017-07-20,IR,NYSE,23.41,23.58,23.0,23.55,82761.0,485.0
2017-07-21,IR,NYSE,23.44,23.61,22.82,23.01,213704.0,1069.0
2017-07-24,IR,NYSE,22.93,23.14,22.71,23.14,82446.0,507.0
2017-07-25,IR,NYSE,23.28,23.54,22.99,23.45,108055.0,766.0
2017-07-26,IR,NYSE,23.6,23.6,22.64,22.82,105545.0,781.0
2017-07-27,IR,NYSE,22.81,23.25,22.775,23.23,57976.0,499.0
2017-07-28,IR,NYSE,23.08,23.205,22.88,23.09,43407.0,360.0
2017-07-31,IR,NYSE,23.23,23.23,22.92,22.96,90724.0,388.0
2017-08-01,IR,NYSE,23.0,23.0,22.39,22.5,148086.0,1432.0
2017-08-02,IR,NYSE,22.5,23.13,22.5,23.02,207869.0,1214.0
2017-08-03,IR,NYSE,23.83,23.99,22.96,23.26,273244.0,1920.0
2017-08-04,IR,NYSE,23.46,24.08,23.29,24.07,163299.0,1196.0
2017-08-07,IR,NYSE,24.09,24.34,23.77,24.04,191529.0,1140.0
2017-08-08,IR,NYSE,24.06,24.29,23.73,24.13,90711.0,758.0
2017-08-09,IR,NYSE,24.04,24.04,23.48,23.6,52738.0,442.0
2017-08-10,IR,NYSE,23.39,23.39,22.52,22.66,105516.0,699.0
2017-08-11,IR,NYSE,22.91,22.91,22.57,22.68,128175.0,985.0
2017-08-14,IR,NYSE,22.89,23.15,22.18,22.59,307539.0,845.0
2017-08-15,IR,NYSE,22.69,22.79,22.55,22.69,451257.0,514.0
2017-08-16,IR,NYSE,22.8,22.85,22.63,22.75,84891.0,481.0
2017-08-17,IR,NYSE,22.6,22.7,21.98,22.0,115687.0,890.0
2017-08-18,IR,NYSE,21.91,22.15,21.79,21.97,101525.0,626.0
2017-08-21,IR,NYSE,22.75,22.75,22.15,22.39,147310.0,1094.0
2017-08-22,IR,NYSE,22.52,22.85,22.4,22.78,70939.0,616.0
2017-08-23,IR,NYSE,22.58,23.06,22.58,22.96,106373.0,700.0
2017-08-24,IR,NYSE,22.98,22.98,22.65,22.7,56253.0,444.0
2017-08-25,IR,NYSE,22.82,23.04,22.71,22.98,64753.0,550.0
2017-08-28,IR,NYSE,23.07,23.07,22.75,22.95,80465.0,561.0
2017-08-29,IR,NYSE,22.81,23.17,22.7,23.06,55105.0,386.0
2017-08-30,IR,NYSE,22.95,23.31,22.95,23.3,85548.0,423.0
2017-08-31,IR,NYSE,23.47,23.83,23.31,23.49,139331.0,655.0
2017-09-01,IR,NYSE,23.7,23.92,23.67,23.7,65049.0,445.0
