date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,KEY,NYSE,21.5,21.625,20.5625,20.75,1060200.0,
2000-01-04,KEY,NYSE,20.5,20.625,19.9375,20.5,1602200.0,
2000-01-05,KEY,NYSE,20.8125,20.9375,20.0625,20.125,1416400.0,
2000-01-06,KEY,NYSE,20.125,21.0,19.9375,20.875,867700.0,
2000-01-07,KEY,NYSE,21.25,21.4375,20.8125,21.4375,657500.0,
2000-01-10,KEY,NYSE,21.6875,21.6875,20.5625,20.5625,656500.0,
2000-01-11,KEY,NYSE,20.25,20.9375,20.25,20.6875,830100.0,
2000-01-12,KEY,NYSE,20.6875,21.1875,20.6875,21.0,732800.0,
2000-01-13,KEY,NYSE,21.25,21.6875,21.1875,21.5625,580200.0,
2000-01-14,KEY,NYSE,21.9375,22.125,21.625,21.75,751500.0,
2000-01-18,KEY,NYSE,21.4375,21.5,20.9375,21.125,704400.0,
2000-01-19,KEY,NYSE,21.25,21.8125,20.5625,20.625,1231200.0,
2000-01-20,KEY,NYSE,20.875,20.875,20.3125,20.5,811900.0,
2000-01-21,KEY,NYSE,20.5625,21.4375,20.3125,21.375,2250300.0,
2000-01-24,KEY,NYSE,21.5,21.5625,20.375,20.4375,1085300.0,
2000-01-25,KEY,NYSE,20.5,20.625,19.8125,20.125,1691100.0,
2000-01-26,KEY,NYSE,20.375,21.625,20.3125,21.5625,1518900.0,
2000-01-27,KEY,NYSE,21.5,21.5625,20.6875,21.0625,1012100.0,
2000-01-28,KEY,NYSE,21.0,21.0,20.375,20.5,885900.0,
2000-01-31,KEY,NYSE,20.625,21.0,20.1875,21.0,1179900.0,
2000-02-01,KEY,NYSE,20.9375,21.0625,20.5625,20.75,1108800.0,
2000-02-02,KEY,NYSE,20.75,20.75,20.4375,20.5,917700.0,
2000-02-03,KEY,NYSE,20.5625,20.75,20.375,20.4375,1172100.0,
2000-02-04,KEY,NYSE,20.5,20.625,20.0625,20.125,1008100.0,
2000-02-07,KEY,NYSE,20.125,20.3125,19.9375,20.0,883400.0,
2000-02-08,KEY,NYSE,20.0,20.375,19.9375,20.1875,959200.0,
2000-02-09,KEY,NYSE,20.0625,20.0625,19.5,19.5,1043800.0,
2000-02-10,KEY,NYSE,19.3125,19.5,18.375,18.75,1913500.0,
2000-02-11,KEY,NYSE,18.5,18.875,18.1875,18.4375,1809100.0,
2000-02-14,KEY,NYSE,18.4375,18.4375,18.0,18.1875,1117800.0,
2000-02-15,KEY,NYSE,18.375,18.75,17.9375,18.5625,1642000.0,
2000-02-16,KEY,NYSE,18.25,18.4375,17.8125,17.875,1357400.0,
2000-02-17,KEY,NYSE,18.3125,18.4375,17.75,17.9375,757200.0,
2000-02-18,KEY,NYSE,17.6875,17.75,17.0625,17.25,1632000.0,
2000-02-22,KEY,NYSE,17.4375,17.6875,17.3125,17.4375,1332200.0,
2000-02-23,KEY,NYSE,17.4375,17.5,17.1875,17.1875,1257800.0,
2000-02-24,KEY,NYSE,17.375,17.5,16.8125,17.4375,1418100.0,
2000-02-25,KEY,NYSE,17.4375,17.5625,16.8125,17.0,1577500.0,
2000-02-28,KEY,NYSE,17.0,17.25,16.8125,17.0,1600400.0,
2000-02-29,KEY,NYSE,17.0,17.125,16.5625,16.9375,1021500.0,
2000-03-01,KEY,NYSE,17.0,17.125,16.5625,17.125,1196400.0,
2000-03-02,KEY,NYSE,17.0,17.0625,16.625,16.9375,720000.0,
2000-03-03,KEY,NYSE,17.5,17.6875,16.9375,17.4375,1336900.0,
2000-03-06,KEY,NYSE,17.4375,17.625,17.0,17.375,818600.0,
2000-03-07,KEY,NYSE,17.25,17.25,15.9375,15.9375,2387600.0,
2000-03-08,KEY,NYSE,16.25,16.25,15.5625,15.6875,2162900.0,
2000-03-09,KEY,NYSE,15.6875,15.8125,15.5625,15.8125,1760400.0,
2000-03-10,KEY,NYSE,16.0,16.125,15.875,16.0625,1633100.0,
2000-03-13,KEY,NYSE,16.25,16.3125,15.8125,16.25,1297900.0,
2000-03-14,KEY,NYSE,16.25,16.375,15.8125,15.875,1431200.0,
2000-03-15,KEY,NYSE,16.25,17.875,15.9375,17.6875,2912000.0,
2000-03-16,KEY,NYSE,18.5,19.375,17.75,18.875,2161700.0,
2000-03-17,KEY,NYSE,19.5,19.5,18.75,18.8125,1824900.0,
2000-03-20,KEY,NYSE,18.6875,18.75,17.9375,18.3125,1204900.0,
2000-03-21,KEY,NYSE,18.5625,18.9375,18.3125,18.9375,1244300.0,
2000-03-22,KEY,NYSE,19.0,19.5,18.625,19.4375,1031100.0,
2000-03-23,KEY,NYSE,19.4375,19.5625,19.0,19.5,1601500.0,
2000-03-24,KEY,NYSE,19.5625,19.6875,19.0,19.125,1417700.0,
2000-03-27,KEY,NYSE,19.125,19.125,18.3125,18.6875,905300.0,
