date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,KIM,NYSE,11.3044014039,11.3044014039,11.1177232156,11.2421753411,101100.1011001011,
2000-01-04,KIM,NYSE,11.2421753411,11.2421753411,11.0347551319,11.1384652365,332400.3324003324,
2000-01-05,KIM,NYSE,11.1177232156,11.283659383,11.0554971528,11.2006912993,313200.3132003132,
2000-01-06,KIM,NYSE,11.1592072574,11.5947896969,11.1592072574,11.5325636341,417000.417000417,
2000-01-07,KIM,NYSE,11.5947896969,11.7814678852,11.5947896969,11.7192418224,515700.5157005157,
2000-01-10,KIM,NYSE,11.7814678852,11.9059200107,11.7607258643,11.9059200107,414900.4149004149,
2000-01-11,KIM,NYSE,11.8644359689,11.9059200107,11.7399838433,11.7607258643,126300.1263001263,
2000-01-12,KIM,NYSE,11.9266620317,11.9266620317,11.6362737387,11.6570157596,638100.6381006382,
2000-01-13,KIM,NYSE,11.6984998015,11.7814678852,11.6570157596,11.7814678852,410700.4107004107,
2000-01-14,KIM,NYSE,11.822951927,11.9059200107,11.822951927,11.822951927,159300.1593001593,
2000-01-18,KIM,NYSE,11.843693948,11.8644359689,11.4910795922,11.822951927,306600.3066003066,
2000-01-19,KIM,NYSE,11.8644359689,11.8644359689,11.6777577806,11.843693948,351300.3513003513,
2000-01-20,KIM,NYSE,11.8644359689,11.9059200107,11.8022099061,11.8022099061,244800.2448002448,
2000-01-21,KIM,NYSE,11.822951927,11.9059200107,11.6984998015,11.7399838433,170700.1707001707,
2000-01-24,KIM,NYSE,11.822951927,11.8644359689,11.6984998015,11.6984998015,114300.1143001143,
2000-01-25,KIM,NYSE,11.7192418224,11.7814678852,11.553305655,11.6777577806,221100.2211002211,
2000-01-26,KIM,NYSE,11.6777577806,11.9266620317,11.6777577806,11.8022099061,445800.4458004458,
2000-01-27,KIM,NYSE,11.7814678852,11.8644359689,11.7814678852,11.8022099061,307500.3075003075,
2000-01-28,KIM,NYSE,11.822951927,11.822951927,11.7814678852,11.8022099061,113700.1137001137,
2000-01-31,KIM,NYSE,11.7814678852,11.8022099061,11.6570157596,11.6984998015,191700.1917001917,
2000-02-01,KIM,NYSE,11.6984998015,11.8022099061,11.5947896969,11.5947896969,151200.1512001512,
2000-02-02,KIM,NYSE,11.5947896969,11.6570157596,11.5325636341,11.6570157596,269100.2691002691,
