date,code,exchange,open,high,low,close,volume,count_trx
2010-07-15,KKR,NYSE,10.5,11.08,10.2,10.2,1630000.0,
2010-07-16,KKR,NYSE,10.25,10.33,9.47,9.69,213000.0,
2010-07-19,KKR,NYSE,9.95,9.97,9.68,9.79,100100.0,
2010-07-20,KKR,NYSE,9.47,9.64,8.83,9.25,613900.0,
2010-07-21,KKR,NYSE,9.26,9.28,8.74,8.8,240100.0,
2010-07-22,KKR,NYSE,8.8,9.35,8.8,9.3,244000.0,
2010-07-23,KKR,NYSE,9.28,9.5,9.28,9.5,89600.0,
2010-07-26,KKR,NYSE,9.75,9.88,9.62,9.69,580100.0,
2010-07-27,KKR,NYSE,9.9,10.18,9.65,9.85,412900.0,
2010-07-28,KKR,NYSE,9.95,10.02,9.56,9.59,276200.0,
2010-07-29,KKR,NYSE,9.71,9.76,9.35,9.48,156400.0,
2010-07-30,KKR,NYSE,9.32,9.49,9.03,9.05,768400.0,
2010-08-02,KKR,NYSE,9.21,9.84,9.19,9.44,223200.0,
2010-08-03,KKR,NYSE,9.5,9.58,9.3,9.53,107300.0,
2010-08-04,KKR,NYSE,9.54,9.61,9.44,9.54,35900.0,
2010-08-05,KKR,NYSE,9.6,9.97,9.6,9.9,433100.0,
2010-08-06,KKR,NYSE,9.8,9.9,9.66,9.86,82200.0,
2010-08-09,KKR,NYSE,9.95,10.0,9.82,9.89,389800.0,
2010-08-10,KKR,NYSE,9.93,9.94,9.8,9.83,267900.0,
2010-08-11,KKR,NYSE,9.81,9.84,9.58,9.82,242800.0,
2010-08-12,KKR,NYSE,9.8,10.14,9.71,10.06,267100.0,
2010-08-13,KKR,NYSE,10.11,10.18,9.99,10.16,285200.0,
2010-08-16,KKR,NYSE,10.04,10.1,9.95,9.99,401200.0,
2010-08-17,KKR,NYSE,10.0,10.42,9.99,10.39,257700.0,
2010-08-18,KKR,NYSE,10.31,10.62,10.2,10.56,497000.0,
2010-08-19,KKR,NYSE,10.55,10.7,10.3,10.42,287200.0,
2010-08-20,KKR,NYSE,10.41,10.47,10.26,10.3,115700.0,
2010-08-23,KKR,NYSE,10.34,10.39,10.11,10.13,347700.0,
2010-08-24,KKR,NYSE,10.03,10.24,9.93,10.17,109800.0,
2010-08-25,KKR,NYSE,10.05,10.19,10.0,10.12,133500.0,
2010-08-26,KKR,NYSE,10.09,10.16,10.02,10.06,118900.0,
2010-08-27,KKR,NYSE,10.1,10.26,10.0,10.21,170200.0,
2010-08-30,KKR,NYSE,10.18,10.21,9.96,10.0,117900.0,
2010-08-31,KKR,NYSE,10.0,10.07,9.92,10.02,175800.0,
2010-09-01,KKR,NYSE,10.12,10.77,10.06,10.24,546700.0,
2010-09-02,KKR,NYSE,10.24,10.29,10.05,10.19,215500.0,
2010-09-03,KKR,NYSE,10.25,10.29,10.15,10.25,130300.0,
2010-09-07,KKR,NYSE,10.11,10.34,10.11,10.25,659700.0,
2010-09-08,KKR,NYSE,10.24,10.74,9.77,10.25,403200.0,
2010-09-09,KKR,NYSE,10.3,10.3,10.09,10.17,120100.0,
2010-09-10,KKR,NYSE,10.17,10.25,10.05,10.16,117475.0,
2010-09-13,KKR,NYSE,10.24,10.29,10.07,10.28,112240.0,
2010-09-14,KKR,NYSE,10.2,10.29,10.06,10.11,90793.0,
2010-09-15,KKR,NYSE,10.11,10.25,10.09,10.18,122739.0,
2010-09-16,KKR,NYSE,10.09,10.24,10.09,10.2,158131.0,
2010-09-17,KKR,NYSE,10.25,10.25,10.1,10.2,134030.0,
2010-09-20,KKR,NYSE,10.2,10.21,10.05,10.11,126974.0,
2010-09-21,KKR,NYSE,10.1,10.23,10.01,10.09,264776.0,
2010-09-22,KKR,NYSE,10.07,10.35,10.02,10.26,382650.0,
2010-09-23,KKR,NYSE,10.23,10.4,10.1,10.26,95166.0,
2010-09-24,KKR,NYSE,10.27,10.67,10.27,10.64,85237.0,
2010-09-27,KKR,NYSE,10.68,11.0,10.5,10.68,348098.0,
2010-09-28,KKR,NYSE,10.7,10.76,10.42,10.49,186676.0,
2010-09-29,KKR,NYSE,10.35,10.65,10.3,10.6,72150.0,
2010-09-30,KKR,NYSE,10.65,11.0,10.4,10.6,308893.0,
2010-10-01,KKR,NYSE,10.65,10.88,10.62,10.8,405195.0,
2010-10-04,KKR,NYSE,10.92,10.92,10.73,10.73,235470.0,
2010-10-05,KKR,NYSE,10.7,10.93,10.66,10.82,309950.0,
2010-10-06,KKR,NYSE,10.78,10.84,10.4,10.5,481622.0,
2010-10-07,KKR,NYSE,10.49,10.58,10.4,10.56,92504.0,
2010-10-08,KKR,NYSE,10.75,11.18,10.65,11.1,916039.0,
2010-10-11,KKR,NYSE,11.09,11.11,10.81,11.0,303786.0,
2010-10-12,KKR,NYSE,11.0,11.42,11.0,11.29,308324.0,
2010-10-13,KKR,NYSE,11.33,11.55,11.2,11.36,367595.0,
2010-10-14,KKR,NYSE,11.32,11.35,11.11,11.2,152684.0,
2010-10-15,KKR,NYSE,11.18,11.25,10.95,10.98,110877.0,
2010-10-18,KKR,NYSE,11.0,11.23,10.99,11.18,51455.0,
2010-10-19,KKR,NYSE,11.15,11.24,10.85,10.95,73708.0,
2010-10-20,KKR,NYSE,10.94,11.44,10.94,11.37,64833.0,
2010-10-21,KKR,NYSE,11.5,12.18,11.41,11.8,435432.0,
2010-10-22,KKR,NYSE,11.95,12.0,11.75,11.76,239802.0,
2010-10-25,KKR,NYSE,11.94,12.12,11.89,11.96,141945.0,
2010-10-26,KKR,NYSE,11.99,12.01,11.8,11.93,150168.0,
2010-10-27,KKR,NYSE,11.97,12.25,11.89,12.11,192730.0,
2010-10-28,KKR,NYSE,12.26,12.62,11.2,12.36,399205.0,
2010-10-29,KKR,NYSE,11.82,12.97,11.75,12.68,525945.0,
2010-11-01,KKR,NYSE,12.81,12.91,12.41,12.5,218817.0,
2010-11-02,KKR,NYSE,12.64,12.76,12.43,12.65,202596.0,
2010-11-03,KKR,NYSE,12.7,12.76,12.4,12.7,276347.0,
2010-11-04,KKR,NYSE,12.85,13.44,12.8,13.39,377184.0,
2010-11-05,KKR,NYSE,13.2,13.75,13.11,13.25,1460187.0,
2010-11-08,KKR,NYSE,13.2,13.32,13.16,13.22,106078.0,
2010-11-09,KKR,NYSE,13.12,13.45,12.62,12.76,238666.0,
